# location=Porto lat=41.15 lon=-8.61 baseline=1991-2020
scenario,time,mean,min,max
historical,1950-07-01,-0.9480589230855305,-1.4513877232869465,-0.42427698771158856
historical,1951-07-01,-0.9423333406448364,-1.360492467880249,-0.4877748489379883
historical,1952-07-01,-0.885023832321167,-1.2828224182128907,-0.2739543914794922
historical,1953-07-01,-0.7666729927062989,-1.288709831237793,-0.025861167907714845
historical,1954-07-01,-0.7579043865203858,-1.416204071044922,0.03358192443847656
historical,1955-07-01,-0.668697452545166,-1.356064224243164,0.07942848205566407
historical,1956-07-01,-0.5869741916656495,-1.2536024093627929,0.030873489379882813
historical,1957-07-01,-0.611545705795288,-1.1618045806884765,-0.18498706817626953
historical,1958-07-01,-0.6969166755676269,-1.082939910888672,-0.27399253845214844
historical,1959-07-01,-0.669525146484375,-0.8584602355957032,-0.34104328155517577
historical,1960-07-01,-0.688530158996582,-0.9598655700683594,-0.26139392852783205
historical,1961-07-01,-0.7281940460205079,-1.2333061218261718,-0.12609729766845704
historical,1962-07-01,-0.7508343696594239,-1.459739875793457,0.020789909362792968
historical,1963-07-01,-0.7565749168395997,-1.5733518600463867,-0.05828838348388672
historical,1964-07-01,-0.7334689617156982,-1.7419559478759765,0.08506755828857422
historical,1965-07-01,-0.6941901683807372,-1.7755786895751953,0.04521865844726562
historical,1966-07-01,-0.6830446243286132,-1.4873136520385741,-0.05435600280761719
historical,1967-07-01,-0.6751091957092286,-1.5806989669799805,-0.13650684356689452
historical,1968-07-01,-0.6621712684631347,-1.5913099288940429,-0.08600234985351562
historical,1969-07-01,-0.7056097984313965,-1.441657829284668,-0.21388015747070313
historical,1970-07-01,-0.7999652862548828,-1.4329133987426759,-0.31815223693847655
historical,1971-07-01,-0.7929314613342285,-1.807319450378418,-0.1618175506591797
historical,1972-07-01,-0.7079021453857421,-1.777277946472168,-0.06553573608398437
historical,1973-07-01,-0.661243486404419,-1.5705955505371094,-0.2247518539428711
historical,1974-07-01,-0.6088592529296875,-1.594979476928711,-0.012297630310058594
historical,1975-07-01,-0.5040263652801513,-1.452476692199707,0.09469966888427735
historical,1976-07-01,-0.46230134963989256,-1.1259984970092773,0.06454677581787109
historical,1977-07-01,-0.5415909290313721,-1.0654830932617188,-0.060072135925292966
historical,1978-07-01,-0.5151072025299073,-1.2303054809570313,0.1467832565307617
historical,1979-07-01,-0.541815185546875,-1.2301107406616212,0.15495223999023439
historical,1980-07-01,-0.5221962451934814,-1.1691934585571289,0.19350662231445312
historical,1981-07-01,-0.5826382637023926,-1.4389564514160156,0.13518905639648438
historical,1982-07-01,-0.4904164791107178,-1.3040103912353516,0.22102851867675782
historical,1983-07-01,-0.45116028785705564,-1.2150495529174805,0.11806678771972656
historical,1984-07-01,-0.4453493595123291,-1.222344207763672,0.017714691162109376
historical,1985-07-01,-0.4021920680999756,-1.4030916213989257,0.02496185302734375
historical,1986-07-01,-0.31890215873718264,-1.384016990661621,0.104833984375
historical,1987-07-01,-0.27890543937683104,-1.5540960311889649,0.3321819305419922
historical,1988-07-01,-0.215882682800293,-1.5267675399780274,0.5240612030029297
historical,1989-07-01,-0.20450730323791505,-1.5487993240356446,0.5519445419311524
historical,1990-07-01,-0.3043729782104492,-1.2952119827270507,0.3567668914794922
historical,1991-07-01,-0.35906214714050294,-0.9039064407348633,0.09075870513916015
historical,1992-07-01,-0.38028802871704104,-0.7373729705810547,-0.07607784271240234
historical,1993-07-01,-0.5100269317626953,-0.8257301330566407,-0.21654415130615234
historical,1994-07-01,-0.4822701454162598,-0.6906099319458008,-0.23369140625
historical,1995-07-01,-0.4305924415588379,-0.607963752746582,-0.020452880859375
historical,1996-07-01,-0.3792391300201416,-0.7175733566284179,-0.03173828125
historical,1997-07-01,-0.33830862045288085,-0.5790901184082031,-0.1544260025024414
historical,1998-07-01,-0.23514480590820314,-0.3527565002441406,-0.1307729721069336
historical,1999-07-01,-0.13632545471191407,-0.2624671936035156,0.00271759033203125
historical,2000-07-01,0.040217351913452146,-0.08673477172851562,0.27625236511230467
historical,2001-07-01,0.2152505397796631,0.12009315490722657,0.34827728271484376
historical,2002-07-01,0.13204474449157716,0.030084609985351562,0.2860258102416992
historical,2003-07-01,0.20159740447998045,0.022945594787597657,0.4717975616455078
historical,2004-07-01,0.23800482749938967,0.14349002838134767,0.4394086837768555
historical,2005-07-01,0.1728447437286377,0.011488723754882812,0.3188591003417969
historical,2006-07-01,0.08136916160583496,0.003501129150390625,0.15268878936767577
historical,2007-07-01,0.2714664936065674,0.12461662292480469,0.4030315399169922
historical,2008-07-01,0.3058162212371826,0.02137908935546875,0.4898723602294922
historical,2009-07-01,0.31628856658935545,0.13157806396484376,0.4874471664428711
historical,2010-07-01,0.3399350166320801,0.0029764175415039062,0.568958854675293
historical,2011-07-01,0.3710445404052734,-0.07004337310791016,0.660371971130371
historical,2012-07-01,0.3119640827178955,-0.15324115753173828,0.729707908630371
historical,2013-07-01,0.29719793796539307,-0.20735859870910645,0.634345531463623
historical,2014-07-01,0.2657713095347086,-0.08005142211914062,0.6570014953613281
ssp126,2015-07-01,-0.01244258880615234,-0.1745138168334961,0.08891646067301433
ssp126,2016-07-01,-0.058034539222717285,-0.12511944770812988,0.09241390228271484
ssp126,2017-07-01,-0.05063033103942871,-0.1399229049682617,0.044798851013183594
ssp126,2018-07-01,-0.0617983341217041,-0.1692911148071289,0.049115753173828124
ssp126,2019-07-01,-0.002235460281372073,-0.08633766174316407,0.15221385955810546
ssp126,2020-07-01,-0.03008255958557129,-0.17754993438720704,0.04489192962646484
