Index;Region, development group, country or area of destination;Coverage;Data type;Location code of destination;Region, development group, country or area of origin;Location code of origin;1990;1995;2000;2005;2010;2015;2020;2024
1;World;;;900;World;900;76143981;80632704;86275210;94338056;107763606;119854396;132060535;146012018
2;World;;;900;Sub-Saharan Africa;1834;6665704;7163563;6846928;7325563;8503651;10696751;12759702;14614665
3;World;;;900;Northern Africa and Western Asia;1833;6648687;7547605;8080447;9029322;10800712;13724647;15984112;17615687
4;World;;;900;Central and Southern Asia;1831;13480571;12209369;12979148;13578114;15854286;17271334;18331635;20688293
5;World;;;900;Eastern and South-Eastern Asia;1832;7395672;8889707;11060445;13077356;16213093;18793920;20297350;21732201
6;World;;;900;Latin America and the Caribbean;1830;7111037;9441217;11507758;14000073;16616154;17828593;21546133;24766311
7;World;;;900;Oceania (excluding Australia and New Zealand);1835; 123881; 138515; 157848; 175934; 191278; 212795; 228946; 247759
8;World;;;900;Australia/New Zealand;1836; 291514; 332220; 385092; 425515; 483688; 526552; 532010; 536882
9;World;;;900;Europe and Northern America;1829;27714057;28094372;27070656;27520872;29118731;29779902;30523121;34855727
10;World;;;900;More developed regions;901;28399406;28923600;27947532;28426528;30103109;30837195;31580066;35965555
11;World;;;900;Less developed regions;902;41031717;44892968;50140790;56706221;67678484;77997299;88622943;99091970
12;World;;;900;Least developed countries;941;12513214;11547419;11389125;11636656;13816353;16832181;19321090;23268715
13;World;;;900;Less developed regions, excluding least developed countries;934;28518503;33345549;38751665;45069565;53862131;61165118;69301853;75823255
14;World;;;900;Less developed regions, excluding China;948;38651191;42044254;46482115;52239294;61984769;71245280;81264468;91318009
15;World;;;900;Land-locked Developing Countries (LLDC);1636;11811366;11076900;10589253;10981883;12584050;13606601;15125590;17217800
16;World;;;900;Small Island Developing States (SIDS);1637;2505244;3037522;3572593;3911274;4526429;5125521;5675674;6225015
17;World;;;900;High-and-upper-middle-income countries;5503;42528607;46756015;49468592;53795277;60522566;63398257;66189893;69389199
18;World;;;900;Low-and-Lower-middle-income countries;5504;26691183;26835285;28333341;31011505;36854847;44915311;51088545;61248984
19;World;;;900;High-income countries;1503;18663292;20154664;20270734;21081707;23046387;24239175;25018836;25961960
20;World;;;900;Low-and-middle-income countries;1859;50556498;53436636;57531199;63725075;74331026;84074393;92259602;104676223
21;World;;;900;Middle-income countries;1517;42096582;46122664;50735060;57017749;66002921;71405753;76613771;85881433
22;World;;;900;Upper-middle-income countries;1502;23865315;26601351;29197858;32713570;37476179;39159082;41171057;43427239
23;World;;;900;Lower-middle-income countries;1501;18231267;19521313;21537202;24304179;28526742;32246671;35442714;42454194
24;World;;;900;Low-income countries;1500;8459916;7313972;6796139;6707326;8328105;12668640;15645831;18794790
25;World;;;900;No income group available;1518; 207191; 220541; 281072; 320916; 398025; 513908;2917315;4411854
26;World;;;900;AFRICA;903;8895954;9605247;9506429;10541248;12246742;15324651;17855525;20775496
27;World;;;900;Eastern Africa;910;3454259;3453741;2690139;2566837;3181836;4327775;5469587;6505327
28;World;;;900;Burundi;108; 168590; 270319; 391391; 247226; 142633; 222469; 274371; 289047
29;World;;;900;Comoros;174; 13361; 20887; 34211; 46749; 55739; 99791; 138358; 198162
30;World;;;900;Djibouti;262;  853; 9991; 1670;  916;  960;  918; 1038; 1351
31;World;;;900;Eritrea;232; 74806; 175581; 252755; 130823; 131420; 218123; 309934; 435083
32;World;;;900;Ethiopia;231; 818613; 377670; 206982; 245153; 331465; 452015; 524332; 620232
33;World;;;900;Kenya;404; 117898; 126338; 146521; 174155; 199106; 238426; 252655; 286671
34;World;;;900;Madagascar;450; 43134; 53257; 66343; 81011; 88884; 102120; 115381; 125725
35;World;;;900;Malawi;454; 52855; 54980; 68356; 86802; 101448; 116267; 142071; 168520
36;World;;;900;Mauritius;480; 34603; 39528; 43501; 49255; 56471; 61297; 63373; 65174
37;World;;;900;Mayotte;175;  849; 1989; 3238; 3331; 3227; 3346; 3462; 3561
38;World;;;900;Mozambique;508; 937419; 299917; 254500; 246717; 249860; 261851; 272150; 283321
39;World;;;900;Réunion;638; 1730; 1737; 1581; 1446; 1402; 1398; 1383; 1396
40;World;;;900;Rwanda;646; 291336;1064922; 175507; 149111; 173251; 253122; 249398; 277800
41;World;;;900;Seychelles;690; 5383; 6666; 7506; 10216; 11374; 11724; 11937; 12155
42;World;;;900;Somalia;706; 292328; 373925; 353155; 331019; 571393; 806249; 781432; 895438
43;World;;;900;South Sudan;728; 242288; 130497; 139916; 102389; 159091; 429684;1208576;1644408
44;World;;;900;Uganda;800; 122324; 150649; 226883; 236900; 296680; 312934; 294872; 291246
45;World;;;900;United Republic of Tanzania;834; 92002; 101211; 95568; 99147; 103196; 107076; 106347; 108566
