# location=New York lat=40.71 lon=-74.01 baseline=1991-2020
decada,historical,ssp126,ssp245,ssp370,ssp585
1950,-0.7553006259600321,,,,
1960,-0.8303866720199584,,,,
1970,-0.709857144355774,,,,
1980,-0.8341097235679626,,,,
1990,-0.5992162609100342,,,,
2000,0.24477725982666015,,,,
2010,0.7253665908177693,-0.05879422426223755,0.018125813007354736,-0.03875763813654581,-0.1690823745727539
2020,,-0.0046116352081298885,0.19084159374237059,0.32950454235076904,0.4890700912475586
2030,,0.37455747127532957,0.6605038690567017,0.6637473726272584,1.0286380894978842
2040,,0.8594118928909301,1.157407464981079,1.3362188243865967,1.5969626553853353
2050,,0.7925230932235718,1.5746486759185792,1.7427884674072267,2.233194122314453
2060,,1.1984905004501343,1.9666178798675538,2.5048987340927122,3.0201315879821777
2070,,1.3024944496154784,2.4379195594787597,2.980555272102356,3.9048746935526526
2080,,1.22785276889801,2.8071435070037842,3.680796194076538,4.632932796478271
2090,,1.090781501531601,2.900823545455933,4.392450308799743,5.4253020795186355
2100,,0.8270916144053141,3.131196896235148,4.869308551152547,5.639044337802463
