iso3;role;other_qid;other_label;from_year;to_year;detail_item_qid;detail_item_label;other_label_en;detail_item_label_en
DEU;as_colony;Q41304;República de Weimar;1918;1919;Q38251605;People's State of Bavaria;Weimar Republic;People's State of Bavaria
DEU;as_colonizer;Q1199;Hesse;1372;1866;Q704300;Cidade Livre de Frankfurt;Hesse;Free City of Frankfurt
DEU;as_colonizer;Q2861;Rostock;;1900;Q107564798;Q107564798;Rostock;
DNK;as_colonizer;Q1194;Schleswig-Holstein;1474;1867;Q704288;Duchy of Holstein;Schleswig-Holstein;Duchy of Holstein
DOM;as_colonizer;Q693487;Puerto Plata;;;Q130531266;José Briceño Stadium;Puerto Plata Province;José Briceño Stadium
DZA;as_colony;Q5570927;globality;1989;;Q370862;União do Magrebe Árabe;globality;Arab Maghreb Union
ECU;as_colonizer;Q335464;Guaias;1534;;Q43509;Guaiaquil;Guayas Province;Guayaquil
ECU;as_colonizer;Q1991935;Guayaquil;1534;;Q43509;Guaiaquil;Guayaquil;Guayaquil
ECU;as_colonizer;Q238492;Chimboraço;2017;;Q60130576;Q60130576;Chimborazo Province;
ERI;as_colony;Q115;Etiópia;1974;1987;Q828005;Derg;Ethiopia;Derg
ESP;as_colony;Q5694183;taifa of Algeciras and Ronda;1342;1344;Q3066445;Cerco de Algeciras (1342–44);taifa of Algeciras and Ronda;Siege of Algeciras
ESP;as_colonizer;Q10305;Saragoça;-001;0472;Q2932882;Caesaraugusta;Zaragoza;Caesaraugusta
ESP;as_colonizer;Q501090;Castro-Urdiales;0074;;Q3025521;Flaviobriga;Castro Urdiales;Flaviobriga
ESP;as_colonizer;Q1492;Barcelona;;;Q17587742;Barcino;Barcelona;Barcino
ESP;as_colonizer;Q329984;Úbeda;;http;Q20087591;Colonia Salaria;Úbeda;Colonia Salaria
ESP;as_colonizer;Q1114855;Cerezo de Río Tirón;;;Q111820670;Auca Patricia;Cerezo de Río Tiron;Auca Patricia
EST;as_colony;Q15180;União Soviética;1917;1991;Q2184;República Socialista Federativa Soviética Russa;Soviet Union;Russian Soviet Federative Socialist Republic
EST;as_colony;Q15180;União Soviética;1922;1991;Q15180;União Soviética;Soviet Union;Soviet Union
EST;as_colony;Q15180;União Soviética;1940;1991;Q130280;República Socialista Soviética Estoniana;Soviet Union;Estonian Soviet Socialist Republic
EST;as_colony;Q1108445;Principado de Kiev;0882;1240;Q1108445;Principado de Kiev;Kievan Rus';Kievan Rus'
EST;as_colonizer;Q4450503;Tallinn;;;Q2096774;Pirita-Kose-Kloostrimetsa Circuit;Tallinn City;Pirita-Kose-Kloostrimetsa Circuit
EST;as_colonizer;Q301179;Vinni;;;Q2348589;Q2348589;Vinni Rural Municipality;
EST;as_colonizer;Q180200;Harjumaa;;;Q2671939;Harjumaa;Harju County;Harjumaa
EST;as_colonizer;Q192061;Viljandimaa;;;Q16409866;Aimla chapel;Viljandi County;Aimla chapel
EST;as_colonizer;Q31273628;Lääneranna Rural Municipality;;;Q20529225;Virtsu railway station;Lääneranna Rural Municipality;Virtsu railway station
EST;as_colonizer;Q192370;Tartumaa;;;Q31279943;Võnnu Rural Municipality;Tartu County;Võnnu Rural Municipality
EST;as_colonizer;Q189968;Läänemaa;;;Q31279944;Võnnu Rural Municipality;Lääne County;Võnnu Rural Municipality
EST;as_colonizer;Q42309166;Lääne-Harju Rural Municipality;1892;1961;Q61402647;Harju-Risti Orthodox Church;Lääne-Harju Rural Municipality;Harju-Risti Orthodox Church
ETH;as_colonizer;Q1033855;Harari;1526;1577;Q7636797;Sultanate of Harar;Harari Region;Sultanate of Harar
FIN;as_colony;Q2305208;Rússia bolchevique;1809;1917;Q62633;Grão-Ducado da Finlândia;Russian Socialist Federative Soviet Republic;Grand Principality of Finland
FIN;as_colony;Q139319;República Russa;1809;1917;Q62633;Grão-Ducado da Finlândia;Russian Republic;Grand Principality of Finland
FIN;as_colony;Q34266;Império Russo;1809;1917;Q62633;Grão-Ducado da Finlândia;Russian Empire;Grand Principality of Finland
FIN;as_colonizer;Q159;Rússia;1939;1940;Q62519;República Democrática da Finlândia;Russia;Finnish Democratic Republic
FRA;as_colonizer;Q18677983;Grande Leste;1312;1679;Q97941965;Free City of Turckheim;Grand Est;Free City of Turckheim
FRA;as_colonizer;Q2982948;European Collectivity of Alsace;1312;1679;Q97941965;Free City of Turckheim;European Collectivity of Alsace;Free City of Turckheim
FRA;as_colonizer;Q12717;Baixo Reno;1312;1679;Q97941965;Free City of Turckheim;Bas-Rhin;Free City of Turckheim
FRA;as_colonizer;Q1142;Alsácia;1312;1679;Q97941965;Free City of Turckheim;Alsace;Free City of Turckheim
FRO;as_colonizer;Q548193;Eystur Municipality;;2009;Q1031794;Gøta Municipality;Eystur Municipality;Gøta Municipality
FRO;as_colonizer;Q1094328;Klaksvík Municipality;1931;2017;Q1057879;Húsa Municipality;Klaksvík Municipality;Húsa Municipality
FRO;as_colonizer;Q969578;Runavík (comuna);1948;2009;Q946445;Funnings Municipality;Runavík Municipality;Funnings Municipality
FRO;as_colonizer;Q548193;Eystur Municipality;1918;2009;Q579365;Leirvík Municipality;Eystur Municipality;Leirvík Municipality
FRO;as_colonizer;Q1094328;Klaksvík Municipality;;2009;Q594202;Svínoy Municipality;Klaksvík Municipality;Svínoy Municipality
FRO;as_colonizer;Q1079322;Vága Municipality;;2009;Q672739;Miðvágs Municipality;Vága Municipality;Miðvágs Municipality
FRO;as_colonizer;Q1079322;Vága Municipality;;2009;Q835534;Sandavágur Municipality;Vága Municipality;Sandavágur Municipality
FSM;as_colony;Q188712;Império do Japão;1919;1947;Q718763;Mandato do Pacífico Sul;Empire of Japan;South Seas Mandate
GBR;as_colony;Q161885;Reino da Grã-Bretanha;1707;1801;Q161885;Reino da Grã-Bretanha;Kingdom of Great Britain;Kingdom of Great Britain
GBR;as_colonizer;Q650682;Denbighshire;1282;1535;Q5101946;Chirkland;Denbighshire;Chirkland
GEO;as_colony;Q15180;União Soviética;1917;1991;Q2184;República Socialista Federativa Soviética Russa;Soviet Union;Russian Soviet Federative Socialist Republic
GEO;as_colony;Q15180;União Soviética;1922;1991;Q15180;União Soviética;Soviet Union;Soviet Union
GEO;as_colony;Q15180;União Soviética;1921;1991;Q130229;República Socialista Soviética Geórgia;Soviet Union;Georgian Soviet Socialist Republic
GEO;as_colony;Q15180;União Soviética;1922;1936;Q545205;República Socialista Federativa Soviética Transcaucasiana;Soviet Union;Transcaucasian Socialist Federative Soviet Republic
GIN;as_colony;Q568712;Império de Uassulu;1878;1898;Q568712;Império de Uassulu;Samorian state;Samorian state
GNB;as_colony;Q200464;Império Português;1474;1974;Q2002279;Privíncia Ultramarina da Guiné;Portuguese Empire;Portuguese Guinea
GRC;as_colony;Q174306;República de Gênova;1304;1329;Q6680233;Senhorio de Quios;Republic of Genoa;Lordship of Chios
GRC;as_colony;Q12544;Império Bizantino;1304;1329;Q6680233;Senhorio de Quios;Byzantine Empire;Lordship of Chios
GRC;as_colony;Q174306;República de Gênova;1346;1566;Q6753657;Maona of Chios and Phocaea;Republic of Genoa;Maona of Chios and Phocaea
GRL;as_colonizer;Q478813;Kujalleq;;2008;Q2336567;Narsaq Municipality;Kujalleq;Narsaq Municipality
GRL;as_colonizer;Q695387;Sermersooq;;2009;Q2336647;Ittoqqortoormiit municipality;Sermersooq;Ittoqqortoormiit municipality
GRL;as_colonizer;Q44593337;Qeqertalik;1953;2009;Q2569818;Aasiaat municipality;Qeqertalik;Aasiaat municipality
GRL;as_colonizer;Q44593409;Avannaata;;2008;Q1612711;Qaanaaq;Avannaata;Qaanaaqs municipality
GRL;as_colonizer;Q44593337;Qeqertalik;;2008;Q1612724;Qasigiannguit municipality;Qeqertalik;Qasigiannguit municipality
GRL;as_colonizer;Q478813;Kujalleq;;2008;Q1612733;Qaqortoq municipality;Kujalleq;Qaqortoq municipality
GRL;as_colonizer;Q478813;Kujalleq;;2008;Q1616536;Nanortalik Municipality;Kujalleq;Nanortalik Municipality
GRL;as_colonizer;Q695387;Sermersooq;;;Q1616549;Ivittuut Municipality;Sermersooq;Ivittuut Municipality
GRL;as_colonizer;Q44593337;Qeqertalik;;2008;Q1616561;Kangaatsiaq municipality;Qeqertalik;Kangaatsiaq municipality
GRL;as_colonizer;Q476233;Qeqqata;;2008;Q1616572;Maniitsoq Municipality;Qeqqata;Maniitsoq Municipality
GRL;as_colonizer;Q44593409;Avannaata;;2009;Q1906815;Ilulissat municipality;Avannaata;Ilulissat municipality
GRL;as_colonizer;Q695387;Sermersooq;1963;2009;Q370694;Ammassalik Municipality;Sermersooq;Ammassalik Municipality
GRL;as_colonizer;Q695387;Sermersooq;;2008;Q617630;Nuuk Municipality;Sermersooq;Nuuk Municipality
GRL;as_colonizer;Q695387;Sermersooq;;2008;Q937296;Paamiut Municipality;Sermersooq;Paamiut Municipality
GTM;as_colonizer;Q693658;Izabal;;;Q104243944;Quiriguá;Izabal Department;Quiriguá
GUY;as_colonizer;Q717;Venezuela;1842;;Q809428;Bartica;Venezuela;Bartica
GUY;as_colonizer;Q816253;Guaiana Essequiba;1842;;Q809428;Bartica;Guayana Esequiba;Bartica
HRV;as_colony;Q83286;República Socialista Federativa da Jugoslávia;;1992;Q83286;República Socialista Federativa da Jugoslávia;Socialist Federal Republic of Yugoslavia;Socialist Federal Republic of Yugoslavia
HRV;as_colony;Q36704;Jugoslávia;1945;1945;Q1277557;Iugoslávia Federal Democrática;Yugoslavia;Democratic Federal Yugoslavia
HRV;as_colonizer;Q1647;Rijeka;1920;1924;Q548114;Estado Livre de Fiume;Rijeka;Free State of Fiume
HTI;as_colonizer;Q923362;Jacmel;;;Q109130905;Q109130905;Jacmel;
HTI;as_colonizer;Q1016929;Cité Soleil;;;Q109135979;Konbit bibliyotèk Site Solèy;Cité Soleil;Konbit bibliyotèk Site Solèy
HTI;as_colonizer;Q777676;Verettes;;;Q109137221;Centre de Lecture et d'Animation Culturelle de Verrettes;Verrettes;Centre de Lecture et d'Animation Culturelle de Verrettes
HTI;as_colonizer;Q2009853;Petit-Goâve;;;Q109137841;Centre Culturel Da;Petit-Goâve;Centre Culturel Da
HTI;as_colonizer;Q852550;Gonaïves;;;Q109138067;Centre Culturelle et d'Animation Jacques Stephen Alexis des Gonaives;Gonaïves;Centre Culturelle et d'Animation Jacques Stephen Alexis des Gonaives
HTI;as_colonizer;Q852550;Gonaïves;;;Q109139268;Centre de Lecture et d'Animation Culturelle Jacques Stephen Alexis des Gonaives;Gonaïves;Centre de Lecture et d'Animation Culturelle Jacques Stephen Alexis des Gonaives
HUN;as_colony;Q16410;República Popular da Hungria;1949;1989;Q16410;República Popular da Hungria;Hungarian People's Republic;Hungarian People's Republic
HUN;as_colony;Q1108445;Principado de Kiev;0882;1240;Q1108445;Principado de Kiev;Kievan Rus';Kievan Rus'
HUN;as_colonizer;Q1051903;Svetozar Miletić;;1526;Q122009191;Q122009191;Svetozar Miletić;
IDN;as_colony;Q422065;Sultanato de Sulu;1405;1915;Q422065;Sultanato de Sulu;Sultanate of Sulu;Sultanate of Sulu
IDN;as_colonizer;Q10124;Cilegon;1527;1813;Q734867;Banten Sultanate;Cilegon;Banten Sultanate
IDN;as_colonizer;Q3540;Banten;1527;1813;Q734867;Banten Sultanate;Banten;Banten Sultanate
IDN;as_colonizer;Q2140;Sumatra do Norte;1632;1946;Q2030015;Sultanate of Deli;North Sumatra;Sultanate of Deli
IDN;as_colonizer;Q5899;Serdang Bedagai;1723;1946;Q3503559;Sultanate of Serdang;Serdang Bedagai;Sultanate of Serdang
IND;as_colony;Q45;Portugal;1505;1961;Q323904;Estado Português da Índia;Portugal;Portuguese India
IND;as_colonizer;Q1186;Kerala;-030;1000;Q3446126;Ay kingdom;Kerala;Ay kingdom
IND;as_colonizer;Q1986096;Chhindwara district;1818;1853;Q4311709;Nagpur kingdom;Chhindwara district;Nagpur kingdom
