iso3;role;other_qid;other_label;from_year;to_year;detail_item_qid;detail_item_label;other_label_en;detail_item_label_en
SWE;as_colonizer;Q498857;comuna da Kristianstad;1863;1970;Q10496002;Q10496002;Kristianstad Municipality;
SWE;as_colonizer;Q509568;Enköping;1952;1970;Q10496092;Q10496092;Enköping Municipality;
SWE;as_colonizer;Q487648;Helsingborg;1863;1951;Q10496101;Fjärestads Rural Municipality;Helsingborg Municipality;Fjärestads Rural Municipality
SWE;as_colonizer;Q499380;Kungsbacka;1863;1973;Q10496124;Fjärås municipality;Kungsbacka Municipality;Fjärås municipality
SWE;as_colonizer;Q504227;Svalöv;http;1964;Q10496188;Q10496188;Svalöv Municipality;
SWE;as_colonizer;Q503148;Grästorp;1863;1951;Q10496262;Q10496262;Grästorp Municipality;
SWE;as_colonizer;Q487648;Helsingborg;1863;1951;Q10496650;Q10496650;Helsingborg Municipality;
SWE;as_colonizer;Q27982;Flen;1863;1948;Q10496656;Q10496656;Flen Municipality;
SWE;as_colonizer;Q27982;Flen;1949;1970;Q10496658;Town of Flen;Flen Municipality;Town of Flen
SWE;as_colonizer;Q374794;Gotland;1863;1951;Q10496664;Q10496664;Region Gotland;
SWE;as_colonizer;Q505096;Nässjö;1863;1951;Q10496830;Q10496830;Nässjö Municipality;
SWE;as_colonizer;Q515250;comuna da Mönsterås;1863;1973;Q10496836;Flieseryd municipality;Mönsterås Municipality;Flieseryd municipality
SWE;as_colonizer;Q501452;Skövde;1863;1951;Q10496847;Q10496847;Skövde Municipality;
SWE;as_colonizer;Q499410;Linköping;1863;1951;Q10496848;Q10496848;Linköping Municipality;
SWE;as_colonizer;Q503148;Grästorp;1863;1951;Q10496857;Q10496857;Grästorp Municipality;
SWE;as_colonizer;Q503214;Falköping;1863;1951;Q10496862;Q10496862;Falköping Municipality;
SWE;as_colonizer;Q2642771;Gagnef;1863;1970;Q10496887;Q10496887;Gagnef Municipality;
SWE;as_colonizer;Q508140;Katrineholm;1863;1970;Q10496889;Q10496889;Katrineholm Municipality;
SWE;as_colonizer;Q28532;Trollhättan;1952;1970;Q10497025;Q10497025;Trollhättan Municipality;
SWE;as_colonizer;Q511241;Lilla Edet;1952;1970;Q10497025;Q10497025;Lilla Edet Municipality;
SWE;as_colonizer;Q37399;Sala;1863;1951;Q10497171;Q10497171;Sala Municipality;
SWE;as_colonizer;Q427991;comuna da Lomma;1863;1962;Q10497202;Q10497202;Lomma Municipality;
SWE;as_colonizer;Q501532;comuna da Strängnäs;1863;1951;Q10497274;Q10497274;Strängnäs Municipality;
SWE;as_colonizer;Q374794;Gotland;1863;1951;Q10497298;Q10497298;Region Gotland;
SWE;as_colonizer;Q267030;Mjölby;1952;1970;Q10497481;Q10497481;Mjölby Municipality;
SWE;as_colonizer;Q509514;Boxholm;1952;1970;Q10497481;Q10497481;Boxholm Municipality;
SWE;as_colonizer;Q515969;Vadstena;1952;1970;Q10497481;Q10497481;Vadstena Municipality;
SWE;as_colonizer;Q500071;comuna da Avesta;1863;1966;Q10497511;Q10497511;Avesta Municipality;
SWE;as_colonizer;Q374794;Gotland;1863;1951;Q10497521;Q10497521;Region Gotland;
SWE;as_colonizer;Q508108;Motala;1863;1951;Q10498029;Q10498029;Motala Municipality;
SWE;as_colonizer;Q503144;Eskilstuna;http;1930;Q10498046;Q10498046;Eskilstuna Municipality;
SWE;as_colonizer;Q515342;comuna da Ragunda;1863;1973;Q10498054;Q10498054;Ragunda Municipality;
SWE;as_colonizer;Q503144;Eskilstuna;1863;1906;Q10498055;Q10498055;Eskilstuna Municipality;
SWE;as_colonizer;Q28532;Trollhättan;1863;1951;Q10498057;Q10498057;Trollhättan Municipality;
SWE;as_colonizer;Q503144;Eskilstuna;http;1907;Q10498060;Fors socken, Södermanland;Eskilstuna Municipality;Fors socken, Södermanland
SWE;as_colonizer;Q29963;Hudiksvall;1863;1970;Q10498073;Q10498073;Hudiksvall Municipality;
SWE;as_colonizer;Q501452;Skövde;1863;1951;Q10498099;Q10498099;Skövde Municipality;
SWE;as_colonizer;Q505096;Nässjö;1863;1970;Q10498107;Q10498107;Nässjö Municipality;
SWE;as_colonizer;Q499385;Forshaga;1944;1970;Q10498114;Q10498114;Forshaga Municipality;
SWE;as_colonizer;Q280562;Värnamo;1863;1970;Q10498118;Q10498118;Värnamo Municipality;
SWE;as_colonizer;Q504235;Ljungby;1863;1970;Q10498118;Q10498118;Ljungby Municipality;
SWE;as_colonizer;Q511281;Götene;1863;1951;Q10498123;Q10498123;Götene Municipality;
SWE;as_colonizer;Q511281;Götene;http;1952;Q10498124;Forshems socken;Götene Municipality;Forshems socken
SWE;as_colonizer;Q501442;Uddevalla;1863;1970;Q10498132;Q10498132;Uddevalla Municipality;
SWE;as_colonizer;Q59093;Östhammar;1863;1951;Q10498158;Q10498158;Östhammar Municipality;
SWE;as_colonizer;Q59093;Östhammar;http;1957;Q10498160;Q10498160;Östhammar Municipality;
SWE;as_colonizer;Q27982;Flen;1863;1951;Q10498170;Q10498170;Flen Municipality;
SWE;as_colonizer;Q503361;Malmö;1863;1930;Q10498248;Q10498248;Malmö Municipality;
SWE;as_colonizer;Q503361;Malmö;http;1931;Q10498250;Q10498250;Malmö Municipality;
SWE;as_colonizer;Q389040;Munkedal;1863;1951;Q10498258;Q10498258;Munkedal Municipality;
SWE;as_colonizer;Q500153;Mark;1863;1951;Q10498345;Q10498345;Mark Municipality;
SWE;as_colonizer;Q271274;Åsele;1875;1973;Q10498750;Q10498750;Åsele Municipality;
SWE;as_colonizer;Q501470;Töreboda;1863;1951;Q10498788;Q10498788;Töreboda Municipality;
SWE;as_colonizer;Q501470;Töreboda;;1952;Q10498789;Q10498789;Töreboda Municipality;
SWE;as_colonizer;Q499425;comuna da Upplands Väsby;1863;1951;Q10498913;Q10498913;Upplands Väsby Municipality;
SWE;as_colonizer;Q428749;Hjo;1863;1951;Q10498998;Q10498998;Hjo Municipality;
SWE;as_colonizer;Q515358;Lidköping;1863;1951;Q10499072;Q10499072;Lidköping Municipality;
SWE;as_colonizer;Q503214;Falköping;1863;1951;Q10499115;Q10499115;Falköping Municipality;
SWE;as_colonizer;Q503214;Falköping;http;1952;Q10499117;Friggeråkers socken;Falköping Municipality;Friggeråkers socken
SWE;as_colonizer;Q487648;Helsingborg;1863;1951;Q10499177;Q10499177;Helsingborg Municipality;
SWE;as_colonizer;Q499380;Kungsbacka;1863;1951;Q10499183;Q10499183;Kungsbacka Municipality;
SWE;as_colonizer;Q503167;comuna da Aneby;1863;1951;Q10499198;Q10499198;Aneby Municipality;
SWE;as_colonizer;Q500153;Mark;1863;1970;Q10499287;Q10499287;Mark Municipality;
SWE;as_colonizer;Q514770;Q514770;1842;1942;Q10499446;Q10499446;Strömsund Municipality;
SWE;as_colonizer;Q504219;comuna da Trelleborg;1863;1951;Q10499455;Q10499455;Trelleborg Municipality;
SWE;as_colonizer;Q239332;Gnesta;1863;1951;Q10499511;Q10499511;Gnesta Municipality;
SWE;as_colonizer;Q280562;Värnamo;1863;1951;Q10499550;Q10499550;Värnamo Municipality;
SWE;as_colonizer;Q499393;Kil;1863;1970;Q10499566;Q10499566;Kil Municipality;
SWE;as_colonizer;Q510135;Torsby;1863;1966;Q10499579;Q10499579;Torsby Municipality;
SWE;as_colonizer;Q503127;Essunga;1863;1951;Q10499618;Q10499618;Essunga Municipality;
SWE;as_colonizer;Q511426;Vänersborg;1863;1973;Q10499623;Q10499623;Vänersborg;
SWE;as_colonizer;Q504601;Sjöbo;1863;1951;Q10499632;Q10499632;Sjöbo Municipality;
SWE;as_colonizer;Q505052;Vetlanda;1863;1951;Q10499692;Q10499692;Vetlanda Municipality;
SWE;as_colonizer;Q505057;Vimmerby;1863;1951;Q10499697;Q10499697;Vimmerby Municipality;
SWE;as_colonizer;Q374794;Gotland;1863;1951;Q10499706;Q10499706;Region Gotland;
SWE;as_colonizer;Q428749;Hjo;1863;1973;Q10499711;Fröjereds Municipality;Hjo Municipality;Fröjereds Municipality
SWE;as_colonizer;Q501459;Tidaholm;1863;1973;Q10499711;Fröjereds Municipality;Tidaholm Municipality;Fröjereds Municipality
SWE;as_colonizer;Q503214;Falköping;1952;1973;Q10499731;Frökind's municipality;Falköping Municipality;Frökind's municipality
SWE;as_colonizer;Q271079;Åmål;1863;1951;Q10499757;Q10499757;Åmål Municipality;
SWE;as_colonizer;Q509568;Enköping;1863;1951;Q10499764;Fröslunda country municipality;Enköping Municipality;Fröslunda country municipality
SWE;as_colonizer;Q509568;Enköping;1863;1951;Q10499769;Q10499769;Enköping Municipality;
SWE;as_colonizer;Q501452;Skövde;1863;1951;Q10499783;Q10499783;Skövde Municipality;
SWE;as_colonizer;Q59093;Östhammar;1952;1956;Q10499795;Q10499795;Östhammar Municipality;
SWE;as_colonizer;Q306789;comuna da Östersund;1948;1970;Q10499797;Frösö Market Town;Östersund Municipality;Frösö Market Town
SWE;as_colonizer;Q306789;comuna da Östersund;1863;1947;Q10499799;Frösö Rural Municipality;Östersund Municipality;Frösö Rural Municipality
SWE;as_colonizer;Q508168;Falkenberg;1863;1951;Q10512289;Q10512289;Falkenberg Municipality;
SWE;as_colonizer;Q280562;Värnamo;1863;1951;Q10512293;Q10512293;Värnamo Municipality;
SWE;as_colonizer;Q297718;Örebro;1863;1951;Q10512299;Q10512299;Örebro Municipality;
SWE;as_colonizer;Q499380;Kungsbacka;1863;1951;Q10512306;Q10512306;Kungsbacka Municipality;
SWE;as_colonizer;Q382808;Ulricehamn;1863;1951;Q10512325;Q10512325;Ulricehamn Municipality;
SWE;as_colonizer;Q271340;Åtvidaberg;1863;1951;Q10512371;Q10512371;Åtvidaberg Municipality;
SWE;as_colonizer;Q509546;Borgholm;1863;1968;Q10512378;Q10512378;Borgholm Municipality;
SWE;as_colonizer;Q504219;comuna da Trelleborg;1863;1951;Q10512383;Q10512383;Trelleborg Municipality;
SWE;as_colonizer;Q503111;Herrljunga;1952;1973;Q10512392;Q10512392;Herrljunga Municipality;
SWE;as_colonizer;Q510010;Gävle;1442;1970;Q10512453;Gävle Town;Gävle Municipality;Gävle Town
SWE;as_colonizer;Q514756;Mörbylånga;1863;1951;Q10512517;Q10512517;Mörbylånga Municipality;
SWE;as_colonizer;Q515680;comuna da Söderköping;1863;1951;Q10512521;Q10512521;Söderköping Municipality;
SWE;as_colonizer;Q500217;Växjö;1863;1951;Q10512531;Q10512531;Växjö Municipality;
SWE;as_colonizer;Q1130264;Eslöv;1863;1951;Q10512546;Q10512546;Eslöv Municipality;
SWE;as_colonizer;Q512002;Hultsfred;1863;1951;Q10512553;Q10512553;Hultsfred Municipality;
SWE;as_colonizer;Q503204;Filipstad;1863;1951;Q10512564;Q10512564;Filipstad Municipality;
SWE;as_colonizer;Q239332;Gnesta;http;1940;Q10512578;Q10512578;Gnesta Municipality;
SWE;as_colonizer;Q239332;Gnesta;1941;1951;Q10512579;Q10512579;Gnesta Municipality;
SWE;as_colonizer;Q239332;Gnesta;1863;1940;Q10512581;Q10512581;Gnesta Municipality;
SWE;as_colonizer;Q239332;Gnesta;http;1941;Q10512582;Gåsinge socken;Gnesta Municipality;Gåsinge socken
SWE;as_colonizer;Q514770;Q514770;1893;1951;Q10512597;Q10512597;Strömsund Municipality;
SWE;as_colonizer;Q505018;comuna da Lund;1863;1951;Q10512610;Q10512610;Lund Municipality;
SWE;as_colonizer;Q179180;Varberg;1863;1951;Q10512616;Q10512616;Varberg Municipality;
SWE;as_colonizer;Q503214;Falköping;1863;1951;Q10512634;Q10512634;Falköping Municipality;
SWE;as_colonizer;Q504609;comuna da Staffanstorp;1863;1951;Q10512688;Q10512688;Staffanstorp Municipality;
SWE;as_colonizer;Q515358;Lidköping;1863;1951;Q10512698;Q10512698;Lidköping Municipality;
SWE;as_colonizer;Q52502;Gotemburgo;1726;1885;Q10512863;Q10512863;Gothenburg Municipality;
SWE;as_colonizer;Q52502;Gotemburgo;1863;1970;Q10512911;Göteborg City;Gothenburg Municipality;Göteborg City
SWE;as_colonizer;Q511281;Götene;1952;1970;Q10512952;Q10512952;Götene Municipality;
SWE;as_colonizer;Q511281;Götene;1863;1951;Q10512953;Q10512953;Götene Municipality;
SWE;as_colonizer;Q515358;Lidköping;http;1952;Q10512954;Q10512954;Lidköping Municipality;
SWE;as_colonizer;Q254799;Älmhult;1863;1970;Q10512959;Q10512959;Älmhult Municipality;
SWE;as_colonizer;Q503214;Falköping;1863;1951;Q10512963;Q10512963;Falköping Municipality;
SWE;as_colonizer;Q431271;comuna da Arboga;1863;1951;Q10512987;Q10512987;Arboga Municipality;
SWE;as_colonizer;Q501452;Skövde;1863;1951;Q10512988;Q10512988;Skövde Municipality;
SWE;as_colonizer;Q374794;Gotland;1863;1951;Q10515388;Q10515388;Region Gotland;
SWE;as_colonizer;Q503198;comuna da Habo;1863;1970;Q10515396;Habo Rural Municipality;Habo Municipality;Habo Rural Municipality
SWE;as_colonizer;Q509568;Enköping;1863;1951;Q10515480;Hacksta country municipality;Enköping Municipality;Hacksta country municipality
SWE;as_colonizer;Q515282;Lekeberg;1863;1951;Q10515483;Q10515483;Lekeberg Municipality;
SWE;as_colonizer;Q306789;comuna da Östersund;1863;1970;Q10515491;Q10515491;Östersund Municipality;
SWE;as_colonizer;Q845930;comuna da Berg;1863;1970;Q10515491;Q10515491;Berg Municipality;
SWE;as_colonizer;Q216915;comuna da Sigtuna;1863;1951;Q10515881;Q10515881;Sigtuna Municipality;
SWE;as_colonizer;Q508153;comuna da Kalmar;1863;1951;Q10515941;Q10515941;Kalmar Municipality;
SWE;as_colonizer;Q59091;Uppsala;1863;1951;Q10515942;Q10515942;Uppsala Municipality;
SWE;as_colonizer;Q508108;Motala;1863;1951;Q10515953;Q10515953;Motala Municipality;
SWE;as_colonizer;Q501452;Skövde;1863;1951;Q10515958;Q10515958;Skövde Municipality;
SWE;as_colonizer;Q605329;Vaggeryd;1863;1951;Q10516027;Q10516027;Vaggeryd Municipality;
SWE;as_colonizer;Q500153;Mark;1863;1951;Q10516095;Q10516095;Mark Municipality;
SWE;as_colonizer;Q504689;Jönköping;1863;1966;Q10516105;Q10516105;Jönköping Municipality;
SWE;as_colonizer;Q374794;Gotland;1863;1951;Q10516305;Q10516305;Region Gotland;
SWE;as_colonizer;Q500267;Nyköping;1863;1951;Q10516306;Q10516306;Nyköping Municipality;
SWE;as_colonizer;Q515373;comuna da Ronneby;1952;1962;Q10516310;Q10516310;Ronneby Municipality;
SWE;as_colonizer;Q254799;Älmhult;1863;1951;Q10516350;Q10516350;Älmhult Municipality;
SWE;as_colonizer;Q271153;comuna da Åre;1863;1973;Q10516378;Q10516378;Åre Municipality;
SWE;as_colonizer;Q306789;comuna da Östersund;1863;1973;Q10516378;Q10516378;Östersund Municipality;
SWE;as_colonizer;Q515477;Västervik;1863;1970;Q10516395;Q10516395;Västervik Municipality;
SWE;as_colonizer;Q374794;Gotland;1863;1951;Q10516414;Q10516414;Region Gotland;
SWE;as_colonizer;Q508180;Hallsberg;1908;1970;Q10516419;Q10516419;Hallsberg Municipality;
SWE;as_colonizer;Q508180;Hallsberg;1863;1962;Q10516420;Q10516420;Hallsberg Municipality;
SWE;as_colonizer;Q508180;Hallsberg;http;1963;Q10516421;Q10516421;Hallsberg Municipality;
SWE;as_colonizer;Q508153;comuna da Kalmar;1863;1951;Q10516447;Q10516447;Kalmar Municipality;
SWE;as_colonizer;Q504227;Svalöv;1863;1951;Q10516516;Q10516516;Svalöv Municipality;
SWE;as_colonizer;Q504692;Halmstad;1307;1970;Q10516521;Halmstad Town;Halmstad Municipality;Halmstad Town
SWE;as_colonizer;Q501470;Töreboda;1863;1951;Q10516532;Q10516532;Töreboda Municipality;
SWE;as_colonizer;Q499425;comuna da Upplands Väsby;1863;1951;Q10516837;Q10516837;Upplands Väsby Municipality;
SWE;as_colonizer;Q503144;Eskilstuna;1863;1951;Q10516839;Q10516839;Eskilstuna Municipality;
SWE;as_colonizer;Q1130264;Eslöv;1863;1951;Q10516884;Q10516884;Eslöv Municipality;
SWE;as_colonizer;Q504219;comuna da Trelleborg;1863;1951;Q10516888;Q10516888;Trelleborg Municipality;
SWE;as_colonizer;Q509501;comuna da Askersund;1863;1970;Q10516894;Q10516894;Askersund Municipality;
SWE;as_colonizer;Q499359;Hammarö;1950;1970;Q10516912;Q10516912;Hammarö Municipality;
SWE;as_colonizer;Q499359;Hammarö;1863;1949;Q10516913;Q10516913;Hammarö Municipality;
SWE;as_colonizer;Q504626;comuna da Simrishamn;1863;1968;Q10516921;Q10516921;Simrishamn Municipality;
SWE;as_colonizer;Q515519;Tomelilla;1863;1968;Q10516921;Q10516921;Tomelilla Municipality;
SWE;as_colonizer;Q514770;Q514770;1863;1973;Q10516928;Q10516928;Strömsund Municipality;
SWE;as_colonizer;Q504235;Ljungby;1863;1970;Q10516946;Q10516946;Ljungby Municipality;
SWE;as_colonizer;Q374794;Gotland;1863;1951;Q10516979;Q10516979;Region Gotland;
SWE;as_colonizer;Q510010;Gävle;1863;1968;Q10516990;Q10516990;Gävle Municipality;
SWE;as_colonizer;Q62469;Bollnäs;1863;1973;Q10517198;Q10517198;Bollnäs Municipality;
SWE;as_colonizer;Q374794;Gotland;1863;1951;Q10517217;Q10517217;Region Gotland;
SWE;as_colonizer;Q499380;Kungsbacka;1863;1951;Q10517233;Q10517233;Kungsbacka Municipality;
SWE;as_colonizer;Q504626;comuna da Simrishamn;1863;1951;Q10517275;Q10517275;Simrishamn Municipality;
SWE;as_colonizer;Q271340;Åtvidaberg;1863;1951;Q10517290;Q10517290;Åtvidaberg Municipality;
SWE;as_colonizer;Q510310;Haparanda;1842;1970;Q10517577;Haparanda Town;Haparanda Municipality;Haparanda Town
SWE;as_colonizer;Q34550;Västerås;1863;1951;Q10517963;Q10517963;Västerås Municipality;
SWE;as_colonizer;Q516308;Heby;1863;1951;Q10518025;Q10518025;Heby Municipality;
SWE;as_colonizer;Q505018;comuna da Lund;1863;1951;Q10518047;Q10518047;Lund Municipality;
SWE;as_colonizer;Q504988;Kumla;1863;1951;Q10518055;Q10518055;Kumla Municipality;
SWE;as_colonizer;Q511394;comuna da Kungälv;1863;1951;Q10518091;Q10518091;Kungälv Municipality;
SWE;as_colonizer;Q59093;Östhammar;1863;1951;Q10518096;Q10518096;Östhammar Municipality;
SWE;as_colonizer;Q59093;Östhammar;http;1957;Q10518098;Q10518098;Östhammar Municipality;
SWE;as_colonizer;Q514707;comuna da Krokom;1901;1968;Q10526542;Q10526542;Krokom Municipality;
SWE;as_colonizer;Q514770;Q514770;1746;1942;Q10526543;Q10526543;Strömsund Municipality;
SWE;as_colonizer;Q280562;Värnamo;1863;1951;Q10532088;Q10532088;Värnamo Municipality;
SWE;as_colonizer;Q503214;Falköping;http;1892;Q10532091;Q10532091;Falköping Municipality;
SWE;as_colonizer;Q501459;Tidaholm;1863;1951;Q10532096;Q10532096;Tidaholm Municipality;
SWE;as_colonizer;Q504261;Bräcke;1863;1951;Q10532137;Q10532137;Bräcke Municipality;
SWE;as_colonizer;Q511338;Vellinge;1863;1951;Q10532143;Q10532143;Vellinge Municipality;
SWE;as_colonizer;Q505018;comuna da Lund;1863;1951;Q10532149;Q10532149;Lund Municipality;
SWE;as_colonizer;Q113673;comuna da Upplands-Bro;1863;1951;Q10532154;Q10532154;Upplands-Bro Municipality;
SWE;as_colonizer;Q505013;Höganäs;1936;1970;Q10532207;Q10532207;Höganäs Municipality;
SWE;as_colonizer;Q149539;Sandviken;1863;1942;Q10532222;Q10532222;Sandviken Municipality;
SWE;as_colonizer;Q149539;Sandviken;1622;1943;Q10532225;Q10532225;Sandviken Municipality;
SWE;as_colonizer;Q267030;Mjölby;1863;1951;Q10532244;Q10532244;Mjölby Municipality;
SWE;as_colonizer;Q509546;Borgholm;1863;1951;Q10532245;Q10532245;Borgholm Municipality;
SWE;as_colonizer;Q511365;comuna da Arvika;1863;1951;Q10532271;Q10532271;Arvika Municipality;
SWE;as_colonizer;Q501470;Töreboda;1863;1970;Q10526646;Q10526646;Töreboda Municipality;
SWE;as_colonizer;Q503193;Gullspång;1863;1970;Q10526646;Q10526646;Gullspång Municipality;
SWE;as_colonizer;Q500217;Växjö;1952;1970;Q10526688;Q10526688;Växjö Municipality;
SWE;as_colonizer;Q509488;Lessebo;1952;1970;Q10526688;Q10526688;Lessebo Municipality;
SWE;as_colonizer;Q509488;Lessebo;1863;1951;Q10526689;Q10526689;Lessebo Municipality;
SWE;as_colonizer;Q499464;Båstad;1863;1951;Q10526714;Q10526714;Båstad Municipality;
SWE;as_colonizer;Q503111;Herrljunga;1863;1951;Q10526715;Q10526715;Herrljunga Municipality;
SWE;as_colonizer;Q515969;Vadstena;1863;1951;Q10526717;Q10526717;Vadstena Municipality;
SWE;as_colonizer;Q297718;Örebro;1863;1951;Q10526730;Q10526730;Örebro Municipality;
SWE;as_colonizer;Q498857;comuna da Kristianstad;1863;1951;Q10526788;Q10526788;Kristianstad Municipality;
SWE;as_colonizer;Q34550;Västerås;1863;1951;Q10526812;Q10526812;Västerås Municipality;
SWE;as_colonizer;Q492575;comuna da Huddinge;1863;1970;Q10526837;Q10526837;Huddinge Municipality;
SWE;as_colonizer;Q516308;Heby;1863;1951;Q10526848;Q10526848;Heby Municipality;
SWE;as_colonizer;Q503111;Herrljunga;1863;1951;Q10526852;Q10526852;Herrljunga Municipality;
SWE;as_colonizer;Q29963;Hudiksvall;1581;1970;Q10526864;Hudiksvall Town;Hudiksvall Municipality;Hudiksvall Town
SWE;as_colonizer;Q511326;Säffle;http;1969;Q10526897;Q10526897;Säffle Municipality;
SWE;as_colonizer;Q511326;Säffle;1863;1951;Q10526898;Q10526898;Säffle Municipality;
SWE;as_colonizer;Q501479;Tranemo;1863;1951;Q10526945;Q10526945;Tranemo Municipality;
SWE;as_colonizer;Q503167;comuna da Aneby;1952;1966;Q10526963;Q10526963;Aneby Municipality;
SWE;as_colonizer;Q514756;Mörbylånga;1863;1951;Q10526985;Q10526985;Mörbylånga Municipality;
SWE;as_colonizer;Q512035;Eksjö;1863;1951;Q10526994;Q10526994;Eksjö Municipality;
SWE;as_colonizer;Q512002;Hultsfred;1927;1970;Q10527000;Q10527000;Hultsfred Municipality;
SWE;as_colonizer;Q505239;Sävsjö;1863;1951;Q10527013;Q10527013;Sävsjö Municipality;
SWE;as_colonizer;Q382808;Ulricehamn;1863;1951;Q10527091;Q10527091;Ulricehamn Municipality;
SWE;as_colonizer;Q179180;Varberg;1863;1951;Q10527213;Q10527213;Varberg Municipality;
SWE;as_colonizer;Q1130264;Eslöv;1863;1951;Q10527282;Q10527282;Eslöv Municipality;
SWE;as_colonizer;Q511281;Götene;1863;1966;Q10527295;Q10527295;Götene Municipality;
SWE;as_colonizer;Q504465;Knivsta;1863;1951;Q10527325;Q10527325;Knivsta Municipality;
SWE;as_colonizer;Q500267;Nyköping;1863;1951;Q10527329;Q10527329;Nyköping Municipality;
SWE;as_colonizer;Q503144;Eskilstuna;1863;1970;Q10527335;Q10527335;Eskilstuna Municipality;
SWE;as_colonizer;Q509568;Enköping;1863;1951;Q10527340;Q10527340;Enköping Municipality;
SWE;as_colonizer;Q216915;comuna da Sigtuna;1863;1951;Q10527345;Q10527345;Sigtuna Municipality;
SWE;as_colonizer;Q507684;Hedemora;1863;1966;Q10527350;Q10527350;Hedemora Municipality;
SWE;as_colonizer;Q503361;Malmö;1863;1934;Q10527400;Q10527400;Malmö Municipality;
SWE;as_colonizer;Q503361;Malmö;http;1935;Q10527402;Q10527402;Malmö Municipality;
SWE;as_colonizer;Q504689;Jönköping;1907;1910;Q10527414;Q10527414;Jönköping Municipality;
SWE;as_colonizer;Q504689;Jönköping;1911;1970;Q10527417;Huskvarna Town;Jönköping Municipality;Huskvarna Town
SWE;as_colonizer;Q515706;Svedala;1863;1951;Q10527917;Q10527917;Svedala Municipality;
SWE;as_colonizer;Q515299;Kinda;1863;1951;Q10527923;Q10527923;Kinda Municipality;
SWE;as_colonizer;Q505239;Sävsjö;1863;1951;Q10529114;Q10529114;Sävsjö Municipality;
SWE;as_colonizer;Q503361;Malmö;1863;1905;Q10529119;Q10529119;Malmö Municipality;
SWE;as_colonizer;Q503361;Malmö;http;1906;Q10529120;Q10529120;Malmö Municipality;
SWE;as_colonizer;Q498477;Hylte;1952;1970;Q10529214;Q10529214;Hylte Municipality;
SWE;as_colonizer;Q27982;Flen;1863;1951;Q10529220;Q10529220;Flen Municipality;
SWE;as_colonizer;Q503148;Grästorp;1863;1951;Q10530893;Q10530893;Grästorp Municipality;
SWE;as_colonizer;Q500153;Mark;1863;1951;Q10530908;Q10530908;Mark Municipality;
SWE;as_colonizer;Q515299;Kinda;1863;1951;Q10531249;Q10531249;Kinda Municipality;
SWE;as_colonizer;Q209634;Härnösand;1863;1951;Q10531273;Q10531273;Härnösand Municipality;
SWE;as_colonizer;Q511253;Håbo;1863;1951;Q10531279;Q10531279;Håbo Municipality;
SWE;as_colonizer;Q306789;comuna da Östersund;1863;1962;Q10531286;Q10531286;Östersund Municipality;
SWE;as_colonizer;Q515358;Lidköping;1863;1951;Q10531293;Q10531293;Lidköping Municipality;
SWE;as_colonizer;Q501452;Skövde;1863;1951;Q10531305;Q10531305;Skövde Municipality;
SWE;as_colonizer;Q508125;Hässleholm;1863;1951;Q10531315;Q10531315;Hässleholm Municipality;
SWE;as_colonizer;Q510223;comuna da Karlshamn;1863;1966;Q10531352;Q10531352;Karlshamn Municipality;
SWE;as_colonizer;Q503144;Eskilstuna;1952;1970;Q10531360;Q10531360;Eskilstuna Municipality;
SWE;as_colonizer;Q515318;Nybro;1863;1968;Q10531366;Q10531366;Nybro Municipality;
SWE;as_colonizer;Q220881;Hällefors;1950;1970;Q10531376;Q10531376;Hällefors Municipality;
SWE;as_colonizer;Q220881;Hällefors;1863;1949;Q10531378;Q10531378;Hällefors Municipality;
SWE;as_colonizer;Q504261;Bräcke;1863;1951;Q10531391;Q10531391;Bräcke Municipality;
SWE;as_colonizer;Q505018;comuna da Lund;1863;1951;Q10531405;Q10531405;Lund Municipality;
SWE;as_colonizer;Q503180;comuna da Finspång;1863;1970;Q10531406;Q10531406;Finspång Municipality;
SWE;as_colonizer;Q503214;Falköping;1863;1951;Q10531407;Q10531407;Falköping Municipality;
SWE;as_colonizer;Q382808;Ulricehamn;1863;1951;Q10531448;Q10531448;Ulricehamn Municipality;
SWE;as_colonizer;Q501428;Vara;1863;1951;Q10531455;Q10531455;Vara Municipality;
SWE;as_colonizer;Q29963;Hudiksvall;1863;1964;Q10531500;Q10531500;Hudiksvall Municipality;
SWE;as_colonizer;Q499421;comuna da Skara;1863;1951;Q10531545;Q10531545;Skara Municipality;
SWE;as_colonizer;Q501532;comuna da Strängnäs;1863;1951;Q10531601;Q10531601;Strängnäs Municipality;
SWE;as_colonizer;Q504676;Q504676;1863;1951;Q10531609;Q10531609;Norrköping Municipality;
SWE;as_colonizer;Q501459;Tidaholm;1863;1951;Q10531648;Harja country municipality;Tidaholm Municipality;Harja country municipality
SWE;as_colonizer;Q515358;Lidköping;1863;1951;Q10531662;Q10531662;Lidköping Municipality;
SWE;as_colonizer;Q509568;Enköping;1863;1951;Q10531669;Q10531669;Enköping Municipality;
SWE;as_colonizer;Q254799;Älmhult;1863;1951;Q10531699;Q10531699;Älmhult Municipality;
SWE;as_colonizer;Q499421;comuna da Skara;1863;1951;Q10531700;Q10531700;Skara Municipality;
SWE;as_colonizer;Q182007;comuna da Alvesta;1863;1951;Q10531709;Q10531709;Alvesta Municipality;
SWE;as_colonizer;Q382808;Ulricehamn;1863;1951;Q10531721;Q10531721;Ulricehamn Municipality;
SWE;as_colonizer;Q509568;Enköping;1863;1951;Q10531726;Q10531726;Enköping Municipality;
