entity_qid;iso3;source
Q123460875;DEU;p19_path
Q123460884;DEU;p19_path
Q123460894;DEU;p19_path
Q123460987;DEU;p19_path
Q123460995;DEU;p19_path
Q123461027;DEU;p19_path
Q123461033;POL;p19_path
Q123474896;DEU;p19_path
Q123474918;DEU;p19_path
Q123474924;DEU;p19_path
Q123474929;POL;p19_path
Q123474933;DEU;p19_path
Q123474937;MDA;p19_path
Q123474945;DEU;p19_path
Q123474977;DEU;p19_path
Q123474997;DEU;p19_path
Q123475035;DEU;p19_path
Q123475074;DEU;p19_path
Q123475094;DEU;p19_path
Q123475098;DEU;p19_path
Q123475127;DEU;p19_path
Q123475131;DEU;p19_path
Q123475138;DEU;p19_path
Q123475146;DEU;p19_path
Q123482220;DEU;p19_path
Q123482225;DEU;p19_path
Q123482235;DEU;p19_path
Q123482241;DEU;p19_path
Q123482293;DEU;p19_path
Q123482312;DEU;p19_path
Q123482315;DEU;p19_path
Q123482337;DEU;p19_path
Q123482345;DEU;p19_path
Q123482357;DEU;p19_path
Q123482363;DEU;p19_path
Q123482374;DEU;p19_path
Q123482396;DEU;p19_path
Q123482431;DEU;p19_path
Q123560804;DEU;p19_path
Q123560816;POL;p19_path
Q123560876;DEU;p19_path
Q123561053;DEU;p19_path
Q123561064;POL;p19_path
Q123561111;DEU;p19_path
Q123561183;DEU;p19_path
Q123561188;DEU;p19_path
Q123561208;DEU;p19_path
Q123561304;DEU;p19_path
Q123578572;DEU;p19_path
Q123578575;DEU;p19_path
Q123578582;DEU;p19_path
Q123578585;DEU;p19_path
Q123578587;DEU;p19_path
Q123578590;DEU;p19_path
Q123579128;DEU;p19_path
Q123579161;DEU;p19_path
Q123579185;DEU;p19_path
Q123579201;DEU;p19_path
Q123579233;DEU;p19_path
Q123579255;DEU;p19_path
Q123579318;DEU;p19_path
Q123579333;DEU;p19_path
Q123602220;DEU;p19_path
Q123602594;DEU;p19_path
Q123602766;DEU;p19_path
Q123602977;DEU;p19_path
Q123603105;DEU;p19_path
Q123603368;DEU;p19_path
Q123603911;DEU;p19_path
Q123604141;DEU;p19_path
Q123604273;DEU;p19_path
Q123604302;DEU;p19_path
Q123604364;DEU;p19_path
Q123604379;DEU;p19_path
Q123604395;DEU;p19_path
Q123604415;DEU;p19_path
Q123604420;DEU;p19_path
Q123615520;DEU;p19_path
Q123615524;DEU;p19_path
Q123615526;DEU;p19_path
Q123615535;DEU;p19_path
Q123615548;DEU;p19_path
Q123615553;DEU;p19_path
Q123615558;DEU;p19_path
Q123615564;DEU;p19_path
Q123615572;DEU;p19_path
Q123615578;DEU;p19_path
Q123615585;DEU;p19_path
Q123615589;DEU;p19_path
Q123615620;DEU;p19_path
Q123615622;DEU;p19_path
Q123615628;DEU;p19_path
Q123615632;DEU;p19_path
Q123615635;DEU;p19_path
Q123631783;UKR;p19_path
Q123631797;UKR;p19_path
Q123631808;DEU;p19_path
Q123631847;DEU;p19_path
Q123632004;DEU;p19_path
Q123632328;DEU;p19_path
Q123632613;DEU;p19_path
Q123632804;BLR;p19_path
Q123633093;BLR;p19_path
Q123633649;POL;p19_path
Q123633696;POL;p19_path
Q123633873;DEU;p19_path
Q123685328;DEU;p19_path
Q123685337;DEU;p19_path
Q123685343;DEU;p19_path
Q123685345;DEU;p19_path
Q123685353;DEU;p19_path
Q123685360;DEU;p19_path
Q123685393;DEU;p19_path
Q123685411;DEU;p19_path
Q123685420;DEU;p19_path
Q123685430;DEU;p19_path
Q123685449;CZE;p19_path
Q123685454;DEU;p19_path
Q123685457;DEU;p19_path
Q123685472;DEU;p19_path
Q123685478;DEU;p19_path
Q123685482;DEU;p19_path
Q123685490;DEU;p19_path
Q123700084;DEU;p19_path
Q123700092;DEU;p19_path
Q123700112;POL;p19_path
Q123700151;DEU;p19_path
Q123700162;DEU;p19_path
Q123700171;DEU;p19_path
Q123700191;DEU;p19_path
Q123700197;DEU;p19_path
Q123700229;DEU;p19_path
Q123700324;DEU;p19_path
Q123700327;DEU;p19_path
Q123700445;DEU;p19_path
Q123700455;DEU;p19_path
Q123700551;DEU;p19_path
Q123720713;DEU;p19_path
Q123721168;DEU;p19_path
Q123721441;DEU;p19_path
Q123721603;DEU;p19_path
Q123722113;DEU;p19_path
