iso3;country;indicator;indicator_name;year;value
WLD;World;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;2403074088.46029
OED;OECD members;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;1364524985.83971
PST;Post-demographic dividend;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;1275198369.71218
ECS;Europe & Central Asia;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;1199188498.74821
IBT;IDA & IBRD total;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;974462802.208958
EUU;European Union;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;968873375.260994
IBD;IBRD only;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;852166955.667661
LMY;Low & middle income;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;814041186.104538
MIC;Middle income;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;790163362.933784
EMU;Euro area;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;655573447.522239
LTE;Late-demographic dividend;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;549832276.924528
EAS;East Asia & Pacific;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;490804002.09165
EAR;Early-demographic dividend;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;369336988.869679
TEC;Europe & Central Asia (IDA & IBRD countries);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;331546366.211299
CEB;Central Europe and the Baltics;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;314638365.070248
EAP;East Asia & Pacific (excluding high income);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;292842169.375777
TEA;East Asia & Pacific (IDA & IBRD countries);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;289300101.805405
LCN;Latin America & Caribbean;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;201856013.686497
NAC;North America;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;198713000.0
ECA;Europe & Central Asia (excluding high income);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;180880471.54687
TLA;Latin America & the Caribbean (IDA & IBRD countries);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;172908916.919959
LAC;Latin America & Caribbean (excluding high income);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;165233236.99443
MEA;Middle East, North Africa, Afghanistan & Pakistan;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;152571279.95283
ARB;Arab World;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;142447574.174804
FRA;France;ST.INT.ARVL;Arrivals (inbound tourists, number);2020;117109000.0
IDA;IDA total;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;100914423.764227
POL;Poland;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;88515000.0
SST;Small states;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;79086475.9232005
MNA;Middle East, North Africa, Afghanistan & Pakistan (excluding high income);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;65756226.1253439
TMN;Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;65078454.6035971
IDX;IDA only;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;63144062.5081978
SSF;Sub-Saharan Africa;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;56014499.1539477
TSS;Sub-Saharan Africa (IDA & IBRD countries);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;56014499.1539477
SSA;Sub-Saharan Africa (excluding high income);ST.INT.ARVL;Arrivals (inbound tourists, number);2019;55555231.2954125
OSS;Other small states;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;51930012.4665974
MEX;Mexico;ST.INT.ARVL;Arrivals (inbound tourists, number);2020;51128000.0
USA;United States;ST.INT.ARVL;Arrivals (inbound tourists, number);2020;45037000.0
LDC;Least developed countries: UN classification;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;40176417.3590637
THA;Thailand;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;39916000.0
AFE;Africa Eastern and Southern;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;39826701.4025488
ITA;Italy;ST.INT.ARVL;Arrivals (inbound tourists, number);2020;38419000.0
CZE;Czechia;ST.INT.ARVL;Arrivals (inbound tourists, number);2019;37202000.0
ESP;Spain;ST.INT.ARVL;Arrivals (inbound tourists, number);2020;36410000.0
