conflict_qid;conflict_label;checked_via
Q916340;Jameson Raid;both
Q1760435;1934 Estonian coup d'état;both
Q924625;Golpe de Estado no Níger em 2010;both
Q1131857;Golpe de Estado na Pérsia em 1921;both
Q3272511;Zhongshan Warship Incident;both
Q1073488;golpe militar em Honduras em 2009;both
Q2475925;Revolução de 8 de Março;both
Q1634613;Operação Cactus;both
Q1758028;Golpe de Estado na Turquia em 1980;both
Q931943;1971 Turkish military memorandum;both
Q1980316;Segunda Revolução do Poder Popular;both
Q2465567;Golpe de Estado na Mauritânia em 2008;both
Q2334896;Golpe de estado de 1809 na Suécia;both
Q875912;Golpe de Estado no Mali em 2012;both
Q2998924;Golpes de Estado em Fiji em 1987;both
Q2069434;Golpe de Estado no Chipre em 1974;both
Q638903;Implantação da República Portuguesa;both
Q2994789;Harem conspiracy;both
Q960894;Golpe de Estado na Bulgária em 1923;both
Q1140690;Crise de Maio de 1958;both
Q2119303;June 1933 Siamese coup d'état;both
Q1716388;Golpe ateniense de 411 a.C.;both
Q2282672;Golpe de Estado na Guiné em 2008;both
Q1037676;Maio Negro;both
Q2883469;Golpe de Estado no Haiti de 2004;both
Q1041337;8/18 incident;both
Q976887;Golpe de Estado na Guatemala em 1954;both
Q760023;Golpe de Goudi;both
Q2634783;Revolução de 1930;both
Q2567468;Golpe de Estado em Fiji de 2006;both
Q967981;Golpe de Estado no Suriname em 1980;both
Q1787448;Expurgo do Orgulho;both
Q4591257;Golpe de Estado no Burundi em 1996;both
Q5690662;Golpe de Estado de 1912;both
Q4350099;golpe de estado en Rumanía del 2 de febrero de 1866;both
Q5637814;Balconcillo mutiny;both
Q5492732;Golpe de Estado em Cuba de 1933;both
Q4552433;Golpe de Karamanli;both
Q4561707;Golpe de Estado no Chile em 1925;both
Q4350100;golpe de estado en Rumanía del 2 de mayo de 1864;both
Q4586873;Golpe de Estado no Haiti em 1991;both
Q4350095;Golpe de Estado na Birmânia em 1962;both
Q5882510;Golpe de Estado de julio de 1936 en la Armada española;both
Q5882499;Golpe de Estado na Venezuela em 1908;both
Q5177982;1993 Pakaunė mutiny;both
Q4566363;Golpe de Estado na Venezuela em 1948;both
Q4571089;Golpe de Estado na República do Daomé em 1963;both
Q4575699;Golpe de Estado em Ruanda em 1973;both
Q4580321;Golpe de Estado em Bangladesh em 1982;both
Q6585266;1991 Thai coup d'état;both
Q4121073;Chilean naval mutiny of 1931;both
Q4571496;Regime Militar no Brasil em 1964;both
Q8012976;Chenqiao Coup;both
Q4379295;Golpe de Kolchak;both
Q4271747;Golpe de Estado no Chade em 1975;both
Q3686843;Conspiração de Tiepolo;both
Q4571109;Golpe de Estado em Honduras em 1963;both
Q4594811;Golpe de Estado na Costa do Marfim em 1999;both
Q3738122;June coup;both
Q5558506;Golpe de Wuhan;both
Q7097104;Operação Guitar Boy;both
Q6407105;Songsuradet Rebellion;both
Q6440033;Golpe de Estado de Chile en 1932;both
Q4120789;Golpe de Estado no Equador em 2000;both
Q4563801;1936 Iraqi coup d'état;both
Q4589458;Golpe de Estado na Gâmbia em 1994;both
Q6024898;Motín de tropas griegas de 1944;both
Q5556771;Spanish coup of March 1939;both
Q4574675;Golpe de Estado no Sudão em 1971;both
Q4462585;Coup of June 1907;both
Q7318713;Revolution of October 8, 1812;both
Q4114547;Golpe de Estado no Níger em 1974;both
Q4350101;coup d'État en Roumanie du 15 septembre 1940;both
Q6585263;1951 Thai coup d'état;both
Q3495710;Golpe de Estado na Mauritânia em 2005;both
Q4388339;1918 Ukrainian coup d'état;both
Q5248943;December 1964 South Vietnamese coup;both
Q4156075;1762 coup d'état;both
Q4402025;Golpe de Estado na Argentina em 1930;both
Q6085928;September 1811 Chilean coup d'état;both
Q6123841;Segundo Golpe de Estado de José Miguel Carrera;both
Q4114548;Golpe de Estado no Níger em 1996;both
Q4583594;Golpe de Estado no Burundi em 1987;both
Q4120226;Revolução de 17 de Julho;both
Q4146911;Golpe de Estado no Mali em 1968;both
Q4350102;Переворот в Хиве (1918);both
Q4156071;Palace coup of 1741;both
Q4576634;1975 Honduran coup d'état;both
Q4230506;Conditions;both
Q5370122;Emboscada (golpe);both
Q3798246;Golpe de Estado na Venezuela em 1958;both
Q4919446;Golpe de Estado no Camboja em 1970;both
Q6383559;Keian Uprising;both
Q4146914;2011–2012 Maldives political crisis;both
Q3560385;Golpe de Estado na Síria em 1966;both
Q4597438;Golpe de Estado nas Fiji de 2000;both
Q4565209;Revolução de 43;both
Q4565608;Golpe de Estado na Venezuela em 1945;both
Q5403603;Ethiopian coup d'état of 1928;both
Q4573051;Brincadeira de Håtuna;both
Q234188;Batalha de Sekigahara;both
Q15902182;Bailingmiao-Aufstand;both
Q146966;Primeira Guerra Ilírica;both
Q153650;Guerra Austro-prussiana;both
Q16639048;Golpe de Estado no Togo em 1967;both
