iso3;qid_country;lang_qid;lang_label;country_label_pt;country_label_en;lang_label_pt;lang_label_en
ARG;Q414;Q5908756;Wichí Lhamtés Nocten;Argentina;Argentina;Wichí Lhamtés Nocten;Wichí Lhamtés Nocten
ARG;Q414;Q7998197;Wichí Lhamtés Güisnay;Argentina;Argentina;Wichí Lhamtés Güisnay;Wichí Lhamtés Güisnay
ARG;Q414;Q11252539;Abipón;Argentina;Argentina;Abipón;Abipón
ARG;Q414;Q13526867;Wichí Lhamtés Vejoz;Argentina;Argentina;Wichí Lhamtés Vejoz;Wichí Lhamtés Vejoz
ARM;Q399;Q8785;língua arménia;Arménia;Armenia;língua arménia;Armenian
ARM;Q399;Q36163;curmânji;Arménia;Armenia;curmânji;Kurmanji
ARM;Q399;Q180945;Armênio ocidental;Arménia;Armenia;Armênio ocidental;Western Armenian
ARM;Q399;Q2495696;Lomavren;Arménia;Armenia;Lomavren;Lomavren
ARM;Q399;Q3446604;Língua gestual armeniana;Arménia;Armenia;Língua gestual armeniana;Armenian Sign Language
ARM;Q399;Q3515311;North Azerbaijani;Arménia;Armenia;North Azerbaijani;North Azerbaijani
ASM;Q16641;Q1860;inglês;Samoa Americana;American Samoa;inglês;English
ASM;Q16641;Q34011;Língua samoana;Samoa Americana;American Samoa;Língua samoana;Samoan
ATG;Q781;Q1860;inglês;Antígua e Barbuda;Antigua and Barbuda;inglês;English
ATG;Q781;Q3244184;Crioulo inglês caribenho de Sotavento;Antígua e Barbuda;Antigua and Barbuda;Crioulo inglês caribenho de Sotavento;Antiguan and Barbudan Creole
AUS;Q408;Q150;francês;Austrália;Australia;francês;French
AUS;Q408;Q188;alemão;Austrália;Australia;alemão;German
AUS;Q408;Q256;língua turca;Austrália;Australia;língua turca;Turkish
AUS;Q408;Q652;italiano;Austrália;Australia;italiano;Italian
AUS;Q408;Q1321;espanhol;Austrália;Australia;espanhol;Spanish
AUS;Q408;Q1568;língua hindi;Austrália;Australia;língua hindi;Hindi
AUS;Q408;Q1617;Língua urdu;Austrália;Australia;Língua urdu;Urdu
AUS;Q408;Q1860;inglês;Austrália;Australia;inglês;English
AUS;Q408;Q5137;gujarate;Austrália;Australia;gujarate;Gujarati
AUS;Q408;Q5287;japonês;Austrália;Australia;japonês;Japanese
AUS;Q408;Q5885;Língua tâmil;Austrália;Australia;Língua tâmil;Tamil
AUS;Q408;Q6654;croata;Austrália;Australia;croata;Croatian
AUS;Q408;Q7737;russo;Austrália;Australia;russo;Russian
AUS;Q408;Q9129;grego;Austrália;Australia;grego;Greek
AUS;Q408;Q9168;persa;Austrália;Australia;persa;Persian
AUS;Q408;Q9176;coreano;Austrália;Australia;coreano;Korean
AUS;Q408;Q9186;Cantonês;Austrália;Australia;Cantonês;Cantonese
AUS;Q408;Q9192;mandarim;Austrália;Australia;mandarim;Mandarin
AUS;Q408;Q9199;vietnamita;Austrália;Australia;vietnamita;Vietnamese
AUS;Q408;Q9217;tailandês;Austrália;Australia;tailandês;Thai
AUS;Q408;Q9240;língua indonésia;Austrália;Australia;língua indonésia;Indonesian
AUS;Q408;Q9296;língua macedônia;Austrália;Australia;língua macedônia;Macedonian
AUS;Q408;Q9299;língua sérvia;Austrália;Australia;língua sérvia;Serbian
AUS;Q408;Q9610;língua bangla;Austrália;Australia;língua bangla;Bangla
AUS;Q408;Q13267;cingalês;Austrália;Australia;cingalês;Sinhala
AUS;Q408;Q13955;árabe;Austrália;Australia;árabe;Arabic
AUS;Q408;Q29525;língua de sinais australiana;Austrália;Australia;língua de sinais australiana;Auslan
AUS;Q408;Q33298;filipino;Austrália;Australia;filipino;Filipino
AUS;Q408;Q33653;Nyangumarta;Austrália;Australia;Nyangumarta;Nyangumarta
AUS;Q408;Q33823;língua nepali;Austrália;Australia;língua nepali;Nepali
AUS;Q408;Q34057;tagalo;Austrália;Australia;tagalo;Tagalog
