iso3;country;neighbors_iso3;neighbors_count;border_km_total;timezones;timezones_count;capital_lat;capital_lon;seasons_estimate
DJI;Djibouti;ERI,ETH,SOM;3;;UTC+1,UTC+3;2;11.595;43.148055555;4
DMA;Dominica;VEN;1;;UTC−04:00;1;15.3;-61.383333333;4
DNK;Dinamarca;DEU,NOR,SWE;3;;UTC+1,UTC+2;2;55.676111111;12.568888888;4
DOM;República Dominicana;HTI,USA,VEN;3;;UTC+1,UTC−04:00,UTC−5;3;18.4625;-69.936111111;4
DZA;Argélia;ESP,ITA,LBY,MAR,MLI,MRT,NER,TUN;8;;UTC+0,UTC+1;2;36.776388888;3.058611111;4
ECU;Equador;COL,PER;2;;UTC+1,UTC−5,UTC−6;3;-0.22;-78.5125;2
EGY;Egito;ISR,LBY,PSE,SDN;4;;UTC+1,UTC+2,UTC+3,UTC+3:30;4;30.044444444;31.235833333;4
ERI;Eritreia;DJI,ETH,SDN;3;;UTC+1,UTC+3;2;15.333333333;38.916666666;4
ESP;Espanha;AND,FRA,GIB,MAR,PRT;5;;UTC+0,UTC+01:30,UTC+1,UTC+2,UTC−1,UTC−5,UTC−6;7;40.416944444;-3.703333333;4
EST;Estónia;LVA,RUS;2;;UTC+2,UTC+3;2;59.437222222;24.745;4
ETH;Etiópia;DJI,ERI,KEN,SDN,SOM,SSD;6;;UTC+1,UTC+3,UTC+3:30;3;9.027222222;38.736944444;2
FIN;Finlândia;NOR,RUS,SWE;3;;UTC+2,UTC+3;2;60.170833333;24.9375;4
FJI;Fiji;SLB;1;;UTC+11,UTC+12;2;-18.133333333;178.433333333;4
FRA;França;AND,BEL,BRA,CHE,DEU,ESP,ITA,LUX,MCO,NLD,SUR;11;;UTC+1,UTC+10,UTC+10:30,UTC+11,UTC+12,UTC+12:45,UTC+2,UTC+3,UTC+4,UTC+5,UTC−04:00,UTC−10,UTC−3,UTC−3:30,UTC−8,UTC−9,UTC−9:30;17;48.856666666;2.352222222;4
FRO;Ilhas Feroe;ISL;1;;UTC+0,UTC+1;2;62.00981;-6.77135;4
FSM;Micronésia;PLW,PNG,USA;3;;UTC+10,UTC+11,UTC+9;3;6.917777777;158.185;2
GAB;Gabão;AGO,CMR,COG,GNQ,STP;5;;UTC+1;1;0.3901;9.4544;2
GBR;Reino Unido;IRL;1;;UTC+0,UTC+1,UTC+11,UTC+14,UTC+2,UTC+3,UTC+6,UTC−04:00,UTC−2,UTC−3,UTC−5,UTC−8;12;51.507222222;-0.1275;4
GEO;Geórgia;ARM,AZE,RUS,TUR;4;;UTC+3,UTC+4,UTC−04:00;3;41.7225;44.7925;4
GHA;Gana;BFA,CIV,TGO;3;;UTC+0,UTC+1,UTC+8;3;5.55602;-0.1969;2
GIB;Gibraltar;ESP;1;;;0;36.14;-5.35;4
GIN;Guiné;CIV,GNB,LBR,MLI,SEN,SLE;6;;UTC+0,UTC+1;2;9.509166666;-13.712222222;2
GMB;Gâmbia;SEN;1;;UTC+0,UTC+1;2;13.453055555;-16.5775;4
GNB;Guiné-Bissau;GIN,SEN;2;;UTC+0,UTC+1,UTC−1;3;11.859166666;-15.595555555;4
GNQ;Guiné Equatorial;CMR,GAB;2;;UTC+1;1;3.752063888;8.7737;2
GRC;Grécia;ALB,BGR,MKD,TUR;4;;UTC+1,UTC+2,UTC+3;3;37.984166666;23.728055555;4
GRD;Granada;VEN;1;;UTC+1,UTC−04:00;2;12.0525;-61.753055555;4
GRL;Gronelândia;CAN,ISL,NOR;3;;UTC+0,UTC−04:00,UTC−1,UTC−2,UTC−3;5;64.175;-51.733333333;4
GTM;Guatemala;BLZ,HND,MEX,SLV;4;;UTC+1,UTC−6;2;14.641666666;-90.513333333;4
GUY;Guiana;BRA,SUR,VEN;3;;UTC−04:00,UTC−3;2;6.805833333;-58.150833333;2
HND;Honduras;GTM,NIC,SLV;3;;UTC+1,UTC−6;2;14.105783333;-87.204705555;4
HRV;Croácia;BIH,HUN,MNE,SRB,SVN;5;;UTC+1,UTC+2;2;45.813055555;15.977222222;4
HTI;Haiti;DOM,USA;2;;UTC+1,UTC−5;2;18.546944444;-72.340277777;4
HUN;Hungria;AUT,HRV,ROU,SRB,SVK,SVN,UKR;7;;UTC+1,UTC+2,UTC+3;3;47.498333333;19.040833333;4
IDN;Indonésia;AUS,IND,MYS,PHL,PLW,PNG,SGP,THA,TLS,VNM;10;;UTC+10,UTC+7,UTC+8,UTC+9,UTC+9:30;5;-6.175277777;106.826944444;2
IND;Índia;AFG,BGD,BTN,CHN,IDN,LKA,MMR,NPL,PAK;9;;UTC+1,UTC+5,UTC+5:30,UTC+6,UTC+6:30,UTC−05:30;6;28.613888888;77.208888888;4
IRL;República da Irlanda;GBR;1;;UTC+0,UTC+1,UTC−1;3;53.349722222;-6.260277777;4
IRN;Irão;AFG,ARE,ARM,AZE,BHR,IRQ,KWT,OMN,PAK,QAT,SAU,TKM,TUR;13;;UTC+2,UTC+3,UTC+3:30,UTC+4,UTC+4:30;5;35.688888888;51.389722222;4
IRQ;Iraque;IRN,JOR,KWT,SAU,SYR,TUR;6;;UTC+2,UTC+3,UTC+3:30,UTC+4;4;33.315277777;44.366111111;4
ISL;Islândia;FRO,GRL;2;;UTC+0,UTC+1;2;64.1475;-21.935;4
ISR;Israel;EGY,JOR,LBN,SYR;4;;UTC+1,UTC+2,UTC+3,UTC+3:30;4;31.778888888;35.225555555;4
ITA;Itália;AUT,CHE,FRA,MLT,SMR,SVN,VAT;7;;UTC+0,UTC+1,UTC+2;3;41.893055555;12.482777777;4
JAM;Jamaica;GBR;1;;UTC+1,UTC−5;2;17.971388888;-76.793055555;4
JOR;Jordânia;IRQ,ISR,PSE,SAU,SYR;5;;UTC+1,UTC+2,UTC+3,UTC+3:30;4;31.95;35.933333333;4
JPN;Japão;CHN,KOR,PHL,RUS,TWN,USA;6;;UTC+1,UTC+12,UTC+9,UTC−9;4;35.689444444;139.691666666;4
KAZ;Cazaquistão;CHN,KGZ,RUS,TKM,UZB;5;;UTC+1,UTC+2,UTC+5,UTC+6;4;51.133333333;71.433333333;4
KEN;Quénia;ETH,SDN,SOM,SSD,TZA,UGA;6;;UTC+1,UTC+3;2;-1.286388888;36.817222222;2
KGZ;Quirguistão;CHN,KAZ,TJK,UZB;4;;UTC+3,UTC+5,UTC+6;3;42.866666666;74.566666666;4
KHM;Camboja;LAO,THA,VNM;3;;UTC+1,UTC+7;2;11.569583333;104.921027777;4
KIR;Kiribati;FRA,USA;2;;UTC+12,UTC+13,UTC+14;3;1.433333333;173.0;2
KNA;São Cristóvão e Neves;GBR,VEN;2;;UTC−04:00;1;17.298333333;-62.734166666;4
KOR;Coreia do Sul;CHN,JPN,PRK;3;;UTC+9;1;37.56;126.99;4
KWT;Kuwait;IRN,IRQ,SAU;3;;UTC+2,UTC+3,UTC+3:30;3;29.375;47.98;4
LAO;Laos;CHN,KHM,MMR,THA,VNM;5;;UTC+1,UTC+7;2;17.98;102.63;4
LBN;Líbano;ISR,SYR;2;;UTC+2,UTC+3,UTC+3:30;3;33.886944444;35.513055555;4
LBR;Libéria;CIV,GIN,SLE;3;;UTC+0,UTC+1;2;6.310555555;-10.804722222;2
LBY;Líbia;DZA,EGY,NER,SDN,TCD,TUN;6;;UTC+1,UTC+2;2;32.87519;13.18746;4
LCA;Santa Lúcia;VEN;1;;UTC+1,UTC−04:00;2;14.016666666;-60.983333333;4
LIE;Liechtenstein;AUT,CHE;2;;UTC+1,UTC+2;2;47.140555555;9.522222222;4
LKA;Sri Lanka;IND;1;;UTC+5,UTC+5:30;2;6.926666666;79.860555555;2
LSO;Lesoto;ZAF;1;;UTC+2;1;-29.31;27.48;4
LTU;Lituânia;BLR,LVA,POL,RUS,SWE;5;;UTC+2,UTC+3;2;54.687222222;25.28;4
LUX;Luxemburgo;BEL,DEU,FRA;3;;UTC+1,UTC+2;2;49.610555555;6.132777777;4
LVA;Letónia;BLR,EST,LTU,RUS,SWE;5;;UTC+2,UTC+3;2;56.9475;24.106944444;4
MAR;Marrocos;DZA,ESP;2;;UTC+0,UTC+1;2;34.025277777;-6.836111111;4
MCO;Mónaco;FRA;1;;UTC+1;1;43.730555555;7.425277777;4
MDA;Moldávia;ROU,UKR;2;;UTC+2,UTC+3;2;47.022777777;28.835277777;4
MDG;Madagáscar;COM,FRA,MOZ,SYC;4;;UTC+1,UTC+3,UTC+4;3;-18.91;47.525;4
MDV;Maldivas;GBR;1;;UTC+5;1;4.175;73.508333333;2
MEX;México;BLZ,GTM,USA;3;;UTC+1,UTC−5,UTC−6,UTC−7,UTC−8;5;19.353773;-99.13589;4
MHL;Ilhas Marshall;FSM,KIR,NRU,USA;4;;UTC+12;1;7.0918;171.3802;2
MKD;Macedónia do Norte;ALB,BGR,GRC,SRB;4;;UTC+1,UTC+2;2;41.996111111;21.431666666;4
MLI;Mali;BFA,CIV,DZA,GIN,MRT,NER,SEN;7;;UTC+0,UTC+1;2;12.645833333;-7.992222222;4
