iso3;country_qid;country_label;conflict_qid;conflict_label;kind_qid;kind_label;source;start_year;end_year;point_year;part_of_qid;part_of_label;place_qid;place_label;result_qid;result_label;deaths
AFG;Q889;Afeganistão;Q15709934;Battle of Joybar;Q178561;batalha;participant;;;2011;Q182865;Guerra do Afeganistão;Q173816;Capisa;;;2
AFG;Q889;Afeganistão;Q15709934;Battle of Joybar;Q178561;batalha;location;;;2011;Q182865;Guerra do Afeganistão;Q173816;Capisa;;;2
AFG;Q889;Afeganistão;Q19646470;Invasão do Afeganistão pelos Estados Unidos;Q467011;invasão;participant;2001;2001;2001;Q182865;Guerra do Afeganistão;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q19646470;Invasão do Afeganistão pelos Estados Unidos;Q467011;invasão;location;2001;2001;2001;Q182865;Guerra do Afeganistão;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q40837;Guerras Anglo-Afegãs;Q104212151;series of wars;participant;;;;;;;;;;
AFG;Q889;Afeganistão;Q182865;Guerra do Afeganistão;Q198;guerra;participant;2001;2021;;Q185729;Guerra ao Terror;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q182865;Guerra do Afeganistão;Q198;guerra;location;2001;2021;;Q185729;Guerra ao Terror;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q185729;Guerra ao Terror;;;from_battle;2001;2021;;Q185729;Guerra ao Terror;;;;;
AFG;Q889;Afeganistão;Q185729;Guerra ao Terror;Q198;guerra;participant;2001;2021;;;;;;;;
AFG;Q889;Afeganistão;Q1122110;Guerra Civil do Tadjiquistão;Q8465;guerra civil;participant;1992;1997;;;;Q863;Tajiquistão;;;
AFG;Q889;Afeganistão;Q1485258;Battle of Chora;Q178561;batalha;participant;2007;2007;2007;Q182865;Guerra do Afeganistão;Q183028;Oruzgan;;;
AFG;Q889;Afeganistão;Q1485258;Battle of Chora;Q178561;batalha;location;2007;2007;2007;Q182865;Guerra do Afeganistão;Q183028;Oruzgan;;;
AFG;Q889;Afeganistão;Q1848486;Kunduz airstrike;Q2380335;bombardeamento aéreo;participant;;;2009;Q182865;Guerra do Afeganistão;;;;;100
AFG;Q889;Afeganistão;Q2638382;Batalha de Musa Qala;Q178561;batalha;participant;2007;2007;;Q182865;Guerra do Afeganistão;Q1953989;Musa Qala;;;
AFG;Q889;Afeganistão;Q2638382;Batalha de Musa Qala;Q178561;batalha;location;2007;2007;;Q182865;Guerra do Afeganistão;Q1953989;Musa Qala;;;
AFG;Q889;Afeganistão;Q2888379;Battle of Dahaneh;Q178561;batalha;participant;2009;2009;;Q182865;Guerra do Afeganistão;Q5208758;Dahaneh;;;
AFG;Q889;Afeganistão;Q2888379;Battle of Dahaneh;Q178561;batalha;location;2009;2009;;Q182865;Guerra do Afeganistão;Q5208758;Dahaneh;;;
AFG;Q889;Afeganistão;Q3152953;Insurreição em Herat de 2001;Q124734;rebelião;participant;2001;2001;2001;Q182865;Guerra do Afeganistão;Q45313;Herat;;;
AFG;Q889;Afeganistão;Q3152953;Insurreição em Herat de 2001;Q124734;rebelião;location;2001;2001;2001;Q182865;Guerra do Afeganistão;Q45313;Herat;;;
AFG;Q889;Afeganistão;Q4852440;Baloch Civil Wars;Q8465;guerra civil;participant;1582;1612;;;;;;;;
AFG;Q889;Afeganistão;Q4871076;Battle of Ganjgal;Q178561;batalha;participant;;;2009;Q182865;Guerra do Afeganistão;Q188147;Kunar;;;
AFG;Q889;Afeganistão;Q4871076;Battle of Ganjgal;Q178561;batalha;location;;;2009;Q182865;Guerra do Afeganistão;Q188147;Kunar;;;
AFG;Q889;Afeganistão;Q4871421;Battle of Khaz Oruzgan;Q178561;batalha;participant;;;2008;Q182865;Guerra do Afeganistão;Q2215441;Khas Uruzgan;;;
AFG;Q889;Afeganistão;Q4871421;Battle of Khaz Oruzgan;Q178561;batalha;location;;;2008;Q182865;Guerra do Afeganistão;Q2215441;Khas Uruzgan;;;
AFG;Q889;Afeganistão;Q5778729;Battle of Sabzak;Q178561;batalha;participant;2009;2009;;Q182865;Guerra do Afeganistão;Q4403470;Sabzak;;;
AFG;Q889;Afeganistão;Q5778729;Battle of Sabzak;Q178561;batalha;location;2009;2009;;Q182865;Guerra do Afeganistão;Q4403470;Sabzak;;;
AFG;Q889;Afeganistão;Q12302518;Guerra Civil Afegã;Q8465;guerra civil;participant;1996;2001;;Q1519107;Guerra Civil do Afeganistão;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q12302518;Guerra Civil Afegã;Q8465;guerra civil;location;1996;2001;;Q1519107;Guerra Civil do Afeganistão;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q1519107;Guerra Civil do Afeganistão;;;from_battle;1996;2001;;Q1519107;Guerra Civil do Afeganistão;;;;;
AFG;Q889;Afeganistão;Q17025641;Tirah Campaign;Q198;guerra;participant;1897;1898;;;;Q7809086;Tirah;;;
AFG;Q889;Afeganistão;Q17182139;Attack on Bari Alai;Q178561;batalha;participant;;;2009;Q182865;Guerra do Afeganistão;Q7075429;Observation Post Bari Alai;;;
AFG;Q889;Afeganistão;Q17182139;Attack on Bari Alai;Q178561;batalha;location;;;2009;Q182865;Guerra do Afeganistão;Q7075429;Observation Post Bari Alai;;;
AFG;Q889;Afeganistão;Q18920712;guerra do Afeganistão (2015–2021);Q198;guerra;participant;2015;2021;;Q182865;Guerra do Afeganistão;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q18920712;guerra do Afeganistão (2015–2021);Q198;guerra;location;2015;2021;;Q182865;Guerra do Afeganistão;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q24913769;Ataque em Cabul em setembro de 2011;Q2001676;ofensiva militar;participant;;;2011;;;Q5838;Cabul;;;
AFG;Q889;Afeganistão;Q24913769;Ataque em Cabul em setembro de 2011;Q2001676;ofensiva militar;location;;;2011;;;Q5838;Cabul;;;
AFG;Q889;Afeganistão;Q28173623;Jowaki Expedition;Q350604;armed conflict;participant;1877;1878;;;;;;;;
AFG;Q889;Afeganistão;Q65070966;Conflito Talibã–Estado Islâmico no Afeganistão;Q350604;armed conflict;participant;2015;;2100;Q1519107;Guerra Civil do Afeganistão;Q889;Afeganistão;;;1547
AFG;Q889;Afeganistão;Q65070966;Conflito Talibã–Estado Islâmico no Afeganistão;Q350604;armed conflict;location;2015;;2100;Q1519107;Guerra Civil do Afeganistão;Q889;Afeganistão;;;1547
AFG;Q889;Afeganistão;Q107461898;Ofensiva talibã no Afeganistão em 2021;Q350604;armed conflict;participant;2021;;2021;Q182865;Guerra do Afeganistão;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q107461898;Ofensiva talibã no Afeganistão em 2021;Q350604;armed conflict;location;2021;;2021;Q182865;Guerra do Afeganistão;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q108081395;Batalha de Kandahar (2021);Q178561;batalha;participant;2021;2021;;;;;;;;
AFG;Q889;Afeganistão;Q108102583;Cerco de Cabul;Q188055;cerco;participant;;;2021;Q107461898;Ofensiva talibã no Afeganistão em 2021;Q5838;Cabul;;;
AFG;Q889;Afeganistão;Q108102583;Cerco de Cabul;Q188055;cerco;location;;;2021;Q107461898;Ofensiva talibã no Afeganistão em 2021;Q5838;Cabul;;;
AFG;Q889;Afeganistão;Q107461898;Ofensiva talibã no Afeganistão em 2021;;;from_battle;;;2021;Q107461898;Ofensiva talibã no Afeganistão em 2021;;;;;
AFG;Q889;Afeganistão;Q123989936;Battle of Aranas;Q178561;batalha;participant;;;2007;Q182865;Guerra do Afeganistão;Q167485;Nuristão;;;
AFG;Q889;Afeganistão;Q123989936;Battle of Aranas;Q178561;batalha;location;;;2007;Q182865;Guerra do Afeganistão;Q167485;Nuristão;;;
AFG;Q889;Afeganistão;Q125500045;Battle of Arghandab;Q350604;armed conflict;participant;;;2021;Q18920712;guerra do Afeganistão (2015–2021);Q4789185;Argahandab District;;;
AFG;Q889;Afeganistão;Q125500045;Battle of Arghandab;Q350604;armed conflict;location;;;2021;Q18920712;guerra do Afeganistão (2015–2021);Q4789185;Argahandab District;;;
AFG;Q889;Afeganistão;Q18920712;guerra do Afeganistão (2015–2021);;;from_battle;;;2021;Q18920712;guerra do Afeganistão (2015–2021);;;;;
AFG;Q889;Afeganistão;Q126009463;Gedrosian campaign;Q831663;campanha militar;participant;;;0540;;;Q1348342;Gedrosia;;;
AFG;Q889;Afeganistão;Q179275;Guerra no Noroeste do Paquistão;Q198;guerra;participant;2004;;2004;Q185729;Guerra ao Terror;Q208270;Território Federal das Áreas Tribais;;;
AFG;Q889;Afeganistão;Q233507;Segunda Guerra Anglo-Afegã;Q198;guerra;participant;1878;1880;;Q40837;Guerras Anglo-Afegãs;Q1335260;Emirado do Afeganistão;;;
AFG;Q889;Afeganistão;Q233507;Segunda Guerra Anglo-Afegã;Q198;guerra;location;1878;1880;;Q40837;Guerras Anglo-Afegãs;Q1335260;Emirado do Afeganistão;;;
AFG;Q889;Afeganistão;Q548625;Batalha de Maiwand;Q178561;batalha;participant;;;1880;Q233507;Segunda Guerra Anglo-Afegã;Q826769;Maiwand;;;
AFG;Q889;Afeganistão;Q548625;Batalha de Maiwand;Q178561;batalha;location;;;1880;Q233507;Segunda Guerra Anglo-Afegã;Q826769;Maiwand;;;
AFG;Q889;Afeganistão;Q233507;Segunda Guerra Anglo-Afegã;;;from_battle;;;1880;Q233507;Segunda Guerra Anglo-Afegã;;;;;
AFG;Q889;Afeganistão;Q617772;Guerra Anglo-Persa;Q198;guerra;participant;1856;1857;;;;;;;;
AFG;Q889;Afeganistão;Q989092;Primeira Guerra Anglo-Afegã;Q198;guerra;participant;1839;1842;;Q216702;Grande Jogo;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q989092;Primeira Guerra Anglo-Afegã;Q198;guerra;location;1839;1842;;Q216702;Grande Jogo;Q889;Afeganistão;;;
AFG;Q889;Afeganistão;Q216702;Grande Jogo;;;from_battle;1839;1842;;Q216702;Grande Jogo;;;;;
AFG;Q889;Afeganistão;Q2237297;Battle of Ali Masjid;Q178561;batalha;participant;;;1878;Q233507;Segunda Guerra Anglo-Afegã;;;;;
AFG;Q889;Afeganistão;Q4870881;Battle of Do Ab;Q178561;batalha;participant;;;2011;Q182865;Guerra do Afeganistão;Q167485;Nuristão;;;
AFG;Q889;Afeganistão;Q4870881;Battle of Do Ab;Q178561;batalha;location;;;2011;Q182865;Guerra do Afeganistão;Q167485;Nuristão;;;
AFG;Q889;Afeganistão;Q4872633;Battle of Uruzgan;Q178561;batalha;participant;;;1893;Q28136178;Hazara genocide;Q183028;Oruzgan;;;
AFG;Q889;Afeganistão;Q4872633;Battle of Uruzgan;Q178561;batalha;location;;;1893;Q28136178;Hazara genocide;Q183028;Oruzgan;;;
AFG;Q889;Afeganistão;Q28136178;Hazara genocide;;;from_battle;;;1893;Q28136178;Hazara genocide;;;;;
AFG;Q889;Afeganistão;Q6808293;Guerras Zungares-Qing;Q198;guerra;participant;1688;1758;1687;Q1044456;Dez Grandes Campanhas;Q1923401;Canato de Zungar;;;
AFG;Q889;Afeganistão;Q1044456;Dez Grandes Campanhas;;;from_battle;1688;1758;1687;Q1044456;Dez Grandes Campanhas;;;;;
AFG;Q889;Afeganistão;Q7510397;Siege of Shahrukhiya;Q188055;cerco;participant;;;1461;Q7807705;Timurid Wars of Succession;Q7462288;Shahrukhiya;;;
AFG;Q889;Afeganistão;Q7807705;Timurid Wars of Succession;;;from_battle;;;1461;Q7807705;Timurid Wars of Succession;;;;;
AFG;Q889;Afeganistão;Q7976950;Waziristan campaign (1936–1939);Q831663;campanha militar;participant;1936;1939;;;;Q190217;Waziristão;;;
AFG;Q889;Afeganistão;Q18613312;Batalha de Caristão;Q178561;batalha;participant;;;0737;Q4817850;Conquista islâmica do Turquestão;Q309345;Meymaneh;;;
AFG;Q889;Afeganistão;Q18613312;Batalha de Caristão;Q178561;batalha;location;;;0737;Q4817850;Conquista islâmica do Turquestão;Q309345;Meymaneh;;;
AFG;Q889;Afeganistão;Q4817850;Conquista islâmica do Turquestão;;;from_battle;;;0737;Q4817850;Conquista islâmica do Turquestão;;;;;
AFG;Q889;Afeganistão;Q65065597;Urtatagai conflict;Q198;guerra;participant;1925;1926;;;;Q7901344;Urta Tagail;;;12
AFG;Q889;Afeganistão;Q65065597;Urtatagai conflict;Q198;guerra;location;1925;1926;;;;Q7901344;Urta Tagail;;;12
AFG;Q889;Afeganistão;Q86750855;Urtatagai conflict;Q107637520;border conflict;participant;1913;1913;;;;Q7901344;Urta Tagail;;;
AFG;Q889;Afeganistão;Q86750855;Urtatagai conflict;Q107637520;border conflict;location;1913;1913;;;;Q7901344;Urta Tagail;;;
AFG;Q889;Afeganistão;Q109860738;2021 Afghanistan–Iran clashes;Q107637520;border conflict;participant;;;2021;;;Q3088662;Fronteira Afeganistão-Irão;;;
AFG;Q889;Afeganistão;Q109860738;2021 Afghanistan–Iran clashes;Q107637520;border conflict;location;;;2021;;;Q3088662;Fronteira Afeganistão-Irão;;;
AFG;Q889;Afeganistão;Q110425494;Timur's conquest of Zamindawar and war with the Qara'unas;Q1361229;Conquista militar;participant;1383;1384;;Q65121240;Timurid conquests and invasions;Q3820180;Zamindawar;;;
AFG;Q889;Afeganistão;Q110425494;Timur's conquest of Zamindawar and war with the Qara'unas;Q1361229;Conquista militar;location;1383;1384;;Q65121240;Timurid conquests and invasions;Q3820180;Zamindawar;;;
AFG;Q889;Afeganistão;Q65121240;Timurid conquests and invasions;;;from_battle;1383;1384;;Q65121240;Timurid conquests and invasions;;;;;
AFG;Q889;Afeganistão;Q117230127;Persian Gulf Wars;Q104212151;series of wars;participant;1974;2011;;Q51615;história do Oriente Médio;Q34675;Golfo Pérsico;;;
AFG;Q889;Afeganistão;Q51615;história do Oriente Médio;;;from_battle;1974;2011;;Q51615;história do Oriente Médio;;;;;
AFG;Q889;Afeganistão;Q118255738;Battle of Michni;Q178561;batalha;participant;;;1836;Q4689049;Afghan–Sikh Wars;;;;;
AFG;Q889;Afeganistão;Q4689049;Afghan–Sikh Wars;;;from_battle;;;1836;Q4689049;Afghan–Sikh Wars;;;;;
AFG;Q889;Afeganistão;Q118779713;2023 Afghanistan–Iran clash;Q107637520;border conflict;participant;2022;;2023;Q1519107;Guerra Civil do Afeganistão;Q3088662;Fronteira Afeganistão-Irão;;;
AFG;Q889;Afeganistão;Q118779713;2023 Afghanistan–Iran clash;Q107637520;border conflict;location;2022;;2023;Q1519107;Guerra Civil do Afeganistão;Q3088662;Fronteira Afeganistão-Irão;;;
AFG;Q889;Afeganistão;Q119840749;Afghan Turkestan Campaign of 1838-39;Q831663;campanha militar;participant;1838;1839;;;;Q3431702;Turquestão afegão;;;
AFG;Q889;Afeganistão;Q130306550;Qing-Kyrgyz War;Q198;guerra;participant;1758;1846;;;;Q27275;Ásia Central;;;
AFG;Q889;Afeganistão;Q130749503;Battle of Tabriz;Q178561;batalha;participant;;;1757;;;Q80053;Tabriz;;;
AFG;Q889;Afeganistão;Q135938510;Siege of Jalalabad;Q188055;cerco;participant;1928;1929;;Q10952572;Guerra Civil Afegã (1928–1929);Q183303;Jalalabad;;;
AFG;Q889;Afeganistão;Q135938510;Siege of Jalalabad;Q188055;cerco;location;1928;1929;;Q10952572;Guerra Civil Afegã (1928–1929);Q183303;Jalalabad;;;
AFG;Q889;Afeganistão;Q10952572;Guerra Civil Afegã (1928–1929);;;from_battle;1928;1929;;Q10952572;Guerra Civil Afegã (1928–1929);;;;;
AFG;Q889;Afeganistão;Q64879;Cerco de Malakand;Q188055;cerco;participant;1897;1897;;Q15783468;Guerras Anglo-Afegãs;Q1820054;Malakand Agency;;;
AFG;Q889;Afeganistão;Q15783468;Guerras Anglo-Afegãs;;;from_battle;1897;1897;;Q15783468;Guerras Anglo-Afegãs;;;;;
AFG;Q889;Afeganistão;Q2993585;Incidente de Panjdeh;Q42750320;border incident;participant;1885;1885;;Q216702;Grande Jogo;Q864655;Serhetabat;;;
AFG;Q889;Afeganistão;Q133837159;Afghan insurrections in Bengal;Q1323212;insurgência;participant;1745;1750;;;;Q1165;Bihar;;;
AFG;Q889;Afeganistão;Q136440328;2002 Afghan coup plot;Q25906438;tentativa de golpe de Estado;participant;;;2002;Q182865;Guerra do Afeganistão;Q5838;Cabul;;;
AFG;Q889;Afeganistão;Q136440328;2002 Afghan coup plot;Q25906438;tentativa de golpe de Estado;location;;;2002;Q182865;Guerra do Afeganistão;Q5838;Cabul;;;
AGO;Q916;Angola;Q75756;Segunda Guerra do Congo;Q198;guerra;participant;1998;2003;;Q364610;Guerra Civil no Congo;Q974;República Democrática do Congo;;;
AGO;Q916;Angola;Q364610;Guerra Civil no Congo;;;from_battle;1998;2003;;Q364610;Guerra Civil no Congo;;;;;
AGO;Q916;Angola;Q327237;Guerra do Quivu;Q198;guerra;participant;2004;;;Q364610;Guerra Civil no Congo;Q1743993;Kivu;;;
AGO;Q916;Angola;Q838695;Primeira Guerra do Congo;Q198;guerra;participant;1996;1997;;Q364610;Guerra Civil no Congo;Q6500954;Zaire;;;
AGO;Q916;Angola;Q1021172;Guerra Civil na República do Congo;Q8465;guerra civil;participant;1997;1999;1999;;;Q971;República do Congo;;;
AGO;Q916;Angola;Q609836;Guerra Colonial Portuguesa;Q198;guerra;participant;1961;1974;;Q1146918;História da descolonização de África;Q2826232;Província Ultramarina de Angola;;;
AGO;Q916;Angola;Q1146918;História da descolonização de África;;;from_battle;1961;1974;;Q1146918;História da descolonização de África;;;;;
AGO;Q916;Angola;Q12055176;Guerra Civil Angolana;Q8465;guerra civil;participant;1975;2002;;Q8683;Guerra Fria;Q916;Angola;;;
AGO;Q916;Angola;Q12055176;Guerra Civil Angolana;Q8465;guerra civil;location;1975;2002;;Q8683;Guerra Fria;Q916;Angola;;;
AGO;Q916;Angola;Q8683;Guerra Fria;;;from_battle;1975;2002;;Q8683;Guerra Fria;;;;;
AGO;Q916;Angola;Q178842;Battle of Waterberg;Q178561;batalha;participant;;;1904;Q16512674;Herero Wars;Q1691293;Waterberg Plateau Park;;;
AGO;Q916;Angola;Q16512674;Herero Wars;;;from_battle;;;1904;Q16512674;Herero Wars;;;;;
AGO;Q916;Angola;Q2745406;Segunda Guerra de Shaba;Q198;guerra;participant;;;1978;Q12055176;Guerra Civil Angolana;Q217242;Catanga;;;
AGO;Q916;Angola;Q12055176;Guerra Civil Angolana;;;from_battle;;;1978;Q12055176;Guerra Civil Angolana;;;;;
AGO;Q916;Angola;Q2889355;Batalha de Môngua;Q178561;batalha;participant;1915;1915;;Q135563233;Campanha do Sul de Angola;Q10334820;Môngua;;;
AGO;Q916;Angola;Q2889355;Batalha de Môngua;Q178561;batalha;location;1915;1915;;Q135563233;Campanha do Sul de Angola;Q10334820;Môngua;;;
AGO;Q916;Angola;Q135563233;Campanha do Sul de Angola;;;from_battle;1915;1915;;Q135563233;Campanha do Sul de Angola;;;;;
AGO;Q916;Angola;Q65165803;Primeira Guerra Luso-Ovimbundo;Q198;guerra;participant;1774;1778;;Q2826226;Colonização portuguesa de África;Q2826232;Província Ultramarina de Angola;;;
AGO;Q916;Angola;Q2826226;Colonização portuguesa de África;;;from_battle;1774;1778;;Q2826226;Colonização portuguesa de África;;;;;
AGO;Q916;Angola;Q111721439;Batalha de Cangamba;Q178561;batalha;participant;1983;1983;;Q12055176;Guerra Civil Angolana;Q1033167;Cangombe;;;
AGO;Q916;Angola;Q111721439;Batalha de Cangamba;Q178561;batalha;location;1983;1983;;Q12055176;Guerra Civil Angolana;Q1033167;Cangombe;;;
AGO;Q916;Angola;Q130493316;Cuanza River Campaign;Q831663;campanha militar;participant;1580;;;Q5148448;Colonização de Angola;Q213840;Rio Cuanza;;;
AGO;Q916;Angola;Q130493316;Cuanza River Campaign;Q831663;campanha militar;location;1580;;;Q5148448;Colonização de Angola;Q213840;Rio Cuanza;;;
AGO;Q916;Angola;Q5148448;Colonização de Angola;;;from_battle;1580;;;Q5148448;Colonização de Angola;;;;;
AGO;Q916;Angola;Q131930020;Ataques a Luanda em fevereiro de 1961;Q1470138;ataque militar;participant;;;1961;Q1780216;Guerra de Independência de Angola;;;;;
AGO;Q916;Angola;Q1780216;Guerra de Independência de Angola;;;from_battle;;;1961;Q1780216;Guerra de Independência de Angola;;;;;
AGO;Q916;Angola;Q133277846;Ataques ao norte de Angola em 1961;Q1470138;ataque militar;participant;1961;1961;;Q1780216;Guerra de Independência de Angola;;;;;
AGO;Q916;Angola;Q135563233;Campanha do Sul de Angola;Q831663;campanha militar;participant;1915;1915;;Q18469222;Campanhas de Pacificação e Ocupação;Q1501001;Ovambolândia;;;
AGO;Q916;Angola;Q18469222;Campanhas de Pacificação e Ocupação;;;from_battle;1915;1915;;Q18469222;Campanhas de Pacificação e Ocupação;;;;;
ALB;Q222;Albânia;Q190029;Guerra do Kosovo;Q198;guerra;participant;1998;1999;1998;Q242352;Guerra Civil Iugoslava;Q1231;Kosovo;;;
ALB;Q222;Albânia;Q242352;Guerra Civil Iugoslava;;;from_battle;1998;1999;1998;Q242352;Guerra Civil Iugoslava;;;;;
ALB;Q222;Albânia;Q602902;Confronto fronteiriço entre Albânia e Iugoslávia;Q42750320;border incident;participant;;;1999;Q127390566;Yugoslav–Albanian border conflict;Q958899;Krumë;;;
ALB;Q222;Albânia;Q602902;Confronto fronteiriço entre Albânia e Iugoslávia;Q42750320;border incident;location;;;1999;Q127390566;Yugoslav–Albanian border conflict;Q958899;Krumë;;;
ALB;Q222;Albânia;Q127390566;Yugoslav–Albanian border conflict;;;from_battle;;;1999;Q127390566;Yugoslav–Albanian border conflict;;;;;
ALB;Q222;Albânia;Q127390566;Yugoslav–Albanian border conflict;Q107637520;border conflict;participant;1998;1999;;Q190029;Guerra do Kosovo;Q110907330;Albania-Yugoslavia border;;;
ALB;Q222;Albânia;Q127390566;Yugoslav–Albanian border conflict;Q107637520;border conflict;location;1998;1999;;Q190029;Guerra do Kosovo;Q110907330;Albania-Yugoslavia border;;;
ALB;Q222;Albânia;Q190029;Guerra do Kosovo;;;from_battle;1998;1999;;Q190029;Guerra do Kosovo;;;;;
ALB;Q222;Albânia;Q131742733;Albanian-Yugoslav border conflict;Q107637520;border conflict;participant;1998;1999;;Q190029;Guerra do Kosovo;Q222;Albânia;;;
ALB;Q222;Albânia;Q131742733;Albanian-Yugoslav border conflict;Q107637520;border conflict;location;1998;1999;;Q190029;Guerra do Kosovo;Q222;Albânia;;;
ALB;Q222;Albânia;Q74109;Segunda Guerra Mundial na Albânia;Q198;guerra;participant;1939;1944;1942;Q362;Segunda Guerra Mundial;Q1448131;Protetorado da Albânia;;;
ALB;Q222;Albânia;Q74109;Segunda Guerra Mundial na Albânia;Q198;guerra;location;1939;1944;1942;Q362;Segunda Guerra Mundial;Q1448131;Protetorado da Albânia;;;
ALB;Q222;Albânia;Q362;Segunda Guerra Mundial;;;from_battle;1939;1944;1942;Q362;Segunda Guerra Mundial;;;;;
ALB;Q222;Albânia;Q74623;Grande Guerra Turca;Q198;guerra;participant;1683;1699;;Q786171;Guerras Otomanos-Habsburgos;Q40;Áustria;;;
ALB;Q222;Albânia;Q786171;Guerras Otomanos-Habsburgos;;;from_battle;1683;1699;;Q786171;Guerras Otomanos-Habsburgos;;;;;
ALB;Q222;Albânia;Q172068;Segunda Guerra Mundial na Macedônia Iugoslava;Q198;guerra;participant;1941;1944;;Q626006;Segunda Guerra Mundial na Iugoslávia;;;;;
ALB;Q222;Albânia;Q626006;Segunda Guerra Mundial na Iugoslávia;;;from_battle;1941;1944;;Q626006;Segunda Guerra Mundial na Iugoslávia;;;;;
ALB;Q222;Albânia;Q795109;Revolta da Moreia de 1453–1454;Q13427116;revolta camponesa;participant;1453;1454;;Q698985;Ottoman Wars in Europe;Q1196055;Moreia;;;
ALB;Q222;Albânia;Q698985;Ottoman Wars in Europe;;;from_battle;1453;1454;;Q698985;Ottoman Wars in Europe;;;;;
ALB;Q222;Albânia;Q796498;Terceira Guerra da Indochina;Q198;guerra;participant;1975;1991;;Q2342102;Guerras na Indochina;Q881;Vietname;;;
ALB;Q222;Albânia;Q2342102;Guerras na Indochina;;;from_battle;1975;1991;;Q2342102;Guerras na Indochina;;;;;
ALB;Q222;Albânia;Q1280245;Revolta Albanesa de 1912;Q124734;rebelião;participant;1912;1912;;Q13041162;Albanian uprisings in the Ottoman Empire;Q168501;Vilaiete de Kosovo;;;
ALB;Q222;Albânia;Q13041162;Albanian uprisings in the Ottoman Empire;;;from_battle;1912;1912;;Q13041162;Albanian uprisings in the Ottoman Empire;;;;;
ALB;Q222;Albânia;Q3449178;Revolta Camponesa na Albânia;Q13427116;revolta camponesa;participant;1914;1914;;;;Q187035;Principado da Albânia;;;
ALB;Q222;Albânia;Q13041162;Albanian uprisings in the Ottoman Empire;Q124734;rebelião;participant;1500;1912;;Q698985;Ottoman Wars in Europe;;;;;
ALB;Q222;Albânia;Q25570271;Battle of Mashkullorë;Q178561;batalha;participant;;;1908;Q1290138;Despertar nacional da Albânia;Q173690;Gjirokastër;;;
ALB;Q222;Albânia;Q25570271;Battle of Mashkullorë;Q178561;batalha;location;;;1908;Q1290138;Despertar nacional da Albânia;Q173690;Gjirokastër;;;
