iso3;country_qid;country_label;conflict_qid;conflict_label;kind_qid;kind_label;source;start_year;end_year;point_year;part_of_qid;part_of_label;place_qid;place_label;result_qid;result_label;deaths
AFG;Q889;Afeganistão;Q267418;Emboscada de Uzbin;Q178561;batalha;participant;;2008;2008;Q182865;Guerra do Afeganistão;Q3473688;Surobi;;;8
AFG;Q889;Afeganistão;Q267418;Emboscada de Uzbin;Q178561;batalha;location;;2008;2008;Q182865;Guerra do Afeganistão;Q3473688;Surobi;;;8
AFG;Q889;Afeganistão;Q182865;Guerra do Afeganistão;;;from_battle;;2008;2008;Q182865;Guerra do Afeganistão;;;;;
AFG;Q889;Afeganistão;Q385546;Battle of Alasay;Q178561;batalha;participant;2009;2009;;Q182865;Guerra do Afeganistão;Q4708417;Alasay;;;1
AFG;Q889;Afeganistão;Q385546;Battle of Alasay;Q178561;batalha;location;2009;2009;;Q182865;Guerra do Afeganistão;Q4708417;Alasay;;;1
AFG;Q889;Afeganistão;Q1259237;Terceira Guerra Anglo-Afegã;Q198;guerra;participant;1919;1919;;Q40837;Guerras Anglo-Afegãs;Q16880532;North-West Frontier Province;;;
AFG;Q889;Afeganistão;Q40837;Guerras Anglo-Afegãs;;;from_battle;1919;1919;;Q40837;Guerras Anglo-Afegãs;;;;;
AFG;Q889;Afeganistão;Q2889960;Battle of Shewan;Q178561;batalha;participant;;;2008;Q182865;Guerra do Afeganistão;Q180330;Farah;;;
AFG;Q889;Afeganistão;Q2889960;Battle of Shewan;Q178561;batalha;location;;;2008;Q182865;Guerra do Afeganistão;Q180330;Farah;;;
AFG;Q889;Afeganistão;Q4072719;Conflitos fronteiriços entre Afeganistão e Paquistão;Q107637520;border conflict;participant;1949;;1949;Q7703943;Terrorismo no Paquistão;Q288292;Linha Durand;;;
AFG;Q889;Afeganistão;Q4072719;Conflitos fronteiriços entre Afeganistão e Paquistão;Q107637520;border conflict;location;1949;;1949;Q7703943;Terrorismo no Paquistão;Q288292;Linha Durand;;;
AFG;Q889;Afeganistão;Q7703943;Terrorismo no Paquistão;;;from_battle;1949;;1949;Q7703943;Terrorismo no Paquistão;;;;;
AFG;Q889;Afeganistão;Q7510253;Siege of Musa Qala;Q188055;cerco;participant;2006;2006;;Q182865;Guerra do Afeganistão;Q173821;Helmand;;;
AFG;Q889;Afeganistão;Q7510253;Siege of Musa Qala;Q188055;cerco;location;2006;2006;;Q182865;Guerra do Afeganistão;Q173821;Helmand;;;
