iso3,country,role,person,person_qid,start,end,party,end_cause
ABW,Aruba,head_of_government,Mike Eman,Q1268462,2009-10-30T00:00:00Z,2017-11-17T00:00:00Z,Aruban People's Party,
ABW,Aruba,head_of_government,Evelyn Wever-Croes,Q23038705,2017-11-17T00:00:00Z,,People's Electoral Movement,
ABW,Aruba,head_of_government,Henny Eman,Q2211141,1986-01-01T00:00:00Z,1989-02-09T00:00:00Z,Aruban People's Party,
ABW,Aruba,head_of_government,Nelson Oduber,Q942470,1989-02-09T00:00:00Z,1994-07-29T00:00:00Z,People's Electoral Movement,
ABW,Aruba,head_of_government,Henny Eman,Q2211141,1994-07-29T00:00:00Z,2001-10-30T00:00:00Z,Aruban People's Party,
ABW,Aruba,head_of_government,Nelson Oduber,Q942470,2001-10-30T00:00:00Z,2009-10-30T00:00:00Z,People's Electoral Movement,
ABW,Aruba,head_of_government,Mike Eman,Q1268462,2025-03-28T00:00:00Z,,Aruban People's Party,
ABW,Aruba,head_of_state,Guilherme Alexandre dos Países Baixos,Q154952,,,,
AFG,Afeganistão,head_of_government,Mohammad Hasan Akhund,Q108444479,2023-07-17T00:00:00Z,,Taliban,
AFG,Afeganistão,head_of_government,Gulbuddin Hekmatyar,Q317797,,,Hezb-e Islami Gulbuddin,
AFG,Afeganistão,head_of_government,Sardar Shir Ahmad,Q2224753,1927-10-25T00:00:00Z,1929-01-01T00:00:00Z,,
AFG,Afeganistão,head_of_government,Shir Giyan,Q52536169,1929-01-01T00:00:00Z,1929-11-01T00:00:00Z,,
AFG,Afeganistão,head_of_government,Prince Mohammad Hashim Khan,Q137752,1929-11-14T00:00:00Z,1946-05-01T00:00:00Z,,
AFG,Afeganistão,head_of_government,Prince Shah Mahmud Khan of Afghanistan,Q380164,1946-05-01T00:00:00Z,1953-09-07T00:00:00Z,,
AFG,Afeganistão,head_of_government,Mohammed Daoud Khan,Q310247,1953-09-07T00:00:00Z,1963-03-10T00:00:00Z,National Revolutionary Party of Afghanistan,
AFG,Afeganistão,head_of_government,Mohammad Yusuf,Q1397264,1963-03-10T00:00:00Z,1965-11-02T00:00:00Z,,
