iso3;qid;country_pt;country_en;ports_pt;ports_en;waters_pt;waters_en;has_ports;has_routes
PRI;Q1183;Porto Rico;Puerto Rico;;Spanish Naval Arsenal (San Juan), Peñuelas LNG terminal, Port of San Juan;Oceano Atlântico;Atlantic Ocean;Sim;Sim
ATF;Q129003;Terras Austrais e Antárticas Francesas;French Southern and Antarctic Lands;;;;;Não;Não
HMD;Q131198;Ilha Heard e Ilhas McDonald;Heard Island and McDonald Islands;;;Oceano Índico;Indian Ocean;Não;Sim
MSR;Q13353;Monserrate;Montserrat;;;;;Não;Não
GIB;Q1410;Gibraltar;Gibraltar;;Gibraltar LNG terminal, Ocean Village Marina, Gibraltar, Queensway Quay Marina, Gibraltar;;;Sim;Não
FRA;Q142;França;France;Porto do Arsenal, Marina de La Rochelle, Doëlan, Porto da lua, port de Camaret-sur-Mer, La Pallice, Dégrad des Cannes, Porto do Louvre, Base de submarinos de Lorient;port of Beg Douar, port of Locquirec, Merrien port, Gare d'eau de Vaise, Port de plaisance du Moulin blanc, Yusin, port de plaisance Nancy Saint-Georges, Port de plaisance d’Haverskerque, Port de Saint-Pierre, port of Loctudy, port of Île-Tudy, Port de Porstrein, Maison Blanche, Bassin de l'Arsenal, Porz Darland, Port du Stiff, Port de Lampaul, Pointe a Pitre, Gustavia, Basse Terre, Port Louis, port of Fort-de-France, Mata-Utu, Vaitape, Uturoa, Port Rikitea, Atuona, Baie Taiohae, Baie De Kouaoua, Saint-Denis, Port of Le Havre, Port du château de Brest, port of Bestrée, Halte nautique de la Villette, Port de Pariacabo, Port of Bordeaux, ports of La Roche-Bernard, Port Medoc, Port esportiu de Santa Maria la Mar, Port du Moure Rouge, Port Pointe Croisette, port neuf de La Roche-Bernard, old port of la Roche Bernard, dry marina of La Roche-Bernard, Florence Arthaud municipal nautical stadium, Port Tino Rossi, Quai Bernard-Moitessier, Quai Éric-Tabarly, Aber Wrac'h, Port de la Rotonde, Port of Canet-en-Roussillon, port de Sant Cebrià, Port of Port en Bessin, L'Estaque, Les Goudes, port du Gros-Caillou, port des Invalides, port de la Concorde, Toulon Arsenal, Dunkerque LNG terminal, port Saint-Nicolas, old Honfleur basin, in France, Arsenal de Rochefort, Port Manec’h, Port-Cergy, Port de Foleux, Port of Hendaye, port of Frouard, Port of Marseille-Fos, Doëlan, Port of Tinduff, port de Sucé-sur-Erdre, Port de Saint-Valery-sur-Somme, Port of Saint-Nazaire, Port of La Turballe, Port-Camargue, Port of Deauville, Port of Mortagne-sur-Gironde, Port Rambaud, port Saint-Michel, Port of Le Croisic, port of the Moon, Toulon Port, Roman port of Fréjus, Port Saint-Étienne, Port La Nautique, fore-port of Honfleur, Port de Pornichet, port de Camaret-sur-Mer, St Malo Port, Montoir-de-Bretagne LNG terminal, Vallon des Auffes, Port Saint-Landry, Vieux-Port de La Rochelle, Itius Portus, La Pallice, Baie du Marigot, Sainte-Marine (Combrit), Port Pierre-Canto, Harbour of Arles, naval arsenal of Lorient, Submarine base of Brest, La Rochelle submarine base, Calanque de Port-Miou, Sormiou, seaport of Cassis, Dieppe Port, Port Royal d'Auxonne, Dahouët, Dielette, Dégrad des Cannes, port du Louvre, Port Saint-Sauveur, Les Issambres, Port de l'Embouchure, Great seaport of Rouen, Port de Longoni, Port of Capbreton, Keroman Submarine Base, Le Hourdel, Port du Légué, Île Longue strategic submarine base, Mogueriec, Port-Blanc, Port-Médoc, Port-Navalo, Port-la-Forêt, Port-museum of Douarnenez, port Debilly, port Henri-IV, Port-Leucate, Nice Port, Port Moselle, Port Olona, port Saint-Bernard, Port Vauban, Independent Port of Strasbourg, port d'Austerlitz, port d'Auteuil, Port d'Orange, Port of Orléans, port de Bercy, port of Bayonne, Port of Brest, Port of Boulogne-sur-Mer, Port of Calais, Port of Caen, Havre de Carteret, Cherbourg Port, Port of Gennevilliers, Port de Larmor-Baden, Port de Lille, Port of Mont-de-Marsan, Port de Montebello, port de Passy, Port of Port-Vendres, Port of Bloscon-Roscoff, Port de Saint-Gilles, Port of Royan, Port of Saint-Jean-de-Luz, Port de Saint-Leu, Port de Saint-Pierre, Port de Sainte-Marie, Port de Saumaty, Port de Suffren, port de Tolbiac, Port of Tonnay-Charente, port of Vannes, Port of Kergroise, Port of Rochefort, port de l'Hôtel-de-Ville, port de la Gare, Port of La Madelon, Port Réunion, Port de la Daurade, port de la Rapée, port de la Tournelle, Rochefort marina, Port de Pêche de Chef de Baie, Fishing port of Keroman, Port of Les Sables-d'Olonne, port des Saints-Pères, Port du Bono, port du Château, port des Tuileries, Port du Crouesty, port du Lério, Port of Sablet, port of the Dijon canal, Cherbourg Naval Base, Port Édouard-Herriot, Saint-Nazaire submarine base, Port of Ajaccio, Bastia Port, Bonifacio Port, Calais Ferry Port, Calvi Port, Dunkerque Port Ouest, Granville Port, Havre de Portbail, Ile Rousse Port, L'Oseraie, Le Petit Port, Locmalo, Marine Port de Sud, Marseille Port, Port Camille Rayon, Port of Cap d'Agde, Port d'Arcachon, Port d'Armor, Port de Blaye, Port de Bormes-les-Mimosas, Port de Cap d'Ail, Port de Chantereyne, Port de Charmail, Brest commercial port, Port de Donges, Port de Fécamp, Port de Gujan, Port de Hyères, Port de Jard-sur-mer, Port de la Pointe, Port de la Pointe, Port de la Vigne, Port de Larros, Port de Neyran, Port de Ponteau, Port de Pêche, Port de Saint Tropez, Port de Saint-Pierre, Port de Saint-Vivien, Port de Sète, Port de Talais, Port de Vitrezay, Port des Cannes, Port du Gravier, Port du Havre-Antifer, Port du Lavandou, Port du Verdon, Port Férréol, Port Maria, Port Plaisance, Port of Saint Florent, Port Vieux et Chantiers Navals de La Ciotat, Port-Grimaud, Propriano Port, Roscoff Port, Saint-Nazaire, Fos Cavaou LNG terminal, Fos Tonkin LNG terminal, BETASOM, Old Port of Marseille, Port de La Baule Le Pouliguen, Port Racine, Fort Madison, Nuku Hiva, Halte fluviale de Châteauneuf - Orange, Marina Baie des Anges, Port (Chateau de Montsoreau-Museum of Contemporary Art), Port-Haliguen, Port of Lauberlac'h, Le Bétey, Port of Nantes, Nouveau port de Metz, Port Viguerie, Port of Saint-Marcel, Port of Dives-sur-Mer, Port of Honfleur, Port of Trouville-sur-Mer, Brest Arsenal, Port de Jassans-Riottier, Port of Louhans, Port of Chavannes, Port of Montceau, Port of Bois-Bretoux, Port of Saint-Léger-sur-Dheune, Port Campionnet, Port of Écuisses, Port of Bantanges, Port of Blanzy, Port of Branges, Port of Cheilly, Port of Ciry, Port of Fragnes, Port de La Truchère, Port de Mèze, Stéphane Mallarmé Port, gare d'eau d'Ivry, Port of Saint-Valery-en-Caux, Port of Le Tréport, Port of Frontignan, Port of Agde, Port of Le Chichoulet, Port of Ambès, Fort Louis Marina, Old Port of Bastia, Vil harbour;Oceano Atlântico;Atlantic Ocean;Sim;Sim
GBR;Q145;Reino Unido;United Kingdom;Docas de St Katherine, HMNB Devonport, Porto de Londres, King's Lynn, Píer de Cadogan, Southwold, Grytviken, HMNB Portsmouth, Porthleven, Mina' Zayid, Píer de Canary Wharf, HMNB Clyde, Newquay;Port of Blyth, St Katharine Docks, Royal Quays Marina, Burravoe pier and marina, Warkworth Harbour, Dunbar Harbour, Port of Milford Haven, Milford Fish Docks, Milford Marina, British Defence Singapore Support Unit, Watchet Marina, St Agnes Quay, Church Quay, Bryher, quay on Bryher, Old Grimsby Quay, Scilly isles, St. Martin's quay, Fowey, China clay jetties and quays, Port of Boston, North Port, Amble Marina, Rothesay harbour, Waren, Salterns Marina, Chatham Dockyard, Landing Stage, Castle Rock, Flat Holm, Port of Hayle, Cotehele Quay, Danescombe Quay, North Point, Grand Turk, Georgetown, Cayman Brac, St George's, Jamestown, Port of Edinburgh of the Seven Seas, Stanley, Grytviken, Diego Garcia, Prince Olav Harbor, Stromness Harbor, Georgetown, Cockburn Harbor, Barking Riverside Pier, Battersea Power Station Pier, Grytviken Whaling Station, Barton Marina, Laghall Quay, Royal Wharf pier, St. George Wharf pier, St Mary’s Wandsworth Pier, Hampton Court Pier, Kingston Town End Pier, Kingston Turks Pier, Richmond Landing Stage, Richmond St. Helena Pier, Woolwich Ferry South Pier, Woolwich Ferry North Pier, Port of Whitby, Hektor, Centre Port, Hunterston Terminal, Chichester Marina, HMNB Devonport, Husvik, The Roman riverside wall and wharves at Sugar Quay, The Roman riverside wall and wharves at Riverbank House, The Roman riverside wall and wharves at Three Quays, Landore New Quay, Cei Tyddyn Isa, The Holyhead Road: quay on the Stanley Embankment, Chepstow Town Slipway, Hook Quay, Port of Mucking, Apsley Marina, Stackpole Quay, Mostyn Quay, Laghill Quay, Glencaple Quay, Kelly Port, Carty Port, Grangemouth Docks, Gallochoille Port, Belleport, Knox's Port, Bessy's Port, Foul Port, Chang Port, Dundee Harbour, Shell Haven, Landing Point, Grassholm, Landing Place, Abereiddi, Landing Place, Goodwick Sands, Landing Place, Cei Bach, Landing Place, Traeth Mwnt, Landing Place, Traeth y Plas, Aberporth, Landing Place, Traeth Dryfryn, Aberporth, Landing Place, Moel Ynys, Landing Place, Abersoch, Hartlepool Marina, Nottingham Castle Marina, Falmouth Docks, Port of Tilbury, Richborough Port, Durdle Pier, Port of Barrow, Port of London, Port of Lancaster, King's Lynn, Portland Harbour, Port of Inverness, Port of Grimsby, Port of Bridgwater, Portsmouth International Port, Cadogan Pier, Falklands Naval Station, Port Glasgow, Avonmouth, Barry Docks, Port of Norwich, Southwold, Grytviken, London Thamesport, HMNB Portsmouth, Port of Hull, Dubris, Mīnā' al Mubarraz, Ireland Island Freeport, Sutton Harbour, Pembroke Dockyard, Treaty Ports, Faslane Port, Carleton Port, Braefoot Terminal, Portsmouth Naval Base, Stromness Port, Lerwick Port, Kirkwall Port, Scrabster Port, Gills Bay Port, Cairnryan Port, Aberdeen Harbour, Yarmouth Port, Ryde Port, Fishbourne Port, West Cowes Port, East Cowes Port, Pembroke Port, Weymouth Port, Southsea Port, Port of Poole, Lymington Port, Birkenhead Port, Plymouth Port, Fishguard Port, Larne Port, Alderney Ferry Port, Port of Gibraltar, Tower Millennium Pier, Leith Harbour, Sovereign Harbour, Port de Calshot, Quay Side On South Side Of River Severn, Extending South From Severn Bridge For About 290 Metres Including Four Flights Of Steps, Quay At Sw450240, Quay, Quay 70 Metres West Of Church Of St Winnow, Quay At Sx 361 556, Quay At Sw 805 360 Nw, Quay At Sw707263, Quay At Sw 747 263, Quay At The Foreshore Of The Shipwrights Arms Public House, Island wall running around Walton Hall including 2 boat houses, steps and landing stage to west, Quay At Sw 708264, Quays, Quays, Rupert’s Wharf, Harwich Dockyard, Sheerness Dockyard, Grain LNG terminal, Bonne Nuit, Porthleven, Cresswell Quay, Rosyth Dockyard, Dragon LNG terminal, Port Zayed, Port Purcell, Marina Bay, Gibraltar, Port of Felixstowe, Port of Liverpool, Port of Akrotiri, Brighton Marina, Ardglass Marina, Bangor Marina, Bankside Pier, Blackfriars Millennium Pier, Brentford Dock, Bristol Marina, Cairnryan Harbour, Camp Thunder Cove, Canary Wharf Pier, Cardiff Docks, Chelsea Harbour, Chelsea Harbour Pier, Crindau Marina, Deptford Dockyard, Foyle Port, Embankment Pier, Festival Pier, Port of Grimsby and Immingham, Park Quay, Redcar Bulk Terminal, Greenland Pier, Greenwich Pier, Rashielee Quay, Harwich International Port, Haslar Marina, Heysham Port, Nelson Dock Pier, Weymouth Marina, Hull Marina, Island Harbour Marina, HMNB Clyde, Kew Pier, King's Lynn Docks, Rochester, Janes Creek, Liverpool Marina, Wandsworth Riverside Quarter Pier, London Bridge City Pier, London Eye Pier, London Gateway, Marchwood Military Port, Masthouse Terrace Pier, Medway Ports, Methil Docks, Millbank Millennium Pier, Newport Docks, North Greenwich Pier, North Shields Fish Quay, Ocean Village, Osney Mill Marina, Peel Marina, Penarth Marina, Penton Hook Marina, Port Edgar, Port Salford, Port of Belfast, Port of Bristol, Port of Garston, Port of Holyhead, Port of Lowestoft, Port of Manchester, Port of Newhaven, Port of Port Talbot, Port of Ramsgate, Port of Runcorn, Port of Southampton, Port of Tyne, Portaferry Marina, Putney Pier, Quayside, RNMD Milford Haven, Road Harbour, Kip Marina, Rosia Bay, Port of Dover, Saint Peter Port Harbour, South Hook LNG terminal, Tower Bridge Quay, Swansea Marina, Teesport, Shoreham-by-Sea, Thames & Kennet Marina, USN Submarine Base, Ordnance Island, Bermuda, Westminster Millennium Pier, Whaligoe, Woolwich Arsenal Pier, Boscastle, Port of Ipswich, Rosneath naval base, Topsham Quay, Newquay, Burry Port Harbour, Portishead marina;;;Sim;Não
CHN;Q148;China;People's Republic of China;Porto de Hengqin, Porto de Xangai, O Porto Interior, Porto de Qingmao, Porto de Ká-Hó, South Port;Port of Zhuhai, China Dongfang Spacecraft Launch Port, Port of Qingdao, Yantian port, Port of Jiaxing, Dafeng Port, Wanzai Port, Hengqin Port, Dongguan LNG terminal, Port Lüshun, Port of Wuhan, Shenjiamen, Haimen, Suizhang Gang, Zhangjiangang, Zhapu, Sanya, Chiwan, Shui Dong, Qinzhou, Changzhou, Chaozhou, Changshu, Dongshan, Lanshan, Penglai, Taicang, Zhangzhou, Xiuyu, SHAN T OU, Bayuquan, Fang-Cheng, Beihai, Basuo, Lon Shui Terminal, Longkou Gang, Dagu Tanggu, Huludao Gang, Yangzhou, Wanxian, Nanjing, Ankingcheng, Gaogang, Chung Ching, Wu Hu, Hankow, Zhen Hai, Jining Port, Port of Shenzhen, Jinghong Port, Yulin Naval Base, Fuyuan Port, Dongxing Port, Yulin Port, Xiamen International Cruise Terminal, Port of Shanghai, Port of Tianjin operations and logistics, Great Eastern Harbor, Port of Changsha, Port of Nansha, Zhanjiang Naval Base, Port of Yancheng, Port of Tianjin, Jianggezhuang Naval Base, Port of Hong Kong, Port of Guangzhou, Old Port Area, Port of Qingdao, Port of Chongqing, Port of Tangshan, Port of Dandong, Port of Rizhao, Port of Huludao, Port of Longkou, Port of Macau, Port of Shantou, Port of Huanghua, Port of Humen, Port of Taizhou, Port of Wenzhou, Port of Jiangyin, Port of Nantong, Port of Fuzhou, Port of Huizhou, Port of Maoming, Port of Yangjiang, Port of Zhongshan, Port of Zhenjiang, Shekou Passenger Terminal, Port of Ningbo-Zhoushan, Port of Dalian, Port of Lianyungang, Port of Huanghua, Wutong Ferry Terminal, Dongying Port, Port of Suzhou, Port of Nanjing, Port of Yingkou, Yangshan Port, Dahe Gang, Huangpu Gang, Kuzi Gang, Miaoyu Gang, Xinhai Port, Qingmao Port, Port of Gaolan, Port of Xiamen, Kwai Tsing Container Terminals, Port of Jingtang, Lanqiao, Dapeng LNG terminal, Hainan Free Trade Port, Nansha Passenger Port, Fuling LNG, Haikou Xin Port, Haikou Xiuying Port, Shatoujiao Port, Ká-Hó Port, Macun Port, Port of Jinzhou, Port of Quanzhou, Port of Weihai, Port of Yangpu, Port of Yantai, Port of Zhanjiang, Shunde Port, South Port, Terminal Marítimo de Passageiros do Porto Interior, Longpo Naval Base, Qingdao Xiaogang, Qinhuangdao Port;;;Sim;Não
BRA;Q155;Brasil;Brazil;Bahia Marina, Porto Geral de Corumbá, Porto de Angra dos Reis, Porto de Antonina, Porto de Barra do Riacho, Porto de Cabedelo, Porto de Cachoeira do Sul, Porto de Estrela, Porto de Guaíba, Porto de Ilhéus, Porto de Itaguaí, Porto de Itapoá, Porto de Itajaí, Porto de Jaraguá, Porto de Juazeiro, Porto Piauí, Porto de Navegantes, Porto de Paranaguá, Porto de Pelotas, Porto de Rio Grande, Porto de Santarém, Porto de São Francisco do Sul, Porto de São Sebastião, Porto de Ubu, Porto de Vila Velha, Porto de Vitória, Porto do Forno, Porto do Mucuripe, Porto do Açu, Terminal Marítimo Inácio Barbosa, Terminal Portuário de Cotegipe, Terminal Portuário Privativo Miguel de Oliveira, Rampa do Mercado Modelo, Terminal de Madre de Deus, Porto de Paracuru, Complexo Naval de Itaguaí, Terminal de Regaseificação da Baía de Guanabara, Terminal de Regaseificação de Pecém, Estrutura do Porto de Minério, Porto de Acupe, Porto de Praia Mole, Porto de Porto Velho, Porto do Jacaré, Porto Sudeste, Terminal Ponta da Espera, Porto de Aratu, Porto de Santos, Base Naval de Aratu, Base Naval de Natal, Porto de Belém, Porto Internacional de Porto Xavier, Porto Sul, Porto de Corumbá, Complexo Industrial e Portuário do Pecém, Porto do Pecém, Porto de Vila do Conde, Porto de Santana, Porto de Imbituba, Porto de Petrolina, Ponta da Madeira, Porto do Itaqui, Terminal Integrador Portuário Luiz Antonio Mesquita, Doca do Ver-o-Peso, Porto do Rio de Janeiro, Porto de São Vicente, Porto do Taboado, Marina da Glória, Porto de Manaus, Porto de Natal, Porto de Porto Alegre, Porto de Salvador, Porto do Recife, Porto de Tubarão, Porto de Suape, Base Fluvial de Ladário;Bahia Marina, Port General of Corumbá, Angra dos Reis Port, Port of Antonina, Porto de Cabedelo, Port of Guaíba, Port of Ilhéus, Port of itaguaí, Port of Itapoá, Port of Itajaí, Port of Maceió, Port of Luís Correia, Port of Navegantes, Port of Paranaguá, Port of Rio Grande, Port of Santarém, Port of São Francisco do Sul, Port of São Sebastião, Porto de Ubu, Port of Vila Velha, Port of Vitória, Porto do Forno, Port of Mucuripe, Porto of Açu, Balsa, Terminal Portuário de Cotegipe, Ramp of Mercado Modelo, Port of Paracuru, Madeira Island Submarine Base, Port Açu Regasification Terminal, Bahia LNG terminal, Guanabara Bay Regasification Terminal, Pecém Regasification Terminal, Sergipe Regasification Terminal, Structure of the Porto de Minério, Port de Aracaju, Niteroi, Vila do Conde, Guamare Oil Terminal, Porto Santana, Santarem, Cameta, Itacoatiara, Manaus, Tutoia, Camocim, Madre de Deus, Macae, Laguna, Tramandai, Porto Alegre, Portocel, Santa Clara, Gebig, DTSE / GEGUA Oil Terminal, Porto de Praia Mole, Port of Jacaré, Porto de Aratu, Port of Santos, Base Naval de Aratu, Port of Belém, Porto Sul, Pecém Industrial and Port Complex, Port of Pecem, Porto Santana, Porto da Pedra, Porto da Madame, Porto João Barbosa, Porto da Vila Itapoc, Porto Velho, Porto Ananias, Porto das Rosas, Porto Nando Gomes, Porto de Imbituba, Porto Guaíra, Ponta da Madeira, Porto do Itaqui, Doca do Ver-o-Peso, Port of Rio de Janeiro, Empresa Brasileira de Terminais Portuários, Port of São Vicente, Marina da Glória, Port of Manaus, Port of Natal, Port of Porto Alegre, Port of Salvador, Recife port, Port of Tubarão, Port of Suape;Oceano Atlântico;Atlantic Ocean;Sim;Sim
RUS;Q159;Rússia;Russia;Azov, Alexandrovsk-Sakhalinsk, Belomorsk, Yeysk, Kandalaksha, Korsakov, Anapa, Novorossisk, Gelendzhik, Mezen, Nevelsk, Pevek, Polyarny, Severomorsk, Uglegorsk, Grande Porto de São Petersburgo, Porto Kavkaz, Zapadnaya Litsa, Astracã, Porto de Taman, Tiksi, Mahackala, Anadyr;Azov, Alexandrovsk-Sakhalinsky, Belomorsk, Tuapse, Prigorodnoye, Shakotan, Port Beringovsky, Gelendzhik, Nakhodka, Bukhta Vanino, Aleksandrovsk-Sakhalinskiy, Lazarev, Moskal Vo, Bukhta Gaydamak, Mys Rogatyy Oktyabrskiy, Slavyanka, OKHOTSK IY REYD, Taganrog, Temryuk, Tuapse, Adler, Kandalaksha, Bolshaya Piryu Guba, Ostrovnoy Gremikha, Mys Abram, Bukhta Nagayeva (Magadan), Shakhtersk, Kavkaz Oil Terminal, Vitaz Marine Terminal, Reka Luga, Sever Bay port, Rudnaya Pristan, Podporozhsky port, Utrenny, Belomorsk port, Port of Slavyanka, Petersburg river cruise harbour, Samara passenger port, Vysotsk LNG, Sokol, Yeysk, Kandalaksha, Korsakov, Port of Zarubino, Anapa, Temryuk, Novorossiysk, Gelendzhik, Southern Naval Base, Mezen', Nevelsk, Port of Korsakov, Onega, Pevek, Pionersky, Polyarny, Port of Rostov-on-Don, Port Mezen', Primorsko-Akhtarsk, Port of Vysotsk, Severomorsk, Amderma, Varandey, Uglegorsk, Port of  Petropavlovsk-Kamchatsky, Naryan Mar, Vitino, Big port Saint Petersburg, Seven Feet Yacht Club, Free port of Vladivostok, Port Kavkaz, Sabetta, Port Dikson, Port of Petrozavodsk, Dudinka, Hatanga, Port of Igarka, Port of Kem, Port of Olya, Port of Astrakhan, Lazarev, Zapadnaya Litsa, Kabotazhnaya Gavan', Kupecheskaya Gavan', Lakhtinskaya Gavan', Lesnaya Gavan', Lesnaya Gavan', Lomonosovskaya Gavan', Morskoy Rybolovnyy Port Temryukskiy, Moryakovskaya Remontno-Ekspluatatsionnaya Baza, Passazhirskiy Port AmurASSO, Petrovskaya Gavan', Port Anapa, Port Baranyata, Port Levshino, Port Makar'yevo, Port Volgodonsk, Port Zaostrovskiy, Rechnoy Port, Ugol'naya Gavan', Ust Luga Port, Voyennaya Gavan', Zavodskaya Gavan', Astrakhan, Anadyr, Port of Arkhangelsk, Barnaul River Port, Beringovskiy, Port, Port of Bronka, Port of Vanino, Port of Vladivostok, Vrangel, Port Yeysk, Moscow Western River Port, Zeleniy Mys, Port of Kaliningrad, Kerch Seaport Komysh-Burun, Kozmino, Krasnojarsk, Port in Lomonosov, Sea Terminal, Saint Petersburg, New Sea Passenger port, Port of Baltiysk, Port of Saint Petersburg, Moskalvo, Port of Murmansk, Naberezhnyye Chelny, Nakhodka, Nakhodka Sea Fishing Port, Nerpa, Nikolayevsk-na-Amure, Novorossiysk naval base, Port of Novorossiysk, Ol'ga, Onega, Okhotsk, Port of Pevek, Plastun Port, Polyarny Naval Base, Poronaisk, Azov, Port Baikal, Port of Vyborg, Port in Lomonosov, Port of Magadan, Imeretinsky Port, Port of Primorsk, Provideniya, Nakhodka tank farm, Sevastopol Naval Base, Port of Sevastopol, Moscow North River Port, North River Terminal, Severomorsk Naval Base, Port of Sochi, Taganrog, Taman, seaport, Temryuk, Tiksi, Uglegorsk, Ulyanovsk river port, Ust-Luga Multimodal Complex, Port of Feodosia, Kholmsk, Port of Kholmsk, Shakhtersk, Egvekinot, Moscow South River Port, Moscow South River Terminal, Port of Yakutsk, Yalta port, Yamal LNG, Yaroslavl, Naval museum complex Balaklava, Baltic LNG, Port Pos'yet, Tiksi, Makhachkala, Port of Serpukhov, Baltiysk, Svetly, Ports of Saint Petersburg, Kazan River Port, Leningrad Naval Base, Port of Alushta, Togliatti river port, Port of Chernomorskoye, Vostochny Port, Port of Severodvinsk, Anadyr, Kandalaksha, Port of Nakhodka, Porto Pisano sul Don;Oceano Ártico, Oceano Pacífico;Arctic Ocean, Pacific Ocean;Sim;Sim
CAN;Q16;Canadá;Canada;Vieux-Port, Porto de Vancouver;CFB Esquimalt, CFB Halifax, Port of Toronto, Resolute Bay, Aalders Landing, Heather Civic Marina, Coppermine, Gargantua, Gibsons Marina, Little Port, Port au Bras, Ship Cove, Marina de Beauharnois, Marina Sauvé, Eddy, Marina du Motel-Beaupré, Marina Aumais, Marina Proulx, Débarcadère Qajariakkuvik, Marina de Terrasse-Samson, Débarcadère de Rivière-Éternité, Débarcadère Akunnaijarvik, Débarcadère Tulagiaq, Marina de la Plage-de-Saint-Zotique, Petit-Débarquement, Marina Delisle, Marina de Melocheville, Club nautique De Mézy, Marina de l'Hôtel, Port de plaisance Sainte-Marie, Marina de Contrecoeur, Marina de Gaspé, Marina de Rivière-au-Renard, Port de plaisance d'Aylmer, Hudson Yacht Club, Marina d'Hudson, Marina Allard, Marina Bobino, Marina de Laval-sur-le-Lac, Marina de Venise, Marina Sauvé, Marina de Bergeronnes, Parc nautique Lévy, Port de plaisance Réal-Bouvier, Marina de l'Auberge-le-Nid-d'Aigle, Marina Maski, Marina de Matane, Port de plaisance de Pierrefonds, Club nautique Royal St Lawrence, Marina de l'Île-Perrot, Marina d'Oka, Marina du Quai, Quai du Capitaine, Parc nautique de Cap-Rouge, Marina de Repentigny, Marina Rive-Nord, Marina de L'Anse-de-Roche, Marina de Port Lewis, Marina Saint-François, Marina de Saint-Henri-de-Taillon, Marina Rachel-Marine, Marina de Sorel, Marina de la Plage-Roger, Marina de Salaberry-de-Valleyfield, Marina Beaudry, Marina du Grand-Boisé, Port Saint-Servain, Port de Gros-Cacouna, Port de Pointe-au-Pic, Port de Cap-aux-Meules, Le Vieux Port, Port de Matane, Port Sainte-Hélène, Port Jacques-Cartier, Port au Persil, Port aux Quilles, Port de Sorel, Bull's Landing, Camp Five Landing, Gorham's Landing, Indian Landing, Kidd's Landing, Lentz Landing, Lost Channel Landing, Middle Lake Landing, Mocassets Landing, Paquette Landing, Patterson's Landing, Wishman Landing, Bartlett Landing, Adam Wood Memorial Landing, Alder Creek, Alliford Bay, Belvedere, Blowhole, Brighton Beach, Buntzen Bay, Caesars, Carraholly, Cascade, Coldwell Beach, Cosy Cove, Digby Island, Donnely Landing, Duncanby Landing, Ewing, Fernlee, Frames, Fraser, Fry Creek, Galena, Good Hope, Goose Bay, Granite Falls, Gravelle Ferry, Green Cove, Heydon Bay, Hope Bay, Hornby Island, Johnson, Kakawis, Kemano Beach, Kilbella Bay, Kildala Arm, Lake Buntzen, McCalls Landing, Millers Landing, Montague Harbour, Mooyah Bay, Musgrave Landing, Nahmint, Newcastle, Nootka, North Woodlands, Orlomah Beach, Otter Bay, Pasley Island, Plumper Harbour, Pope Landing, Port Desire, Queens Cove, Sarita, Seymour Landing, Shelter Bay, Skooks Landing, Smithers Landing, Sunbury, Sunshine, Suquash, Thwaytes, Tiili Landing, Twin Islands, Village Bay, Wadhams, Walkers, Wigwam Inn, Anna Maria Port, Port Bowen, Ikaaqtalik, Qajalinga, Port of Prescott, False Creek Yacht Club, Lakeview Park Marina, Gananoque Municipal Marina, Wharf Street Marina, Fisherman's Wharf Marina, Causeway Marina, Ship Point Marina, Mermaid Wharf Marina, Spruce Harbour Marina, Coal Harbour Marina, Pacific Boulevard Marina, Roberta Bondar Transient Marina, Hilton Beach Marina, Port Credit Harbour Marina, Le Vieux Port, Snug Cove, Canaport, Malibu, Rivers Inlet, Langdale ferry terminal, Port of Halifax, Port of Montreal, Port Leopold, Hamilton Port Authority, Jedway, Roberts Bank Superport, Sunshine Coast (Earls Cove) ferry terminal, Port Refuge, Ogden Point, Canaport LNG terminal, Red Bay National Historic Site, Port of Caraquet, Port of Saint John, Port of Quebec, Port of Shippagan, Kekerten Island, Île aux Basques, Old Port of Montreal, Bedwell Harbour, Bull Harbour, Hamilton Harbour, CFB Cornwallis, CFS Shelburne, Fort Ramsey, HMCS Protector, Iron Bay, LNG Canada, Jackson Bay, Marina de Tadoussac, Meyer's Pier Marina, Kincardine Marina, Landing Marina/Fred Pratt Boatworks, Moresby Camp, NRS Albro Lake, Naval Radio Section Aldergrove, Naval Radio Section Newport Corner, Oak Bay Marina, Port Alberta, Port Burwell, Port of Churchill, Reed Point Marina, Port of Vancouver, Royal Naval Dockyard, Halifax, Ship Harbour, Club nautique de L'Anse-Saint-Jean, Port Hardy (Bear Cove) ferry terminal, Peake’s Quay Marina, Port of Goderich, Port of Prince Rupert, Marina de Val-Brillant;Oceano Ártico, Oceano Atlântico, Oceano Pacífico;Arctic Ocean, Atlantic Ocean, Pacific Ocean;Sim;Sim
GUM;Q16635;Guam;Guam;;;Oceano Pacífico;Pacific Ocean;Não;Sim
ASM;Q16641;Samoa Americana;American Samoa;;;Oceano Pacífico;Pacific Ocean;Não;Sim
MNP;Q16644;Marianas Setentrionais;Northern Mariana Islands;;;Oceano Pacífico;Pacific Ocean;Não;Sim
UMI;Q16645;Ilhas Menores Distantes dos Estados Unidos;United States Minor Outlying Islands;;;Oceano Pacífico;Pacific Ocean;Não;Sim
