iso3;river_name;length_km;source_label;source_qid;mouth_label;mouth_qid;basin_label;basin_qid;length_wd
GAB;Aïna;207;;;;;;;
GAB;Benito;62;;;;;;;
GAB;Ivindo;228;;;;;;;
GAB;Ngounie;360;;;;;;;
GAB;Ogooué;896;;;;;;;
GMB;Gambia;289;;;;;;;
GIN;Bafing;307;;;;;;;
GIN;Gambia;181;;;;;;;
GIN;Geba;244;;;;;;;
GIN;Niger;544;;;;;;;
GIN;Saint Paul;174;;;;;;;
GNB;Geba;223;;;;;;;
CIV;Bandama;467;;;;;;;
CIV;Bandama Blanc;446;;;;;;;
CIV;Baoulé;131;;;;;;;
CIV;Black Volta;100;;;Volta River;Q192415;;;1352
CIV;Komoé;997;;;;;;;
CIV;Sassandra;714;;;;;;;
CMR;Aïna;63;;;;;;;
CMR;Benue;336;;;;;;;
CMR;Chari;189;;;;;;;
CMR;Dja;670;;;;;;;
CMR;Kadeï;517;;;Sangha;Q239883;;;552
CMR;Logone;305;;;;;;;
CMR;Lom;396;;;Danube;Q1653;;;92.5
CMR;Mbam;457;;;;;;;
CMR;Sanaga;463;;;Bight of Biafra;Q999031;;;918
CMR;Vina;225;;;;;;;
LSO;Orange;312;;;;;;;
LBR;Saint Paul;259;;;;;;;
MDG;Betsiboka;502;;;;;;;
MDG;Mananantanana;248;;;;;;;
MDG;Mangoky;287;;;;;;;
MDG;Mania;315;;;;;;;
MDG;Onilahy;357;;;;;;;
MDG;Tsiribihina;137;;;;;;;
MWI;Shire;394;;;;;;;
MRT;Senegal;369;;;;;;;
MAR;Sebou;389;;;;;;;
MOZ;Limpopo;483;;;;;;;
MOZ;Lúrio;549;;;;;;;
MOZ;Maputo;98;;;;;;;
MOZ;Mazowe;112;;;;;;;
MOZ;Ruvuma;141;;;;;;;
MOZ;Save;318;;;Garonne;Q5077;;;148.4
MOZ;Shire;73;;;;;;;
MOZ;Zambezi;878;;;;;;;
NAM;Auob;504;;;;;;;
NAM;Cuando;245;;;;;;;
NAM;Cunene;122;;;;;;;
NAM;Okavango;221;;;;;;;
NAM;Orange;351;;;;;;;
NAM;Zambezi;73;;;;;;;
NER;Niger;458;;;;;;;
NER;Yobe;164;;;;;;;
NGA;Benue;748;;;;;;;
NGA;Bunga;429;;;;;;;
NGA;Gongola;569;;;;;;;
NGA;Kaduna;234;;;;;;;
NGA;Mariga;175;;;;;;;
NGA;Niger;1553;;;;;;;
NGA;Sokoto;597;;;;;;;
NGA;Yobe;285;;;;;;;
UGA;Kagera;53;;;;;;;
UGA;Semliki;188;;;;;;;
UGA;White Nile;909;;;Nile;Q3392;Burundi;Q967;2620
RWA;Kagera;188;;;;;;;
SEN;Gambia;418;;;;;;;
SEN;Senegal;357;;;;;;;
SOM;Jubba;772;;;;;;;
SOM;Shebelle;722;;;;;;;
SOM;nan;251;;;;;;;
SDN;Atbarah;480;;;;;;;
SDN;Blue Nile;749;;;;;;;
SDN;Nile;1578;;;Mediterranean Sea;Q4918;Egypt;Q79;6650
SDN;Tekezé;115;;;;;;;
SDN;White Nile;486;;;Nile;Q3392;Burundi;Q967;2620
KEN;Tana;774;;;;;;;
KEN;nan;407;;;;;;;
ETH;Akobo;235;;;;;;;
ETH;Awash;861;;;;;;;
ETH;Blue Nile;994;;;;;;;
ETH;Genale;595;;;;;;;
ETH;Lesser Abay;60;;;;;;;
ETH;Omo;920;;;;;;;
ETH;Shebelle;996;;;;;;;
ETH;Tekezé;516;;;;;;;
GHA;Black Volta;321;;;Volta River;Q192415;;;1352
GHA;Oti;477;;;;;;;
GHA;Volta;471;;;Daugava;Q8197;;;32
GHA;White Volta;511;;;Lake Volta;Q201679;;;640
FRA;Ariège;114;;;Garonne;Q5077;;;163.2
FRA;Dordogne;375;;;Gironde estuary;Q213517;France;Q142;483
FRA;Doubs;368;;;Saône;Q187834;;;453
FRA;Garonne;380;;;Gironde estuary;Q213517;;;647
FRA;Loire;826;;;Bay of Biscay;Q41573;France;Q142;1006
FRA;Meuse;365;;;North Sea;Q1693;;;950
FRA;Moselle;258;;;Rhine;Q584;France;Q142;544
FRA;Rhine;168;;;;;;;
FRA;Rhône;479;;;Mediterranean Sea;Q4918;Switzerland;Q39;812
FRA;Sane;130;;;;;;;
FRA;Scheldt;81;;;North Sea;Q1693;France;Q142;355
FRA;Seine;640;;;English Channel;Q34640;France;Q142;776.67
FRA;Yonne;218;;;Seine;Q1471;;;292.3
GBR;Severn;218;;;;;;;
