iso3;lake_name;area_km2;lat;lon;scalerank;featurecla;source
BRA;Juruá;;-6.425341967170673;-69.57983447766313;7;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Jutaí;;-4.266605964079676;-68.0702001182942;9;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Madeira;;-6.91589572302861;-62.30620003142857;3;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Maicuru;;-0.3287752657603552;-54.643990539086644;8;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Mearim;;-3.819605725050372;-44.662767636413406;8;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
BRA;Miranda;;-20.476562061337127;-56.459316391828985;9;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Negro;;-32.60210513109827;-56.20369882482754;7;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Nhamundá;;-1.9409618706958462;-59.23663543683009;8;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;None;;-33.20994215679181;-53.855501792570784;8;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Paranapanema;;-23.04993680525719;-49.976076197803806;7;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
BRA;Paranaíba;;-18.4883778408028;-48.991043171147076;4;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
BRA;Paraná;;-22.573722847251865;-52.8371241265635;4;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
BRA;Paraíba;;-22.449694545894143;-43.961103012592915;6;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Pardo;;-21.179760342748654;-47.49807683390087;9;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Parnaíba;;-6.418127451556151;-43.91366978871595;7;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Piauí;;-8.01087041031557;-42.60432345199467;8;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Purus;;-7.444816049700561;-66.32027837645633;6;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Ribeira;;-24.66971735867085;-48.611297693983346;8;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Rio das Mortes;;-13.425647015883449;-51.454334371786395;9;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;São Francisco;;-12.102674796202903;-42.830350774196255;4;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
BRA;São Manuel;;-12.542881576167758;-57.894034227324624;9;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Tapajós;;-6.491577501240721;-57.306167184722824;5;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Taquari;;-18.371955165823767;-55.44133644710361;9;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Tietê;;-21.42898472371305;-49.799598661296955;8;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
BRA;Tocantins;;-10.460069801855164;-48.31962573907876;6;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Trombetas;;-1.5343497474502086;-56.198242863277905;7;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
BRA;Uaupés;;0.6918082252641025;-69.4221389635988;9;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Una;;-8.304177033349452;-35.93551312443002;8;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Unini;;-1.7067992868190893;-63.167431268275045;9;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Uruguai;;-28.60226182576512;-54.52646892757439;6;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Velhas;;-18.649546324634652;-44.227765841379956;7;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Verde;;-20.182090426263617;-52.968150458831786;9;River;NaturalEarth_10m_rivers_lake_centerlines
BRA;Xingu;;-6.507705339475046;-52.46958816556879;5;River;NaturalEarth_10m_rivers_lake_centerlines
BRN;Baram;;3.625227331417506;114.67042769077318;9;River;NaturalEarth_10m_rivers_lake_centerlines
BTN;Manas;;27.17957486523379;91.31690484797545;7;River;NaturalEarth_10m_rivers_lake_centerlines
BWA;Cuando;;-15.766751937659272;21.46390074528984;7;River;NaturalEarth_10m_rivers_lake_centerlines
BWA;Cubango;;-19.597419694303053;23.245559847505422;6;River;NaturalEarth_10m_rivers_lake_centerlines
BWA;Limpopo;;-23.193699542329636;30.535969846621576;6;River;NaturalEarth_10m_rivers_lake_centerlines
BWA;Marico;;-24.36445832759101;26.67050992797176;7;River;NaturalEarth_10m_rivers_lake_centerlines
