year,season,noc,iso3,country_pt,gold,silver,bronze,total
1980,winter,NED,NLD,,1,2,1,1
1980,winter,NOR,NOR,Noruega,1,3,6,1
1980,winter,SWE,SWE,Suécia,3,0,1,3
1980,winter,USA,USA,Estados Unidos,6,4,2,6
1984,winter,CAN,CAN,Canadá,2,1,1,4
1984,winter,SUI,CHE,Suíça,2,2,1,5
1984,winter,FIN,FIN,Finlândia,4,3,6,13
1984,winter,ITA,ITA,Itália,2,0,0,2
1984,winter,NOR,NOR,Noruega,3,2,4,9
1984,winter,SWE,SWE,Suécia,4,2,2,8
1984,winter,USA,USA,Estados Unidos,4,4,0,8
2010,winter,AUT,AUT,Áustria,4,6,6,16
2010,winter,SUI,CHE,Suíça,6,0,3,9
2010,winter,CHN,CHN,China,5,2,4,11
2010,winter,GER,DEU,Alemanha,10,13,7,30
2010,winter,KOR,KOR,Coreia do Sul,6,6,2,14
2010,winter,NED,NLD,,4,1,3,8
2010,winter,NOR,NOR,Noruega,9,8,6,23
2010,winter,SWE,SWE,Suécia,5,2,5,12
2010,winter,USA,USA,Estados Unidos,9,15,13,37
