iso3;country;continent;area_km2;highest_point;highest_point_m;capital;latitude;longitude;avg_temp_c;avg_precip_mm;description;source_climate
CZE;Chéquia;Europa;0.078866;Sněžka;1603.3;Praga;50.0875;14.421388888;;;país da Europa Central;
DEU;Alemanha;Europa;0.35758777;Zugspitze;2962.06;Berlim;52.516666666;13.383333333;;;país da Europa Central;
DJI;Djibouti;África;0.0232;Mousa Ali;2028.0;Djibouti;11.595;43.148055555;;;país de África;
DMA;Dominica;América do Norte e América Central;0.000751096551;Morne Diablotins;1447.0;Roseau;15.3;-61.383333333;;;país no Caribe;
DNK;Dinamarca;Europa;0.04292546;Møllehøj;170.86;Copenhaga;55.676111111;12.568888888;;;país da Europa;
DOM;República Dominicana;América do Norte e América Central;0.04867082;Pico Duarte;3101.0;São Domingos;18.4625;-69.936111111;;;país no Caribe;
DZA;Argélia;África;2.381741;Tahat;2908.0;Argel;36.776388888;3.058611111;;;país no norte da África;
ECU;Equador;América do Sul;0.25720427;Vulcão Chimborazo;6263.47;Quito;-0.22;-78.5125;;;país na América do Sul;
EGY;Egito;África;1.01040787;Monte Santa Catarina;2629.0;Cairo;30.044444444;31.235833333;;;país transcontinental, localizado na África e Ásia;
EGY;Egito;África;1.01040787;Monte Santa Catarina;2637.0;Cairo;30.044444444;31.235833333;;;país transcontinental, localizado na África e Ásia;
ERI;Eritreia;África;0.1176;Soira;3013.0;Asmara;15.333333333;38.916666666;;;país localizado no Chifre da África;
ERI;Eritreia;África;0.1176;Soira;3018.0;Asmara;15.333333333;38.916666666;;;país localizado no Chifre da África;
ESP;Espanha;Europa;0.50599;Teide;3715.0;Madrid;40.416944444;-3.703333333;;;país europeu;
EST;Estónia;Europa;0.045335;Suur Munamägi;317.4;Tallinn;59.437222222;24.745;;;país europeu;
ETH;Etiópia;África;1.1043;Ras Dashan;4533.0;Adis Abeba;9.027222222;38.736944444;;;país de África;
FIN;Finlândia;Europa;0.33847834000000004;Halti;1361.4;Helsínquia;60.170833333;24.9375;;;país na Europa;
FJI;Fiji;Oceania;0.018274;Monte Tomanivi;1324.0;Suva;-18.133333333;178.433333333;;;país da Oceania;
FRA;França;Europa;0.643801;Monte Branco;4805.59;Paris;48.856666666;2.352222222;;;país na Europa Ocidental;
FSM;Micronésia;Oceania;0.000702;Dolohmwar;791.0;Paliquir;6.917777777;158.185;;;país na Oceania;
FSM;Micronésia;Oceania;0.000702;Dolohmwar;791.0;Paliquir;6.917777777;158.185;;;país na Oceania;
GAB;Gabão;África;0.267667;Monte Bengoué;1070.0;Libreville;0.3901;9.4544;;;país de África;
GBR;Reino Unido;Europa;0.242495;Ben Nevis;1344.527;Londres;51.507222222;-0.1275;;;nação insular na Europa Ocidental;
GEO;Geórgia;Europa;0.0697;Chkhara;5193.2;Tiblíssi;41.7225;44.7925;;;país no Cáucaso;
GHA;Gana;África;0.238535;Monte Afadja;2904.0;Acra;5.55602;-0.1969;;;país de África;
GHA;Gana;África;0.238535;Monte Afadja;885.0;Acra;5.55602;-0.1969;;;país de África;
GIN;Guiné;África;0.245857;Monte Richard-Molard;1752.0;Conacri;9.509166666;-13.712222222;;;país na África Ocidental;
GMB;Gâmbia;África;0.0113;;;Banjul;13.453055555;-16.5775;;;país em África;
GNB;Guiné-Bissau;África;0.036125;Monte Torin;262.0;Bissau;11.859166666;-15.595555555;;;país da África ocidental;
GNQ;Guiné Equatorial;África;0.028051;Pico Basilé;3011.0;Malabo;3.752063888;8.7737;;;país de África;
GRC;Grécia;Europa;0.131957;Monte Olimpo;2917.727;Atenas;37.984166666;23.728055555;;;país na Europa;
GRD;Granada;América do Norte e América Central;0.0003485;Monte Saint Catherine;840.0;São Jorge;12.0525;-61.753055555;;;país no Caribe;
GRL;Gronelândia;América do Norte e América Central;2.166086;Gunnbjørn;3694.0;Nuuk;64.175;-51.733333333;;;território autónomo do Reino da Dinamarca na América do Norte;
GTM;Guatemala;América do Norte e América Central;0.108889;Monte Tajumulco;4203.0;Cidade da Guatemala;14.641666666;-90.513333333;;;país na América Central;
GUY;Guiana;América do Sul;0.21497;Monte Roraima;2810.0;Georgetown;6.805833333;-58.150833333;;;país na América do Sul;
HND;Honduras;América do Norte e América Central;0.112492;Cerro Las Minas;2849.0;Tegucigalpa;14.105783333;-87.204705555;;;país na América Central;
HRV;Croácia;Europa;0.056594;Dinara;1831.0;Zagreb;45.813055555;15.977222222;;;país no sudeste da Europa;
HTI;Haiti;América do Norte e América Central;0.02775;Pic la Selle;2674.0;Porto Príncipe;18.546944444;-72.340277777;;;país no Caribe;
