m49;country;year;immigrants;emigrants
64;Bhutan;2015;51106.0;47807.0
64;Bhutan;2020;53612.0;52339.0
64;Bhutan;2024;55705.0;66145.0
68;Bolivia (Plurinational State of);1990;73758.0;199843.0
68;Bolivia (Plurinational State of);1995;83598.0;236253.0
68;Bolivia (Plurinational State of);2000;92658.0;281557.0
68;Bolivia (Plurinational State of);2005;107745.0;456266.0
68;Bolivia (Plurinational State of);2010;122846.0;648912.0
68;Bolivia (Plurinational State of);2015;143008.0;646591.0
68;Bolivia (Plurinational State of);2020;164121.0;744014.0
68;Bolivia (Plurinational State of);2024;183234.0;783473.0
70;Bosnia and Herzegovina;1990;56000.0;1108999.0
70;Bosnia and Herzegovina;1995;69476.0;1705561.0
70;Bosnia and Herzegovina;2000;82952.0;1624537.0
70;Bosnia and Herzegovina;2005;47287.0;1494812.0
70;Bosnia and Herzegovina;2010;38945.0;1481062.0
70;Bosnia and Herzegovina;2015;38597.0;1477261.0
70;Bosnia and Herzegovina;2020;36042.0;1542552.0
70;Bosnia and Herzegovina;2024;34120.0;1608324.0
72;Botswana;1990;27510.0;23982.0
72;Botswana;1995;40168.0;17487.0
72;Botswana;2000;74934.0;22155.0
72;Botswana;2005;84661.0;22158.0
72;Botswana;2010;94863.0;19869.0
72;Botswana;2015;103053.0;18161.0
72;Botswana;2020;110268.0;17397.0
72;Botswana;2024;116402.0;16731.0
76;Brazil;1990;803218.0;446721.0
76;Brazil;1995;732622.0;626103.0
76;Brazil;2000;687362.0;902341.0
76;Brazil;2005;641029.0;1215342.0
76;Brazil;2010;596859.0;1365997.0
76;Brazil;2015;646540.0;1402267.0
76;Brazil;2020;1048866.0;1854912.0
76;Brazil;2024;1406299.0;2194325.0
84;Belize;1990;30404.0;3528.0
84;Belize;1995;33446.0;3627.0
84;Belize;2000;36488.0;3849.0
84;Belize;2005;41438.0;4380.0
84;Belize;2010;46390.0;5247.0
84;Belize;2015;54615.0;5970.0
84;Belize;2020;62043.0;6694.0
84;Belize;2024;68706.0;7383.0
90;Solomon Islands;1990;4226.0;2171.0
90;Solomon Islands;1995;4178.0;2348.0
90;Solomon Islands;2000;3981.0;2398.0
90;Solomon Islands;2005;3271.0;2671.0
90;Solomon Islands;2010;2760.0;3024.0
90;Solomon Islands;2015;2585.0;3447.0
90;Solomon Islands;2020;2520.0;4047.0
90;Solomon Islands;2024;2469.0;8352.0
92;British Virgin Islands*;1990;8035.0;3832.0
