iso3;qid_country;lang_qid;lang_label
CMR;Q1009;Q35280;Língua bamum
CMR;Q1009;Q35296;Ekoi
CMR;Q1009;Q35299;Dowayo
CMR;Q1009;Q35317;Língua eton
CMR;Q1009;Q35408;ipulo
CMR;Q1009;Q35431;Suwu
CMR;Q1009;Q35434;Gyele
CMR;Q1009;Q35447;Língua jukun takum
CMR;Q1009;Q35449;Ceve
CMR;Q1009;Q35459;Língua ewondo
CMR;Q1009;Q35541;Cameroon Pidgin
CMR;Q1009;Q35554;Kare
CMR;Q1009;Q35562;Kemezung
CMR;Q1009;Q35566;Nzime
CMR;Q1009;Q35567;Kwa’
CMR;Q1009;Q35582;Kol
CMR;Q1009;Q35624;Kwakum
CMR;Q1009;Q35626;Korop
CMR;Q1009;Q35632;Koshin
CMR;Q1009;Q35634;Koma
CMR;Q1009;Q35641;Kwanja
CMR;Q1009;Q35643;Fa’
CMR;Q1009;Q35645;Kuteb
CMR;Q1009;Q35650;Kenyang
CMR;Q1009;Q35681;Karang
CMR;Q1009;Q35751;Kendem
CMR;Q1009;Q35755;Língua kako
CMR;Q1009;Q35788;Língua nso
CMR;Q1009;Q35795;Voko
CMR;Q1009;Q35799;Manta
CMR;Q1009;Q35801;Língua limbum
CMR;Q1009;Q35803;Makaa
CMR;Q1009;Q35806;Limba
CMR;Q1009;Q35819;Língua mafa
CMR;Q1009;Q35837;Ndoro
CMR;Q1009;Q35839;Mundani
CMR;Q1009;Q35842;Nagumi
CMR;Q1009;Q35843;Mbule
CMR;Q1009;Q35862;Vere
CMR;Q1009;Q35863;Nkongho
CMR;Q1009;Q35868;Mbu’
CMR;Q1009;Q35898;Njem
CMR;Q1009;Q35908;Mpiemo
CMR;Q1009;Q35917;Mengisa
CMR;Q1009;Q35924;Mpumpong
CMR;Q1009;Q36011;Mbo
CMR;Q1009;Q36016;Nda’nda’
CMR;Q1009;Q36017;Məgaka
CMR;Q1009;Q36019;Medumba
CMR;Q1009;Q36032;Língua mundang
CMR;Q1009;Q36051;Ngwo
CMR;Q1009;Q36054;Meta'
CMR;Q1009;Q36064;Mboa
CMR;Q1009;Q36068;Nga'ka
CMR;Q1009;Q36069;Nimbari
CMR;Q1009;Q36072;Noni
CMR;Q1009;Q36078;Menka
CMR;Q1009;Q36080;Mesaka
CMR;Q1009;Q36083;Naki
CMR;Q1009;Q36089;Ndemli
CMR;Q1009;Q36112;Njen
CMR;Q1009;Q36127;Mundabli
CMR;Q1009;Q36132;Mmen
CMR;Q1009;Q36141;Kamkam
CMR;Q1009;Q36170;Língua mbum
CMR;Q1009;Q36181;Ngwe
CMR;Q1009;Q36241;Pana
CMR;Q1009;Q36243;Osatu
CMR;Q1009;Q36250;Língua pinyin
CMR;Q1009;Q36270;Baca
CMR;Q1009;Q36278;Oroko
CMR;Q1009;Q36286;Ngiemboon
CMR;Q1009;Q36287;Ngomba
CMR;Q1009;Q36289;Oku
CMR;Q1009;Q36292;Ngombale
CMR;Q1009;Q36309;Oblo
CMR;Q1009;Q36358;Gunu
CMR;Q1009;Q36361;Ngie
CMR;Q1009;Q36373;Nyong
CMR;Q1009;Q36374;Nzakambay
CMR;Q1009;Q36377;Kutin
CMR;Q1009;Q36381;Chamba Leko
CMR;Q1009;Q36408;Pol
CMR;Q1009;Q36418;Saari
CMR;Q1009;Q36428;Kpwe
CMR;Q1009;Q36475;Nizaa
CMR;Q1009;Q36483;Língua ticar
CMR;Q1009;Q36518;Tigon
CMR;Q1009;Q36594;Northwest Gbaya
CMR;Q1009;Q36598;Tibea
CMR;Q1009;Q36604;Swo
CMR;Q1009;Q36621;Tuki
CMR;Q1009;Q36632;Nen
CMR;Q1009;Q36646;Tupuri
CMR;Q1009;Q36889;Wawa
CMR;Q1009;Q36897;Vute
CMR;Q1009;Q36899;Yasa
CMR;Q1009;Q36904;Yamba
CMR;Q1009;Q36917;Yemba
CMR;Q1009;Q36973;Wushi
CMR;Q1009;Q37051;Wumboko
CMR;Q1009;Q56246;Língua hdi
CMR;Q1009;Q56249;Língua pévé
CMR;Q1009;Q56251;Língua kera
CMR;Q1009;Q56254;Bata
CMR;Q1009;Q56268;Vemgo-Mabas
CMR;Q1009;Q56272;Língua bana
CMR;Q1009;Q56280;Baldemu
CMR;Q1009;Q56287;Língua buduma
CMR;Q1009;Q56288;Jimi
CMR;Q1009;Q56297;Jina
CMR;Q1009;Q56300;Zizilivakan
CMR;Q1009;Q56303;North Mofu
CMR;Q1009;Q56304;Psikyɛ
CMR;Q1009;Q56313;Ɗugwor
CMR;Q1009;Q56328;Língua musey
CMR;Q1009;Q56434;Afade
CMR;Q1009;Q56497;Árabe chadiano
CMR;Q1009;Q56532;Hina
CMR;Q1009;Q56626;Zumaya
CMR;Q1009;Q56668;Língua massa
CMR;Q1009;Q56791;Sharwa
CMR;Q1009;Q56798;Hya
CMR;Q1009;Q56800;Língua zulgo
CMR;Q1009;Q1345684;Leti
CMR;Q1009;Q1365132;Mofu-Gudur
CMR;Q1009;Q1656595;Língua kom
CMR;Q1009;Q1965222;Língua moloko
CMR;Q1009;Q2372207;Ngambay
CMR;Q1009;Q3123545;Musgu
CMR;Q1009;Q3280670;Mpade
CMR;Q1009;Q3436612;Bung
CMR;Q1009;Q3441180;Língua gavar
CMR;Q1009;Q3441188;Gvoko
CMR;Q1009;Q3441206;Maɗa
CMR;Q1009;Q3441230;Gude
CMR;Q1009;Q3441249;Wandala
CMR;Q1009;Q3441285;Glavda
CMR;Q1009;Q3441299;Nzanyi
CMR;Q1009;Q3501751;Matal
CMR;Q1009;Q3501871;Mefele
CMR;Q1009;Q3502213;Mbuko
CMR;Q1009;Q3502224;Malgbe
CMR;Q1009;Q3502232;South Giziga
CMR;Q1009;Q3502264;Língua logone
CMR;Q1009;Q3502273;Maslam
CMR;Q1009;Q3502301;Muyang
CMR;Q1009;Q3502314;Merey
CMR;Q1009;Q3502326;Tsuvan
CMR;Q1009;Q3502347;Mser
CMR;Q1009;Q3515056;Cuvok
CMR;Q1009;Q3515065;Buwal
CMR;Q1009;Q3515078;Wuzlam
CMR;Q1009;Q3515084;North Giziga
CMR;Q1009;Q3515088;Vame
CMR;Q1009;Q3515096;Parkwa
CMR;Q1009;Q3913342;Daba
CMR;Q1009;Q3914048;Usaghade
CMR;Q1009;Q3915366;Luo
CMR;Q1009;Q3915846;Yukuben
CMR;Q1009;Q5018037;Caka
CMR;Q1009;Q5211865;Dama
CMR;Q1009;Q5252754;Dek
CMR;Q1009;Q5313405;Duli
CMR;Q1009;Q5368975;Eman
CMR;Q1009;Q5433811;Fang
CMR;Q1009;Q6089423;Isu
CMR;Q1009;Q6427122;Kolbila
CMR;Q1009;Q6442398;Kuk
CMR;Q1009;Q6444510;Kung
CMR;Q1009;Q6445233;Kuo
CMR;Q1009;Q6460637;La'bi
CMR;Q1009;Q6473933;Laimbue
CMR;Q1009;Q6737666;Majera
CMR;Q1009;Q6748872;Mangbai
CMR;Q1009;Q6750551;Mankon
CMR;Q1009;Q6798209;Mazagway
CMR;Q1009;Q6799713;Mbodomo
CMR;Q1009;Q6799790;Mbudum
CMR;Q1009;Q6826794;Mfumte
CMR;Q1009;Q6983667;Língua ndai
CMR;Q1009;Q7022582;Ngoshie
CMR;Q1009;Q7067553;Nsei
CMR;Q1009;Q7129017;Pam
CMR;Q1009;Q7811216;To
CMR;Q1009;Q7853459;Tuotomb
CMR;Q1009;Q7857682;Twendi
CMR;Q1009;Q7979690;Weh
CMR;Q1009;Q8048020;Yambeta
CMR;Q1009;Q8070885;Zhoa
CMR;Q1009;Q10964025;Mbe'
CMR;Q1009;Q11015189;Dugun
CMR;Q1009;Q11016905;Gimnime
CMR;Q1009;Q11031964;Mono
CMR;Q1009;Q11128658;Iyive
CMR;Q1009;Q11128866;Kwaja
CMR;Q1009;Q11129537;Mendankwe-Nkwen
CMR;Q1009;Q11129694;Ngamambo
CMR;Q1009;Q11152236;Gimme
CMR;Q1009;Q11297920;Ncane
CMR;Q1009;Q12952414;Elip
CMR;Q1009;Q12952419;North Fali
CMR;Q1009;Q12953315;Yangben
CMR;Q1009;Q13123461;Mmaala
CMR;Q1009;Q13479983;Mandi
CMR;Q1009;Q15637215;Central Kanuri
CMR;Q1009;Q15637351;South Fali
CMR;Q1009;Q19359039;Cameroon Mambila
CMR;Q1009;Q19573407;Nyokon
COD;Q974;Q150;francês
COD;Q974;Q33052;bemba
COD;Q974;Q33501;Mono
COD;Q974;Q33573;Língua kinyarwanda
COD;Q974;Q33601;Kaonde
COD;Q974;Q33607;Lunda
COD;Q974;Q33702;Kikongo
COD;Q974;Q33954;Língua sango
COD;Q974;Q34173;Língua tshiluba
COD;Q974;Q34819;Bango
COD;Q974;Q34867;Bamwe
COD;Q974;Q34893;Barambu
COD;Q974;Q34895;Bangba
COD;Q974;Q34910;Ntomba-Bolia
COD;Q974;Q34936;Bangi
COD;Q974;Q34989;Língua bangala
COD;Q974;Q35015;Língua zande
COD;Q974;Q35055;Bomboli
COD;Q974;Q35066;Buraka
COD;Q974;Q35071;Londo
COD;Q974;Q35080;Boma
COD;Q974;Q35089;Boko
COD;Q974;Q35202;Ding
COD;Q974;Q35303;Dongo
COD;Q974;Q35306;Gbanzili
COD;Q974;Q35588;Yaka
COD;Q974;Q35894;Ngwii
COD;Q974;Q35915;Mfinu
COD;Q974;Q35981;Mündü
COD;Q974;Q36022;Ngbaka Gbaya
COD;Q974;Q36056;Mbuun
COD;Q974;Q36098;Lamba
COD;Q974;Q36157;Luba-Katanga
COD;Q974;Q36217;Língua lingala
COD;Q974;Q36267;Pambia
COD;Q974;Q36469;Tiene
COD;Q974;Q36473;teke-ebo
COD;Q974;Q36691;Sakata
COD;Q974;Q36953;Yansi
COD;Q974;Q56296;Língua asoa
COD;Q974;Q56327;Língua mangbetu
COD;Q974;Q56354;Efe
COD;Q974;Q56507;Língua alur
COD;Q974;Q56685;Língua avokaya
COD;Q974;Q56733;Lele
COD;Q974;Q56795;Omi
COD;Q974;Q112893;Mongo
COD;Q974;Q523823;Língua lendu
COD;Q974;Q788423;Amba
COD;Q974;Q1530394;Lika
COD;Q974;Q2361829;Língua konjo
COD;Q974;Q2422065;Côkwe
COD;Q974;Q2613465;Tetela
COD;Q974;Q2613477;Logoti
COD;Q974;Q2802914;East Teke
COD;Q974;Q2872082;Aushi
COD;Q974;Q2880165;Baka
COD;Q974;Q2896850;Bira
COD;Q974;Q2902626;Bila
COD;Q974;Q2909984;Dengese
COD;Q974;Q3033547;Kakwa
COD;Q974;Q3033594;Mamvu
COD;Q974;Q3046889;Budza
COD;Q974;Q3065432;Hunde
COD;Q974;Q3123524;Ngombe
COD;Q974;Q3130911;Língua songe
COD;Q974;Q3139484;Holoholo
COD;Q974;Q3195598;Kete
COD;Q974;Q3196953;Língua nande
COD;Q974;Q3200846;Kwese
COD;Q974;Q3272737;Língua lugbara
COD;Q974;Q3438316;Sanga
COD;Q974;Q3438330;Bangubangu
COD;Q974;Q3438444;Guru
COD;Q974;Q3441160;Furu
COD;Q974;Q3441375;Beeke
COD;Q974;Q3447440;Bwile
COD;Q974;Q3449964;Bushong
COD;Q974;Q3450207;Budu
COD;Q974;Q3450590;Ngiri
COD;Q974;Q3481999;Língua shi
COD;Q974;Q3515058;Bwa
COD;Q974;Q3515074;Baali
COD;Q974;Q3913277;Ngando
COD;Q974;Q3913339;Nzakara
COD;Q974;Q3915310;Mbandja
COD;Q974;Q3915331;Mbaka
COD;Q974;Q4121133;Holu
COD;Q974;Q4144560;Loki
COD;Q974;Q4286464;Mba
COD;Q974;Q4849710;Bala
COD;Q974;Q4885023;Bembe
COD;Q974;Q4901671;Bhele
COD;Q974;Q4914403;Binji
COD;Q974;Q4914576;Binza
COD;Q974;Q4952785;Bozaba
COD;Q974;Q5003401;Buyu
COD;Q974;Q5003678;Bwela
COD;Q974;Q5319622;Dzando
COD;Q974;Q5381452;Enya
COD;Q974;Q13123409;Joba
COD;Q974;Q13123561;Tembo (Kitembo)
COD;Q974;Q13123599;Yango
COD;Q974;Q14916883;Lega-Mwenga
COD;Q974;Q17522631;Northern Ngbandi
COD;Q974;Q17522635;Southern Ngbandi
COD;Q974;Q42303990;Mid-Southern Banda
COD;Q974;Q63283489;Kituba (Democratic Republic of Congo)
COD;Q974;Q5464911;Foma
COD;Q974;Q5531038;Gendza
COD;Q974;Q5684097;Havu
COD;Q974;Q5710904;Hema
COD;Q974;Q5711209;Hemba
COD;Q974;Q5713543;Hendo
COD;Q974;Q6344539;Kabwari
COD;Q974;Q6347840;Kaiku
COD;Q974;Q6362818;Kango
COD;Q974;Q6370438;Kari
COD;Q974;Q6385426;Kela
COD;Q974;Q6385549;Kele
COD;Q974;Q6428450;Komo
COD;Q974;Q6448199;Kusu
COD;Q974;Q6480112;Lala-Bisa
COD;Q974;Q6480326;Lalia
COD;Q974;Q6522474;Língua lengola
COD;Q974;Q6683546;Losengo
COD;Q974;Q6706953;Lwalu
COD;Q974;Q6720909;Ma
COD;Q974;Q6748877;Mangbutu
COD;Q974;Q6797580;Mayogo
COD;Q974;Q6799583;Mbala
COD;Q974;Q6799676;Mbesa
COD;Q974;Q6799710;Mbo
COD;Q974;Q6799727;Mbole
COD;Q974;Q6883590;Mituku
COD;Q974;Q6944591;Mvuba
COD;Q974;Q6983774;Ndo
COD;Q974;Q6983788;Ndolo
COD;Q974;Q6983857;Ndunga
COD;Q974;Q7022243;Ngbee
COD;Q974;Q7022266;Ngelima
COD;Q974;Q7022396;Ngiti
COD;Q974;Q7070830;Nyali
COD;Q974;Q7070876;Nyanga-li
COD;Q974;Q7070879;Nyanga
COD;Q974;Q7089928;Ombo
COD;Q974;Q7124357;Pagibete
COD;Q974;Q7162372;Pende
COD;Q974;Q7166821;Fuliiru
COD;Q974;Q7193313;Nkutu
COD;Q974;Q7194986;Gobu
COD;Q974;Q7208577;Poke
COD;Q974;Q7383564;Ruund
COD;Q974;Q7403607;Salampasu
COD;Q974;Q7442316;Seba
COD;Q974;Q7450555;Sengele
COD;Q974;Q7453056;Sere
COD;Q974;Q7555138;Soko
COD;Q974;Q7560881;Sonde
COD;Q974;Q7561296;Língua songola
COD;Q974;Q7673650;Tabwa
COD;Q974;Q7675188;Tagbo
COD;Q974;Q7679530;Língua talinga
COD;Q974;Q7915259;Vanuma
COD;Q974;Q8032058;Wongo
COD;Q974;Q8051428;Yela
COD;Q974;Q8071960;Zimba
COD;Q974;Q8836662;Bendi
COD;Q974;Q9229429;Bomboma
COD;Q974;Q10961696;Suaíli congolês
COD;Q974;Q10961975;Kiyombe
COD;Q974;Q10975396;Hungana
COD;Q974;Q10977716;Gilima
COD;Q974;Q11002185;Lonzo
COD;Q974;Q11002922;Togbo-Vara Banda
COD;Q974;Q11003249;Mabaale
COD;Q974;Q11003832;luna
COD;Q974;Q11008360;Kango-Sua
COD;Q974;Q11008568;Ndobo
COD;Q974;Q11008893;Yamongeri
COD;Q974;Q11011614;Likila
COD;Q974;Q11011905;Moingi
COD;Q974;Q11013108;Tembo
COD;Q974;Q11017686;San Salvador Kongo
COD;Q974;Q11028905;Hamba
COD;Q974;Q11029738;Pelende
COD;Q974;Q11030685;Nyindu
COD;Q974;Q11033939;Lese
COD;Q974;Q11057478;Ngongo
COD;Q974;Q11110766;Língua kaniok
COD;Q974;Q11120157;Samba
COD;Q974;Q11126081;Ngbundu
COD;Q974;Q11129517;Mayeka
COD;Q974;Q11130292;Ntomba
COD;Q974;Q11132859;Ngbinda
COD;Q974;Q11137550;Langbashe
COD;Q974;Q11154769;Kpala
COD;Q974;Q11154772;Monzombo
COD;Q974;Q11164947;Ndaka
COD;Q974;Q11167192;Lombo
COD;Q974;Q11259563;Lombi
COD;Q974;Q11275553;Língua keliko
COD;Q974;Q11732666;Suku
COD;Q974;Q12952571;Kanu
COD;Q974;Q12952687;Kwami
COD;Q974;Q12952719;Lega-Shabunda
COD;Q974;Q12952953;Ngundu
COD;Q974;Q12953148;Nsong
COG;Q971;Q150;francês
COG;Q971;Q34802;Akwa
COG;Q971;Q34936;Bangi
COG;Q971;Q34942;Bonjo
COG;Q971;Q34950;Bekwil
COG;Q971;Q34984;Bomwali
COG;Q971;Q35063;Bomitaba
COG;Q971;Q35067;Bwisi
COG;Q971;Q35084;Bongili
COG;Q971;Q35180;Dibole
COG;Q971;Q35597;Kwala
COG;Q971;Q35607;Kota
COG;Q971;Q35646;Kuba
COG;Q971;Q35649;Koyo
COG;Q971;Q35746;Língua quituba
COG;Q971;Q35793;Lumbu
COG;Q971;Q35898;Njem
COG;Q971;Q35904;Ndasa
COG;Q971;Q35908;Mpiemo
COG;Q971;Q35916;Ngondi
COG;Q971;Q35920;Ngungwel
COG;Q971;Q35923;Njebi
COG;Q971;Q35928;Mbangwe
COG;Q971;Q36022;Ngbaka Gbaya
COG;Q971;Q36035;Mboshi
COG;Q971;Q36058;Mboko
COG;Q971;Q36062;Mbere
COG;Q971;Q36087;Ngom
COG;Q971;Q36217;Língua lingala
COG;Q971;Q36401;punu
COG;Q971;Q36407;Mbama
COG;Q971;Q36473;teke-ebo
COG;Q971;Q36478;North Teke
COG;Q971;Q36543;Teke-Laali
COG;Q971;Q36560;Kukuya
COG;Q971;Q36603;Fuumu
COG;Q971;Q36606;Teke-Nzikou
COG;Q971;Q36634;Teke-Tyee
COG;Q971;Q36675;Tsaangi
COG;Q971;Q36891;Wumbvu
COG;Q971;Q36909;Yaka
COG;Q971;Q2802914;East Teke
COG;Q971;Q3196320;Língua bembe
COG;Q971;Q3196559;Kunyi
COG;Q971;Q3217917;Laari
COG;Q971;Q3558409;Vili
COG;Q971;Q3915310;Mbandja
COG;Q971;Q7650407;Suundi
COG;Q971;Q10961975;Kiyombe
COG;Q971;Q11003401;Doondo
COG;Q971;Q11010149;Aka
COG;Q971;Q11042324;Kaamba
COG;Q971;Q11124792;Moye
COG;Q971;Q11154772;Monzombo
COG;Q971;Q12953639;Kituba (Congo)
COG;Q971;Q33123613;Teke-Tsaayi
COK;Q26988;Q1860;inglês
COK;Q26988;Q36447;língua pakapuka
COK;Q26988;Q36745;Maori das Ilhas Cook
COK;Q26988;Q3119695;Língua rakahanga
COK;Q26988;Q3130301;Língua penrhyn
COK;Q26988;Q31204110;Rarotongan
COL;Q739;Q1321;espanhol
COL;Q739;Q33677;Língua páez
COL;Q739;Q34333;nheengatu
COL;Q739;Q35491;Inga
COL;Q739;Q36535;Tanimuca-Retuarã
COL;Q739;Q36665;Palenquero
COL;Q739;Q891085;Língua wayuu
COL;Q739;Q924405;Carapana
COL;Q739;Q948514;Minica Huitoto
COL;Q739;Q962392;Língua desana
COL;Q739;Q1815205;ticuna
COL;Q739;Q2044587;Crioulo de San Andrés
COL;Q739;Q2375468;Língua bora
COL;Q739;Q2391297;Língua embera setentrional
COL;Q739;Q2520538;Tuiúcas
COL;Q739;Q2524007;Tatuyo
COL;Q739;Q2603103;Língua awa pit
COL;Q739;Q2640621;Língua arhuaca
COL;Q739;Q2640935;Língua murui huitoto
COL;Q739;Q2669193;Língua sikuani
COL;Q739;Q2669202;Pasto
COL;Q739;Q2669225;Língua andoque
COL;Q739;Q2669254;Língua cofán
COL;Q739;Q2744745;Língua guambiana
COL;Q739;Q2748229;língua de sinais colombiana
COL;Q739;Q2822982;Língua achagua
COL;Q739;Q2842667;Língua camsá
COL;Q739;Q2846078;Língua andaquí
COL;Q739;Q2882543;Curripaco
COL;Q739;Q2883738;Língua bará
COL;Q739;Q2883843;Língua barasana-eduria
COL;Q739;Q2886281;Língua bari
COL;Q739;Q2963680;Língua Chimila
COL;Q739;Q2980375;Guayabero
COL;Q739;Q2980421;Cuiba
COL;Q739;Q3006705;Língua cubeo
COL;Q739;Q3012604;Língua wiwa
COL;Q739;Q3027894;Muinane
COL;Q739;Q3027918;Língua puinave
COL;Q739;Q3027923;Playero
COL;Q739;Q3029805;Tinigua
COL;Q739;Q3052039;Catio
COL;Q739;Q3052041;Emberá-Tadó
COL;Q739;Q3052042;Língua chami
COL;Q739;Q3055682;Língua eperara
COL;Q739;Q3111873;Wounaan
COL;Q739;Q3143384;Língua hupdá
COL;Q739;Q3182577;Ocaina
COL;Q739;Q3192052;Língua cacua
COL;Q739;Q3198286;Kogui
COL;Q739;Q3198924;Koreguaje
COL;Q739;Q3273980;Macaguán
COL;Q739;Q3275059;Macuna
COL;Q739;Q3322084;Língua de Sinais da Providência
COL;Q739;Q3346228;Língua nukak
COL;Q739;Q3382207;Piaroa
COL;Q739;Q3382208;Língua piapoco
COL;Q739;Q3389119;Piratapuyo
COL;Q739;Q3438356;yucuna
COL;Q739;Q3441097;Língua sáliba
COL;Q739;Q3441447;Língua yukpa
COL;Q739;Q3441762;Carabayo
COL;Q739;Q3446613;Anserma
COL;Q739;Q3446655;Língua karihona
COL;Q739;Q3450660;Língua kabiyari
COL;Q739;Q3485116;Língua siona
COL;Q739;Q3485264;Siriano
COL;Q739;Q3504195;Caramanta
COL;Q739;Q3507971;Arma
COL;Q739;Q3532756;Totoro
COL;Q739;Q3541834;Língua tucana
COL;Q739;Q3566001;Língua guanano
COL;Q739;Q3573266;Língua yuruti
COL;Q739;Q3832969;Tama
COL;Q739;Q5054242;Cauca
COL;Q739;Q5372139;Nonuya
COL;Q739;Q6722435;Macaguaje
COL;Q739;Q7193519;Pijao
COL;Q739;Q8050347;Yauna
COL;Q739;Q11173166;Baudo
COL;Q739;Q12953942;Central Tunebo
COL;Q739;Q12953943;Barro Negro Tunebo
COL;Q739;Q16115012;Jungle Inga
COL;Q739;Q25559604;Angosturas Tunebo
COL;Q739;Q31777873;Border Kuna
COL;Q739;Q57660014;Western Tunebo
COM;Q970;Q150;francês
COM;Q970;Q56467;árabe moderno padrão
COM;Q970;Q2850262;Ndzwani Comorian
COM;Q970;Q3114653;Ngazidja Comorian
COM;Q970;Q3319155;Mwali Comorian
CPV;Q1011;Q5146;português
CPV;Q1011;Q35963;crioulo cabo-verdiano
CRI;Q800;Q1321;espanhol
CRI;Q800;Q27878;Língua cabécar
CRI;Q800;Q28400;Língua bribri
CRI;Q800;Q3915581;Língua guaymí
CRI;Q800;Q3915782;Maléku
CRI;Q800;Q4946773;Boruca
CRI;Q800;Q5174901;Língua de Sinais da Costa Rica
CUB;Q241;Q1321;espanhol
CUB;Q241;Q1768321;Língua lucumi
CUB;Q241;Q5192046;Língua de Sinais Cubana
CUW;Q25279;Q7411;neerlandês
CUW;Q25279;Q33856;Papiamento
CXR;Q31063;Q1860;inglês
CYM;Q5785;Q1860;inglês
CYP;Q229;Q256;língua turca
CYP;Q229;Q9129;grego
CYP;Q229;Q36510;grego moderno
CYP;Q229;Q56416;árabe cipriota maronita
CZE;Q213;Q188;alemão
CZE;Q213;Q809;polaco
CZE;Q213;Q9056;checo
CZE;Q213;Q5045611;Romani dos Cárpatos
CZE;Q213;Q5201809;Língua de sinais checa
DEU;Q183;Q188;alemão
DEU;Q183;Q9035;dinamarquês
DEU;Q183;Q9051;língua luxemburguesa
DEU;Q183;Q13248;alto sorábio
DEU;Q183;Q13286;baixo sorábio
DEU;Q183;Q23014;Palatinate German
DEU;Q183;Q25433;baixo-alemão
DEU;Q183;Q27154;frisão oriental
DEU;Q183;Q28224;frisão setentrional
DEU;Q183;Q32145;Língua ripuária
DEU;Q183;Q33282;língua gestual alemã
DEU;Q183;Q131339;Alemânico
DEU;Q183;Q149208;East Frisian Low Saxon
DEU;Q183;Q327274;alemão suábio
DEU;Q183;Q387066;suíço-alemão
DEU;Q183;Q497345;Main-Franconian
DEU;Q183;Q505655;Westfaliano
DEU;Q183;Q699284;Alto saxão
DEU;Q183;Q1365342;Língua yeniche
DEU;Q183;Q6593714;Western Yiddish
DJI;Q977;Q150;francês
DJI;Q977;Q13275;Língua somali
DJI;Q977;Q27811;Língua afar
DJI;Q977;Q56467;árabe moderno padrão
DMA;Q784;Q1860;inglês
DMA;Q784;Q3006285;Crioulo de Santa Lúcia
DNK;Q35;Q188;alemão
DNK;Q35;Q9035;dinamarquês
DNK;Q35;Q25355;gronelandês
DNK;Q35;Q2605298;língua de sinais dinamarquesa
DNK;Q35;Q12640779;Traveller Danish
DNK;Q35;Q15665351;Kalaallisut
DOM;Q786;Q1321;espanhol
DOM;Q786;Q5290820;Dominican Sign Language
DZA;Q262;Q150;francês
DZA;Q262;Q33274;Língua chaouis
DZA;Q262;Q33276;Língua shenwa
DZA;Q262;Q33427;Korandje
DZA;Q262;Q35853;cabila
DZA;Q262;Q36149;Mozabite
DZA;Q262;Q56231;Árabe hassani
DZA;Q262;Q56392;Tidikelt
DZA;Q262;Q56467;árabe moderno padrão
DZA;Q262;Q56499;árabe argelino
DZA;Q262;Q56586;Wargli
DZA;Q262;Q56703;Tamahaq
DZA;Q262;Q56725;Árabe saariano
DZA;Q262;Q3135421;Língua de Sinais Algeriana
DZA;Q262;Q27926110;Gurara
ECU;Q736;Q1321;espanhol
ECU;Q736;Q10206;záparo
ECU;Q736;Q36066;Media Lengua
ECU;Q736;Q617291;Língua shuar
ECU;Q736;Q758570;Língua huaorani
ECU;Q736;Q2567055;Língua tsafiki
ECU;Q736;Q2591329;Língua Cha’ Palaachi
ECU;Q736;Q2603103;Língua awa pit
ECU;Q736;Q2669254;Língua cofán
ECU;Q736;Q2823170;achuar
ECU;Q736;Q3436769;Língua de Sinais do Equador
ECU;Q736;Q3477218;Língua sekoya
ECU;Q736;Q3485116;Língua siona
ECU;Q736;Q7706087;Teteté
ECU;Q736;Q12953845;Chimborazo Highland Quichua
ECU;Q736;Q12953846;Cañar Highland Quichua
ECU;Q736;Q12953847;Salasaca Highland Quichua
ECU;Q736;Q12953848;Northern Pastaza Quichua
ECU;Q736;Q25559690;Calderón Highland Quichua
ECU;Q736;Q25559700;Loja Highland Quichua
ECU;Q736;Q25559701;Imbabura Highland Quichua
ECU;Q736;Q25559706;Napo Lowland Quechua
ECU;Q736;Q62387937;Tena Lowland Quichua
EGY;Q79;Q1860;inglês
EGY;Q79;Q9237;malaio
EGY;Q79;Q29919;árabe egípcio
EGY;Q79;Q33025;Língua beja
EGY;Q79;Q36155;copto
EGY;Q79;Q36814;Língua siwi
EGY;Q79;Q56467;árabe moderno padrão
EGY;Q79;Q56503;Árabe líbio
EGY;Q79;Q56592;Árabe saidi
EGY;Q79;Q56714;Língua árabe do noroeste
EGY;Q79;Q5348443;Língua de Sinais Egípcia
EGY;Q79;Q20639851;Língua kenzi
ERI;Q986;Q1860;inglês
ERI;Q986;Q9237;malaio
ERI;Q986;Q27811;Língua afar
ERI;Q986;Q32260;Dahalik
ERI;Q986;Q33025;Língua beja
ERI;Q986;Q34124;Língua tigrínia
ERI;Q986;Q34129;Língua tigré
ERI;Q986;Q36041;Kunama
ERI;Q986;Q36179;Língua nara
ERI;Q986;Q36353;Língua saho
ERI;Q986;Q56467;árabe moderno padrão
ERI;Q986;Q56491;Língua blin
ESH;Q6250;Q1321;espanhol
ESH;Q6250;Q56231;Árabe hassani
ESH;Q6250;Q56426;Árabe marroquino
ESH;Q6250;Q56467;árabe moderno padrão
ESP;Q29;Q1321;espanhol
ESP;Q29;Q5146;português
ESP;Q29;Q7026;língua catalã
ESP;Q29;Q8752;basco
ESP;Q29;Q8765;Língua aragonesa
ESP;Q29;Q9307;galego
ESP;Q29;Q14185;língua occitana
ESP;Q29;Q29507;asturiano
ESP;Q29;Q30007;estremenho
ESP;Q29;Q32663;Valencian Sign Language
ESP;Q29;Q35466;Caló
ESP;Q29;Q35768;Língua de sinais catalã
ESP;Q29;Q300402;fala da Estremadura
ESP;Q29;Q3100814;Spanish Sign Language
ESP;Q29;Q5908714;Quinqui jargon
EST;Q191;Q7737;russo
EST;Q191;Q9072;estónio
EST;Q191;Q32762;língua võro
EST;Q191;Q34017;Língua seto
