iso3;qid_country;lang_qid;lang_label
AUS;Q408;Q35671;Crioulo australiano
AUS;Q408;Q35677;Gaagudju
AUS;Q408;Q36236;língua malaiala
AUS;Q408;Q36648;Língua crioula do Estreito de Torres
AUS;Q408;Q56543;Guguyimidjir
AUS;Q408;Q58635;Língua panjabi
AUS;Q408;Q580923;Bunuba
AUS;Q408;Q788174;Meriam
AUS;Q408;Q921304;Antakarinya
AUS;Q408;Q954916;Pakanha
AUS;Q408;Q955216;Línguas de sinais de aborígenes australianos
AUS;Q408;Q975399;Martuthunira
AUS;Q408;Q1166814;Dharug
AUS;Q408;Q1284877;Língua gija
AUS;Q408;Q1284885;Ngarinyin
AUS;Q408;Q1285318;Língua dhurga
AUS;Q408;Q1406574;Língua kunwinjku
AUS;Q408;Q1639998;Língua warlpiri
AUS;Q408;Q1656014;Língua tiwi
AUS;Q408;Q1747811;Língua nunggubuyu
AUS;Q408;Q1764544;Warumungu
AUS;Q408;Q1977429;Iwaidja
AUS;Q408;Q2083197;Língua wambaya
AUS;Q408;Q2092246;Wik-Mungkan
AUS;Q408;Q2092286;Wirangu
AUS;Q408;Q2147917;Alawa
AUS;Q408;Q2225391;Adnyamathanha
AUS;Q408;Q2232696;Walmajarri
AUS;Q408;Q2524022;Língua garawa
AUS;Q408;Q2567916;Barrow Point
AUS;Q408;Q2591175;Pintupi
AUS;Q408;Q2591193;Laragiya
AUS;Q408;Q2591251;Ngurmbur
AUS;Q408;Q2591262;Kalau Lagau Ya
AUS;Q408;Q2591320;Djabugay
AUS;Q408;Q2669219;Língua guniyandi
AUS;Q408;Q2669569;Jiwarli
AUS;Q408;Q2714654;Língua enindhilyagwa
AUS;Q408;Q2980386;Língua bundjalung
AUS;Q408;Q2980392;Umbugarla
AUS;Q408;Q2980398;Murrinh-patha
AUS;Q408;Q2982063;Pitjantjatjara
AUS;Q408;Q3053283;Yidiny
AUS;Q408;Q3111818;Língua gamilaraay
AUS;Q408;Q3111847;Miriwung
AUS;Q408;Q3121073;Yinjibarndi
AUS;Q408;Q3162806;Djaru
AUS;Q408;Q3200468;Língua kunjen
AUS;Q408;Q3279409;Alngith
AUS;Q408;Q3295916;martu wangka
AUS;Q408;Q3298041;Língua ngangikurrunggurr
AUS;Q408;Q3303475;Mbabaram
AUS;Q408;Q3327389;Alyawarr
AUS;Q408;Q3339380;Nhanda
AUS;Q408;Q3360016;Amurdag
AUS;Q408;Q3436736;Língua mayi-kutuna
AUS;Q408;Q3436843;Wagiman
AUS;Q408;Q3439071;Barngarla
AUS;Q408;Q3441699;Cocos Malay
AUS;Q408;Q3442732;Nyulnyul
AUS;Q408;Q3442745;Badimaya
AUS;Q408;Q3446651;Atampaya
AUS;Q408;Q3446663;Língua yugambal
AUS;Q408;Q3449138;Awabakal
AUS;Q408;Q3504106;Língua worrorra
AUS;Q408;Q3507959;Arabana
AUS;Q408;Q3508123;Andegerebinha
AUS;Q408;Q3509129;Areba
AUS;Q408;Q3509164;Ayabadhu
AUS;Q408;Q3537135;Tharawal
AUS;Q408;Q3913761;Warluwara
AUS;Q408;Q3913765;Yukulta
AUS;Q408;Q3913767;Warndarang
AUS;Q408;Q3913770;Kayardild
AUS;Q408;Q3913777;Yinggarda
AUS;Q408;Q3913780;Nyigina
AUS;Q408;Q3913785;Dialeto djugun
AUS;Q408;Q3913790;Naboo
AUS;Q408;Q3913796;Ngalakgan
AUS;Q408;Q3913800;Anewan
AUS;Q408;Q3913805;Wunambal
AUS;Q408;Q3913817;Gajirrabeng
AUS;Q408;Q3913820;Dyangadi
AUS;Q408;Q3913823;Warlmanpa
AUS;Q408;Q3913825;Ngiyambaa
AUS;Q408;Q3913830;Panyjima
AUS;Q408;Q3913834;Jurruru
AUS;Q408;Q3913837;Garadjari
AUS;Q408;Q3913840;Wiradjuri
AUS;Q408;Q3913842;Língua wardaman
AUS;Q408;Q3913844;Djawi
AUS;Q408;Q3913852;Língua bardi
AUS;Q408;Q3913856;Wajarri
AUS;Q408;Q3914057;Língua kalkatungu
AUS;Q408;Q3914062;Worimi
AUS;Q408;Q3915409;Língua ngaanyatjarra
AUS;Q408;Q3915412;Kumbainggar
AUS;Q408;Q3915442;Muruwari
AUS;Q408;Q3915672;Mbariman-Gudhinma
AUS;Q408;Q3915677;Umbuygamu
AUS;Q408;Q3915679;Djambarrpuyngu
