iso3,country,christian,muslim,unaffiliated,hindu,buddhist,folk_religions,other_religions,jewish,source_year
GNQ,Equatorial Guinea,88.7,4.0,5.0,0.05,0.05,1.7,0.5,0.05,2010
ERI,Eritrea,62.9,36.6,0.1,0.05,0.05,0.4,0.05,0.05,2010
EST,Estonia,39.9,0.2,59.6,0.05,0.05,0.05,0.05,0.1,2010
ETH,Ethiopia,62.8,34.6,0.05,0.05,0.05,2.6,0.05,0.05,2010
FLK,Falkland Islands (Malvinas),67.2,0.3,31.5,0.05,0.2,0.05,0.8,0.05,2010
FSM,Federated States of Micronesia,95.3,0.05,0.9,0.05,0.4,2.7,0.7,0.05,2010
FJI,Fiji,64.4,6.3,0.8,27.9,0.05,0.05,0.5,0.05,2010
FIN,Finland,81.6,0.8,17.6,0.05,0.05,0.05,0.05,0.05,2010
FRA,France,63.0,7.5,28.0,0.05,0.5,0.3,0.2,0.5,2010
GUF,French Guiana,84.4,0.9,3.4,1.6,0.05,9.1,0.5,0.05,2010
PYF,French Polynesia,94.0,0.05,4.9,0.05,0.05,0.5,0.4,0.05,2010
GAB,Gabon,76.5,11.2,5.6,0.05,0.05,6.0,0.7,0.05,2010
GEO,Georgia,88.5,10.7,0.7,0.05,0.05,0.05,0.05,0.05,2010
DEU,Germany,68.7,5.8,24.7,0.05,0.3,0.05,0.1,0.3,2010
GHA,Ghana,74.9,15.8,4.2,0.05,0.05,4.9,0.2,0.05,2010
GIB,Gibraltar,88.8,4.0,2.9,1.8,0.05,0.05,0.3,2.1,2010
GRC,Greece,88.1,5.3,6.1,0.1,0.05,0.1,0.05,0.05,2010
GRL,Greenland,96.1,0.05,2.5,0.05,0.05,0.8,0.6,0.05,2010
GRD,Grenada,96.6,0.3,1.0,0.7,0.05,1.3,0.2,0.05,2010
GLP,Guadeloupe,95.9,0.4,2.5,0.5,0.05,0.4,0.4,0.05,2010
GUM,Guam,94.2,0.05,1.7,0.05,1.1,1.5,1.6,0.05,2010
