iso3,country,role,person,person_qid,start,end,party,end_cause
LVA,Letônia,head_of_state,Edgars Rinkēvičs,Q3047551,2023-07-08T00:00:00Z,,Reform Party,
MAC,"Macau, RAE da China",head_of_government,Sam Hou Fai,Q7407632,2024-12-20T00:00:00Z,,,
MAR,Marrocos,head_of_government,Aziz Akhannouch,Q1638114,2021-10-07T00:00:00Z,,National Rally of Independents,
MAR,Marrocos,head_of_state,Mohammed VI de Marrocos,Q57553,1999-07-23T00:00:00Z,,,
MCO,Mônaco,head_of_government,Philippe Mettoux,Q33181566,2025-07-04T00:00:00Z,,,
MCO,Mônaco,head_of_state,Alberto II do Mónaco,Q3910,2005-04-06T00:00:00Z,,,
MDA,Moldávia,head_of_government,Dorin Recean,Q13407948,2023-02-16T00:00:00Z,,,
MDA,Moldávia,head_of_state,Maia Sandu,Q15071069,2020-12-24T00:00:00Z,,Partido Ação e Solidariedade,
MDG,Madagascar,head_of_government,Christian Ntsay,Q54806925,2018-06-06T00:00:00Z,,Ind.,
MDG,Madagascar,head_of_state,Andry Rajoelina,Q57363,2023-12-16T00:00:00Z,,Young Malagasies Determined,
MDV,Maldivas,head_of_government,Mohamed Muizzu,Q116293030,2023-11-17T00:00:00Z,,PPM,
MDV,Maldivas,head_of_state,Mohamed Muizzu,Q116293030,2023-11-17T00:00:00Z,,PPM,
MEX,México,head_of_government,Claudia Sheinbaum,Q5771800,2024-10-01T00:00:00Z,,Morena,
MEX,México,head_of_state,Claudia Sheinbaum,Q5771800,2024-09-30T00:00:00Z,,Movimento Regeneração Nacional,
MHL,Ilhas Marshall,head_of_government,Hilda Heine,Q20090884,2024-01-04T00:00:00Z,,Ind.,
MHL,Ilhas Marshall,head_of_state,Hilda Heine,Q20090884,2024-01-04T00:00:00Z,,Ind.,
MKD,Macedônia do Norte,head_of_government,Hristijan Mickoski,Q46675558,2024-06-23T00:00:00Z,,VMRO-DPMNE,
MKD,Macedônia do Norte,head_of_state,Gordana Siljanovska-Davkova,Q12277168,2024-05-12T00:00:00Z,,VMRO-DPMNE,
MLI,Mali,head_of_government,Abdoulaye Maïga,Q113577661,2024-11-21T00:00:00Z,,,
MLI,Mali,head_of_state,Assimi Goita,Q98497406,2021-05-24T00:00:00Z,,,
MLT,Malta,head_of_government,Robert Abela,Q37860840,2020-01-01T00:00:00Z,,Partido Trabalhista,
MLT,Malta,head_of_state,Myriam Spiteri Debono,Q1647394,2024-04-04T00:00:00Z,,Partido Trabalhista,
MMR,Mianmar (Birmânia),head_of_government,Moe Aung,Q116822184,2024-01-07T00:00:00Z,,,
MMR,Mianmar (Birmânia),head_of_state,Min Aung Hlaing,Q3462649,2024-07-22T00:00:00Z,,Union Solidarity and Development Party,
MNE,Montenegro,head_of_government,Milojko Spajić,Q101225458,2023-10-31T00:00:00Z,,Europe Now,
MNE,Montenegro,head_of_state,Jakov Milatović,Q104417661,2023-05-20T00:00:00Z,,Europe Now,
MNG,Mongólia,head_of_government,Gombojavyn Zandanshatar,Q4142905,2025-06-13T00:00:00Z,,Mongolian People's Party,
MNG,Mongólia,head_of_state,Ukhnaagiin Khürelsükh,Q27058418,2021-07-10T00:00:00Z,,Mongolian People's Party,
MNP,Ilhas Marianas do Norte,head_of_government,Arnold Palacios,Q4795194,2023-01-09T00:00:00Z,,GOP,
MOZ,Moçambique,head_of_government,Maria Benvida Levy,Q6761049,2025-01-15T00:00:00Z,,,
MOZ,Moçambique,head_of_state,Daniel Chapo,Q97058466,2025-01-15T00:00:00Z,,FRELIMO,
MRT,Mauritânia,head_of_government,Moctar Ould Diay,Q66793577,2024-08-02T00:00:00Z,,Equity Party,
MRT,Mauritânia,head_of_state,Mohamed Ould Ghazouani,Q12241106,2019-08-01T00:00:00Z,,Union for the Republic,
MSR,Montserrat,head_of_government,Reuben Meade,Q1862326,2024-10-25T00:00:00Z,,MCAP,
MSR,Montserrat,head_of_state,Harriet Cross,Q98425237,2025-04-23T00:00:00Z,,,
MTQ,Martinica,head_of_government,Serge Letchimy,Q608242,,,"Socialist, Radical, Citizen and Miscellaneous Left",
MUS,Maurício,head_of_government,Pravind Jugnauth,Q3401447,2017-01-23T00:00:00Z,,Militant Socialist Movement,
MUS,Maurício,head_of_state,Dharam Gokhool,Q131403499,2024-12-07T00:00:00Z,,Mauritian Militant Movement,
MWI,Malaui,head_of_government,Lazarus Chakwera,Q16202782,2020-06-28T00:00:00Z,,Malawi Congress Party,
MWI,Malaui,head_of_state,Lazarus Chakwera,Q16202782,2020-06-28T00:00:00Z,,Malawi Congress Party,
MYS,Malásia,head_of_government,Anwar Ibrahim,Q299574,2022-11-24T00:00:00Z,,UMNO,
MYS,Malásia,head_of_state,Ibrahim Ismail de Johor,Q2657043,2024-01-31T00:00:00Z,,,
MYT,Mayotte,head_of_government,Ben Issa Ousseni,Q63765801,2021-07-01T00:00:00Z,,Os Republicanos,
NAM,Namíbia,head_of_government,Elijah Ngurare,Q5360975,2025-03-21T00:00:00Z,,SWAPO,
NAM,Namíbia,head_of_state,Netumbo Nandi-Ndaitwah,Q527020,2025-03-21T00:00:00Z,,SWAPO,
NCL,Nova Caledônia,head_of_government,Philippe Germain,Q3379907,,,Caledonia Together,
NER,Níger,head_of_government,Ali Lamine Zeine,Q2646711,2023-08-08T00:00:00Z,,National Movement for the Development of Society,
NER,Níger,head_of_state,Abdourahamane Tchiani,Q120965176,2023-07-28T00:00:00Z,,,
NGA,Nigéria,head_of_government,Bola Tinubu,Q3510872,2023-05-29T00:00:00Z,,AD | APC,
NGA,Nigéria,head_of_state,Bola Tinubu,Q3510872,2023-05-29T00:00:00Z,,AD | APC,
NIC,Nicarágua,head_of_government,Rosario Murillo,Q3034382,2025-02-18T00:00:00Z,,Sandinista National Liberation Front,
NIC,Nicarágua,head_of_state,Rosario Murillo,Q3034382,2025-02-18T00:00:00Z,,Sandinista National Liberation Front,
NIU,Niue,head_of_government,Dalton Tagelagi,Q19876617,2020-06-11T00:00:00Z,,Ind.,
NIU,Niue,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
NLD,Países Baixos,head_of_government,Dick Schoof,Q22338116,2024-07-02T00:00:00Z,,Ind.,
NLD,Países Baixos,head_of_state,Guilherme Alexandre dos Países Baixos,Q154952,2013-04-30T00:00:00Z,,,
NOR,Noruega,head_of_government,Jonas Gahr Støre,Q467948,2021-10-14T00:00:00Z,,Norwegian Labour Party,
NOR,Noruega,head_of_state,Harald V da Noruega,Q57287,1991-01-17T00:00:00Z,,,
NPL,Nepal,head_of_government,Sushila Karki,Q23842116,2025-09-12T00:00:00Z,,Ind.,
NPL,Nepal,head_of_state,Ram Chandra Poudel,Q3183124,2023-03-13T00:00:00Z,,Nepali Congress,
NRU,Nauru,head_of_government,David Adeang,Q58096,2023-10-30T00:00:00Z,,Nauru First,
NRU,Nauru,head_of_state,David Adeang,Q58096,2023-10-30T00:00:00Z,,Nauru First,
NZL,Nova Zelândia,head_of_government,Christopher Luxon,Q74370310,2023-11-27T00:00:00Z,,New Zealand National Party,
NZL,Nova Zelândia,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
OMN,Omã,head_of_government,Haitham bin Tarik Al Said,Q12250314,2020-01-11T00:00:00Z,,,
OMN,Omã,head_of_state,Haitham bin Tarik Al Said,Q12250314,2020-01-11T00:00:00Z,,,
PAK,Paquistão,head_of_government,Shehbaz Sharif,Q2096387,2024-03-03T00:00:00Z,,PML(N),
PAK,Paquistão,head_of_state,Asif Ali Zardari,Q57373,2024-03-10T00:00:00Z,,PPP,
PAN,Panamá,head_of_government,José Raúl Mulino,Q108454869,2024-07-01T00:00:00Z,,Patriotic Union,
PAN,Panamá,head_of_state,José Raúl Mulino,Q108454869,2024-07-01T00:00:00Z,,Patriotic Union,
PCN,Ilhas Pitcairn,head_of_government,Simon Young,Q115917098,2022-11-01T00:00:00Z,,,
PER,Peru,head_of_government,Dina Boluarte,Q106474688,2022-12-07T00:00:00Z,,Free Peru,
PER,Peru,head_of_state,Dina Boluarte,Q106474688,2022-12-07T00:00:00Z,,Peru Livre,
PHL,Filipinas,head_of_government,Bongbong Marcos,Q983324,2022-06-30T00:00:00Z,,Nacionalista Party,
PHL,Filipinas,head_of_state,Bongbong Marcos,Q983324,2022-06-30T00:00:00Z,,Partido Federal ng Pilipinas,
PLW,Palau,head_of_government,Surangel Whipps Jr.,Q26703072,2021-01-21T00:00:00Z,,Ind.,
PLW,Palau,head_of_state,Surangel Whipps Jr.,Q26703072,2021-01-21T00:00:00Z,,Ind.,
PNG,Papua-Nova Guiné,head_of_government,James Marape,Q6138903,2019-05-30T00:00:00Z,,Pangu Party,
PNG,Papua-Nova Guiné,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
POL,Polônia,head_of_government,Donald Tusk,Q946,2023-12-13T00:00:00Z,,PPE,
POL,Polônia,head_of_state,Karol Nawrocki,Q17704749,2025-08-06T00:00:00Z,,,
PRI,Porto Rico,head_of_government,Jenniffer González,Q16215793,2025-01-02T00:00:00Z,,GOP,
PRI,Porto Rico,head_of_state,Francisco Ramírez Medina,Q344611,1868-09-23T00:00:00Z,1868-09-23T00:00:00Z,,
PRK,Coreia do Norte,head_of_government,Pak Thae-song,Q16905281,2024-12-01T00:00:00Z,,Workers’ Party of Korea,
PRK,Coreia do Norte,head_of_state,Kim Jong-un,Q56226,2011-12-30T00:00:00Z,,Workers’ Party of Korea,
PRT,Portugal,head_of_government,Luís Montenegro,Q11764394,2024-04-02T00:00:00Z,,PSD,
PRT,Portugal,head_of_state,Marcelo Rebelo de Sousa,Q6756617,2016-03-09T00:00:00Z,,PSD,
PRY,Paraguai,head_of_government,Santiago Peña,Q22695687,2023-08-15T00:00:00Z,,Colorado Party,
PRY,Paraguai,head_of_state,Santiago Peña,Q22695687,2023-08-15T00:00:00Z,,Colorado Party,
PSE,Territórios palestinos,head_of_government,Mohammad Shtayyeh,Q16192933,2019-03-10T00:00:00Z,,Fatah,
PSE,Territórios palestinos,head_of_state,Mahmoud Abbas,Q127998,2008-10-14T00:00:00Z,,Fatah,
PYF,Polinésia Francesa,head_of_government,Édouard Fritch,Q1106890,,,Tapura Huiraatira,
PYF,Polinésia Francesa,head_of_state,Moetai Brotherson,Q30350575,2023-05-12T00:00:00Z,,Tavini Huiraatira,
QAT,Catar,head_of_government,Mohammed bin Abdul Rahman Al Thani,Q23020336,2023-03-07T00:00:00Z,,Ind.,
QAT,Catar,head_of_state,Tamim bin Hamad al-Thani,Q1855372,2013-06-25T00:00:00Z,,,
REU,Reunião,head_of_government,Huguette Bello,Q3142774,2021-01-01T00:00:00Z,,Reunionese Communist Party,
ROU,Romênia,head_of_government,Ilie Bolojan,Q18538164,2025-06-23T00:00:00Z,,National Liberal Party,
ROU,Romênia,head_of_state,Nicușor Dan,Q11163124,2025-05-26T00:00:00Z,,Ind.,
RUS,Rússia,head_of_government,Mikhail Mishustin,Q4298520,2020-01-16T00:00:00Z,,,
RUS,Rússia,head_of_state,Vladimir Putin,Q7747,2012-05-07T00:00:00Z,,,
RWA,Ruanda,head_of_government,Justin Nsengiyumva,Q135454730,2025-07-25T00:00:00Z,,,
RWA,Ruanda,head_of_state,Paul Kagame,Q1231345,2000-04-22T00:00:00Z,,RPF,
SAU,Arábia Saudita,head_of_government,Mohammad bin Salman,Q6892571,2022-09-27T00:00:00Z,,,
SAU,Arábia Saudita,head_of_state,Salman bin Abdalaziz Al Saud,Q367825,2015-01-23T00:00:00Z,,,
SDN,Sudão,head_of_government,Kamil Idris,Q6357939,2025-05-19T00:00:00Z,,,
SDN,Sudão,head_of_state,Abdel Fattah Abdelrahman Burhan,Q63111184,2019-04-12T00:00:00Z,,,
SEN,Senegal,head_of_government,Bassirou Diomaye Diakhar Faye,Q124382437,2024-04-02T00:00:00Z,,"African Patriots of Senegal for Work, Ethics and Fraternity",
SEN,Senegal,head_of_state,Bassirou Diomaye Diakhar Faye,Q124382437,2024-04-02T00:00:00Z,,"African Patriots of Senegal for Work, Ethics and Fraternity",
SGP,Singapura,head_of_government,Lawrence Wong,Q6504758,2024-05-15T00:00:00Z,,PAP,
SGP,Singapura,head_of_state,Tharman Shanmugaratnam,Q983752,2023-09-14T00:00:00Z,,PAP,
SGS,Ilhas Geórgia do Sul e Sandwich do Sul,head_of_government,Nigel Haywood,Q3341354,,,,
SHN,Santa Helena,head_of_government,Philip Rushbrook,Q59638933,,,,
SLB,Ilhas Salomão,head_of_government,Jeremiah Manele,Q6180897,2024-05-02T00:00:00Z,,,
SLB,Ilhas Salomão,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
SLE,Serra Leoa,head_of_government,David Sengeh,Q23728768,2023-01-01T00:00:00Z,,,
SLE,Serra Leoa,head_of_state,Julius Maada Bio,Q283829,2018-04-04T00:00:00Z,,Sierra Leone People's Party,
SLV,El Salvador,head_of_government,Nayib Bukele,Q17712353,2019-06-01T00:00:00Z,,Nuevas Ideas,
SLV,El Salvador,head_of_state,Nayib Bukele,Q17712353,2019-06-01T00:00:00Z,,Farabundo Martí National Liberation Front,
SMR,San Marino,head_of_state,Italo Righi,Q1353628,20254-04-01T00:00:00Z,,Sammarinese Christian Democratic Party,
SOM,Somália,head_of_government,Hamza Abdi Barre,Q112598575,2022-06-26T00:00:00Z,,Union for Peace and Development Party,
SOM,Somália,head_of_state,Hassan Sheikh Mohamud,Q319153,2022-05-15T00:00:00Z,,Peace and Development Party,
SPM,São Pedro e Miquelão,head_of_government,Stéphane Artano,Q3501568,,,Union for a Popular Movement,
SRB,Sérvia,head_of_government,Đuro Macut,Q42478807,2025-04-16T00:00:00Z,,,
SRB,Sérvia,head_of_state,Aleksandar Vučić,Q222031,2017-05-31T00:00:00Z,,Serbian Progressive Party,
SSD,Sudão do Sul,head_of_government,Salva Kiir Mayardit,Q57315,2011-07-09T00:00:00Z,,SPLM,
SSD,Sudão do Sul,head_of_state,Salva Kiir Mayardit,Q57315,2011-07-09T00:00:00Z,,SPLM,
STP,São Tomé e Príncipe,head_of_government,Américo Ramos,Q131749390,2025-01-12T00:00:00Z,,,
STP,São Tomé e Príncipe,head_of_state,Carlos Vila Nova,Q27982047,2021-10-02T00:00:00Z,,Independent Democratic Action,
SUR,Suriname,head_of_government,Jennifer Geerlings-Simons,Q440403,2025-07-06T00:00:00Z,,National Democratic Party,
SUR,Suriname,head_of_state,Jennifer Geerlings-Simons,Q440403,2025-07-06T00:00:00Z,,National Democratic Party,
SVK,Eslováquia,head_of_government,Robert Fico,Q57606,2023-10-25T00:00:00Z,,Direction – Social Democracy,
SVK,Eslováquia,head_of_state,Peter Pellegrini,Q17330556,2024-06-15T00:00:00Z,,Voice – Social Democracy,
SVN,Eslovênia,head_of_government,Robert Golob,Q18645045,2022-05-25T00:00:00Z,,Party of Alenka Bratušek,
SVN,Eslovênia,head_of_state,Nataša Pirc Musar,Q12797332,2022-12-22T00:00:00Z,,Ind.,
SWE,Suécia,head_of_government,Ulf Kristersson,Q1780398,2022-10-18T00:00:00Z,,Moderate Party,
SWE,Suécia,head_of_state,Carlos XVI Gustavo da Suécia,Q45068,1973-09-15T00:00:00Z,,,
SWZ,Essuatíni,head_of_government,Russell Dlamini,Q123342092,2023-11-04T00:00:00Z,,,
SWZ,Essuatíni,head_of_state,Mswati III de Essuatíni,Q57340,1986-04-25T00:00:00Z,,,
SXM,Sint Maarten,head_of_government,Silveria Jacobs,Q69624560,2019-11-19T00:00:00Z,,National Alliance,
SXM,Sint Maarten,head_of_state,Guilherme Alexandre dos Países Baixos,Q154952,,,,
SYC,Seicheles,head_of_government,Wavel Ramkalawan,Q1568174,2020-10-26T00:00:00Z,,Seychelles National Party,
SYC,Seicheles,head_of_state,Wavel Ramkalawan,Q1568174,2020-10-26T00:00:00Z,,Seychelles National Party,
SYR,Síria,head_of_government,Jamil al-Elshi,Q287311,,,,
SYR,Síria,head_of_state,Ahmed al-Sharaa,Q7934206,2025-01-29T00:00:00Z,,,
TCA,Ilhas Turcas e Caicos,head_of_government,Washington Misick,Q7972058,2021-02-20T00:00:00Z,,Progressive National Party,
TCA,Ilhas Turcas e Caicos,head_of_state,Carlos III do Reino Unido,Q43274,,,,
TCD,Chade,head_of_government,Mahamat Déby Itno,Q16206405,2021-04-20T00:00:00Z,,Ind.,
TCD,Chade,head_of_state,Mahamat Déby Itno,Q16206405,2021-04-20T00:00:00Z,,Ind.,
TGO,Togo,head_of_government,Faure Gnassingbé,Q4414,2025-05-03T00:00:00Z,,Rally of the Togolese People,
TGO,Togo,head_of_state,Jean-Lucien Savi de Tové,Q6169516,2025-05-03T00:00:00Z,,Patriotic Pan-African Convergence,
THA,Tailândia,head_of_government,Anutin Charnvirakul,Q16139757,2025-09-07T00:00:00Z,,Bhumjaithai Party,
THA,Tailândia,head_of_state,Maha Vajiralongkorn,Q548733,2016-10-13T00:00:00Z,,,
TJK,Tadjiquistão,head_of_government,Kokhir Rasulzoda,Q15222839,2013-11-23T00:00:00Z,,People's Democratic Party of Tajikistan,
TJK,Tadjiquistão,head_of_state,Emomali Rakhmov,Q57366,1994-11-19T00:00:00Z,,Communist Party of the Soviet Union,
TKM,Turcomenistão,head_of_government,Serdar Berdimuhammedow,Q51874548,2022-03-19T00:00:00Z,,Democratic Party of Turkmenistan,
TKM,Turcomenistão,head_of_state,Serdar Berdimuhammedow,Q51874548,2022-03-19T00:00:00Z,,Democratic Party of Turkmenistan,
TLS,Timor-Leste,head_of_government,Xanana Gusmão,Q11509,2023-07-01T00:00:00Z,,CNRT,
TLS,Timor-Leste,head_of_state,José Ramos-Horta,Q11665,2022-05-20T00:00:00Z,,Revolutionary Front for an Independent East Timor,
TON,Tonga,head_of_government,'Aisake Eke,Q8083950,2025-01-22T00:00:00Z,,,
TON,Tonga,head_of_state,Tupou VI,Q208497,2012-03-18T00:00:00Z,,,
TTO,Trinidad e Tobago,head_of_government,Kamla Persad-Bissessar,Q57712,2025-05-01T00:00:00Z,,United National Congress,
TTO,Trinidad e Tobago,head_of_state,Christine Kangaloo,Q97400315,2023-03-20T00:00:00Z,,PNM,
TUN,Tunísia,head_of_government,Sara Zaafarani,Q108892374,2025-03-21T00:00:00Z,,,
TUN,Tunísia,head_of_state,Kaïs Saïed,Q16120878,2019-10-23T00:00:00Z,,,
TUR,Turquia,head_of_government,Recep Tayyip Erdoğan,Q39259,2018-06-24T00:00:00Z,,JDP,
TUR,Turquia,head_of_state,Recep Tayyip Erdoğan,Q39259,2014-08-28T00:00:00Z,,JDP,
TUV,Tuvalu,head_of_government,Feleti Teo,Q5441662,2024-02-26T00:00:00Z,,,
TUV,Tuvalu,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
TWN,Taiwan,head_of_government,Cho Jung-tai,Q5116472,2024-05-20T00:00:00Z,,DPP,
TWN,Taiwan,head_of_state,Lai Ching‑te,Q3847080,2024-05-20T00:00:00Z,,DPP,
TZA,Tanzânia,head_of_government,Samia Suluhu,Q16193885,2021-03-19T00:00:00Z,,CCM,
TZA,Tanzânia,head_of_state,Samia Suluhu,Q16193885,2021-03-19T00:00:00Z,,CCM,
UGA,Uganda,head_of_government,Robinah Nabbanja,Q62481397,2021-06-21T00:00:00Z,,National Resistance Movement,
UGA,Uganda,head_of_state,Yoweri Museveni,Q57274,1986-01-29T00:00:00Z,,National Resistance Movement,
UKR,Ucrânia,head_of_government,Yulia Svyrydenko,Q61112536,2025-07-17T00:00:00Z,,,
UKR,Ucrânia,head_of_state,Volodymyr Zelenski,Q3874799,2019-05-20T00:00:00Z,,Servant of the People,
URY,Uruguai,head_of_government,Yamandú Orsi,Q19946921,2025-03-01T00:00:00Z,,Broad Front,
URY,Uruguai,head_of_state,Yamandú Orsi,Q19946921,2025-03-01T00:00:00Z,,Broad Front,
USA,Estados Unidos,head_of_government,Donald Trump,Q22686,2025-01-20T00:00:00Z,,GOP,
USA,Estados Unidos,head_of_state,Donald Trump,Q22686,2025-01-20T00:00:00Z,,GOP,
UZB,Uzbequistão,head_of_government,Abdulla Aripov,Q28002959,2016-12-14T00:00:00Z,,Uzbekistan Liberal Democratic Party,
UZB,Uzbequistão,head_of_state,Shavkat Mirziyayev,Q57808,2016-12-14T00:00:00Z,,Communist Party of the Soviet Union,
VAT,Cidade do Vaticano,head_of_government,Raffaella Petrini,Q109385659,2025-03-01T00:00:00Z,,,
VAT,Cidade do Vaticano,head_of_state,Leão XIV,Q6109517,2025-05-08T00:00:00Z,,,
VCT,São Vicente e Granadinas,head_of_government,Ralph Gonsalves,Q57800,2001-03-28T00:00:00Z,,Unity Labour Party,
VCT,São Vicente e Granadinas,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
VEN,Venezuela,head_of_government,Juan Guaidó,Q58833335,2019-01-23T00:00:00Z,,Ind.,
VEN,Venezuela,head_of_state,Nicolás Maduro,Q58132,2013-03-05T00:00:00Z,,Revolutionary Bolivarian Movement-200,
VGB,Ilhas Virgens Britânicas,head_of_government,Natalio D. Wheatley,Q109887658,2022-05-05T00:00:00Z,,Virgin Islands Party,
VIR,Ilhas Virgens Americanas,head_of_government,Albert Bryan,Q59302363,2019-01-07T00:00:00Z,,Democratic Party of the Virgin Islands,
VNM,Vietnã,head_of_government,Phạm Minh Chính,Q10806940,2021-04-05T00:00:00Z,,Communist Party of Vietnam,
VNM,Vietnã,head_of_state,Tô Lâm,Q10831196,2024-05-22T00:00:00Z,,Communist Party of Vietnam,
VUT,Vanuatu,head_of_government,Bob Loughman,Q16190741,2020-04-20T00:00:00Z,,Vanua'aku Pati,
VUT,Vanuatu,head_of_state,Nikenike Vurobaravu,Q113239716,2022-07-23T00:00:00Z,,Vanua'aku Pati,
WLF,Wallis e Futuna,head_of_state,Emmanuel Macron,Q3052772,2017-05-14T00:00:00Z,,Socialist Party,
WSM,Samoa,head_of_government,Laʻauli Leuatea Schmidt,Q16734600,2025-09-16T00:00:00Z,,Human Rights Protection Party,
WSM,Samoa,head_of_state,Va'aletoa Sualauvi II,Q32014514,2017-07-21T00:00:00Z,,Ind.,
YEM,Iêmen,head_of_government,Maeen Abdulmalik Saeed,Q57373157,2018-10-15T00:00:00Z,,General People's Congress,
YEM,Iêmen,head_of_state,Rashad al-Alimi,Q12213376,2022-04-07T00:00:00Z,,General People's Congress,
ZAF,África do Sul,head_of_government,Cyril Ramaphosa,Q1148669,2018-02-15T00:00:00Z,,African National Congress,
ZAF,África do Sul,head_of_state,Cyril Ramaphosa,Q1148669,2018-02-15T00:00:00Z,,African National Congress,
ZMB,Zâmbia,head_of_government,Hakainde Hichilema,Q717185,2021-08-24T00:00:00Z,,United Party for National Development,
ZMB,Zâmbia,head_of_state,Hakainde Hichilema,Q717185,2021-08-24T00:00:00Z,,United Party for National Development,
ZWE,Zimbábue,head_of_government,Emmerson Mnangagwa,Q510523,2017-11-24T00:00:00Z,,ZANU–PF,
ZWE,Zimbábue,head_of_state,Emmerson Mnangagwa,Q510523,2017-11-24T00:00:00Z,,ZANU–PF,
