iso3,country,role,person,person_qid,start,end,party,end_cause
BLR,Bielorrússia,head_of_state,Aleksandr Lukashenko,Q2866,1994-07-20T00:00:00Z,,Communist Party of the Soviet Union,
BLZ,Belize,head_of_government,Johnny Briceño,Q6266369,2020-11-12T00:00:00Z,,People's United Party,
BLZ,Belize,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
BMU,Bermudas,head_of_government,Edward David Burt,Q33120852,2017-07-19T00:00:00Z,,Progressive Labour Party,
BMU,Bermudas,head_of_state,John Rankin,Q15429094,,,,
BOL,Bolívia,head_of_government,Luis Alberto Arce Catacora,Q16149892,2020-11-08T00:00:00Z,,Movement for Socialism,
BOL,Bolívia,head_of_state,Luis Alberto Arce Catacora,Q16149892,2020-11-08T00:00:00Z,,Movement for Socialism,
BRA,Brasil,head_of_government,Luiz Inácio Lula da Silva,Q37181,2023-01-01T00:00:00Z,,Workers' Party,
BRA,Brasil,head_of_state,Luiz Inácio Lula da Silva,Q37181,2023-01-01T00:00:00Z,,Workers' Party,
BRB,Barbados,head_of_government,Mia Mottley,Q6827147,2018-05-25T00:00:00Z,,Barbados Labour Party,
BRB,Barbados,head_of_state,Sandra Mason,Q9333540,2021-11-30T00:00:00Z,,,
BRN,Brunei,head_of_government,Hassanal Bolkiah,Q57327,1967-10-05T00:00:00Z,,,
BRN,Brunei,head_of_state,Hassanal Bolkiah,Q57327,1967-10-05T00:00:00Z,,,
BTN,Butão,head_of_government,Tshering Tobgay,Q7849613,2024-01-28T00:00:00Z,,People's Democratic Party,
BTN,Butão,head_of_state,Jetsun Pema,Q209532,2011-10-13T00:00:00Z,,,
BWA,Botsuana,head_of_government,Duma Boko,Q18618881,2024-01-01T00:00:00Z,,Umbrella for Democratic Change,
BWA,Botsuana,head_of_state,Duma Boko,Q18618881,2024-11-01T00:00:00Z,,Umbrella for Democratic Change,
CAF,República Centro-Africana,head_of_government,Félix Moloua,Q88310768,2022-02-07T00:00:00Z,,,
CAF,República Centro-Africana,head_of_state,Faustin-Archange Touadéra,Q57758,2016-03-30T00:00:00Z,,"National Convergence ""Kwa Na Kwa""",
CAN,Canadá,head_of_government,Mark Carney,Q192533,2025-03-14T00:00:00Z,,Liberal Party of Canada,
CAN,Canadá,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
CHE,Suíça,head_of_government,Karin Keller-Sutter,Q115881,2025-01-01T00:00:00Z,,FDP | PLR,
CHE,Suíça,head_of_state,Martin Pfister,Q47551476,2025-04-01T00:00:00Z,,The Centre,
CHL,Chile,head_of_government,Gabriel Boric,Q16297876,2022-03-11T00:00:00Z,,Social Convergence,
CHL,Chile,head_of_state,Gabriel Boric,Q16297876,2022-03-11T00:00:00Z,,Social Convergence,
CHN,China,head_of_government,Li Qiang,Q4414390,2023-03-11T00:00:00Z,,Chinese Communist Party,
