iso3_colonizer;colony_iso3;colony_qid;start_year;end_year;source;colony_label_pt;colony_label_en
AFG;IND;Q668;;1739;B;Índia;India
AGO;AGO;Q916;;;A;Angola;Angola
ALB;ALB;Q222;;;A;Albânia;Albania
AND;AND;Q228;;;B;Andorra;Andorra
AND;CHE;Q39;0800;0843;A;Suíça;Switzerland
AND;AUT;Q40;0800;0843;A;Áustria;Austria
ARG;ARG;Q414;;;B;Argentina;Argentina
ARG;URY;Q77;;;B;Uruguai;Uruguay
ARM;CHN;Q148;1929;1991;A;China;People's Republic of China
ARM;RUS;Q159;;1991;A;Rússia;Russia
ARM;BLR;Q184;;1991;A;Bielorrússia;Belarus
ARM;EST;Q191;;1991;B;Estónia;Estonia
ARM;LVA;Q211;;1991;B;Letónia;Latvia
ARM;UKR;Q212;;1991;A;Ucrânia;Ukraine
ARM;MDA;Q217;;1991;A;Moldávia;Moldova
ARM;ROU;Q218;1922;1991;A;Roménia;Romania
ARM;AZE;Q227;;1991;A;Azerbaijão;Azerbaijan
ARM;GEO;Q230;;1991;A;Geórgia;Georgia
ARM;KAZ;Q232;;1991;A;Cazaquistão;Kazakhstan
ARM;UZB;Q265;;1991;A;Uzbequistão;Uzbekistan
ARM;POL;Q36;;1991;A;Polónia;Poland
ARM;LTU;Q37;;1991;A;Lituânia;Lithuania
ARM;ARM;Q399;;1991;A;Arménia;Armenia
ARM;TUR;Q43;;;B;Turquia;Turkey
ARM;KGZ;Q813;;1991;A;Quirguistão;Kyrgyzstan
ARM;;Q863;;1991;A;Tajiquistão;Tajikistan
ARM;TKM;Q874;;1991;A;Turquemenistão;Turkmenistan
ARM;;Q907112;1940;1991;A;Transnístria;Transnistria
AUS;AUS;Q408;;;B;Austrália;Australia
AUS;PNG;Q691;;;B;Papua-Nova Guiné;Papua New Guinea
AUT;ROU;Q218;;;A;Roménia;Romania
AUT;HRV;Q224;;;A;Croácia;Croatia
AUT;BEL;Q31;;;B;Bélgica;Belgium
AUT;POL;Q36;;;B;Polónia;Poland
AUT;ITA;Q38;;;A;Itália;Italy
AUT;AUT;Q40;;;A;Áustria;Austria
AZE;CHN;Q148;1929;1991;A;China;People's Republic of China
AZE;RUS;Q159;;1991;A;Rússia;Russia
AZE;BLR;Q184;;1991;A;Bielorrússia;Belarus
AZE;EST;Q191;;1991;B;Estónia;Estonia
AZE;LVA;Q211;;1991;B;Letónia;Latvia
AZE;UKR;Q212;;1991;A;Ucrânia;Ukraine
AZE;MDA;Q217;;1991;A;Moldávia;Moldova
AZE;ROU;Q218;1922;1991;A;Roménia;Romania
AZE;AZE;Q227;;1991;A;Azerbaijão;Azerbaijan
AZE;GEO;Q230;;1991;A;Geórgia;Georgia
AZE;KAZ;Q232;;1991;A;Cazaquistão;Kazakhstan
AZE;UZB;Q265;;1991;A;Uzbequistão;Uzbekistan
AZE;POL;Q36;;1991;A;Polónia;Poland
AZE;LTU;Q37;;1991;A;Lituânia;Lithuania
AZE;ARM;Q399;;1991;A;Arménia;Armenia
AZE;KGZ;Q813;;1991;A;Quirguistão;Kyrgyzstan
AZE;;Q863;;1991;A;Tajiquistão;Tajikistan
AZE;TKM;Q874;;1991;A;Turquemenistão;Turkmenistan
AZE;;Q907112;1940;1991;A;Transnístria;Transnistria
BEL;MAR;Q1028;1928;1956;B;Marrocos;Morocco
BEL;FRA;Q142;;;B;França;France
BEL;BEL;Q31;;;A;Bélgica;Belgium
BEN;BEN;Q962;;;A;Benim;Benin
BFA;BFA;Q965;;;B;Burquina Fasso;Burkina Faso
BGD;IND;Q668;;1739;B;Índia;India
BGR;RUS;Q159;;;A;Rússia;Russia
BGR;BLR;Q184;;;A;Bielorrússia;Belarus
BGR;EST;Q191;;;A;Estónia;Estonia
BGR;LVA;Q211;;;A;Letónia;Latvia
BGR;UKR;Q212;;;A;Ucrânia;Ukraine
BGR;MDA;Q217;;;A;Moldávia;Moldova
BGR;ROU;Q218;;;A;Roménia;Romania
BGR;BGR;Q219;;;A;Bulgária;Bulgaria
BGR;HUN;Q28;;;A;Hungria;Hungary
BGR;POL;Q36;;;A;Polónia;Poland
BIH;;Q1246;;;A;Kosovo;Kosovo
BIH;SVN;Q215;;;A;Eslovénia;Slovenia
BIH;MKD;Q221;;;A;Macedónia do Norte;North Macedonia
BIH;HRV;Q224;;;A;Croácia;Croatia
BIH;BIH;Q225;;;A;Bósnia e Herzegovina;Bosnia and Herzegovina
BIH;MNE;Q236;;;A;Montenegro;Montenegro
BIH;SRB;Q403;;1992;B;Sérvia;Serbia
BLR;CHN;Q148;1929;1991;A;China;People's Republic of China
BLR;RUS;Q159;;1991;A;Rússia;Russia
BLR;BLR;Q184;;1991;A;Bielorrússia;Belarus
BLR;EST;Q191;;1991;B;Estónia;Estonia
BLR;LVA;Q211;;1991;B;Letónia;Latvia
BLR;UKR;Q212;;1991;A;Ucrânia;Ukraine
BLR;MDA;Q217;;1991;A;Moldávia;Moldova
BLR;ROU;Q218;;1991;A;Roménia;Romania
BLR;BGR;Q219;;;A;Bulgária;Bulgaria
BLR;AZE;Q227;;1991;A;Azerbaijão;Azerbaijan
BLR;GEO;Q230;;1991;A;Geórgia;Georgia
BLR;KAZ;Q232;;1991;A;Cazaquistão;Kazakhstan
BLR;UZB;Q265;;1991;A;Uzbequistão;Uzbekistan
BLR;HUN;Q28;;;A;Hungria;Hungary
BLR;POL;Q36;;1991;A;Polónia;Poland
BLR;LTU;Q37;;1991;A;Lituânia;Lithuania
BLR;ARM;Q399;;1991;A;Arménia;Armenia
BLR;KGZ;Q813;;1991;A;Quirguistão;Kyrgyzstan
BLR;;Q863;;1991;A;Tajiquistão;Tajikistan
BLR;TKM;Q874;;1991;A;Turquemenistão;Turkmenistan
BLR;;Q907112;1940;1991;A;Transnístria;Transnistria
BRA;BRA;Q155;;;A;Brasil;Brazil
BRA;PRT;Q45;1815;1822;A;Portugal;Portugal
BRA;URY;Q77;;;B;Uruguai;Uruguay
CHL;CHL;Q298;;;A;Chile;Chile
CHN;CHN;Q148;;;A;China;People's Republic of China
CHN;RUS;Q159;;;A;Rússia;Russia
CHN;PRK;Q423;;;A;Coreia do Norte;North Korea
CHN;MNG;Q711;;;A;Mongólia;Mongolia
CHN;TWN;Q865;;;A;Taiwan;Taiwan
CHN;KOR;Q884;;;A;Coreia do Sul;South Korea
CIV;GIN;Q1006;;;A;Guiné;Guinea
CIV;CIV;Q1008;;;A;Costa do Marfim;Ivory Coast
CIV;SLE;Q1044;;;A;Serra Leoa;Sierra Leone
CIV;MLI;Q912;;;A;Mali;Mali
COD;;Q974;;;A;República Democrática do Congo;Democratic Republic of the Congo
COL;COL;Q739;;;A;Colômbia;Colombia
COL;PAN;Q804;;;B;Panamá;Panama
COM;COM;Q970;;;B;Comores;Comoros
CPV;CPV;Q1011;;;A;Cabo Verde;Cape Verde
CYP;CYP;Q229;;;A;Chipre;Cyprus
CZE;CZE;Q213;;;A;Chéquia;Czech Republic
CZE;SVK;Q214;;;A;Eslováquia;Slovakia
DEU;;Q1206012;1871;1918;B;Reich Alemão;German Reich
DEU;DEU;Q183;;;A;Alemanha;Germany
DEU;BEL;Q31;;;B;Bélgica;Belgium
DEU;LUX;Q32;;;B;Luxemburgo;Luxembourg
