iso3;year;agr_vab;ind_vab;srv_vab;agr_emp;ind_emp;srv_emp
MDV;2024;3.04741314780393;9.02167896621515;73.8350686997332;;;
MEX;1990;6.66709637889891;26.146929748992;59.6939619136249;;;
MEX;1991;6.49698974856723;25.7497952510099;60.3786860228101;25.9357352045962;23.4715795447448;50.5926886615713
MEX;1992;5.99898080999225;25.7259806632477;61.8075913460711;25.9402493095;23.0341984130303;51.0255489870631
MEX;1993;4.7941502047762;32.9883591467475;58.2260492156437;25.8443306896464;22.6431435725362;51.5125225603091
MEX;1994;4.36384873906729;32.5699823148334;58.6574541554768;24.6064605756103;22.1256844536558;53.2678581017224
MEX;1995;4.13057188689796;33.2922227310393;58.7641712037711;23.4781716786696;21.7562213535826;54.7656038291453
MEX;1996;4.57994422139059;34.3418670588648;57.3630164085541;21.9259622782747;22.7845458624839;55.2894948674351
MEX;1997;4.21889006310085;34.7740825800439;56.7693180620841;23.4090009422356;22.5665843528732;54.024417542352
MEX;1998;3.90764745888672;34.1578193379962;57.2569163541962;19.3265772613648;24.9109973756003;55.762425363035
MEX;1999;3.49017753869546;34.2460385513923;57.3594574885817;20.221160615563;25.6585586020808;54.1202807823562
MEX;2000;3.1592651345406;34.3868003324753;58.0223867282914;17.4054242107366;27.06526479757;55.5293109916934
MEX;2001;3.22549035188036;33.3084037583111;58.7431527458543;17.4603019564001;26.0779993656148;56.4616986779851
MEX;2002;3.1103617264471;32.864500489183;59.1238892484245;17.2040713313738;25.6338507955322;57.162075263962
MEX;2003;3.20735540642601;31.5006616846741;60.5312030209033;16.3540080191267;25.291171277958;58.3548207029153
MEX;2004;3.18594698575225;33.0062868204379;59.5869309292277;15.5795546237351;25.052233145617;59.3682122306479
MEX;2005;2.94567227265169;33.0531376364211;60.0439876620724;15.6364540310295;23.9024633702556;60.4610825987149
MEX;2006;2.94295516133822;34.3856666700872;59.0671808446469;14.9555795985385;24.0183874964356;61.0260352263747
MEX;2007;3.04186567330375;34.0245019460578;59.30336206351;14.4999462941046;24.0180855455139;61.4819681603815
MEX;2008;3.02875898012501;34.8480623902362;59.6814143758064;14.4094052698894;23.5066820953802;62.0839126347304
MEX;2009;3.10059842114934;31.9993138894743;60.9462035533598;14.5104410792768;22.4891624415582;63.000396479165
MEX;2010;3.09200838894055;32.5394870440162;60.4783490733312;14.63555628503;23.0377632326023;62.3266804823677
MEX;2011;2.975694839292;33.823102213766;59.8866488313428;14.2228238035956;23.0813540453189;62.6958221510855
MEX;2012;3.04872937185777;34.0963424750026;59.9372072967354;14.2788461707743;22.9239864336918;62.797167395534
MEX;2013;3.02454278132287;32.1682751220869;61.0665777173355;14.1977831914759;23.2468158905185;62.5554009180056
MEX;2014;3.02713652233698;31.917554117239;60.0782705572122;14.3011299549038;23.7081932199872;61.9906748010687
MEX;2015;3.08518634351385;30.8402536024088;60.5061359731054;13.9526301605551;24.0104171037508;62.0369527356941
MEX;2016;3.2462890783797;30.6167914029625;60.0750683831772;13.604458398655;24.4459570571239;61.9495845442211
MEX;2017;3.29751178019006;31.9586846687432;59.3653310295953;13.6489931287543;24.7887825567837;61.5622243144621
MEX;2018;3.29695945196469;32.0438654405128;59.2695792163154;13.3559491915634;24.9134614384087;61.7305912448918
MEX;2019;3.3150244028436;31.8382961335776;59.1556030013244;13.0440885104383;24.5354508574337;62.4204588021749
MEX;2020;3.71114888101566;30.9999803923385;59.1896498569628;13.1669700563214;24.1241144059634;62.7089175137874
MEX;2021;3.78266528650454;31.9695289897874;58.3256995168562;13.3118155317994;24.464912914906;62.2232697210776
MEX;2022;3.8993145717896;33.1372227138327;58.1544410030534;12.6495522168809;24.9721396852391;62.3783098634819
MEX;2023;3.83818324107697;32.4819798248246;57.6632257645762;11.9647552173961;25.0311261997001;63.0041185829038
MEX;2024;3.76596725084516;31.634907412659;58.1832533334969;;;
MHL;1997;8.62358453906686;9.93641516971881;71.5100464395862;;;
MHL;1998;7.49646872805503;13.0618246972208;71.3347271038395;;;
MHL;1999;7.96359308737994;13.7880109852398;69.3767473209583;;;
MHL;2000;8.0499135742804;12.7373659530558;73.9369636489505;;;
MHL;2001;7.41498993922688;10.6228366069992;72.9476717255104;;;
MHL;2002;6.45006062443165;14.757199151258;72.9172476508033;;;
MHL;2003;6.86799589715432;11.6742737086141;75.4520947009994;;;
MHL;2004;7.21851015801354;10.3000752445448;77.9586155003762;;;
MHL;2005;7.12086956521739;8.12275362318841;78.6161594202899;;;
MHL;2006;7.06717877094972;11.3769553072626;77.0531424581006;;;
MHL;2007;7.34398671096346;13.2601993355482;76.4588704318937;;;
MHL;2008;8.80757162346521;12.7225102319236;76.7916098226466;;;
MHL;2009;9.57301587301587;13.628373015873;76.2601851851852;;;
MHL;2010;10.5856610800745;14.622905027933;71.7093109869646;;;
MHL;2011;13.8842716192687;13.5373766686013;69.3441091120139;;;
MHL;2012;17.8198118428334;13.3474266740454;67.2539014941893;;;
MHL;2013;15.8570815450644;13.8843347639485;67.7777360515021;;;
MHL;2014;12.0370967741935;14.5738172043011;70.9195698924731;;;
MHL;2015;12.4228089275993;11.298856831791;75.7413718018508;;;
MHL;2016;12.7276511397423;15.2969772051536;71.6852824578791;;;
MHL;2017;15.8322414599906;13.0123069723912;71.9682732802995;;;
MHL;2018;16.2795;12.1986818181818;72.5014545454545;;;
MHL;2019;18.2091455560326;14.4171747531129;69.792314297982;;;
MHL;2020;19.9060380479735;13.3453680727874;68.8931761786601;;;
MHL;2021;24.9658555426806;10.6494399382001;64.6393588258015;;;
MHL;2022;21.0127466456196;8.49952644041042;69.7106550907656;;;
MHL;2023;19.4718087157732;11.0602776706518;70.4693019668338;;;
MKD;1990;7.16184210526316;37.4351503759399;39.5421052631579;;;
MKD;1991;10.8429752066116;28.2944214876033;40.3639462809917;26.9995764137192;36.5106457199098;36.4896221361207
MKD;1992;14.4844107689827;33.1861679832339;37.2304610672255;26.8366617384918;36.4961000559677;36.6670764492554
MKD;1993;10.0233975543522;29.7102132309225;45.0603795414009;26.8152510755833;36.0172495571128;37.1673317656997
MKD;1994;10.5767485064935;24.2724512987013;44.8931846103896;26.7111615768959;35.7574459944928;37.5313924286113
MKD;1995;10.6109414450034;24.0771785812429;45.6211691931513;26.481488571538;35.7159539032888;37.8027489566982
MKD;1996;10.6676810008998;23.8170838878622;46.0555672897146;26.2811237565047;35.4335702086925;38.2855067199419
MKD;1997;10.4323128542443;28.2036029806351;43.0216948017765;26.0243163759108;35.1876523585436;38.7880312655456
MKD;1998;10.8617164743112;27.7543953600632;43.4141425429935;25.7425484205876;34.9256379812003;39.3319999925442
MKD;1999;10.5176831159852;26.5943719040969;44.4519081906963;25.3714605605316;34.6128286622364;40.015710777232
MKD;2000;10.0962814603895;21.4063367196738;52.7951384699533;24.6618599301355;34.4851395870609;40.8528229814547
MKD;2001;9.74511971409667;20.5865455856541;54.3711592635295;24.2343300889958;33.8001444837439;41.9656962118275
MKD;2002;10.1701207745349;19.3780672207161;52.9017986627014;23.9236032732592;33.2982963405871;42.7782726992327
MKD;2003;11.5387764520235;22.4884068866443;52.3815194980163;22.0382803888165;33.9117601508623;44.0501416611247
MKD;2004;11.5539948572935;21.0384420875685;54.1939412933693;17.7461019294559;34.4936113813984;47.7604692471854
MKD;2005;9.73619454882038;20.3620070871171;55.766792998473;18.4387987568327;33.575161400674;47.9860398424933
MKD;2006;8.98936805638514;21.6625851152789;56.2859873372357;19.0413410093607;33.0274934749604;47.9311655156788
MKD;2007;8.93241688545385;20.5809235456128;56.6726291201939;17.8864411782878;31.4545304766285;50.6590283450837
MKD;2008;11.4435151485936;19.5331292631782;55.1066547759647;19.3130422723939;31.4210147312635;49.2659429963427
MKD;2009;10.3701684908181;18.9727028474128;57.0893488526899;17.9776454782454;29.7861677519618;52.2360235266078
MKD;2010;10.1206048077275;21.0422688522191;55.0944897735173;18.1292651097034;29.3315502569261;52.5390147086811
MKD;2011;9.35099292094117;21.5924220032487;55.0949403902746;18.1892595888424;30.1291371460156;51.6816032651421
MKD;2012;9.10471970396591;21.0808587045723;56.3116157384889;17.256736344589;29.8885802920301;52.8546833633809
MKD;2013;10.0274760854448;22.1404647622691;54.8447770531849;18.7358501245189;30.3841848413956;50.8799650340855
MKD;2014;10.1775672771312;22.822578658191;53.8266326277266;18.4642395381087;30.3582846985215;51.1774757633698
MKD;2015;9.72691849418736;23.9221832208017;53.7301817323071;17.8195644895277;30.5091392715864;51.6712962388859
MKD;2016;9.17290831294816;23.9630460915105;53.5495422792727;16.38855881203;30.3841583551184;53.2272828328516
MKD;2017;7.87324504211252;24.2589458765972;54.5391890711302;15.7093616476597;30.7101540261973;53.580484326143
MKD;2018;8.47039846991427;24.0504298826712;54.3216751049362;14.7730199662431;31.638571303033;53.5884087307239
MKD;2019;8.13229139447626;23.7034834116039;54.994997711796;13.4221424707573;31.2805732798986;55.2972842493442
MKD;2020;8.56905928759264;22.7433958881186;56.5553416357877;11.5263586004619;30.9763280234167;57.4973133761214
MKD;2021;7.14748884425831;22.5805920939893;56.6626681929412;11.0754394842864;30.8651837747822;58.0593767409314
MKD;2022;7.27988785468163;23.0244680694634;56.3668315026394;9.51757495617679;30.4287497662037;60.0536752776195
MKD;2023;6.62709857378859;23.2579512149476;57.2089790162116;9.2898538188738;30.1706888100799;60.5393132082
MKD;2024;5.9735168430981;22.6645449228321;59.172414519894;;;
MLI;1990;37.4176793882017;16.3347253416174;41.0705882664447;;;
MLI;1991;39.2746643905986;16.6567768121374;39.1203242081325;69.8871263239934;7.48073867958975;22.6321349964169
