iso3;river_name;length_km;scalerank;featurecla;source
CAF;Chinko;447;8;River;NaturalEarth_10m_rivers
CAF;Kadeï;269;6;River;NaturalEarth_10m_rivers
CAF;Kotto;812;7;River;NaturalEarth_10m_rivers
CAF;Koukourou;187;6;River;NaturalEarth_10m_rivers
CAF;Lobaye;490;8;River;NaturalEarth_10m_rivers
CAF;Mbomou;550;7;River;NaturalEarth_10m_rivers
CAF;Ouham;623;6;River;NaturalEarth_10m_rivers
CAF;Uele;404;3;River;NaturalEarth_10m_rivers
TGO;Oti;162;8;River;NaturalEarth_10m_rivers
ZMB;Chambeshi;574;8;River;NaturalEarth_10m_rivers
ZMB;Kabompo;532;7;River;NaturalEarth_10m_rivers
ZMB;Kafue;1227;6;River;NaturalEarth_10m_rivers
ZMB;Luangwa;889;8;River;NaturalEarth_10m_rivers
ZMB;Luapula;143;8;River;NaturalEarth_10m_rivers
ZMB;Lungwebungu;177;8;River;NaturalEarth_10m_rivers
ZMB;Luvua;64;8;Lake Centerline;NaturalEarth_10m_rivers
ZMB;Zambezi;1355;3;Lake Centerline;NaturalEarth_10m_rivers
ZMB;nan;64;8;River;NaturalEarth_10m_rivers
ZWE;Limpopo;137;6;River;NaturalEarth_10m_rivers
ZWE;Mazowe;248;7;River;NaturalEarth_10m_rivers
ZWE;Save;413;7;River;NaturalEarth_10m_rivers
ZWE;Zambezi;130;3;River;NaturalEarth_10m_rivers
MEX;Atengo;286;8;River;NaturalEarth_10m_rivers
MEX;Balsas;997;7;River;NaturalEarth_10m_rivers
MEX;Bavispe;165;8;River;NaturalEarth_10m_rivers
MEX;Chixoy;65;5;River;NaturalEarth_10m_rivers
MEX;Coatzacoalcos;174;8;Lake Centerline;NaturalEarth_10m_rivers
MEX;Colorado;147;5;River;NaturalEarth_10m_rivers
MEX;Conchos;620;7;Lake Centerline;NaturalEarth_10m_rivers
MEX;Cuilco;51;7;River;NaturalEarth_10m_rivers
MEX;Fuerte;273;8;Lake Centerline;NaturalEarth_10m_rivers
MEX;Grande;986;4;Lake Centerline;NaturalEarth_10m_rivers
MEX;Grande de Santiago;463;6;Lake Centerline;NaturalEarth_10m_rivers
MEX;Grijalva;494;7;Lake Centerline;NaturalEarth_10m_rivers
MEX;Lerma;526;8;Lake Centerline;NaturalEarth_10m_rivers
MEX;Moctezuma River;428;8;River;NaturalEarth_10m_rivers
MEX;Papaloapan;174;7;River;NaturalEarth_10m_rivers
MEX;Pánuco;151;6;River;NaturalEarth_10m_rivers
MEX;San Juan;284;8;Lake Centerline;NaturalEarth_10m_rivers
MEX;San Miguel;118;8;River;NaturalEarth_10m_rivers
MEX;San Pedro;433;8;River;NaturalEarth_10m_rivers
MEX;Urique;205;8;River;NaturalEarth_10m_rivers
MEX;Usumacinta;547;5;River;NaturalEarth_10m_rivers
MEX;Verde;433;6;River;NaturalEarth_10m_rivers
MEX;Yaqui;589;8;Lake Centerline;NaturalEarth_10m_rivers
BEN;Niger;113;3;River;NaturalEarth_10m_rivers
BEN;Oti;177;8;River;NaturalEarth_10m_rivers
BEN;Ouémé;559;7;Lake Centerline;NaturalEarth_10m_rivers
BWA;Cuando;103;7;River;NaturalEarth_10m_rivers
BWA;Limpopo;351;6;River;NaturalEarth_10m_rivers
BWA;Marico;132;7;River;NaturalEarth_10m_rivers
BWA;Molopo;462;8;River;NaturalEarth_10m_rivers
BWA;Okavango;804;6;River;NaturalEarth_10m_rivers
BFA;Black Volta;891;5;River;NaturalEarth_10m_rivers
BFA;Komoé;97;7;River;NaturalEarth_10m_rivers
BFA;Oti;153;8;River;NaturalEarth_10m_rivers
BFA;White Volta;545;6;River;NaturalEarth_10m_rivers
BDI;Kagera;208;1;River;NaturalEarth_10m_rivers
BDI;Ruzizi;138;7;Lake Centerline;NaturalEarth_10m_rivers
COG;Alima;405;8;River;NaturalEarth_10m_rivers
COG;Congo;704;2;River;NaturalEarth_10m_rivers
COG;Dja;128;8;River;NaturalEarth_10m_rivers
COG;Kouilou-Niari;634;8;River;NaturalEarth_10m_rivers
COG;Ogooué;109;8;River;NaturalEarth_10m_rivers
COG;Sangha;506;6;River;NaturalEarth_10m_rivers
COG;Ubangi;541;3;River;NaturalEarth_10m_rivers
GNQ;Benito;239;7;River;NaturalEarth_10m_rivers
ERI;Tekezé;90;6;River;NaturalEarth_10m_rivers
COD;Aruwimi;434;7;River;NaturalEarth_10m_rivers
COD;Congo;1574;2;River;NaturalEarth_10m_rivers
COD;Ebola;205;8;River;NaturalEarth_10m_rivers
COD;Fimi;140;8;River;NaturalEarth_10m_rivers
COD;Inkisi;171;8;River;NaturalEarth_10m_rivers
COD;Ituri;522;7;River;NaturalEarth_10m_rivers
COD;Kasai;1031;3;River;NaturalEarth_10m_rivers
COD;Kibali;323;3;River;NaturalEarth_10m_rivers
COD;Kwango;428;6;River;NaturalEarth_10m_rivers
COD;Kwilu;696;8;River;NaturalEarth_10m_rivers
COD;Lokoro;480;8;Lake Centerline;NaturalEarth_10m_rivers
COD;Lomami;1651;7;River;NaturalEarth_10m_rivers
COD;Lua Tributary;303;8;River;NaturalEarth_10m_rivers
COD;Lualaba;1639;2;River;NaturalEarth_10m_rivers
COD;Luapula;454;8;River;NaturalEarth_10m_rivers
COD;Lufira;573;8;Lake Centerline;NaturalEarth_10m_rivers
COD;Lukeni;829;8;River;NaturalEarth_10m_rivers
COD;Lukuga;367;8;Lake Centerline;NaturalEarth_10m_rivers
COD;Luvua;413;8;Lake Centerline;NaturalEarth_10m_rivers
COD;Mbomou;247;7;River;NaturalEarth_10m_rivers
COD;Mongala;273;8;River;NaturalEarth_10m_rivers
COD;Ruzizi;138;7;Lake Centerline;NaturalEarth_10m_rivers
COD;Sankuru;1238;8;River;NaturalEarth_10m_rivers
COD;Semliki;402;6;Lake Centerline;NaturalEarth_10m_rivers
COD;Tshuapa;1075;6;River;NaturalEarth_10m_rivers
COD;Uele;1069;3;River;NaturalEarth_10m_rivers
MMR;Chindwin;1106;7;River;NaturalEarth_10m_rivers
MMR;Derung-Nmai;355;4;River;NaturalEarth_10m_rivers
MMR;Irrawaddy;2470;1;River;NaturalEarth_10m_rivers
MMR;Mekong;239;2;River;NaturalEarth_10m_rivers
MMR;Mytinge;443;8;River;NaturalEarth_10m_rivers
MMR;Salween;1216;4;River;NaturalEarth_10m_rivers
MMR;Sittong;433;7;River;NaturalEarth_10m_rivers
