conflict_qid;conflict_label;empty_what
Q9068538;Revolução etíope de 1974;p710
Q12203914;Revolt of Cairo (1800);p710
Q13605743;Golpe de Estado no Egito em 2013;p710
Q15733401;Revolução Ucraniana de 2014;p710
Q16976566;Revolução Abecásia;p710
Q11391276;August Revolution theory;p710
Q106419770;Friedliche Revolution in Plauen;p710
Q17015429;Revolution of 1848 in Luxembourg;p710
Q61750249;Revolução Veintimillista;p710
Q11703023;Revolution of 1934 in Cantabria;p710
Q19605695;Revolution of 1951, Nepal;p710
Q122929851;Odjak of Algiers Revolution;p710
Q24951395;1908 Haitian Revolution;p710
Q488995;Wihwado Retreat;labels
Q593774;Operação Ajax;p710
Q123944461;Khalji Revolution;labels
Q25397035;1888 Haitian Revolution;p710
Q19356877;Revolução quetzalteca;p710
Q10746587;March Revolution (Ecuador);labels
Q5286648;Ohigashi schism;p710
Q451046;Golpe de estado na Prússia;p710
Q136387966;Cretan Revolt of 1895-1898;p710
Q129716811;ثورة الجزيرة الفراتية (751);p710
Q132861153;Aftermath of the July Revolution;p710
Q12809896;Zaydi Revolt;labels
Q468823;Marcha sobre Roma;labels
Q575347;Golpe de Estado na Romênia em 1944;p710
Q485728;Golpe de Estado de 17 de Maio;p710
Q193245;Revolução dos Cravos;p710
Q25514330;ثورة رافع بن الليث;labels
Q12577605;Three Districts Revolution;p710
Q7318712;Revolution in the Kingdom of Poland;p710
Q125692807;Восстание Штульского;p710
Q35583796;Abd al-Rahman ibn Muhammad ibn al-Ash'ath's revolt;labels
Q6464343;La Paz Revolution;p710
Q6107215;Revolution of May 1811;p710
Q4301694;Revolução Monegasca;p710
Q190517;Revolução Xinhai;p710
Q1783955;Revolução Nepalesa de 1990;p710
Q6107192;revolución de Cochabamba;p710
Q2998936;Revolução de 11 de Setembro de 1922;p710
Q1822896;Liberal Revolution of Ecuador;p710
Q1982745;Revolução Espanhola;p710
Q4162685;Revolução Ruandesa;p710
Q204213;Revolução Romena de 1989;p710
Q780048;Reformas de Atatürk;p710
Q1822923;Revolução liberal do Porto;p710
Q223933;Revolução Belga;p710
Q799097;Baden Revolution;p710
Q6107187;revolución de Cochabamba 1810;p710
Q5163326;Consolidação da Revolução Iraniana;p710
Q689128;Revolução Haitiana;p710
Q2584397;Revolução de 3 de setembro de 1843;p710
Q236023;Revoltas no Quirguistão em 2010;p710
Q690959;Revoluções de 1848 no Império Austríaco;p710
Q6107220;Revolução de 28 de Maio de 1944;p710
Q2603206;Revolução Batava;p710
Q5792513;Cruzada Libertadora de 1825;p710
Q170306;Revolução Alemã de 1918-1919;p710
Q441920;Athenian Revolution;p710
Q808928;March Revolution;p710
Q2081446;Revolução Mongol de 1921;p710
Q489416;Revolução de Abril;p710
Q5933860;Abbasid Revolution;p710
Q682258;Die Wende;p710
Q192769;Revolução Americana;p710
Q5614269;Revolução Guatemalteca;p710
Q3773164;Catalunha Revolucionária;p710
Q1368440;Revolução Constitucional Persa;p710
Q182817;Revolução de Veludo;p710
Q2592295;Revolução Constitucionalista de 1932;p710
Q896479;Revolução brabantina;p710
Q1463516;Revolução Sandinista;p710
Q1341539;Revolução de Saur;p710
Q1993171;Revolução Egípcia de 1919;p710
Q6107179;Revolution of 1934 in the Basque Country;p710
Q838980;Revolução de Maio;p710
Q836386;Revolução Laranja;p710
Q3727804;Revolução Liberal Restauradora;p710
Q622774;Revolução francesa de 1848;p710
Q422082;Revolução Filipina;p710
Q459162;Revolução das Tulipas;p710
Q955802;Revolução Cultural Iraniana;p710
Q8690;Revolução Cultural Chinesa;p710
Q219470;Revolução Rosa;p710
Q75844;Revolução de Zanzibar;p710
Q6107169;Revolución de 1858;p710
Q5944417;Quito's revolutionary process;p710
Q6107265;Tricolor Revolution;p710
Q1540751;Revolução de 1868;p710
Q891367;Revolução Bolivariana;p710
Q1780431;Revolução Egípcia de 1952;p710
Q2620180;feudal revolution;p710
Q732219;Golpe de Estado de 28 de Maio de 1926;p710
Q1068139;Revolução Branca;p710
Q2120252;Revolução Siamesa de 1932;p710
Q2380231;Alsace-Lorraine Soviet Republic;p710
Q6107157;Revolução Liberal de 1871;p710
Q2288826;revolution of Ayutla;p710
Q1331281;Revolução de Setembro;p710
Q184310;Revolução dos Cedros;p710
Q179275;Guerra no Noroeste do Paquistão;labels
Q190029;Guerra do Kosovo;p17
Q184637;Guerra dos Dez Anos;p17
Q189266;Frente Oriental;labels
Q184183;Segunda Guerra Balcânica;p17
Q182865;Guerra do Afeganistão;labels
Q179250;Campanha da Rússia;p17
Q186336;Dutch Revolt;p17
Q185729;Guerra ao Terror;p17
Q186284;Guerra Polaco-Soviética;p17
Q860423;Golpe de Estado na Tailândia em 2006;p710
Q3042919;Revolución Libertadora;p710
Q2352036;Golpe de Estado no Paquistão em 1999;p710
Q2119306;Siamese coup d'état of 1947;p710
Q2998922;Golpe de Estado de Rucunshu;p710
Q3305494;Golpe de Estado no Gabão em 1964;p710
Q1137957;Golpe de Praga;p710
Q1574076;Newburgh Conspiracy;p710
Q720498;13 Vendémiaire;p710
Q641205;Golpe de estado no Iraque de 1941;p710
Q2998926;Revolta de 14 de Maio de 1915;p710
Q2999015;1965 Algerian coup d'état;p710
Q2998925;Coup d'état of Yanaon;p710
Q1078181;Golpe de Estado no Vietnã do Sul em 1963;p710
Q2119300;1957 Thai coup d'état;p710
Q2998933;1935 Greek coup d'état attempt;p710
Q2403418;Golpe de Maio;p710
Q1274389;Revolução do Poder Popular;p710
Q1525846;Rebelião tuaregue;p710
Q1712418;Revolução Juliana;p710
Q2840803;Government Junta of Chile;p710
Q621827;Golpe de Estado na Guiné-Bissau em 2012;p710
Q1062771;Incidente de Isshi;p710
Q2998928;Golpe de 30 de Prairial;p710
Q873152;Golpe de Julho;p710
Q2998931;Tentativa de golpe de Estado monarquista Leonardopoulos-Gargalidis;p710
Q1187198;Decena Trágica;p710
Q1048750;Golpe de Estado na Argentina em 1976;p710
Q2988530;Revolução de 14 de Julho;p710
Q1841884;Farsa de Ávila;p710
Q2436825;Golpe de Estado na Espanha em julho de 1936;p710
Q606081;Golpe de Estado no Sudão em 1989;p710
Q2633177;Japanese coup d'état in French Indochina;p710
Q1859259;Golpe de Estado na Turquia em 1960;p710
Q916340;Jameson Raid;p710
Q1760435;1934 Estonian coup d'état;p710
Q924625;Golpe de Estado no Níger em 2010;p710
Q1131857;Golpe de Estado na Pérsia em 1921;p710
Q3272511;Zhongshan Warship Incident;p710
Q1073488;golpe militar em Honduras em 2009;p710
Q2475925;Revolução de 8 de Março;p710
Q1634613;Operação Cactus;p710
Q1758028;Golpe de Estado na Turquia em 1980;p710
Q931943;1971 Turkish military memorandum;p710
Q1980316;Segunda Revolução do Poder Popular;p710
Q2465567;Golpe de Estado na Mauritânia em 2008;p710
Q2334896;Golpe de estado de 1809 na Suécia;p710
Q875912;Golpe de Estado no Mali em 2012;p710
Q2998924;Golpes de Estado em Fiji em 1987;p710
Q2069434;Golpe de Estado no Chipre em 1974;p710
Q638903;Implantação da República Portuguesa;p710
Q2994789;Harem conspiracy;p710
Q960894;Golpe de Estado na Bulgária em 1923;p710
Q1140690;Crise de Maio de 1958;p710
Q2119303;June 1933 Siamese coup d'état;p710
Q1716388;Golpe ateniense de 411 a.C.;p710
Q2282672;Golpe de Estado na Guiné em 2008;p710
Q1037676;Maio Negro;p710
Q2883469;Golpe de Estado no Haiti de 2004;p710
Q1041337;8/18 incident;p710
Q976887;Golpe de Estado na Guatemala em 1954;p710
Q760023;Golpe de Goudi;p710
Q2634783;Revolução de 1930;p710
Q2567468;Golpe de Estado em Fiji de 2006;p710
Q967981;Golpe de Estado no Suriname em 1980;p710
Q1787448;Expurgo do Orgulho;p710
Q194951;Battle of Haram;p17
Q211219;Battle of Chinsurah;p17
Q199371;Batalha de Megido;labels
Q192473;Batalha de Adrianópolis;labels
Q193993;Battle of Pea Ridge;labels
Q220766;Battle of Manzikert;labels
Q203729;Batalha de Kadesh;labels
Q221891;Second Battle of Artois;labels
Q203681;Batalha de Farsalos;labels
Q211220;Battle of Chandannagar;p17
Q209387;Batalha de Ancara;labels
Q203225;Batalha de Stamford Bridge;labels
Q221967;Ofensiva Brusilov;p17
Q188495;Batalha de Azincourt;labels
Q205887;Batalha de Carras;p17
Q192660;Batalha de Okinawa;labels
Q200855;Batalha de Viena;labels
