conflict_qid;conflict_label;empty_what
Q76358122;Transport XX/4 from Magdeburg,Magdeburg (Magdeburg),Saxony Province,Germany to Theresienstadt,Ghetto,Czechoslovakia on 10/01/1944;p710
Q76358037;Transport I/102 from Berlin,Berlin (Berlin),City of Berlin,Germany to Theresienstadt,Ghetto,Czechoslovakia on 15/10/1943;p710
Q76358005;Transport XVI/2 Ez3 from Leipzig,Leipzig (Leipzig),Saxony,Germany to Theresienstadt,Ghetto,Czechoslovakia on 09/09/1943;p710
Q23871229;Bombardment of Pisagua;p710
Q4732616;Bombardeios navais Aliados no Japão na Segunda Guerra Mundial;p710
Q76358014;Transport 42 from Berlin,Berlin (Berlin),City of Berlin,Germany to Auschwitz Birkenau,Extermination Camp,Poland on 10/09/1943;p710
Q76358061;Transport I/104 from Berlin,Berlin (Berlin),City of Berlin,Germany to Theresienstadt,Ghetto,Czechoslovakia on 22/11/1943;p710
Q76358147;Transport II/31 from Nuernberg,Nürnberg (Nürnberg),Bavaria,Germany to Theresienstadt,Ghetto,Czechoslovakia on 17/01/1944;p710
Q76357964;Transport XVIII/6 Ez1 from Oppeln,Oppeln (Oppeln),Silesia (Upper),Germany to Theresienstadt,Ghetto,Czechoslovakia on 03/08/1943;p710
Q6188227;Igreja Evangelica Apostolica do Nome di Jesus;p710
Q76357994;transport du ghetto de Theresienstadt au camp d'Auschwitz-Birkenau, le 6 septembre 1943;p710
Q114350394;Desastre do Estádio Kanjuruhan em 2022;p710
Q76358010;Transport I/101 from Berlin,Berlin (Berlin),City of Berlin,Germany to Theresienstadt,Ghetto,Czechoslovakia on 10/09/1943;p710
Q76358111;Transport IX/7 Ez from Breslau,Breslau (Breslau),Silesia (Lower),Germany to Theresienstadt,Ghetto,Czechoslovakia on 11/01/1944;p710
Q76358176;Transport XIX/7 from Usti nad Labem,Usti nad Labem,Bohemia,Czechoslovakia to Theresienstadt,Ghetto,Czechoslovakia on 19/02/1944;p710
Q76358227;Transport von Karlsbad nach Ghetto Theresienstadt am 23.03.1944;p710
Q76358236;Transport I/110 from Berlin,Berlin (Berlin),City of Berlin,Germany to Theresienstadt,Ghetto,Czechoslovakia on 19/04/1944;p710
Q76357971;Transport 40 from Berlin,Berlin (Berlin),City of Berlin,Germany to Auschwitz Birkenau,Extermination Camp,Poland on 04/08/1943;p710
Q76358170;Transport I/107 from Berlin,Berlin (Berlin),City of Berlin,Germany to Theresienstadt,Ghetto,Czechoslovakia on 09/02/1944;p710
Q76358057;Transport XXI/2 from Opava,Opava,Moravia-Silesia,Czechoslovakia to Theresienstadt,Ghetto,Czechoslovakia on 18/11/1943;p710
Q76358206;Transport IV/15;p710
Q5861858;Toro enmaromado;p710
Q11909587;Bombardment of Alicante;p710
Q76358182;Transport I/108 from Berlin,Berlin (Berlin),City of Berlin,Germany to Theresienstadt,Ghetto,Czechoslovakia on 23/02/1944;p710
Q76358231;Transport XXI/3 Ez from Opava,Opava,Moravia-Silesia,Czechoslovakia to Theresienstadt,Ghetto,Czechoslovakia on 14/04/1944;p710
Q76358053;Transport XVIII/6 Ez2 from Oppeln,Oppeln (Oppeln),Silesia (Upper),Germany to Theresienstadt,Ghetto,Czechoslovakia on 18/11/1943;p710
Q10311062;Japanese invasion of the Shanghai International Settlement;p710
Q76358167;Transport V/10 Ez1 from Dresden,Dresden (Dresden Bautzen),Saxony,Germany to Theresienstadt,Ghetto,Czechoslovakia on 09/02/1944;p710
Q9389470;Capture of Puerto Cabello;p710
Q10671365;Battle of Hunneberg;p710
Q10411816;Attack on Lava;p710
Q10572590;Battle of Uppsala;p710
Q10671348;Battle of Dösjebro;p710
Q10396978;Battle of Penghu (1624);p710
Q9380570;Битва за Лодзь (1945);p710
Q9651024;Batalha de Arroio Grande;p710
Q9651035;Batalha de Cerneja;p710
Q10490976;Civil War in Noto Tenbun;p710
Q10671352;Battle of Ettak;p710
Q10671355;Battle of Genevadsbro;p710
Q9422411;Battle of Guanjianao;p710
Q9370582;Fights on the San line;p710
Q10293389;Combate de Macontene;p710
Q10671367;Battle of Hällaskogen;p710
Q10671336;Battle of Länkipohja;p710
Q10411423;Second Battle of Tver;p710
Q10488992;Battle of Fredrikstad;p710
Q10671331;Battle of the Foxes;p710
Q10671334;Battle of Kristiania;p710
Q10550097;Battle of Kumlinge;p710
Q10301866;Incidente de Paranaguá;p710
Q10671342;Battle of Vikens ice;p710
Q10671346;Battle of Danzig;p710
Q10671361;Batalha de Herrevadsbro;p710
Q10671347;Battle of Borst;p710
Q10671358;Battle of Gårdstånga;p710
Q10671362;Battle of Hjerpe Redoubt;p710
Q10396694;Battle of Yunnan-Burma Road;p710
Q10501509;Battle of Prestebakke;p710
Q10369351;Sedição de Juazeiro;p710
Q10671364;Battle of Holmengrå;p710
Q10470049;Russian attack on Gävle;p710
Q10411422;Second Battle of Prestebakke;p710
Q9370600;Battles for Wilhelmshaven;p710
Q9968360;Battle of Dafei River;p710
Q10671356;Battle of Gjellebekk;p710
Q9380566;Liberation of Częstochowa;p710
Q9380565;Liberation of Krakow;p710
Q10369402;Segunda Batalha de Salvador;p710
Q10671357;Battle of Haraker;p710
Q10671363;Battle of Hjärtum;p710
Q9651083;Batalha de Porongos;p710
Q10428014;Siege of Pskov;p710
Q63464675;Transport from Vught to Westerbork on 07/06/1943;p710
Q63464651;Transport from Westerbork to Auschwitz Birkenau on 10/08/1942;p710
Q63464659;Transport from Westerbork to Auschwitz Birkenau on 09/10/1942;p710
Q63464665;Transport from Westerbork to Auschwitz Birkenau on 12/10/1942;p710
Q63464649;Transport from Westerbork to Auschwitz Birkenau on 08/12/1942;p710
Q63464655;Transport from Apeldoorn to Auschwitz Birkenau on 22/01/1943;p710
Q63464653;Transport from Westerbork to Auschwitz Birkenau on 07/09/1942;p710
Q63464661;Transport from Westerbork to Auschwitz Birkenau on 21/09/1942;p710
Q63464672;Transport from Westerbork to Auschwitz Birkenau on 25/01/1944;p710
Q63464669;Transport from Westerbork to Auschwitz Birkenau on 16/07/1942;p710
Q63464671;Transport from Westerbork to Auschwitz Birkenau on 05/10/1942;p710
Q63464652;Transport from Westerbork to Auschwitz Birkenau on 28/08/1942;p710
Q63464673;Transport from Westerbork to Auschwitz Birkenau on 07/09/1943;p710
Q63464657;Transport from Westerbork to Auschwitz Birkenau on 14/08/1942;p710
Q63464666;Transport from Westerbork to Auschwitz Birkenau on 11/01/1943;p710
Q63464680;Transport from Westerbork to Ravensbrück on 05/02/1944;p710
Q63464660;Transport from Westerbork to Auschwitz Birkenau on 10/11/1942;p710
Q63464678;Transport from Westerbork to Buchenwald on 05/04/1944;p710
Q63464676;Transport from Westerbork to Ravensbrück on 29/03/1944;p710
Q63464664;Transport from Westerbork to Auschwitz Birkenau on 04/12/1942;p710
Q63464662;Transport from Westerbork to Auschwitz Birkenau on 24/11/1942;p710
Q63464650;Transport from Westerbork to Auschwitz Birkenau on 27/07/1942;p710
Q63464677;Transport from Westerbork to Auschwitz Birkenau on 03/03/1944;p710
Q63464670;Transport from Westerbork to Auschwitz Birkenau on 17/08/1942;p710
Q63464654;Transport from Westerbork to Auschwitz Birkenau on 11/09/1942;p710
Q63464663;Transport from Westerbork to Auschwitz Birkenau on 12/12/1942;p710
Q7079219;Office of Fair Trading v Abbey National plc;p710
Q7074268;Oakwell Engineering v. Enernorth Industries;p710
Q7070379;Nussenzweig v. DiCorcia;p710
Q7071778;O'Donohue v. Canada;p710
Q7072316;OBG Ltd v Allan;p710
Q4871783;Batalha de Montserrat;p710
Q7076177;Oceanbulk Shipping & Trading SA v TMT Asia Ltd;p710
Q7071924;O'Neill v Phillips;p710
Q4871785;Battle of Morar;p710
Q4871791;Battle of Morava–Ivan;p710
Q7070561;Nutt v. National Institute Inc.;p710
Q7071967;O'Sullivan v Noarlunga Meat Ltd;p710
Q7071969;O'Sullivan v Noarlunga Meat Ltd;p710
Q4871788;Battle of Montmeló;p710
Q7069852;Nunn v. Georgia;p710
Q7071684;O'Brien v Mirror Group Newspapers Ltd;p710
Q7064572;Novell v. Reimerdes;p710
Q7075520;Obsidian Finance Group, LLC v. Cox;p710
Q7066358;Nowatske v. Osterloh;p710
Q7076423;Ochs v. Commissioner;p710
Q7069019;Nulyarimma v Thompson;p710
Q4871787;Battle of Moorefield;p710
Q7072829;Online Policy Group v. Diebold;p710
Q7071890;O'Neale v. Thornton;p710
Q7054875;North Coast Women's Care Medical Group v. Superior Court;p710
Q7059004;Northern Suburbs General Cemetery Reserve Trust v Commonwealth;p710
Q7053741;North American Cold Storage Co. v. Chicago;p710
Q7015134;New York v. Onofre;p710
Q7041998;Nixon and Harper v. Long and Plumstead;p710
Q7061517;Norwich Pharmacal Co. v Customs and Excise Commissioners;p710
Q7046443;Nocton v Lord Ashburton;p710
Q7042006;Nixon v. Condon;p710
Q7060353;Northwestern National Life Insurance Co. v. Riggs;p710
Q7059484;Northington v. State;p710
Q7053339;Norris v. Moskin Stores, Inc.;p710
Q7050610;Nordenfelt v Maxim, Nordenfelt Guns and Ammunition Co Ltd;p710
Q7050911;Nordyke v. King;p710
Q7059068;Northern Territory v Mengel;p710
Q7014913;New York ex rel. Cutler v. Dibble;p710
Q7013713;New York Life Ins. Co. v. Dunlevy;p710
Q7054693;North Carolina v. Mann;p710
Q7061589;Norwood, Ohio v. Horney;p710
Q7047847;Nokes v Doncaster Amalgamated Collieries Ltd;p710
Q7041333;Nitke v. Gonzales;p710
Q7011900;New South Wales v Commonwealth;p710
Q7058959;Northern Securities Co. v. United States;p710
Q4872991;Battle of the Pips;p710
Q6123753;"Second Battle of Alihuatá""";p710
Q19020625;Hall v. Weare;p710
Q4872849;Battle of the Belly River;p710
Q19020632;Hall v. Wisconsin;p710
Q6482381;Lamparello v. Falwell;p710
Q4872904;Battle of the Day River;p710
Q6504839;Lawrie-Blum v Land Baden-Württemberg;p710
Q6130147;Siege of Arequipa;p710
Q4872838;Battle of the Baetis River;p710
Q4873013;Battle of the Shirts;p710
Q4873058;Battle of Šibenik;p710
Q131583805;Venetian expedition to the Levant;p710
Q6484431;Landeros v. Flood;p710
Q4873034;Battle of the Twin Villages;p710
Q4872909;Battle of the Diamond;p710
Q6509292;Leahy v Attorney-General for New South Wales;p710
Q6487491;Lansing v. Smith;p710
Q4873055;Battle of Đức Cơ;p710
Q4873057;Battle of Łowczówek;p710
Q4872894;Battle of the Combahee River;p710
Q6505021;Lawson v Serco Ltd;p710
Q6505615;Layland v Ontario (Minister of Consumer and Commercial Relations);p710
Q6494074;Lassonde v. Pleasanton Unified School District;p710
Q6487652;Lantz v. Coleman;p710
Q19020602;Farmers' Friend Manufacturing Company v. Ghallenge Corn-Planter Company;p710
Q4872848;Batalha das Berlengas;p710
Q4872933;Battle of the House in the Horseshoe;p710
Q19020611;Farmers Irrigation District v. Nebraska ex rel O'Shea;p710
Q4873059;Battle of Şırnak;p710
Q6493118;Lasercomb America, Inc. v. Reynolds;p710
Q19020622;Ughbanks v. Armstrong;p710
Q4872869;Battle of the Brazos River;p710
Q6130117;Cerco de Montevidéu;p710
Q4873016;Battle of the Spoiling Dyke;p710
Q19020621;Farmers' Loan & Trust Company;p710
Q19020630;Farmers' Loan & Trust Company v. Penn Plate Glass Company;p710
Q4873002;Battle of the Saline River;p710
Q6485684;Langan v. St. Vincent's Hospital;p710
Q19020620;Cammack v. Lewis;p710
Q4873015;Battle of the Sinai;p710
Q4872925;Battle of the Harrow;p710
Q4872958;Battle of the Morcuera;p710
Q19020607;Pacific Electric Railway Company v. Los Angeles;p710
Q4872931;Battle of the Holme;p710
Q6493585;Laskey, Jaggard and Brown v United Kingdom;p710
Q4872873;Battle of the Bridge of Cornellana;p710
Q19020629;Cammer v. United States;p710
Q4872876;Battle of the Bridges;p710
Q19020640;Farmers' Loan Trust Company v. Chicago, St. Paul, Minneapolis & Omaha Railway Company;p710
Q19020615;Pacific Employers Insurance Company v. Industrial Accident Commission of California;p710
Q4872959;Battle of the Neches;p710
Q4872973;Battle of the North Inch;p710
Q19020636;Cammeyer v. Newton;p710
Q6123584;Second Battle of Nanawa;p710
Q6485853;Lange v Australian Broadcasting Corporation;p710
Q4872937;Battle of the Hotels;p710
Q4872986;Battle of the Pinal Mountains;p710
Q19020631;Pacific Exp. Company v. Malin;p710
Q6504796;Lawrence v Metropolitan Police Commissioner;p710
Q19020610;Hall v. United States;p710
Q19020638;Pacific Exp. Company v. Malin;p710
Q4873008;Battle of the San Gabriels;p710
Q19020616;Hall v. Universal Oil Products Company;p710
Q19020647;Pacific Exp. Company v. Seibert;p710
Q5423108;Battle of Humlebæk;p710
Q5452496;First Battle of Acentejo;p710
Q5452531;First Battle of Rivas;p710
Q5366156;Battle of Hetsugigawa;p710
Q5452528;First Battle of Pyramid Lake;p710
Q9172454;Batalha do Fanfa;p710
Q7236042;Powdrill v Watson;p710
Q7236044;Powe v. Miles;p710
Q5432160;Queda de Kampala;p710
Q5408138;Battle of Abra de la Cruz;p710
Q5452529;First Battle of Petersburg;p710
Q7230607;Port Elizabeth Municipality v Various Occupiers;p710
Q7228633;Poole v. Fleeger;p710
Q5452512;Primeira Batalha de Clúsio;p710
Q5400142;Battle of Soriano;p710
Q7235294;Potter v Broken Hill Proprietary Company Ltd;p710
Q7227936;Ponoka-Calmar Oils v Wakefield;p710
Q5348368;Egyptian 25th Brigade ambush;p710
Q7229258;Pope v. State;p710
Q7236106;Powell v. Georgia;p710
Q7236107;Powell v. Home Depot;p710
Q5420456;Battle of Khalil;p710
Q5390656;First Battle of the Stronghold;p710
Q7231678;Porter v Magill;p710
Q5452530;First Battle of Ream's Station;p710
Q5452522;First Battle of Manzanillo;p710
Q5392508;Battle of Mal Paso;p710
Q5410287;Battle of Milano;p710
Q5452518;First Battle of Heglig;p710
Q5452508;First Battle of Deep Bottom;p710
Q5307342;Drexel Mission Fight;p710
Q4872532;Battle of Tepe;p17
Q7784782;Third Battle of Puebla;p710
Q8244136;Battle of Quart de Poblet;p710
Q7784780;Third Battle of Topolobampo;p710
Q9101600;Second Battle of Timbuktu;p710
Q8244643;Batalha de Rincón;p710
Q9052637;Operation Ursula;p710
Q8244249;Batalha de India Muerta (1845);p710
Q8244307;Battle of Molins de Rey;p710
Q8244028;Batalha de Arroyo Grande (1818);p710
Q8243982;Battle of Almenar;p710
Q4872521;Batalha de Tayacoba;p17
Q8244062;Batalha de Cagancha;p710
Q9172440;Batalha da Praça Muranów;p710
Q7784779;Third Battle of Nanking;p710
Q8244534;Battle of la Mesa del Nayar;p710
Q9079065;Battle of Lácar;p710
Q8244435;Battle of Selasia;p710
Q8578070;5th Battle of Gao;p710
Q8244434;Battle of San Quintín;p710
Q8348277;Battle of Margalef;p710
Q8244466;Battle of Toledo;p710
Q7879625;Batalha de Seelow;p710
Q8363015;Battle of Timbuktu;p710
Q8355041;Landing at Barcelona;p710
Q8243979;Battle of Alcolea de Cinca;p710
Q8068632;Zeitun Resistance;p710
Q8186936;Battle of Ontígola;p710
Q8244421;Battle of San Marcial (1522);p710
Q4872526;Battle of Tecroghan;p17
Q8244268;Battle of La Trinidad;p710
Q8244483;Battle of Velate;p710
Q8244135;Battle of Constantí;p710
Q8244031;Batalha de Atenas;p710
Q9002365;La Gleva Massacre;p710
Q4872528;Battle of Tell 'Asur;p17
Q8244154;Battle of Córdoba (México);p710
Q7227122;Polyukhovich v Commonwealth;p710
Q7203224;Playboy Enterprises, Inc. v. Welles;p710
Q19022472;Federal Trade Commission v. Bunte Bros;p710
Q7138411;Parker v South Eastern Railway Company;p710
Q7138408;Parker v British Airways Board;p710
Q19022481;Union Trust Company of New York v. Souther;p710
Q7155850;Pavey & Matthews Pty Ltd v Paul;p710
Q7201338;Planned Parenthood Federation of America, Inc. v. Bucci;p710
Q19022454;Panama Company v. Napier Shipping Company;p710
Q19022480;Federal Trade Commission v. Carter Products;p710
Q19022491;Union Trust Company of New York v. Walker;p710
Q7122450;Pacific Film Laboratories v Commissioner of Tax;p710
Q7225968;Polovchak v. Meese;p710
Q7200763;Plaintiff M70/2011 & Plaintiff M106 of 2011 by his Litigation Guardian v Minister for Immigration and Citizenship;p710
Q19022460;Panama Company v. Pigott;p710
Q19022494;Federal Trade Commission v. Cement Institute;p710
Q19022497;Union Trust Company of San Francisco v. Wardell;p710
Q19022467;Panama Company v. Rock;p710
Q19022506;Union Trust Company of St. Louis v. Westhus;p710
Q19022500;Federal Trade Commission v. Cement Institute;p710
Q19022475;Panama Company v. Toppin;p710
Q7127979;Palm Beach County Canvassing Board v. Harris;p710
Q7127537;Palila v. Hawaii Department of Land and Natural Resources;p710
Q19022507;Federal Trade Commission v. Claire Furnace Company;p710
Q19022514;Union Trust Company v. Grosman;p710
Q7202531;"Plattform ""Ärzte für das Leben"" v. Austria";p710
Q19022482;Panama Company v. Vasquez;p710
Q19022519;Union Trust Company v. Morrison;p710
Q7225849;Polly v. Lasselle;p710
Q19022517;Federal Trade Commission v. Consolidated Foods Corporation;p710
Q7122336;Pacific Century International, Ltd. v. Does;p710
Q7205447;Plummer v. State;p710
Q19022522;Federal Trade Commission v. Crafts;p710
Q19022489;Panama Mail Company v. Vargas;p710
Q7227754;Ponelat v Schrepfer;p710
Q7098558;Oppenheimer v Cattermole;p710
Q7133084;Pappas v. Giuliani;p710
Q19022529;Union Trust Company v. Wilson;p710
Q7140801;Parton v Milk Board;p710
Q7121915;Pace v. Alabama;p710
Q19022505;Pan-American Petroleum Transport Company v. United States;p710
Q7107628;Osteopathic Physicians & Surgeons v. California Medical Association;p710
Q19022511;Pan-Atlantic Steamship Corp v. Atlantic Coast Line Railroad Company;p710
Q7128740;Palsgraf v. Long Island Railroad Co.;p710
Q7136975;Parhat v. Gates;p710
Q7202146;Plata v. Schwarzenegger;p710
Q7135383;Paramount v. QVC;p710
Q19022515;Hamilton-Brown Shoe Company v. Wolf Brothers & Company;p710
Q7108679;Othman (Abu Qatada) v. United Kingdom;p710
Q7105770;Osborn v. Irwin Memorial Blood Bank;p710
Q7154607;Paul v. United States;p710
Q7154604;Paul v. Clinton;p710
Q19022493;Sanderson v. United States;p710
Q7132556;Pape v Commissioner of Taxation;p710
Q7099476;Orange-Book-Standard;p710
Q7095406;Ooregum Gold Mining Co of India v Roper;p710
Q7124292;Page v Smith;p710
Q7094587;Ontario (Attorney General) v. Canada Temperance Federation;p710
Q7107107;Osman v United Kingdom;p710
Q7213406;總理遺言案;p710
Q7207275;Poe v. Lynchburg Training School and Hospital;p710
Q7148483;Patterson v. Alabama;p710
Q7122709;Pacific States Box & Basket Co. v. White;p710
Q19022463;Union Tool Company v. Wilson;p710
Q7209614;Police v. City of Newark;p710
Q19022456;Federal Trade Commission v. Borden Company;p710
Q7121262;P J Magennis Pty Ltd v Commonwealth;p710
Q7225511;Polkey v AE Dayton Services Ltd;p710
Q7126338;Palacios de la Villa v Cortefiel Servicios SA;p710
Q7138838;Parkwood Leisure Ltd v Alemo-Herron;p710
Q7203222;Playboy Enterprises, Inc. v. Netscape Communications Corp.;p710
Q7113931;Overseas Tankship (UK) Ltd v Morts Dock and Engineering Co Ltd;p710
Q7203223;Playboy Enterprises, Inc. v. Starware Publishing Corp.;p710
Q19022465;Federal Trade Commission v. Brown Shoe Company;p710
Q7211121;Esing Bakery Incident;p710
Q19022473;Union Trust Company of New York v. Illinois Midland Railway Company;p710
Q7155986;Pavlovich v. Superior Court;p710
Q7113932;Overseas Tankship (UK) Ltd v The Miller Steamship Co;p710
Q6614676;list of criminal original habeas cases;p710
Q6552854;Lindsay v. Commissioners;p710
Q19020682;Farmers' Mechanics' National Bank v. Wilkinson;p710
Q6516253;Leela Förderkreis E.V. and Others v. Germany;p710
Q19020652;Pacific Gas Electric Company v. City and County of San Francisco;p710
Q6522708;Lennard's Carrying Co Ltd v Asiatic Petroleum Co Ltd;p710
Q6519101;Leibovitz v. Paramount Pictures Corp.;p710
Q19020690;Farmers Mechanics Savings Bank of Minneapolis v. Minnesota;p710
Q6556538;Lipkin Gorman v Karpnale Ltd;p710
Q19020664;Pacific Insurance Company v. Soule;p710
Q19020671;Pacific Live Stock Company v. Lewis;p710
Q6545900;Ligenfelder v. Wainwright Brewing Co.;p710
Q19020677;Pacific Mail Company v. Lucas;p710
Q6521200;Lemmerman v. A.T. Williams Oil Co.;p710
Q6552298;Linden Gardens Trust Ltd v Lenesta Sludge Disposals Ltd;p710
Q6522298;Lenawee County Board of Health v. Messerly;p710
Q19020686;Pacific Mail Steamship Company v. Schmidt;p710
Q6528293;Log Cabin Republicans v. United States;p710
Q6552599;Lindon v. First National Bank;p710
Q6521226;Lemmon v. New York;p710
Q6525878;Leonard vs. PepsiCo, Inc.;p710
Q6648746;Litster v Forth Dry Dock and Engineering Co Ltd;p710
Q6552913;Lindsey v. Miller;p710
Q6602716;list of United States Supreme Court cases involving Indian tribes;p710
Q6537261;Lewis v. Harris;p710
Q6602726;list of United States Supreme Court cases involving the First Amendment;p710
Q19020684;Sacramento Navigation Company v. Salz;p710
Q6602724;list of United States Supreme Court cases involving constitutional criminal procedure;p710
Q6602725;list of United States Supreme Court cases involving standing;p710
Q6516500;Leeth v Commonwealth;p710
Q6553833;Lingens v. Austria;p710
Q19020679;Macdougall v. Green;p710
Q19020655;Uihlein v. Wisconsin;p710
Q19020651;Farmers' Loan Trust Company v. Lake Street Elevated Railroad Company;p710
Q19020648;Farmers' Loan Trust Company v. Galesburg;p710
Q6531455;Lessee of Ashton v. Ashton;p710
Q6588887;United States v. Johnson, 319 U.S. 302 (1943);p710
Q6539367;Li v. Yellow Cab Co.;p710
Q6531456;Lessee of Hyam v. Edwards;p710
Q6646506;Lister v Hesley Hall Ltd;p710
Q6537898;Lexmark Int'l v. Static Control Components;p710
Q6516693;Lefkowitz v. Great Minneapolis Surplus Store, Inc;p710
Q19020656;Camou v. United States;p710
Q6646508;Lister v Romford Ice and Cold Storage Co Ltd;p710
Q6521311;Lemon Grove Incident;p710
Q19020668;Farmers' Loan Trust Company v. Newman;p710
Q6537319;Lewisham LBC v Malcolm;p710
Q19020675;Farmers' Loan Trust v. Waterman;p710
Q6631843;list of overruled U.S. Supreme Court decisions;p710
Q19022837;Sanford v. Kepner;p710
Q19022843;Sanford v. Poe;p710
Q7096908;Battle of Zadar;p710
Q19022812;Maddox v. Fortson;p710
Q6148234;Capture of Coro;p710
Q19022850;Sanford v. Sanford;p710
Q6394744;Battle of los Altos Mirandinos;p710
Q6796365;May 2012 Battle of Rastan;p710
Q19022820;Maddox v. United States;p710
Q6148267;Capture of Morelia;p710
Q6927554;Rout of Moy;p710
Q19022883;Hampton Company v. United States;p710
Q6889422;Batalha de Philippeville;p710
Q6510923;Incursão em Khan Yunis em Julho de 2024;p710
Q6527358;Leper War on Kauaʻi;p710
Q19022875;Sanford's Estate v. Commissioner of Internal Revenue;p710
Q6148236;Capture of Durango;p710
Q19022851;Madera Sugar Pine Company v. Industrial Accident Commission of California;p710
Q6784466;Massacre em Ayyadieh;p710
Q6394635;Battle of Sierra Chica;p710
Q6627360;Batalha de Raqqa;p710
Q6394337;Battle of Aconcagua;p710
Q6899828;Battle of Khirbat Abu Lacham;p710
Q6264446;Third Battle of Narvik;p710
Q6394358;Battle of Apósteles;p710
Q19022864;Madera Waterworks v. City of Madera;p710
Q6504822;Agok Skirmish;p710
Q6148269;Capture of Malaga;p710
Q6966495;March 1944 Narva Offensive;p710
Q19022841;Feibelman v. Packard;p710
Q19022847;Feibelman v. Packard;p710
Q6148259;Battle of Las Margaritas;p710
Q6142427;Third Battle of the Corunna Road;p710
Q6394664;Battle of Tierrita Blanca;p710
Q19022856;Feild v. Farrington;p710
Q7020401;Rescue of the guard ship in the Sea of Galilee;p710
Q6148266;Capture of Monterrey;p710
Q6819231;Merida pocket;p710
Q6394717;Batalha de Yerbal;p710
Q6966493;Narva Offensive February 1944;p710
Q6394332;Battle of Fuente del Rodeo;p710
Q7097018;Operation Eagle;p710
Q6394696;Battle of Vigirima;p710
Q6394401;Battle of Celaya;p710
Q6911363;Moremonui;p710
Q7063904;Battle of Tel Azaziat;p710
Q19022815;Sanford Brooks Company v. United States;p710
Q6619913;Battle of Iminenas;p710
Q6602439;Battle of Tin Keraten;p710
Q6454612;Second Battle of Çatalca;p710
Q6504894;Second Battle of Heglig;p710
Q6269188;Joint Expedition Against Franklin;p710
Q6784462;Massacre Canyon;p710
Q6966494;Narva Offensive;p710
Q19022824;Sanford Fork & Tool Company v. Howe, Brown, & Company;p710
Q7058049;Commissioner Palace in the Six Day War;p710
Q19022830;Sanford v. Ainsa;p710
Q19022880;Paraiso v. United States;p710
Q6141115;Battle of Sanhe;p710
Q9173622;Battle of Tacuba;p17
Q7389635;SEC v. Rajaratnam;p710
Q7392832;SRI International, Inc. v. Internet Security Systems, Inc.;p710
Q7382023;Russian Commercial and Industrial Bank v Comptoir d'Estcompte de Mulhouse;p710
Q9172717;Battle of El Lahun;p17
Q9173728;Battle of Xaltocan;p17
Q7389210;Landmark cases of the Supreme Court of Japan;p710
Q9173656;Battle of Tursko;p17
Q7389206;SCOJ 2005 No.1977;p710
Q7389207;SCOJ 2005 No. 947;p710
Q9173676;Battle of Vilcas;p17
Q9172560;Battle of the Tagus;p17
Q7389208;SCOJ 2007 No.30;p710
Q9173704;Battle of Wieselburg;p17
Q9173762;Battle of Golfo Triste;p17
Q7385507;Ryuichi Shimoda v. The State;p710
Q7388935;SBC Communications, Inc. v. FCC;p710
Q7383609;Ruxley Electronics and Construction Ltd v Forsyth;p710
Q9172715;Battle of Akkum;p17
Q7389250;SCO v. DaimlerChrysler;p710
Q7395381;S and Marper v United Kingdom;p710
Q9173562;Battle of Sołami;p17
Q9172660;Battle of Vilnius;p17
Q7395399;S v Acheson;p710
Q7395402;S v Goliath;p710
Q7389251;SCO v. IBM;p710
Q7395400;S v Combrink;p710
Q7395401;S v Friedman;p710
Q7395406;S v Mokgethi;p710
Q7395407;S v Mhlungu;p710
Q7395404;S v Hartmann;p710
Q7395405;S v Makwanyane;p710
Q7395410;S v Rabie;p710
Q7395411;S v Salzwedel;p710
Q7395408;S v Mshumpa;p710
Q7395409;S v Motau;p710
Q7383365;Rutherford v Secretary of State for Trade and Industry;p710
Q9172705;Battle of Ajdabiya;p17
Q9296060;Battle of Martynów (1699);p17
Q9173635;Battle of Tetzcoco;p17
Q9173569;Battle of Stavishche;p17
Q9173558;Battle of Skoczów;p17
Q9173659;Battle of Tykocin;p17
Q9172566;Battle of the Yacus River;p17
Q9173731;Battle of Yecapixtla;p17
Q7159138;Pedersen v. Office of Personnel Management;p710
Q2385555;Transport II from Caserne Dossin to Auschwitz Birkenau on 11/08/1942;p710
Q2996442;convoi Z du 15 janvier 1944;p710
Q6908238;Moore Stephens v Stone Rolls Ltd;p710
Q9651130;Batalha de Vatalandi;p17
Q6890745;Mogul Steamship Co Ltd v McGregor, Gow & Co;p710
Q19024658;Schall v. Camors Lemore's Estate Carriere's Estate;p710
Q3641960;Bombardeios de Roma na Segunda Guerra Mundial;p710
Q2670249;Bombardeamento de Alexandria;p710
Q9651049;Batalha de Courtrai (1794);p17
Q2996446;Transport X from Caserne Dossin to Auschwitz Birkenau on 15/09/1942;p710
Q6866280;Minister of Police v Rabie;p710
Q6866281;Minister of Police v Skosana;p710
Q9172444;Battle of the Fens;p710
Q6896266;Molko v. Holy Spirit Association for the Unification of World Christianity;p710
Q6908275;Moore v. Younger;p710
Q6908272;Moore v. Regents of the University of California;p710
Q7160492;Peevyhouse v. Garland Coal & Mining Co.;p710
Q19024684;Scharff v. Levy;p710
Q6866296;Minister of Public Works v Kyalami Ridge Environmental Association;p710
Q19024632;United States Grain Corporation v. Phillips;p710
Q6894187;Mohini Jain V/s State of Karnataka case;p710
Q19024631;Field v. De Comeau;p710
Q19024640;United States Greathouse v. Dern;p710
