iso3;country_qid;country_label;conflict_qid;conflict_label;kind_qid;kind_label;source;start_year;end_year;point_year;part_of_qid;part_of_label;place_qid;place_label;result_qid;result_label;deaths;country_label_en;conflict_label_en;kind_label_en;part_of_label_en;place_label_en;result_label_en
JPN;Q17;Japão;Q116813112;Convoy 3301A;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 3301A;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813113;Convoy 3310;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 3310;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813150;Convoy 4108;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4108;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813151;Convoy 4114;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4114;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813148;Convoy 4102;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4102;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813149;Convoy 4107;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4107;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813154;Convoy 4125;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4125;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813155;Convoy 4127;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4127;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813152;Convoy 4119;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4119;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813153;Convoy 4120;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4120;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813158;Convoy 4215;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4215;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813159;Convoy 4215;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4215;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813156;Convoy 4205;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4205;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813157;Convoy 4212/4213;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4212/4213;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813162;Convoy 4304;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4304;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813163;Convoy 4426;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4426;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813160;Convoy 4222;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4222;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813161;Convoy 4226;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4226;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813164;Convoy 4508;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4508;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813182;Convoy 5013;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5013;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813183;Convoy 5075;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5075;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813186;Convoy 5142;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5142;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813187;Convoy 5152;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5152;military convoy;World War II;Pacific Ocean;
