iso3;year;immigrants;emigrants
BHS;2024;67285.0;2174.0
BIH;1990;56000.0;1108999.0
BIH;1995;69476.0;1705561.0
BIH;2000;82952.0;1624537.0
BIH;2005;47287.0;1494812.0
BIH;2010;38945.0;1481062.0
BIH;2015;38597.0;1477261.0
BIH;2020;36042.0;1542552.0
BIH;2024;34120.0;1608324.0
BLM;1990;0.0;
BLM;1995;0.0;
BLM;2000;0.0;
BLM;2005;0.0;
BLM;2010;0.0;
BLM;2015;0.0;
BLM;2020;0.0;
BLM;2024;0.0;
BLR;1990;1248977.0;1768067.0
BLR;1995;1186282.0;1680350.0
BLR;2000;1123586.0;1599048.0
BLR;2005;1106982.0;1462091.0
BLR;2010;1090378.0;1310899.0
BLR;2015;1082905.0;1079713.0
BLR;2020;1067090.0;919469.0
BLR;2024;1054604.0;790232.0
BLZ;1990;30404.0;3528.0
BLZ;1995;33446.0;3627.0
BLZ;2000;36488.0;3849.0
BLZ;2005;41438.0;4380.0
BLZ;2010;46390.0;5247.0
BLZ;2015;54615.0;5970.0
BLZ;2020;62043.0;6694.0
BLZ;2024;68706.0;7383.0
BMU;1990;15683.0;433.0
BMU;1995;16676.0;473.0
BMU;2000;17684.0;537.0
BMU;2005;18108.0;638.0
BMU;2010;18547.0;748.0
BMU;2015;19212.0;871.0
BMU;2020;19739.0;1051.0
BMU;2024;20171.0;1100.0
BOL;1990;73758.0;199843.0
BOL;1995;83598.0;236253.0
BOL;2000;92658.0;281557.0
BOL;2005;107745.0;456266.0
BOL;2010;122846.0;648912.0
BOL;2015;143008.0;646591.0
BOL;2020;164121.0;744014.0
BOL;2024;183234.0;783473.0
BRA;1990;803218.0;446721.0
BRA;1995;732622.0;626103.0
BRA;2000;687362.0;902341.0
BRA;2005;641029.0;1215342.0
BRA;2010;596859.0;1365997.0
BRA;2015;646540.0;1402267.0
BRA;2020;1048866.0;1854912.0
BRA;2024;1406299.0;2194325.0
BRB;1990;24024.0;20659.0
BRB;1995;26224.0;20592.0
BRB;2000;28424.0;20249.0
BRB;2005;30624.0;20961.0
BRB;2010;32825.0;20844.0
BRB;2015;34475.0;20504.0
BRB;2020;34869.0;19564.0
BRB;2024;35187.0;19558.0
BRN;1990;73200.0;31408.0
BRN;1995;84748.0;44425.0
BRN;2000;96296.0;45229.0
BRN;2005;98441.0;45524.0
BRN;2010;100587.0;45555.0
BRN;2015;102733.0;45924.0
BRN;2020;111959.0;46349.0
BRN;2024;119933.0;46552.0
BTN;1990;23807.0;27169.0
BTN;1995;27972.0;117210.0
BTN;2000;32137.0;119788.0
BTN;2005;40279.0;117140.0
BTN;2010;48420.0;88335.0
BTN;2015;51106.0;47807.0
BTN;2020;53612.0;52339.0
BTN;2024;55705.0;66145.0
BWA;1990;27510.0;23982.0
BWA;1995;40168.0;17487.0
BWA;2000;74934.0;22155.0
BWA;2005;84661.0;22158.0
BWA;2010;94863.0;19869.0
BWA;2015;103053.0;18161.0
BWA;2020;110268.0;17397.0
BWA;2024;116402.0;16731.0
CAF;1990;67234.0;37143.0
CAF;1995;99712.0;39510.0
CAF;2000;123529.0;44980.0
CAF;2005;96409.0;115287.0
CAF;2010;94685.0;228473.0
CAF;2015;81568.0;666056.0
CAF;2020;88546.0;794362.0
CAF;2024;94556.0;905808.0
CAN;1990;4251056.0;1114493.0
CAN;1995;4853738.0;1273577.0
CAN;2000;5525404.0;1248046.0
CAN;2005;6086976.0;1255998.0
CAN;2010;7035001.0;1255259.0
CAN;2015;8049874.0;1307957.0
CAN;2020;8332892.0;1310121.0
CAN;2024;8805839.0;1347381.0
CHE;1990;1252320.0;396651.0
CHE;1995;1363586.0;420665.0
CHE;2000;1484514.0;440639.0
CHE;2005;1740312.0;467978.0
CHE;2010;2053953.0;491884.0
CHE;2015;2385713.0;499929.0
CHE;2020;2610189.0;507043.0
CHE;2024;2773840.0;512547.0
CHL;1990;100133.0;390979.0
CHL;1995;125754.0;391356.0
CHL;2000;166608.0;393879.0
CHL;2005;241522.0;419855.0
CHL;2010;361531.0;435797.0
CHL;2015;598039.0;419035.0
CHL;2020;1476240.0;423400.0
CHL;2024;1538324.0;444451.0
CHN;1990;518395.0;3990935.0
CHN;1995;610608.0;4676354.0
CHN;2000;720915.0;5668480.0
CHN;2005;853360.0;6892920.0
CHN;2010;1010008.0;8773150.0
CHN;2015;1196007.0;10357962.0
CHN;2020;1415116.0;11169868.0
CHN;2024;1638718.0;11701619.0
CIV;1990;1822374.0;353717.0
CIV;1995;1992981.0;433736.0
CIV;2000;2157339.0;525165.0
CIV;2005;2308068.0;698103.0
CIV;2010;2458796.0;902169.0
CIV;2015;2609525.0;1025536.0
CIV;2020;2760255.0;1129849.0
CIV;2024;2880839.0;1211422.0
CMR;1990;265967.0;92391.0
CMR;1995;244791.0;108473.0
CMR;2000;227242.0;131985.0
CMR;2005;265503.0;167265.0
CMR;2010;291474.0;214405.0
CMR;2015;508346.0;275824.0
CMR;2020;579209.0;357087.0
CMR;2024;642948.0;409677.0
COD;1990;754194.0;393133.0
