iso3;country;item;url_slug;ranking;score;critics;source
FRA;França;Baba au rhum;baba-au-rhum;;;;tasteatlas_html
LBN;Líbano;Baba ghanoush;baba-ghanoush;;1;1;tasteatlas_html
SYR;Síria;Baba ghanoush;baba-ghanoush;;2;2;tasteatlas_html
IDN;Indonésia;Babi panggang;babi-panggang;;4;4;tasteatlas_html
PRT;Portugal;Bacalhau;bacalhau;;;;tasteatlas_html
PRT;Portugal;Bacalhau à brás;bacalhau-a-bras;;;;tasteatlas_html
PRT;Portugal;Bacalhau à lagareiro;bacalhau-a-lagareiro;;;;tasteatlas_html
PRT;Portugal;Bacalhau com natas;bacalhau-com-natas;;;;tasteatlas_html
ITA;Itália;Baccalà alla Vicentina;baccala-alla-vicentina;;1;1;tasteatlas_html
ITA;Itália;Baccalà mantecato;baccala-mantecato;;1;1;tasteatlas_html
IRL;República da Irlanda;Bacon and cabbage;bacon-and-cabbage;;2;2;tasteatlas_html
USA;Estados Unidos;Bagel and Lox;bagel-and-lox;1;15;15;tasteatlas_html
MAR;Marrocos;Baghrir;baghrir;;;;tasteatlas_html
BHS;Bahamas;Bahamian Stew Fish;bahamian-stew-fish;;1;1;tasteatlas_html
BRA;Brasil;Baião-de-dois;baiao-de-dois;1;5;5;tasteatlas_html
BRB;Barbados;Bajan Macaroni Pie and Flying Fish;bajan-macaroni-pie-and-flying-fish;;1;1;tasteatlas_html
SGP;Singapura;Bak kut teh;bak-kut-teh;4;6;6;tasteatlas_html
TTO;Trindade e Tobago;Bake and Shark;bake-and-shark;1;7;7;tasteatlas_html
CAN;Canadá;Baked Goods;baked-goods;;;;tasteatlas_html
TUR;Turquia;Baklava;baklava;1;32;32;tasteatlas_html
TUR;Turquia;Bal kaymak;bal-kaymak;1;12;12;tasteatlas_html
ARE;Emirados Árabes Unidos;Balaleet;balaleet;;1;1;tasteatlas_html
LTU;Lituânia;Balandėliai;balandeliai;;;;tasteatlas_html
ABW;Aruba;Balchi di pisca;balchi-di-piska;;1;1;tasteatlas_html
HND;Honduras;Baleada;baleada;;2;2;tasteatlas_html
JAM;Jamaica;Bammy;bammy;;4;4;tasteatlas_html
USA;Estados Unidos;Banana Pudding;banana-pudding;;;;tasteatlas_html
KOR;Coreia do Sul;Banchan;banchan;;;;tasteatlas_html
COL;Colômbia;Bandeja paisa;bandeja-paisa;;2;2;tasteatlas_html
VNM;Vietname;Bánh chuối;banh-chuoi;;;;tasteatlas_html
VNM;Vietname;Bánh mì;banh-mi;3;13;13;tasteatlas_html
VNM;Vietname;Bánh xèo;banh-xeo;;;;tasteatlas_html
BIH;Bósnia e Herzegovina;Banjalučki ćevapi;banjalucki-cevapi;2;4;4;tasteatlas_html
GHA;Gana;Banku;banku;;;;tasteatlas_html
UKR;Ucrânia;Banosh;banosh;;2;2;tasteatlas_html
BGR;Bulgária;Banska kapama;banska-kapama;;;;tasteatlas_html
AUS;Austrália;Barbecue Snags;barbecue-snags;;3;3;tasteatlas_html
DEU;Alemanha;Barley;barley;;;;tasteatlas_html
BRA;Brasil;Barreado;barreado;;;;tasteatlas_html
IRN;Irão;Bastani sonnati;bastani-sonnati;;2;2;tasteatlas_html
LBN;Líbano;Batata harra;batata-harra;;4;4;tasteatlas_html
LKA;Sri Lanka;Bath kulu badhu;sri-lankan-rice-and-curry;;;;tasteatlas_html
GBR;Reino Unido;Battenberg cake;battenberg-cake;;3;3;tasteatlas_html
KAZ;Cazaquistão;Baursak;baursak;;;;tasteatlas_html
DEU;Alemanha;Bayerischer Wurstsalat;bayerischer-wurstsalat;;;;tasteatlas_html
CAN;Canadá;Beaver tails;beaver-tails;1;5;5;tasteatlas_html
MLT;Malta;Bebbux;bebbux;;2;2;tasteatlas_html
IDN;Indonésia;Bebek betutu;bebek-betutu;;;;tasteatlas_html
IDN;Indonésia;Bebek goreng;bebek-goreng;4;6;6;tasteatlas_html
IRL;República da Irlanda;Beef and Guinness pie;beef-and-guinness-pie;;1;1;tasteatlas_html
IRL;República da Irlanda;Beef and Guinness stew;beef-and-guinness-stew;1;4;4;tasteatlas_html
SGP;Singapura;Beef kway teow;beef-kway-teow;;4;4;tasteatlas_html
RUS;Rússia;Beef Stroganoff;beef-stroganoff;1;19;19;tasteatlas_html
AND;Andorra;Beer;beer;;;;tasteatlas_html
ARG;Argentina;Beer;beer;;;;tasteatlas_html
AUS;Austrália;Beer;beer;;;;tasteatlas_html
BLR;Bielorrússia;Beer;beer;;;;tasteatlas_html
BMU;Bermudas;Beer;beer;;;;tasteatlas_html
BRA;Brasil;Beer;beer;;;;tasteatlas_html
CAN;Canadá;Beer;beer;;;;tasteatlas_html
CHL;Chile;Beer;beer;;;;tasteatlas_html
CHN;China;Beer;beer;;;;tasteatlas_html
COL;Colômbia;Beer;beer;;;;tasteatlas_html
CPV;Cabo Verde;Beer;beer;;;;tasteatlas_html
CRI;Costa Rica;Beer;beer;;;;tasteatlas_html
DEU;Alemanha;Beer;beer;;;;tasteatlas_html
