iso3;country;item;url_slug;ranking;score;critics;source
IRL;República da Irlanda;Cheese;Cheese;;;;tasteatlas_html
ISL;Islândia;Cheese;Cheese;;;;tasteatlas_html
ISR;Israel;Cheese;Cheese;;;;tasteatlas_html
ITA;Itália;Cheese;Cheese;;;;tasteatlas_html
JPN;Japão;Cheese;Cheese;;;;tasteatlas_html
LTU;Lituânia;Cheese;Cheese;;;;tasteatlas_html
LVA;Letónia;Cheese;Cheese;;;;tasteatlas_html
MEX;México;Cheese;Cheese;;;;tasteatlas_html
NIC;Nicarágua;Cheese;Cheese;;;;tasteatlas_html
NOR;Noruega;Cheese;Cheese;;;;tasteatlas_html
NZL;Nova Zelândia;Cheese;Cheese;;;;tasteatlas_html
PER;Peru;Cheese;Cheese;;;;tasteatlas_html
PRT;Portugal;Cheese;Cheese;;;;tasteatlas_html
ROU;Roménia;Cheese;Cheese;;;;tasteatlas_html
SWE;Suécia;Cheese;Cheese;;;;tasteatlas_html
TUR;Turquia;Cheese;Cheese;;;;tasteatlas_html
UKR;Ucrânia;Cheese;Cheese;;;;tasteatlas_html
URY;Uruguai;Cheese;Cheese;;;;tasteatlas_html
USA;Estados Unidos;Cheese;Cheese;;;;tasteatlas_html
ZAF;África do Sul;Cheese;Cheese;;;;tasteatlas_html
GBR;Reino Unido;Cheese and onion pie;cheese-and-onion-pie;;2;2;tasteatlas_html
USA;Estados Unidos;Cheese Curd;cheese-curd;;;;tasteatlas_html
JPN;Japão;Cheese Dish;cheese-dishes;;;;tasteatlas_html
USA;Estados Unidos;Cheese Dish;cheese-dishes;;;;tasteatlas_html
USA;Estados Unidos;Cheeseburger;cheeseburger;24;6;6;tasteatlas_html
IRN;Irão;Chelo kabab;chelow-kebab;;1;1;tasteatlas_html
SGP;Singapura;Cheng tng;cheng-tng;3;5;5;tasteatlas_html
CHN;China;Cheung fun;cheung-fun;;1;1;tasteatlas_html
MEX;México;Chicatanas;chicatanas;;3;3;tasteatlas_html
AUS;Austrália;Chicken Parma;chicken-parmigiana;8;7;7;tasteatlas_html
USA;Estados Unidos;Chicken Parmigiana;chicken-parmigiana;;;;tasteatlas_html
BHS;Bahamas;Chicken Souse;chicken-souse;;3;3;tasteatlas_html
MAR;Marrocos;Chicken Tajine;chicken-tajine;;4;4;tasteatlas_html
GEO;Geórgia;Chikhirtma;chikhirtma;;;;tasteatlas_html
KOR;Coreia do Sul;Chikin;chikin;;;;tasteatlas_html
MEX;México;Chilaquiles;chilaquiles;1;6;6;tasteatlas_html
MEX;México;Chile relleno;chile-relleno;;;;tasteatlas_html
MEX;México;Chiles en nogada;chiles-en-nogada;2;9;9;tasteatlas_html
MEX;México;Chilorio;chilorio;;1;1;tasteatlas_html
ARG;Argentina;Chimichurri;chimichurri;3;5;5;tasteatlas_html
DOM;República Dominicana;Chimichurri burger;chimichurri-burger;;1;1;tasteatlas_html
MEX;México;Chinicuiles;chinicuiles;;3;3;tasteatlas_html
PRY;Paraguai;Chipa;chipa;;3;3;tasteatlas_html
PRY;Paraguai;Chipa guasu;chipa-guasu;;;;tasteatlas_html
URY;Uruguai;Chivito;chivito;3;6;6;tasteatlas_html
DOM;República Dominicana;Chivo guisado;chivo-guisado;;1;1;tasteatlas_html
ABW;Aruba;Chocolate;Chocolate;;;;tasteatlas_html
ARE;Emirados Árabes Unidos;Chocolate;Chocolate;;;;tasteatlas_html
ARG;Argentina;Chocolate;Chocolate;;;;tasteatlas_html
AUS;Austrália;Chocolate;Chocolate;;;;tasteatlas_html
BGR;Bulgária;Chocolate;Chocolate;;;;tasteatlas_html
BLR;Bielorrússia;Chocolate;Chocolate;;;;tasteatlas_html
BRA;Brasil;Chocolate;Chocolate;;;;tasteatlas_html
CAN;Canadá;Chocolate;Chocolate;;;;tasteatlas_html
CHL;Chile;Chocolate;Chocolate;;;;tasteatlas_html
CHN;China;Chocolate;Chocolate;;;;tasteatlas_html
CIV;Costa do Marfim;Chocolate;Chocolate;;;;tasteatlas_html
COL;Colômbia;Chocolate;Chocolate;;;;tasteatlas_html
CRI;Costa Rica;Chocolate;Chocolate;;;;tasteatlas_html
DEU;Alemanha;Chocolate;Chocolate;;;;tasteatlas_html
DNK;Dinamarca;Chocolate;Chocolate;;;;tasteatlas_html
DOM;República Dominicana;Chocolate;Chocolate;;;;tasteatlas_html
ECU;Equador;Chocolate;Chocolate;;;;tasteatlas_html
ESP;Espanha;Chocolate;Chocolate;;;;tasteatlas_html
EST;Estónia;Chocolate;Chocolate;;;;tasteatlas_html
FIN;Finlândia;Chocolate;Chocolate;;;;tasteatlas_html
FRA;França;Chocolate;Chocolate;;;;tasteatlas_html
GBR;Reino Unido;Chocolate;Chocolate;;;;tasteatlas_html
GHA;Gana;Chocolate;Chocolate;;;;tasteatlas_html
GRC;Grécia;Chocolate;Chocolate;;;;tasteatlas_html
GRD;Granada;Chocolate;Chocolate;;;;tasteatlas_html
GTM;Guatemala;Chocolate;Chocolate;;;;tasteatlas_html
HND;Honduras;Chocolate;Chocolate;;;;tasteatlas_html
IDN;Indonésia;Chocolate;Chocolate;;;;tasteatlas_html
IND;Índia;Chocolate;Chocolate;;;;tasteatlas_html
IRL;República da Irlanda;Chocolate;Chocolate;;;;tasteatlas_html
ISL;Islândia;Chocolate;Chocolate;;;;tasteatlas_html
ISR;Israel;Chocolate;Chocolate;;;;tasteatlas_html
ITA;Itália;Chocolate;Chocolate;;;;tasteatlas_html
JAM;Jamaica;Chocolate;Chocolate;;;;tasteatlas_html
JPN;Japão;Chocolate;Chocolate;;;;tasteatlas_html
KOR;Coreia do Sul;Chocolate;Chocolate;;;;tasteatlas_html
LTU;Lituânia;Chocolate;Chocolate;;;;tasteatlas_html
MDA;Moldávia;Chocolate;Chocolate;;;;tasteatlas_html
MDG;Madagáscar;Chocolate;Chocolate;;;;tasteatlas_html
MEX;México;Chocolate;Chocolate;;;;tasteatlas_html
NIC;Nicarágua;Chocolate;Chocolate;;;;tasteatlas_html
NOR;Noruega;Chocolate;Chocolate;;;;tasteatlas_html
NZL;Nova Zelândia;Chocolate;Chocolate;;;;tasteatlas_html
PER;Peru;Chocolate;Chocolate;;;;tasteatlas_html
PRI;Porto Rico;Chocolate;Chocolate;;;;tasteatlas_html
PRT;Portugal;Chocolate;Chocolate;;;;tasteatlas_html
ROU;Roménia;Chocolate;Chocolate;;;;tasteatlas_html
RUS;Rússia;Chocolate;Chocolate;;;;tasteatlas_html
SGP;Singapura;Chocolate;Chocolate;;;;tasteatlas_html
SLV;El Salvador;Chocolate;Chocolate;;;;tasteatlas_html
SRB;Sérvia;Chocolate;Chocolate;;;;tasteatlas_html
SWE;Suécia;Chocolate;Chocolate;;;;tasteatlas_html
TTO;Trindade e Tobago;Chocolate;Chocolate;;;;tasteatlas_html
TUR;Turquia;Chocolate;Chocolate;;;;tasteatlas_html
TWN;Taiwan;Chocolate;Chocolate;;;;tasteatlas_html
UGA;Uganda;Chocolate;Chocolate;;;;tasteatlas_html
UKR;Ucrânia;Chocolate;Chocolate;;;;tasteatlas_html
USA;Estados Unidos;Chocolate;Chocolate;;;;tasteatlas_html
VCT;São Vicente e Granadinas;Chocolate;Chocolate;;;;tasteatlas_html
VEN;Venezuela;Chocolate;Chocolate;;;;tasteatlas_html
VNM;Vietname;Chocolate;Chocolate;;;;tasteatlas_html
VUT;Vanuatu;Chocolate;Chocolate;;;;tasteatlas_html
ZAF;África do Sul;Chocolate;Chocolate;;;;tasteatlas_html
ARE;Emirados Árabes Unidos;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
AUS;Austrália;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
BGR;Bulgária;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
BMU;Bermudas;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
BRA;Brasil;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
CAN;Canadá;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
CHL;Chile;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
CHN;China;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
CIV;Costa do Marfim;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
COL;Colômbia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
CYP;Chipre;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
DEU;Alemanha;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
DNK;Dinamarca;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
DOM;República Dominicana;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
ECU;Equador;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
ESP;Espanha;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
EST;Estónia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
FIN;Finlândia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
FRA;França;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
GBR;Reino Unido;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
GHA;Gana;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
GRD;Granada;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
IDN;Indonésia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
IND;Índia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
IRL;República da Irlanda;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
ISL;Islândia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
ISR;Israel;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
ITA;Itália;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
JAM;Jamaica;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
JPN;Japão;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
LBN;Líbano;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
LTU;Lituânia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
MDG;Madagáscar;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
MEX;México;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
NOR;Noruega;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
NZL;Nova Zelândia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
PER;Peru;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
PRT;Portugal;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
ROU;Roménia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
SWE;Suécia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
TUR;Turquia;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
TWN;Taiwan;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
USA;Estados Unidos;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
VEN;Venezuela;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
VNM;Vietname;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
ZAF;África do Sul;Chocolate Confectionery;chocolate-confectioneries;;;;tasteatlas_html
BGR;Bulgária;Chomlek;chomlek;;2;2;tasteatlas_html
DZA;Argélia;Chorba frik;chorba-frik;;;;tasteatlas_html
ARG;Argentina;Choripán;choripan;;4;4;tasteatlas_html
PER;Peru;Choritos a la chalaca;choritos-a-la-chalaca;;2;2;tasteatlas_html
ESP;Espanha;Chorizo;chorizo;;;;tasteatlas_html
CHL;Chile;Chorrillana;chorrillana;2;5;5;tasteatlas_html
FRA;França;Choucroute garnie;choucroute-garnie;;;;tasteatlas_html
FRA;França;Chouquette;chouquette;;;;tasteatlas_html
GBR;Reino Unido;Christmas pudding;christmas-pudding;3;7;7;tasteatlas_html
ECU;Equador;Chugchucaras;chugchucaras;1;7;7;tasteatlas_html
CHN;China;Chun juan;spring-rolls;;3;3;tasteatlas_html
VNM;Vietname;Chuối chiên;chuoi-chien;;;;tasteatlas_html
IND;Índia;Churma;churma;1;7;7;tasteatlas_html
BRA;Brasil;Churrasco;churrasco;1;17;17;tasteatlas_html
CHL;Chile;Churrasco Italiano;churrasco-italiano;;;;tasteatlas_html
CAN;Canadá;Cider;Ciders;;;;tasteatlas_html
ESP;Espanha;Cider;Ciders;;;;tasteatlas_html
FRA;França;Cider;Ciders;;;;tasteatlas_html
GBR;Reino Unido;Cider;Ciders;;;;tasteatlas_html
IRL;República da Irlanda;Cider;Ciders;;;;tasteatlas_html
LBN;Líbano;Cider;Ciders;;;;tasteatlas_html
NOR;Noruega;Cider;Ciders;;;;tasteatlas_html
RUS;Rússia;Cider;Ciders;;;;tasteatlas_html
SWE;Suécia;Cider;Ciders;;;;tasteatlas_html
UKR;Ucrânia;Cider;Ciders;;;;tasteatlas_html
USA;Estados Unidos;Cider;Ciders;;;;tasteatlas_html
ROU;Roménia;Ciorbă;ciorba;1;7;7;tasteatlas_html
ROU;Roménia;Ciorbă de fasole;ciorba-de-fasole;;;;tasteatlas_html
ROU;Roménia;Ciorbă de Perişoare;ciorba-de-perisoare;;;;tasteatlas_html
ROU;Roménia;Ciorbă de salată cu afumătură;ciorba-de-salata-cu-afumatura;;;;tasteatlas_html
ROU;Roménia;Ciorba Radauteana;ciorba-radauteana;;;;tasteatlas_html
CAN;Canadá;Cipaille;cipaille;1;10;10;tasteatlas_html
FRA;França;Clafoutis;clafoutis;;;;tasteatlas_html
ESP;Espanha;Cochinillo;cochinillo;;;;tasteatlas_html
ESP;Espanha;Cocido;cocido;;3;3;tasteatlas_html
ESP;Espanha;Cocido lebaniego;cocido-lebaniego;;4;4;tasteatlas_html
ESP;Espanha;Cocido montañés;cocido-montanes;;2;2;tasteatlas_html
JAM;Jamaica;Coco Bread;coco-bread;;3;3;tasteatlas_html
MDG;Madagáscar;Cocoa Beans;cocoa-beans;;;;tasteatlas_html
GBR;Reino Unido;Coconut Oil;coconut-oil;;;;tasteatlas_html
GBR;Reino Unido;Cod fish and chips;cod-fish-and-chips;;;;tasteatlas_html
BRA;Brasil;Coffee;Coffee;;;;tasteatlas_html
CAN;Canadá;Coffee;Coffee;;;;tasteatlas_html
CHN;China;Coffee;Coffee;;;;tasteatlas_html
COL;Colômbia;Coffee;Coffee;;;;tasteatlas_html
CRI;Costa Rica;Coffee;Coffee;;;;tasteatlas_html
DEU;Alemanha;Coffee;Coffee;;;;tasteatlas_html
ESP;Espanha;Coffee;Coffee;;;;tasteatlas_html
ETH;Etiópia;Coffee;Coffee;;;;tasteatlas_html
GBR;Reino Unido;Coffee;Coffee;;;;tasteatlas_html
GTM;Guatemala;Coffee;Coffee;;;;tasteatlas_html
HND;Honduras;Coffee;Coffee;;;;tasteatlas_html
IDN;Indonésia;Coffee;Coffee;;;;tasteatlas_html
IND;Índia;Coffee;Coffee;;;;tasteatlas_html
ITA;Itália;Coffee;Coffee;;;;tasteatlas_html
JAM;Jamaica;Coffee;Coffee;;;;tasteatlas_html
KEN;Quénia;Coffee;Coffee;;;;tasteatlas_html
PAN;Panamá;Coffee;Coffee;;;;tasteatlas_html
PER;Peru;Coffee;Coffee;;;;tasteatlas_html
PRT;Portugal;Coffee;Coffee;;;;tasteatlas_html
RWA;Ruanda;Coffee;Coffee;;;;tasteatlas_html
SAU;Arábia Saudita;Coffee;Coffee;;;;tasteatlas_html
SLV;El Salvador;Coffee;Coffee;;;;tasteatlas_html
USA;Estados Unidos;Coffee;Coffee;;;;tasteatlas_html
YEM;Iémen;Coffee;Coffee;;;;tasteatlas_html
BRA;Brasil;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
BRB;Barbados;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
CAN;Canadá;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
CHN;China;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
COL;Colômbia;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
CRI;Costa Rica;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
DEU;Alemanha;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
ESP;Espanha;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
ETH;Etiópia;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
FRA;França;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
GBR;Reino Unido;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
GTM;Guatemala;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
IDN;Indonésia;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
IND;Índia;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
IRL;República da Irlanda;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
ITA;Itália;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
JAM;Jamaica;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
JPN;Japão;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
KEN;Quénia;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
MEX;México;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
PAN;Panamá;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
PER;Peru;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
PRT;Portugal;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
RWA;Ruanda;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
SLV;El Salvador;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
TWN;Taiwan;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
USA;Estados Unidos;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
YEM;Iémen;Coffee Beans;Coffee-Beans;;;;tasteatlas_html
USA;Estados Unidos;Coleslaw;coleslaw;;2;2;tasteatlas_html
CHL;Chile;Completo;completo;1;5;5;tasteatlas_html
BHS;Bahamas;Conch Ceviche;conch-ceviche;;1;1;tasteatlas_html
BHS;Bahamas;Conch Fritters;conch-fritters;;3;3;tasteatlas_html
BHS;Bahamas;Conch Salad;conch-salad;1;16;16;tasteatlas_html
ECU;Equador;Conchitas asadas;conchitas-asadas;;;;tasteatlas_html
AUS;Austrália;Condiment;Condiments;;;;tasteatlas_html
CAN;Canadá;Condiment;Condiments;;;;tasteatlas_html
CHN;China;Condiment;Condiments;;;;tasteatlas_html
DEU;Alemanha;Condiment;Condiments;;;;tasteatlas_html
ESP;Espanha;Condiment;Condiments;;;;tasteatlas_html
EST;Estónia;Condiment;Condiments;;;;tasteatlas_html
FRA;França;Condiment;Condiments;;;;tasteatlas_html
GBR;Reino Unido;Condiment;Condiments;;;;tasteatlas_html
GRC;Grécia;Condiment;Condiments;;;;tasteatlas_html
IDN;Indonésia;Condiment;Condiments;;;;tasteatlas_html
IND;Índia;Condiment;Condiments;;;;tasteatlas_html
IRL;República da Irlanda;Condiment;Condiments;;;;tasteatlas_html
ITA;Itália;Condiment;Condiments;;;;tasteatlas_html
JPN;Japão;Condiment;Condiments;;;;tasteatlas_html
KOR;Coreia do Sul;Condiment;Condiments;;;;tasteatlas_html
MEX;México;Condiment;Condiments;;;;tasteatlas_html
PER;Peru;Condiment;Condiments;;;;tasteatlas_html
PRT;Portugal;Condiment;Condiments;;;;tasteatlas_html
SAU;Arábia Saudita;Condiment;Condiments;;;;tasteatlas_html
SWE;Suécia;Condiment;Condiments;;;;tasteatlas_html
TWN;Taiwan;Condiment;Condiments;;;;tasteatlas_html
USA;Estados Unidos;Condiment;Condiments;;;;tasteatlas_html
ITA;Itália;Coniglio alla ligure;coniglio-alla-ligure;;1;1;tasteatlas_html
AUS;Austrália;Continental Roll;continental-roll;1;17;17;tasteatlas_html
BRB;Barbados;Coo-Coo and Flying Fish;coo-coo-and-flying-fish;;2;2;tasteatlas_html
ARG;Argentina;Cooked Sausage;Sausages;;;;tasteatlas_html
DEU;Alemanha;Cooked Sausage;Sausages;;;;tasteatlas_html
ESP;Espanha;Cooked Sausage;Sausages;;;;tasteatlas_html
FRA;França;Cooked Sausage;Sausages;;;;tasteatlas_html
GBR;Reino Unido;Cooked Sausage;Sausages;;;;tasteatlas_html
IRL;República da Irlanda;Cooked Sausage;Sausages;;;;tasteatlas_html
ITA;Itália;Cooked Sausage;Sausages;;;;tasteatlas_html
PRT;Portugal;Cooked Sausage;Sausages;;;;tasteatlas_html
TUR;Turquia;Cooked Sausage;Sausages;;;;tasteatlas_html
USA;Estados Unidos;Cooked Sausage;Sausages;;;;tasteatlas_html
FRA;França;Coq au vin;coq-au-vin;;1;1;tasteatlas_html
FRA;França;Coq au vin jaune;coq-au-vin-jaune;;;;tasteatlas_html
USA;Estados Unidos;Cornbread;cornbread;;1;1;tasteatlas_html
IRL;República da Irlanda;Corned beef boxty;corned-beef-boxty;1;7;7;tasteatlas_html
USA;Estados Unidos;Corned Beef Sandwich;corned-beef-sandwich;6;2;2;tasteatlas_html
GBR;Reino Unido;Coronation chicken;coronation-chicken;;2;2;tasteatlas_html
PER;Peru;Corvina al horno;corvina-al-horno;;;;tasteatlas_html
RUS;Rússia;Coulibiac;coulibiac;;2;2;tasteatlas_html
DZA;Argélia;Couscous (dish);Moroccan-Couscous;;;;tasteatlas_html
MAR;Marrocos;Couscous (dish);Moroccan-Couscous;;;;tasteatlas_html
TUN;Tunísia;Couscous (dish);Moroccan-Couscous;;1;1;tasteatlas_html
BRA;Brasil;Coxinha;coxinha;;;;tasteatlas_html
PRT;Portugal;Cozido;cozido;;1;1;tasteatlas_html
ROU;Roménia;Cozonac;cozonac;;3;3;tasteatlas_html
SGP;Singapura;Crab bee hoon;crab-bee-hoon;1;29;29;tasteatlas_html
USA;Estados Unidos;Crab Cake;crab-cake;;3;3;tasteatlas_html
BHS;Bahamas;Crack Conch with Peas and Rice;crack-conch-with-peas-and-rice;;1;1;tasteatlas_html
BHS;Bahamas;Cracked Conch;cracked-conch;;1;1;tasteatlas_html
CAN;Canadá;Cracker;crackers;;;;tasteatlas_html
FRA;França;Cream;Cream;;;;tasteatlas_html
GBR;Reino Unido;Cream;Cream;;;;tasteatlas_html
IRL;República da Irlanda;Cream;Cream;;;;tasteatlas_html
USA;Estados Unidos;Cream;Cream;;;;tasteatlas_html
DNK;Dinamarca;Cream Cheese;cream-cheese;;;;tasteatlas_html
ESP;Espanha;Cream Cheese;cream-cheese;;;;tasteatlas_html
FRA;França;Cream Cheese;cream-cheese;;;;tasteatlas_html
GBR;Reino Unido;Cream Cheese;cream-cheese;;;;tasteatlas_html
ITA;Itália;Cream Cheese;cream-cheese;;;;tasteatlas_html
USA;Estados Unidos;Cream Cheese;cream-cheese;;;;tasteatlas_html
USA;Estados Unidos;Cream Pie;cream-pie;;;;tasteatlas_html
USA;Estados Unidos;Creamed Corn;creamed-corn;;3;3;tasteatlas_html
ESP;Espanha;Crema Catalana;crema-catalana;;;;tasteatlas_html
FRA;França;Crème brûlée;creme-brulee;;;;tasteatlas_html
ESP;Espanha;Croquetas;croquetas;7;6;6;tasteatlas_html
ESP;Espanha;Croquetas de bacalao;croquetas-de-bacalao;;1;1;tasteatlas_html
ESP;Espanha;Croquetas de jamón;croquetas-de-jamon;2;5;5;tasteatlas_html
ITA;Itália;Crostata;crostata;;;;tasteatlas_html
ITA;Itália;Crostini;crostini;;1;1;tasteatlas_html
ITA;Itália;Crostini Toscani;crostini-toscani;4;5;5;tasteatlas_html
AUS;Austrália;Cruffin;cruffin;;3;3;tasteatlas_html
GBR;Reino Unido;Crumble;crumble;;;;tasteatlas_html
CUB;Cuba;Cucurucho;cucurucho;;2;2;tasteatlas_html
GBR;Reino Unido;Cullen Skink;cullen-skink;;;;tasteatlas_html
ITA;Itália;Culurgionis d’Ogliastra;culurgionis-dogliastra;1;9;9;tasteatlas_html
CHL;Chile;Curanto;curanto;;;;tasteatlas_html
TTO;Trindade e Tobago;Curried Crab and Dumplings;curried-crab-and-dumplings;;3;3;tasteatlas_html
DEU;Alemanha;Currywurst;currywurst;;2;2;tasteatlas_html
PER;Peru;Cuy al horno;cuy-al-horno;;2;2;tasteatlas_html
PER;Peru;Cuy frito;cuy-frito;;3;3;tasteatlas_html
GBR;Reino Unido;Dairy Beverage;dairy-beverage;;;;tasteatlas_html
CAN;Canadá;Dairy Product;dairy-products;;;;tasteatlas_html
DEU;Alemanha;Dairy Product;dairy-products;;;;tasteatlas_html
ESP;Espanha;Dairy Product;dairy-products;;;;tasteatlas_html
FRA;França;Dairy Product;dairy-products;;;;tasteatlas_html
GBR;Reino Unido;Dairy Product;dairy-products;;;;tasteatlas_html
GRC;Grécia;Dairy Product;dairy-products;;;;tasteatlas_html
IRL;República da Irlanda;Dairy Product;dairy-products;;;;tasteatlas_html
ITA;Itália;Dairy Product;dairy-products;;;;tasteatlas_html
KOR;Coreia do Sul;Dairy Product;dairy-products;;;;tasteatlas_html
TUR;Turquia;Dairy Product;dairy-products;;;;tasteatlas_html
TWN;Taiwan;Dairy Product;dairy-products;;;;tasteatlas_html
USA;Estados Unidos;Dairy Product;dairy-products;;;;tasteatlas_html
SAU;Arábia Saudita;Dajaj mashwi;dajaj-mashwi;;;;tasteatlas_html
KOR;Coreia do Sul;Dak Galbi;dak-galbi;;;;tasteatlas_html
GRC;Grécia;Dakos;dakos;;;;tasteatlas_html
NPL;Nepal;Dal bhat;dal-bhat;;2;2;tasteatlas_html
IND;Índia;Dal makhani;dal-makhani;;4;4;tasteatlas_html
CHN;China;Dàndànmiàn;dan-dan-noodles;;1;1;tasteatlas_html
ARG;Argentina;Dessert;Desserts;;;;tasteatlas_html
AUS;Austrália;Dessert;Desserts;;;;tasteatlas_html
BRA;Brasil;Dessert;Desserts;;;;tasteatlas_html
CAN;Canadá;Dessert;Desserts;;;;tasteatlas_html
DEU;Alemanha;Dessert;Desserts;;;;tasteatlas_html
ECU;Equador;Dessert;Desserts;;;;tasteatlas_html
ESP;Espanha;Dessert;Desserts;;;;tasteatlas_html
FRA;França;Dessert;Desserts;;;;tasteatlas_html
GBR;Reino Unido;Dessert;Desserts;;;;tasteatlas_html
GRC;Grécia;Dessert;Desserts;;;;tasteatlas_html
ITA;Itália;Dessert;Desserts;;;;tasteatlas_html
JPN;Japão;Dessert;Desserts;;;;tasteatlas_html
PER;Peru;Dessert;Desserts;;;;tasteatlas_html
PRY;Paraguai;Dessert;Desserts;;;;tasteatlas_html
URY;Uruguai;Dessert;Desserts;;;;tasteatlas_html
USA;Estados Unidos;Dessert;Desserts;;;;tasteatlas_html
TTO;Trindade e Tobago;Dhalpuri roti;dhalpuri-roti;;1;1;tasteatlas_html
NPL;Nepal;Dhindo;dhindo;;2;2;tasteatlas_html
MUS;Maurícia;Dholl puri;dholl-puri;;3;3;tasteatlas_html
TUR;Turquia;Dilber dudağı;dilber-dudagi;;;;tasteatlas_html
AUS;Austrália;Dim sim;dim-sim;1;24;24;tasteatlas_html
CHN;China;Dim sum;dim-sum;6;30;30;tasteatlas_html
GBR;Reino Unido;Dip;dips;;;;tasteatlas_html
USA;Estados Unidos;Dip;dips;;;;tasteatlas_html
KOR;Coreia do Sul;Doenjang jjigae;doenjang-jjigae;;;;tasteatlas_html
GMB;Gâmbia;Domoda;domoda;;1;1;tasteatlas_html
JPN;Japão;Donburi;donburi;;;;tasteatlas_html
TUR;Turquia;Döner kebab;doner-kebab;2;11;11;tasteatlas_html
KOR;Coreia do Sul;Dongchimi;;;;;tasteatlas_html
CHN;China;Dōngpō ròu;dongpo-rou;;;;tasteatlas_html
IND;Índia;Dosa;dosa;1;60;60;tasteatlas_html
