iso3;qid_country;lang_qid;lang_label;scope;region_label;start_year;end_year
ABW;Q21203;Q33856;Papiamento;national;;;
ABW;Q21203;Q7411;neerlandês;national;;;
AFG;Q889;Q36670;Pashayi;regional;língua regional;;
AFG;Q889;Q33049;Língua balúchi;regional;língua regional;;
AFG;Q889;Q161804;Nuristani;regional;língua regional;;
AFG;Q889;Q58680;pastó;national;;;
AFG;Q889;Q9267;Língua turcomena;national;;;
AFG;Q889;Q178440;Língua dari;national;;;
AFG;Q889;Q13955;árabe;regional;língua regional;;
AFG;Q889;Q1772864;línguas pamir;regional;língua regional;;
AFG;Q889;Q9264;língua uzbeque;regional;língua regional;;
AGO;Q916;Q5146;português;national;;;
AIA;Q25228;Q1860;inglês;national;;;
ALA;Q5689;Q9027;língua sueca;national;;;
ALB;Q222;Q8748;língua albanesa;national;;;
AND;Q228;Q7026;língua catalã;national;;;
ARE;Q878;Q13955;árabe;national;;;
ARG;Q414;Q1321;espanhol;national;;;
ARM;Q399;Q8785;língua arménia;national;;;
ASM;Q16641;Q34011;Língua samoana;national;;;
ASM;Q16641;Q1860;inglês;national;;;
ATF;Q129003;Q150;francês;national;;;
ATG;Q781;Q1860;inglês;national;;;
AUS;Q408;Q44679;inglês australiano;national;;;
AUS;Q408;Q29525;língua de sinais australiana;national;;;
AUT;Q40;Q188;alemão;national;;;
AUT;Q40;Q36668;língua de sinais austríaca;national;;;
AZE;Q227;Q9292;Língua azeri;regional;Standart Azerbaijani;;
AZE;Q227;Q55698568;Língua gestual azerbaijana;national;;;
BDI;Q967;Q150;francês;national;;;
BDI;Q967;Q33583;Língua kirundi;national;;;
BDI;Q967;Q1860;inglês;national;;;
BEL;Q31;Q188;alemão;regional;Comunidade germanófona da Bélgica;;
BEL;Q31;Q188;alemão;regional;Welkenraedt;;
BEL;Q31;Q188;alemão;regional;Malmedy;;
BEL;Q31;Q188;alemão;regional;Waimes;;
BEL;Q31;Q188;alemão;regional;Baelen;;
BEL;Q31;Q188;alemão;regional;Plombières;;
BEL;Q31;Q150;francês;regional;Valónia;;
BEL;Q31;Q150;francês;regional;Região de Bruxelas-Capital;;
BEL;Q31;Q150;francês;regional;Ronse;;
BEL;Q31;Q150;francês;regional;Voeren;;
BEL;Q31;Q150;francês;regional;Herstappe;;
BEL;Q31;Q150;francês;regional;Linkebeek;;
BEL;Q31;Q150;francês;regional;Drogenbos;;
BEL;Q31;Q150;francês;regional;Mesen;;
BEL;Q31;Q150;francês;regional;Bever;;
BEL;Q31;Q150;francês;regional;Sint-Genesius-Rode;;
BEL;Q31;Q150;francês;regional;Spiere-Helkijn;;
BEL;Q31;Q7411;neerlandês;regional;Flandres;;
BEL;Q31;Q7411;neerlandês;regional;Região de Bruxelas-Capital;;
BEL;Q31;Q7411;neerlandês;regional;Welkenraedt;;
BEL;Q31;Q7411;neerlandês;regional;Mouscron;;
BEL;Q31;Q7411;neerlandês;regional;Comines-Warneton;;
BEL;Q31;Q7411;neerlandês;regional;Enghien;;
BEL;Q31;Q7411;neerlandês;regional;Baelen;;
BEL;Q31;Q7411;neerlandês;regional;Plombières;;
BEN;Q962;Q150;francês;national;;;
BES;Q27561;Q33856;Papiamento;regional;Bonaire;;
BES;Q27561;Q1860;inglês;national;;;
BES;Q27561;Q7411;neerlandês;national;;;
BFA;Q965;Q32706;Língua dioula;national;;;
BFA;Q965;Q32934;Língua bissa;national;;;
BFA;Q965;Q36096;Língua more;national;;;
BGD;Q902;Q9610;língua bangla;national;;;
BGR;Q219;Q7918;língua búlgara;national;;;
BHR;Q398;Q13955;árabe;national;;;
BHS;Q778;Q1860;inglês;national;;;
BIH;Q225;Q6654;croata;national;;;
BIH;Q225;Q9303;Língua bósnia;national;;;
BIH;Q225;Q9299;língua sérvia;national;;;
BLM;Q25362;Q150;francês;national;;;
BLR;Q184;Q9091;Língua bielorrussa;national;;;
BLR;Q184;Q7737;russo;national;;1995;
BLZ;Q242;Q1860;inglês;national;;;
BMU;Q23635;Q1860;inglês;national;;;
BOL;Q750;Q5218;quíchua;national;;;
BOL;Q750;Q1321;espanhol;national;;;
BOL;Q750;Q35876;língua guarani;national;;;
BOL;Q750;Q4627;Língua aymará;national;;;
BRA;Q155;Q5146;português;national;;;
BRA;Q155;Q3436689;língua brasileira de sinais;national;;;
BRB;Q244;Q2524014;Crioulo bajan;national;;;
BRB;Q244;Q1860;inglês;national;;;
BRN;Q921;Q7979;inglês britânico;national;;;
BRN;Q921;Q9237;malaio;national;;;
BTN;Q917;Q33081;língua butanesa;national;;;
BWA;Q963;Q1860;inglês;national;;;
CAF;Q929;Q33954;Língua sango;national;;;
CAF;Q929;Q150;francês;national;;;
CAN;Q16;Q1860;inglês;national;;1972;
CAN;Q16;Q150;francês;national;;1972;
CCK;Q36004;Q1860;inglês;national;;;
CHE;Q39;Q150;francês;national;;;
CHE;Q39;Q652;italiano;national;;;
CHE;Q39;Q188;alemão;national;;;
CHE;Q39;Q13199;romanche;national;;;
CHL;Q298;Q1321;espanhol;national;;;
CHN;Q148;Q24841726;Putonghua;national;;;
CHN;Q148;Q7850;língua chinesa;national;;;
CHN;Q148;Q727694;mandarim padrão;national;;;
CHN;Q148;Q835866;Línguas da China;national;;;
CIV;Q1008;Q150;francês;national;;;
CMR;Q1009;Q150;francês;national;;;
CMR;Q1009;Q1860;inglês;national;;;
COD;Q974;Q150;francês;national;;;
