iso3,country,city,city_qid,admin,is_capital,population,year
ABW,Aruba,Oranjestad,Q131243,Aruba,1,28658,
AFG,Afeganistão,Cabul,Q5838,Canato de Chagatai,1,4273156,
AFG,Afeganistão,Cabul,Q5838,Cabul (distrito),1,4273156,
AFG,Afeganistão,Kandahar,Q45604,Kandahar,0,614254,
AFG,Afeganistão,Herat,Q45313,Herat District,0,556205,
AFG,Afeganistão,Mazar-e Sharif,Q130469,Mazar-i-Sharif District,0,469247,
AFG,Afeganistão,Konduz,Q108155,Kunduz District,0,356536,
AFG,Afeganistão,Jalalabad,Q183303,Nangarhar,0,263312,
AFG,Afeganistão,Taloqan,Q477238,Taluqan,0,258758,
AFG,Afeganistão,Lashkar Gah,Q476800,Lashkargah District,0,201546,
AFG,Afeganistão,Sheberghan,Q838954,Shibirghan District,0,175599,
AFG,Afeganistão,Khost,Q386682,Khost (Matun) District,0,160214,
AFG,Afeganistão,Gázni,Q173731,Ghazni District,0,143379,
AFG,Afeganistão,Pol-e Khomri,Q477148,Puli Khumri,0,113500,
AFG,Afeganistão,Bamiyan,Q214495,Bamiyan,0,100000,
AFG,Afeganistão,Baghlan,Q732879,Baghlan,0,83490,
AFG,Afeganistão,Gardiz,Q467632,Gardez District,0,70000,
AFG,Afeganistão,Farah,Q593156,Farah,0,54000,
AFG,Afeganistão,Sar-e Pol,Q1649301,Sar-e Pol,0,51075,
AFG,Afeganistão,Feyzabad,Q156558,Badakhshan,0,44421,
AFG,Afeganistão,Andkhvoy,Q1054127,Faryab,0,39730,
AGO,Angola,Luanda,Q3897,Província de Luanda,1,2487444,
AGO,Angola,Cacuaco,Q1005770,Província de Luanda,0,1279488,
AGO,Angola,Lubango,Q122044,Huíla,0,903564,
AGO,Angola,Huambo,Q207322,Província do Huambo,0,844000,
AGO,Angola,Cabinda,Q459360,Cabinda,0,739182,
AGO,Angola,Malanje,Q621001,Província de Malanje,0,604215,
AGO,Angola,Uíge,Q911191,Província do Uíge,0,599000,
AGO,Angola,Benguela,Q214248,Benguela,0,561775,
AGO,Angola,Benguela,Q3638179,Província de Benguela,0,512886,
AGO,Angola,Cuíto,Q843980,Bié,0,512706,
AGO,Angola,Talatona,Q60999936,Província de Luanda,0,500000,
AGO,Angola,Belas,Q727233,Província de Luanda,0,500000,
AGO,Angola,Lobito,Q223914,Província de Benguela,0,436467,
AGO,Angola,Saurimo,Q635017,Lunda Sul,0,393000,
AGO,Angola,Menongue,Q818731,Cuando Cubango,0,372500,
AGO,Angola,Menongue,Q818731,Cubango Province,0,372500,
AGO,Angola,Cubal,Q1142891,Província de Benguela,0,357618,
AGO,Angola,Luena,Q618643,Moxico,0,357413,
AGO,Angola,Ombadja,Q942273,Cunene,0,304964,
AGO,Angola,Bailundo,Q1619845,Província do Huambo,0,294494,
AIA,Anguila,The Valley,Q30994,Anguila,1,1067,
ALB,Albânia,Tirana municipality,Q13037436,Tirana,0,557422,
ALB,Albânia,Tirana,Q19689,Tirana municipality,1,418495,
ALB,Albânia,Durrës Municipality,Q16350067,Durrës,0,175110,
ALB,Albânia,Durrës Municipality,Q16350067,Durrës,0,175110,
ALB,Albânia,Shkodër municipality,Q16350146,Shkodër,0,142513,
ALB,Albânia,Elbasan municipality,Q16350072,Elbasan,0,141714,
ALB,Albânia,Elbasan municipality,Q16350072,Elbasan,0,141714,
ALB,Albânia,Vlorë,Q159610,Vlorë municipality,0,130827,
ALB,Albânia,Kamëz,Q605160,Tirana,0,126777,
ALB,Albânia,Kamëz,Q605160,Tirana,0,126777,
ALB,Albânia,Kamëz,Q605160,Kamëz municipality,0,126777,
ALB,Albânia,Durrës,Q83285,Durrës,0,113249,
ALB,Albânia,Vlorë municipality,Q16350151,Vlorë,0,104827,
ALB,Albânia,Vlorë municipality,Q16350151,Vlorë,0,104827,
ALB,Albânia,Kamëz municipality,Q13037410,Tirana,0,104190,
ALB,Albânia,Lushnjë municipality,Q13037420,Fier,0,83659,
ALB,Albânia,Elbasan,Q114257,Elbasan municipality,0,78703,
ALB,Albânia,Shkodër,Q131638,Shkodër municipality,0,76000,
ALB,Albânia,Korçë municipality,Q13037414,Korçë,0,75994,
ALB,Albânia,Dibër Municipality,Q13037427,Dibër,0,61619,
AND,Andorra,Andorra-a-Velha,Q1863,Andorra-a-Velha,1,24042,
AND,Andorra,Andorra-a-Velha,Q2522163,Andorra,0,22615,
AND,Andorra,Escaldes-Engordany,Q24286,Andorra,0,15506,
AND,Andorra,Encamp,Q24269,Andorra,0,12826,
AND,Andorra,La Massana,Q24276,Andorra,0,11591,
AND,Andorra,Sant Julià de Lòria,Q24282,Andorra,0,9915,
AND,Andorra,Canillo,Q24260,Andorra,0,5781,
AND,Andorra,Ordino,Q24272,Andorra,0,5440,
ARE,Emirados Árabes Unidos,Dubai,Q612,Emirate of Dubai,0,3944751,
ARE,Emirados Árabes Unidos,Abu Dhabi,Q1519,Emirado Abu Dhabi,1,1570000,
ARE,Emirados Árabes Unidos,Xarja,Q289693,Emirado de Xarja,0,1247749,
ARE,Emirados Árabes Unidos,Al Ain,Q234600,Emirado Abu Dhabi,0,766936,
ARE,Emirados Árabes Unidos,Ajman (cidade),Q530171,Ajman,0,490035,
ARE,Emirados Árabes Unidos,Ras al-Khaimah,Q2126436,Ras al-Khaimah,0,115949,
ARE,Emirados Árabes Unidos,Fujeira (cidade),Q4045,Al Fujayrah,0,93673,
ARE,Emirados Árabes Unidos,Doba (Fujeira),Q3696182,Al Fujayrah,0,41017,
ARE,Emirados Árabes Unidos,Madinat Zayed,Q12241857,Emirado Abu Dhabi,0,29095,
ARE,Emirados Árabes Unidos,Hatta,Q770233,Emirate of Dubai,0,15324,
ARG,Argentina,Grande Buenos Aires,Q998798,Argentina,0,13985794,
ARG,Argentina,Buenos Aires,Q1486,Argentina,1,3121707,
ARG,Argentina,La Matanza,Q1308616,Buenos Aires,0,1841247,
ARG,Argentina,Córdova,Q44210,Capital (departamento de Córdova),0,1329604,
ARG,Argentina,Rosário,Q52535,Rosario (departamento),0,1029619,
ARG,Argentina,La Plata,Q260600,Buenos Aires,0,768470,
ARG,Argentina,Lomas de Zamora,Q14638682,Buenos Aires,0,690323,
ARG,Argentina,General Pueyrredón,Q671742,Buenos Aires,0,667082,
ARG,Argentina,Quilmes,Q1855418,Buenos Aires,0,633391,
ARG,Argentina,São Miguel de Tucumã,Q44255,Capital (departamento de Tucumán),0,605767,
ARG,Argentina,Mar del Plata,Q52607,General Pueyrredón,0,593337,
ARG,Argentina,Almirante Brown,Q1399432,Buenos Aires,0,584827,
ARG,Argentina,Merlo (partido),Q1239732,Buenos Aires,0,582486,
ARG,Argentina,Moreno,Q2037611,Buenos Aires,0,576632,
ARG,Argentina,Salta,Q36307,Capital (departamento de Salta),0,535303,
ARG,Argentina,Florencio Varela,Q2621603,Buenos Aires,0,496433,
ARG,Argentina,San Juan,Q44241,Capital (departamento de San Juan),0,471389,
ARG,Argentina,Lanús,Q730109,Buenos Aires,0,461267,
ARG,Argentina,Lanús,Q1622565,Lanús,0,459263,
ARG,Argentina,General San Martín,Q2157253,Buenos Aires,0,450575,
ARM,Armênia,Erevã,Q1953,Arménia,1,1106300,
ARM,Armênia,Guiumri,Q199500,Shirak,0,121976,
ARM,Armênia,Hrazdan,Q31610,Kotayk,0,52283,
ARM,Armênia,Abovyan,Q31493,Kotayk,0,44400,
ARM,Armênia,Dvin,Q429059,Ararate,0,1190,
ARM,Armênia,Dvin,Q429059,Dvin,0,1190,
ARM,Armênia,Dvin,Q429059,Erivansky Uyezd,0,1190,
ATG,Antígua e Barbuda,São João,Q36262,São João,1,21394,
AUS,Austrália,Sydney,Q3130,Nova Gales do Sul,0,5450496,
AUS,Austrália,Melbourne,Q3141,Vitória,0,5350705,
AUS,Austrália,Brisbane,Q34932,Queensland,0,2706966,
AUS,Austrália,Perth,Q3183,Austrália Ocidental,0,2141834,
AUS,Austrália,Adelaide,Q5112,Austrália Meridional,0,1387290,
AUS,Austrália,Gold Coast,Q140075,Queensland,0,638090,
AUS,Austrália,Gold Coast,Q140075,City of Gold Coast,0,638090,
AUS,Austrália,City of Gold Coast,Q1069385,Queensland,0,625087,
AUS,Austrália,Camberra,Q3114,Território da Capital Australiana,1,381488,
AUS,Austrália,Wollongong,Q187861,City of Wollongong,0,261896,
AUS,Austrália,Ipswich,Q1009253,City of Ipswich,0,232930,
AUS,Austrália,Hobart,Q40191,Tasmânia,0,222356,
AUS,Austrália,Geelong,Q231765,City of Greater Geelong,0,180239,
AUS,Austrália,Townsville,Q190021,City of Townsville,0,178649,
AUS,Austrália,Newcastle,Q57278,City of Newcastle,0,152984,
AUS,Austrália,Cairns,Q189133,Cairns Region,0,146778,
AUS,Austrália,Darwin,Q11568,Território do Norte,0,139902,
AUS,Austrália,Toowoomba,Q478302,Toowoomba Region,0,135631,
AUS,Austrália,Ballarat,Q17856,Vitória,0,116201,
AUS,Austrália,Ballarat,Q17856,City of Ballarat,0,116201,
AUT,Áustria,Viena,Q1741,Áustria,1,1973403,
AUT,Áustria,Graz,Q13298,Estíria,0,292630,
AUT,Áustria,Linz,Q41329,Alta Áustria,0,211944,
