iso3,country,city,city_qid,admin,is_capital,population,year
AUT,Áustria,Salzburgo,Q34713,Salzburgo,0,155021,
AUT,Áustria,Innsbruck,Q1735,Tirol,0,130585,
AUT,Áustria,Klagenfurt,Q41753,Caríntia,0,101403,
AUT,Áustria,Wels,Q178582,Alta Áustria,0,65303,
AUT,Áustria,Villach,Q483522,Caríntia,0,65127,
AUT,Áustria,Sankt Pölten,Q82500,Baixa Áustria,0,55514,
AUT,Áustria,Dornbirn,Q171219,Dornbirn,0,48067,
AUT,Áustria,Wiener Neustadt,Q131612,Baixa Áustria,0,44461,
AUT,Áustria,Steyr,Q260320,Alta Áustria,0,38034,
AUT,Áustria,Feldkirch,Q183104,Feldkirch,0,33420,
AUT,Áustria,Bregenz,Q1737,Bregenz,0,29620,
AUT,Áustria,Leonding,Q487958,Linz-Land,0,28698,
AUT,Áustria,Klosterneuburg,Q487522,Tulln,0,27058,
AUT,Áustria,Baden,Q486450,Baden,0,26286,
AUT,Áustria,Krems an der Donau,Q131266,Baixa Áustria,0,25272,
AUT,Áustria,Wolfsberg,Q487527,Wolfsberg,0,25035,
AUT,Áustria,Leoben,Q485294,Leoben (distrito),0,24645,
AZE,Azerbaijão,Baku,Q9248,Azerbaijão,1,2300500,
AZE,Azerbaijão,Sumqayit,Q179833,Azerbaijão,0,341200,
AZE,Azerbaijão,Sumqayit,Q179833,República Socialista Soviética Azeri,0,341200,
AZE,Azerbaijão,Ganja,Q131290,Azerbaijão,0,331400,
AZE,Azerbaijão,Xirdalan,Q642109,Absheron,0,100900,
AZE,Azerbaijão,Xirdalan,Q642109,Binagadi raion,0,100900,
AZE,Azerbaijão,Xirdalan,Q642109,Baku Uyezd,0,100900,
AZE,Azerbaijão,Naquichevão,Q230104,República Autônoma do Naquichevão,0,95100,
AZE,Azerbaijão,Naquichevão,Q230104,República Autónoma Socialista Soviética do Naquichevão,0,95100,
AZE,Azerbaijão,Naquichevão,Q230104,Nakhichevan uezd,0,95100,
AZE,Azerbaijão,Naquichevão,Q230104,Nakhichevan Soviet Socialist Republic,0,95100,
AZE,Azerbaijão,Naquichevão,Q230104,Nakhichevan Autonomous Region,0,95100,
AZE,Azerbaijão,Canquendi,Q129352,Azerbaijão,0,49848,
AZE,Azerbaijão,Canquendi,Q129352,Oblast Autónomo de Nagorno-Karabakh,0,49848,
AZE,Azerbaijão,Canquendi,Q129352,Shusha Uezd,0,49848,
AZE,Azerbaijão,Mashtagha,Q4026905,Sabunchu raion,0,43700,
AZE,Azerbaijão,Mashtagha,Q4026905,Baku Uyezd,0,43700,
AZE,Azerbaijão,Aghjabadi,Q1983875,Agdam,0,43000,
AZE,Azerbaijão,Aghjabadi,Q1983875,Aghjabadi,0,43000,
AZE,Azerbaijão,Aghjabadi,Q1983875,Canato de Carabaque,0,43000,
BDI,Burundi,Bujumbura,Q3854,Bujumbura Mairie,0,658859,
BDI,Burundi,Guitega,Q167551,Gitega,1,135467,
BDI,Burundi,Ngozi,Q929689,Butanyerera,0,39884,
BDI,Burundi,Kayanza,Q2305839,Butanyerera,0,21767,
BDI,Burundi,Bubanza,Q2020432,Bujumbura Province,0,20031,
BDI,Burundi,Kirundo,Q2640808,Kirundo,0,10024,
BDI,Burundi,Muyinga,Q2006076,Buhumuza,0,9609,
BDI,Burundi,Makamba,Q1286083,Makamba,0,9396,
BDI,Burundi,Ruyigi,Q1018116,Buhumuza,0,7139,
BDI,Burundi,Rutana,Q246069,Burunga,0,5865,
BDI,Burundi,Muramvya,Q557529,Gitega,0,5458,
BDI,Burundi,Bururi,Q992247,Bururi,0,4478,
BDI,Burundi,Bururi,Q992247,Bururi,0,4478,
BDI,Burundi,Mwaro,Q2458075,Mwaro,0,2403,
BEL,Bélgica,Região de Bruxelas-Capital,Q240,Bélgica,0,1255795,
BEL,Bélgica,Região de Bruxelas-Capital,Q240,Comunidade flamenga,0,1255795,
BEL,Bélgica,Região de Bruxelas-Capital,Q240,Comunidade francesa da Bélgica,0,1255795,
BEL,Bélgica,Antuérpia,Q12892,Arrondissement de Antuérpia,0,529247,
BEL,Bélgica,Gante,Q1296,Arrondissement of Ghent,0,272657,
BEL,Bélgica,Charleroi,Q81046,Arrondissement of Charleroi,0,204322,
BEL,Bélgica,Bruxelas,Q239,Arrondissement de Brussels-Capital,1,195546,
BEL,Bélgica,Liège,Q3992,Arrondissement of Liège,0,195278,
BEL,Bélgica,Schaerbeek,Q12887,Arrondissement de Brussels-Capital,0,132799,
BEL,Bélgica,Anderlecht,Q12886,Arrondissement de Brussels-Capital,0,120887,
BEL,Bélgica,Bruges,Q12994,Arrondissement of Bruges,0,118509,
BEL,Bélgica,Namur,Q134121,Arrondissement of Namur,0,114007,
BEL,Bélgica,Lovaina,Q118958,Arrondissement of Leuven,0,101032,
BEL,Bélgica,Molenbeek-Saint-Jean,Q180775,Arrondissement de Brussels-Capital,0,97979,
BEL,Bélgica,Mons,Q83407,Arrondissement of Mons,0,95299,
BEL,Bélgica,Hasselt,Q58780,Arrondissement of Hasselt,0,90249,
BEL,Bélgica,Aalst,Q13121,Arrondissement of Aalst,0,88854,
BEL,Bélgica,Ixelles,Q208713,Arrondissement de Brussels-Capital,0,87632,
BEL,Bélgica,Mechelen,Q162022,Arrondissement of Mechelen,0,86921,
BEL,Bélgica,Uccle,Q203312,Arrondissement de Brussels-Capital,0,83980,
BEN,Benin,Cotonu,Q43595,Littoral (departamento),0,679012,
BEN,Benin,Porto Novo,Q3799,Oueme,1,234168,
BEN,Benin,Uidá,Q850031,Atlântico,0,162034,
BEN,Benin,Dogbo-Tota,Q2566827,Kouffo,0,101870,
BEN,Benin,Savé,Q21788742,Savé,0,31444,
BEN,Benin,Q31891842,Q31891842,Segbana,0,26440,
BFA,Burquina Faso,Uagadugu,Q3777,Ouagadougou,1,2453496,
BFA,Burquina Faso,Bobo Dioulasso,Q223761,Houet,0,903887,
BFA,Burquina Faso,Koudougou,Q460697,Boulkiemdé,0,160207,
BFA,Burquina Faso,Ouahigouya,Q569904,Yatenga,0,124580,
BFA,Burquina Faso,Kaya,Q766464,Sanmatenga,0,122949,
BFA,Burquina Faso,Banfora,Q639674,Comoé,0,117200,
BFA,Burquina Faso,Barsalogho Department,Q809135,Sanmatenga,0,113691,
BFA,Burquina Faso,Pouytenga,Q3400815,Pouytenga,0,99950,
BFA,Burquina Faso,Houndé,Q999435,Tuy,0,87154,
BFA,Burquina Faso,Fada N'Gourma,Q990122,Gourma,0,73200,
BFA,Burquina Faso,Dédougou,Q934436,Mouhoun,0,63617,
BFA,Burquina Faso,Djibo,Q16629473,Djibo,0,61456,
BFA,Burquina Faso,Tenkodogo,Q621925,Boulgou,0,58600,
BFA,Burquina Faso,Kongoussi,Q163352,Bam,0,53641,
BFA,Burquina Faso,Léo,Q650951,Sissili,0,51746,
BFA,Burquina Faso,Saponé,Q371596,Bazéga,0,50541,
BFA,Burquina Faso,Titao,Q1861898,Loroum,0,48242,
BFA,Burquina Faso,Koupéla,Q116524,Kouritenga,0,45900,
BFA,Burquina Faso,Gaoua,Q1011882,Poni,0,45189,
BFA,Burquina Faso,Garango,Q2668534,Garango,0,45150,
BGD,Bangladesh,Daca,Q1354,Dhaka,1,16800000,
BGD,Bangladesh,Chatigão,Q376749,Chatigão (distrito),0,2581643,
BGD,Bangladesh,Khulna,Q243325,Khulna,0,928891,
BGD,Bangladesh,Sylhet,Q466221,Sylhet,0,479837,
BGD,Bangladesh,Tongi,Q1756617,Gazipur District,0,476350,
BGD,Bangladesh,Rajshahi,Q322155,Rajshahi,0,448087,
BGD,Bangladesh,Bogra,Q1918837,Bogura District,0,400983,
BGD,Bangladesh,Barisal,Q747840,Barisal,0,328278,
BGD,Bangladesh,Cumilla,Q1006296,Comilla,0,296010,
BGD,Bangladesh,Rangpur,Q994514,Distrito de Rangpur,0,294265,
BGD,Bangladesh,Brahmanbaria,Q897320,Brahmanbaria (distrito),0,268279,
BGD,Bangladesh,Mymensingh,Q1006303,Mymensingh District,0,258040,
BGD,Bangladesh,Jessore,Q1688300,Jessore,0,209330,
BGD,Bangladesh,Dinajpur,Q4161769,Rangpur,0,206200,
BGD,Bangladesh,Dinajpur,Q4161769,Dinajpur,0,206200,
BGD,Bangladesh,Narsingdi,Q2799572,Narsingdi District,0,185128,
BGD,Bangladesh,Cox's Bazar,Q949746,Cox's Bazar Sadar Upazila,0,167477,
BGD,Bangladesh,Jemalpur,Q4159797,Jamalpur District,0,158873,
BGD,Bangladesh,Satkhira,Q478066,Satkhira,0,113322,
BGD,Bangladesh,Harinakunda,Q4495844,Harinakunda Upazila,0,17533,
BGR,Bulgária,Stolichna Municipality,Q4442915,Sofia City,0,1373335,
BGR,Bulgária,Sófia,Q472,Stolichna Municipality,1,1205548,
BGR,Bulgária,Varna,Q748965,Varna,0,344775,
BGR,Bulgária,Plovdiv,Q459,Plovdiv,0,329489,
BGR,Bulgária,Varna,Q6506,Varna,0,318737,
BGR,Bulgária,Burgas,Q167807,Burgas,0,232311,
BGR,Bulgária,Burgas,Q6509,Burgas,0,189014,
BGR,Bulgária,Pazardzhik,Q764056,Pazardzhik,0,122282,
BGR,Bulgária,Stara Zagora,Q170415,Stara Zagora,0,121249,
BGR,Bulgária,Ruse,Q160173,Ruse,0,121168,
BGR,Bulgária,Shumen,Q2219814,Shumen,0,101597,
BGR,Bulgária,Haskovo,Q2454587,Haskovo,0,94156,
BGR,Bulgária,Veliko Tarnovo,Q2991314,Veliko Tarnovo (província),0,91333,
BGR,Bulgária,Kazanlăk,Q1750050,Stara Zagora (província),0,89197,
BGR,Bulgária,Pleven,Q165420,Pleven,0,88565,
BGR,Bulgária,Yambol,Q4537624,Yambol,0,83861,
BGR,Bulgária,Vratsa,Q2015244,Vratsa (província),0,83860,
BGR,Bulgária,Sliven,Q178385,Sliven,0,78232,
BGR,Bulgária,Blagoevgrad,Q628050,Blagoevgrad (província),0,77441,
BGR,Bulgária,Dobrich,Q168668,Dobrich,0,69434,
BHR,Barein,Manama,Q3882,Província da Capital,1,297502,
BHR,Barein,Al Muharraq,Q270500,Província de Muharraq,0,176583,
BHR,Barein,Madinat Hamad,Q2088687,Província do Norte,0,133550,
BHR,Barein,Ar Rifa',Q1771398,Província do Sul,0,115495,
BHR,Barein,Madinat 'Isa,Q1017673,Província Central,0,61293,
BHS,Bahamas,Nassau,Q2467,New Providence,1,227940,
BHS,Bahamas,Freeport,Q867573,Bahamas,0,45945,
BIH,Bósnia e Herzegovina,Sarajevo,Q11194,Sarajevo Canton,1,350000,
BIH,Bósnia e Herzegovina,Banja Luka,Q131127,República Sérvia,0,185042,
BIH,Bósnia e Herzegovina,Banja Luka,Q131127,República Socialista da Bósnia e Herzegovina,0,185042,
BIH,Bósnia e Herzegovina,Stari Grad,Q1258239,Sarajevo Canton,0,126598,
BIH,Bósnia e Herzegovina,Bijeljina,Q207801,City of Bijeljina,0,114663,
BIH,Bósnia e Herzegovina,Tuzla,Q174684,Tuzla,0,110979,
BIH,Bósnia e Herzegovina,Prijedor,Q323986,City of Prijedor,0,89397,
BIH,Bósnia e Herzegovina,Bihać,Q204434,City of Bihać,0,70732,
BIH,Bósnia e Herzegovina,Zenica,Q184046,City of Zenica,0,70553,
BIH,Bósnia e Herzegovina,Doboj,Q169247,República Sérvia,0,68514,
BIH,Bósnia e Herzegovina,Cazin,Q994203,City of Cazin,0,66149,
BIH,Bósnia e Herzegovina,Sanski Most Municipality,Q12756667,Una Sana,0,43969,
BIH,Bósnia e Herzegovina,Visoko,Q193229,City of Visoko,0,39938,
BIH,Bósnia e Herzegovina,Brčko,Q322828,Distrito de Brčko,0,39893,
BIH,Bósnia e Herzegovina,Trebinje,Q690052,Bosnia Vilayet,0,31433,
BIH,Bósnia e Herzegovina,Trebinje,Q690052,City of Trebinje,0,31433,
BIH,Bósnia e Herzegovina,Žepče Municipality,Q12756617,Federação da Bósnia e Herzegovina,0,31067,
BIH,Bósnia e Herzegovina,Žepče Municipality,Q12756617,Zenica-Doboj,0,31067,
BIH,Bósnia e Herzegovina,Čapljina,Q337683,City of Čapljina,0,28122,
BIH,Bósnia e Herzegovina,Town of Novi Travnik,Q12756651,Federação da Bósnia e Herzegovina,0,24859,
BLR,Bielorrússia,Minsk,Q2280,Bielorrússia,1,1996730,
BLR,Bielorrússia,Gomel,Q2678,Voblast de Homiel,0,501193,
BLR,Bielorrússia,Hrodna,Q181376,Hrodna,0,363718,
BLR,Bielorrússia,Vitebsk,Q102217,Voblast de Viciebsk,0,358927,
BLR,Bielorrússia,Mahilou,Q154835,Voblast de Mahilou,0,352896,
BLR,Bielorrússia,Brest,Q140147,Brest,0,346061,
BLR,Bielorrússia,Babruysk,Q207294,Voblast de Mahilou,0,205502,
BLR,Bielorrússia,Baranavičy,Q237655,Brest,0,170817,
BLR,Bielorrússia,Barysaŭ,Q19313,Barysaŭ District,0,134732,
BLR,Bielorrússia,Pinsk,Q204150,Brest,0,124008,
BLR,Bielorrússia,Mazyr,Q386487,Mazyr district,0,104517,
BLZ,Belize,Cidade de Belize,Q108223,Belize,0,63999,
BLZ,Belize,San Ignacio/Santa Elena,Q724815,Cayo,0,26151,
BLZ,Belize,Belmopan,Q3043,Cayo,1,20754,
BLZ,Belize,San Pedro,Q677300,Cayo Ambergris,0,15456,
BLZ,Belize,Dangriga,Q888300,Stann Creek,0,9927,
BLZ,Belize,Corozal,Q882907,Corozal,0,9815,
BLZ,Belize,Benque Viejo,Q524851,Cayo,0,7020,
BLZ,Belize,Punta Gorda,Q883362,Toledo,0,5406,
BLZ,Belize,Shipyard,Q737412,Orange Walk,0,4070,
BLZ,Belize,San Lazaro,Q65330154,Orange Walk,0,1210,
BMU,Bermudas,Hamilton,Q30985,Bermudas,1,3686,
BOL,Bolívia,Santa Cruz de la Sierra,Q170688,Andrés Ibáñez,0,3151676,
BOL,Bolívia,El Alto,Q30996,El Alto Municipality,0,842378,
BOL,Bolívia,La Paz,Q1491,Departamento de La Paz,0,755732,
BOL,Bolívia,La Paz,Q1491,Departamento de La Paz,1,755732,
BOL,Bolívia,Cochabamba,Q183124,Cercado,0,632013,
BOL,Bolívia,Sucre,Q2907,Oropeza,1,360544,
BOL,Bolívia,Sucre,Q2907,Oropeza,0,360544,
BOL,Bolívia,Oruro,Q35246,Departamento de Oruro,0,264683,
BOL,Bolívia,Warnes,Q973385,Ignacio Warnes,0,214216,
BOL,Bolívia,Potosí,Q35045,Potosí Municipality,0,189652,
BOL,Bolívia,Tarija,Q35004,Cercado,0,179528,
BOL,Bolívia,Sacaba,Q995727,Sacaba Municipality,0,172466,
BOL,Bolívia,Quillacollo,Q1002090,Quillacollo Municipality,0,137182,
BOL,Bolívia,Montero,Q990706,Obispo Santistevan,0,126886,
BOL,Bolívia,Trinidad,Q34986,Cercado,0,124357,
BOL,Bolívia,Riberalta,Q941357,Vaca Díez,0,78100,
BOL,Bolívia,Villa Tunari,Q1860785,Villa Tunari Municipality,0,71386,
BOL,Bolívia,Villa Yapacaní,Q1506556,Ichilo,0,57683,
BOL,Bolívia,Puerto Villarroel,Q2097756,Puerto Villarroel Municipality,0,46627,
BOL,Bolívia,Cobija,Q34995,Nicolás Suárez,0,46267,
BRA,Brasil,Região Metropolitana do Rio de Janeiro,Q2720540,Rio de Janeiro,0,11900000,
BRA,Brasil,São Paulo,Q174,São Paulo,0,11451999,
BRA,Brasil,Rio de Janeiro,Q8678,Rio de Janeiro,0,6211223,
BRA,Brasil,Brasília,Q2844,Distrito Federal,1,3094325,
BRA,Brasil,Fortaleza,Q43463,Ceará,0,2703391,
BRA,Brasil,Salvador,Q36947,Bahia,0,2417678,
BRA,Brasil,Belo Horizonte,Q42800,Minas Gerais,0,2315560,
BRA,Brasil,Manaus,Q40236,Amazonas,0,2303732,
BRA,Brasil,Curitiba,Q4361,Paraná,0,1773718,
BRA,Brasil,Porto Alegre,Q40269,Rio Grande do Sul,0,1509939,
BRA,Brasil,Recife,Q48344,Pernambuco,0,1488920,
BRA,Brasil,Goiânia,Q83189,Goiás,0,1437366,
BRA,Brasil,Guarulhos,Q184409,São Paulo,0,1324781,
BRA,Brasil,Belém,Q12829733,Pará,0,1303403,
BRA,Brasil,Nova Iguaçu,Q188897,Rio de Janeiro,0,1297704,
BRA,Brasil,Campinas,Q171617,São Paulo,0,1213792,
BRA,Brasil,São Luís,Q28441,Maranhão,0,1037775,
BRA,Brasil,Campo Grande,Q168929,Mato Grosso do Sul,0,962883,
BRA,Brasil,Maceió,Q168888,Alagoas,0,957916,
BRA,Brasil,São Gonçalo,Q83114,Rio de Janeiro,0,896744,
BRB,Barbados,Bridgetown,Q36168,Saint Michael,1,98511,
BRN,Brunei,Bandar Seri Begawan,Q9279,Brunei e Muara,1,50000,
BTN,Butão,Thimbu,Q9270,Thimphu,1,114551,
BTN,Butão,Trongsa,Q1019534,Trongsa,0,2695,
BTN,Butão,Paro,Q862041,Wangchang Gewog,0,2362,
BWA,Botsuana,Gaborone,Q3919,Sudeste,1,235884,
BWA,Botsuana,City of Francistown,Q119806208,Francistown,0,147122,
BWA,Botsuana,Maun,Q170732,Noroeste,0,85293,
BWA,Botsuana,Molepolole,Q170725,Kweneng,0,67598,
BWA,Botsuana,Selebi-Phikwe,Q141263,Central,0,49724,
BWA,Botsuana,Serowe,Q855634,Central,0,47447,
BWA,Botsuana,Palapye,Q170711,Central,0,36211,
BWA,Botsuana,Bobonong,Q165988,Central,0,21216,
BWA,Botsuana,Shakawe,Q170663,Noroeste,0,6693,
CAF,República Centro-Africana,Bangui,Q3832,República Centro-Africana,1,889231,
CAF,República Centro-Africana,Bangui,Q3832,Ubangui-Chari,1,889231,
CAF,República Centro-Africana,Bimbo,Q863461,Ombella-M'Poko,0,124176,
CAF,República Centro-Africana,Berbérati,Q544701,Mambéré-Kadéï,0,76918,
CAF,República Centro-Africana,Carnot,Q521702,Mambéré-Kadéï,0,45421,
CAF,República Centro-Africana,Bambari,Q805946,Ouaka,0,41356,
CAF,República Centro-Africana,Bouar,Q512111,Nana-Mambéré,0,40353,
CAF,República Centro-Africana,Bossangoa,Q894513,Ouham,0,37780,
CAF,República Centro-Africana,Bria,Q598667,Haute-Kotto,0,35204,
CAF,República Centro-Africana,Bangassou,Q806478,Mbomou,0,31453,
CAF,República Centro-Africana,Nola,Q522912,Sangha-Mbaéré,0,29181,
CAF,República Centro-Africana,Kaga Bandoro,Q1210015,Nana-Grébizi,0,24661,
CAF,República Centro-Africana,Sibut,Q1757279,Kémo,0,22419,
CAF,República Centro-Africana,Mbaiki,Q593435,Lobaye,0,22166,
