iso3;utc
GRD;UTC-04:00
GRL;UTC+00:00
GRL;UTC-01:00
GRL;UTC-02:00
GRL;UTC-04:00
GTM;UTC-06:00
GUF;UTC-03:00
GUM;UTC+10:00
GUY;UTC-04:00
HKG;UTC+08:00
HND;UTC-06:00
HRV;UTC+01:00
HTI;UTC-05:00
HUN;UTC+01:00
IDN;UTC+07:00
IDN;UTC+08:00
IDN;UTC+09:00
IMN;UTC+00:00
IND;UTC+05:30
IOT;UTC+06:00
IRL;UTC+01:00
IRN;UTC+03:30
IRQ;UTC+03:00
ISL;UTC+00:00
ISR;UTC+02:00
ITA;UTC+01:00
JAM;UTC-05:00
JEY;UTC+00:00
JOR;UTC+03:00
JPN;UTC+09:00
KAZ;UTC+05:00
KAZ;UTC+06:00
KEN;UTC+03:00
KGZ;UTC+06:00
KHM;UTC+07:00
KIR;UTC+12:00
KIR;UTC+13:00
KIR;UTC+14:00
KNA;UTC-04:00
KOR;UTC+09:00
KWT;UTC+03:00
LAO;UTC+07:00
LBN;UTC+02:00
LBR;UTC+00:00
LBY;UTC+02:00
LCA;UTC-04:00
LIE;UTC+01:00
LKA;UTC+05:30
LSO;UTC+02:00
LTU;UTC+02:00
LUX;UTC+01:00
LVA;UTC+02:00
MAC;UTC+08:00
MAF;UTC-04:00
MAR;UTC+01:00
MCO;UTC+01:00
MDA;UTC+02:00
MDG;UTC+03:00
MDV;UTC+05:00
MEX;UTC-05:00
MEX;UTC-06:00
MEX;UTC-07:00
MEX;UTC-08:00
MHL;UTC+12:00
MKD;UTC+01:00
MLI;UTC+00:00
MLT;UTC+01:00
MMR;UTC+06:30
MNE;UTC+01:00
MNG;UTC+07:00
MNG;UTC+08:00
MNP;UTC+10:00
MOZ;UTC+02:00
MRT;UTC+00:00
MSR;UTC-04:00
MTQ;UTC-04:00
MUS;UTC+04:00
MWI;UTC+02:00
MYS;UTC+08:00
MYT;UTC+03:00
NCL;UTC+11:00
NER;UTC+01:00
NFK;UTC+11:00
NGA;UTC+01:00
NIC;UTC-06:00
NIU;UTC-11:00
NLD;UTC+01:00
NOR;UTC+01:00
NPL;UTC+05:45
NRU;UTC+12:00
NZL;UTC+12:00
NZL;UTC+12:45
OMN;UTC+04:00
PAK;UTC+05:00
PAN;UTC-05:00
PCN;UTC-08:00
PER;UTC-05:00
PHL;UTC+08:00
PLW;UTC+09:00
PNG;UTC+10:00
PNG;UTC+11:00
POL;UTC+01:00
PRI;UTC-04:00
PRK;UTC+09:00
PRT;UTC+00:00
PRT;UTC-01:00
PRY;UTC-04:00
PSE;UTC+02:00
PYF;UTC-09:00
PYF;UTC-09:30
PYF;UTC-10:00
QAT;UTC+03:00
REU;UTC+04:00
ROU;UTC+02:00
RUS;UTC+02:00
RUS;UTC+03:00
RUS;UTC+04:00
RUS;UTC+05:00
RUS;UTC+06:00
RUS;UTC+07:00
RUS;UTC+08:00
RUS;UTC+09:00
RUS;UTC+10:00
RUS;UTC+11:00
RUS;UTC+12:00
RWA;UTC+02:00
SAU;UTC+03:00
SDN;UTC+02:00
SEN;UTC+00:00
SGP;UTC+08:00
SGS;UTC-02:00
SHN;UTC+00:00
SJM;UTC+01:00
SLB;UTC+11:00
SLE;UTC+00:00
SLV;UTC-06:00
SMR;UTC+01:00
SOM;UTC+03:00
SPM;UTC-03:00
SRB;UTC+01:00
SSD;UTC+02:00
STP;UTC+00:00
SUR;UTC-03:00
SVK;UTC+01:00
SVN;UTC+01:00
SWE;UTC+01:00
SWZ;UTC+02:00
SXM;UTC-04:00
SYC;UTC+04:00
SYR;UTC+03:00
TCA;UTC-05:00
TCD;UTC+01:00
TGO;UTC+00:00
THA;UTC+07:00
TJK;UTC+05:00
TKL;UTC+13:00
TKM;UTC+05:00
TLS;UTC+09:00
TON;UTC+13:00
TTO;UTC-04:00
TUN;UTC+01:00
TUR;UTC+03:00
TUV;UTC+12:00
TWN;UTC+08:00
TZA;UTC+03:00
UGA;UTC+03:00
UKR;UTC+02:00
UKR;UTC+03:00
UMI;UTC+12:00
UMI;UTC-11:00
URY;UTC-03:00
USA;UTC-05:00
USA;UTC-06:00
USA;UTC-07:00
USA;UTC-08:00
USA;UTC-09:00
USA;UTC-10:00
UZB;UTC+05:00
VAT;UTC+01:00
VCT;UTC-04:00
VEN;UTC-04:00
VGB;UTC-04:00
VIR;UTC-04:00
VNM;UTC+07:00
VUT;UTC+11:00
WLF;UTC+12:00
WSM;UTC+13:00
YEM;UTC+03:00
ZAF;UTC+02:00
ZMB;UTC+02:00
ZWE;UTC+02:00
