conflict_qid;conflict_label;participant_qid;participant_label;role_label;is_human
Q1417205;Batalha de Mons;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4849424;Bakhtrioni Uprising;Q18234383;Império Safávida;;no
Q4849424;Bakhtrioni Uprising;Q18973;Georgianos;;no
Q1461914;Battle of Várad;Q171150;Reino da Hungria;;no
Q1461914;Battle of Várad;Q12548;Sacro Império Romano-Germânico;;no
Q1461914;Battle of Várad;Q12560;Império Otomano;;no
Q1458166;Batalha do Volturno;Q12544;Império Bizantino;;no
Q1410792;Second Battle of Amba Alagi;Q145;Reino Unido;;no
Q1443091;Battle of Garigliano;Q70972;Reino da França;;no
Q1443091;Battle of Garigliano;Q21088788;Catholic Monarchy;;no
Q1414998;Batalha do Tenaru;Q188712;Império do Japão;;no
Q1414998;Batalha do Tenaru;Q30;Estados Unidos;;no
Q1406921;Battle of Lansdowne;Q1130553;cabeças Redondas;;no
Q1406921;Battle of Lansdowne;Q2284765;cavaliers;;no
Q1464392;Batalha de Burdígala;Q178023;Tigurinos;;no
Q1464392;Batalha de Burdígala;Q1747689;Roma Antiga;;no
Q1445532;Batalha de Lule Burgas;Q12560;Império Otomano;;no
Q4677383;Action of 7 July 1799;Q161885;Reino da Grã-Bretanha;;no
Q4677365;Action of 4 August 1800;Q161885;Reino da Grã-Bretanha;;no
Q4677365;Action of 4 August 1800;Q3165715;Jean-François Landolphe;;yes
Q4677365;Action of 4 August 1800;Q58296;Primeira República Francesa;;no
Q4677374;Action of 6 April 1809;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4677374;Action of 6 April 1809;Q142;França;;no
Q4677411;Action off Lerwick;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4677411;Action off Lerwick;Q43287;Império Alemão;;no
Q4677350;Action of 31 July 1793;Q161885;Reino da Grã-Bretanha;;no
Q4677350;Action of 31 July 1793;Q142;França;;no
Q4731443;Allemand's escape from Lorient;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4731443;Allemand's escape from Lorient;Q142;França;;no
Q4677346;Action of 30 May 1798;Q161885;Reino da Grã-Bretanha;;no
Q4677346;Action of 30 May 1798;Q142;França;;no
Q4677385;Action of 7 October 1795;Q161885;Reino da Grã-Bretanha;;no
Q4677385;Action of 7 October 1795;Q142;França;;no
Q4677387;Action of 8 April 1740;Q161885;Reino da Grã-Bretanha;;no
Q4677387;Action of 8 April 1740;Q29;Espanha;;no
Q4677352;Action of 31 March 1800;Q161885;Reino da Grã-Bretanha;;no
Q4677352;Action of 31 March 1800;Q142;França;;no
Q4677357;Action of 3 May 1657;Q12560;Império Otomano;;no
Q4677357;Action of 3 May 1657;Q4948;República de Veneza;;no
Q4677379;Battle of Andros (1697);Q12560;Império Otomano;;no
Q4677379;Battle of Andros (1697);Q4948;República de Veneza;;no
Q4677439;Actions of 7/8 May 1945;Q145;Reino Unido;;no
Q4677439;Actions of 7/8 May 1945;Q7318;Alemanha Nazi;;no
Q4677406;Action of 8 July 1716;Q12560;Império Otomano;;no
Q4677406;Action of 8 July 1716;Q4948;República de Veneza;;no
Q4677399;Action of March 1665;Q3045696;Argélia otomana;;no
Q4677399;Action of March 1665;Q142;França;;no
Q4677372;Action of 5 November 1813;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4677372;Action of 5 November 1813;Q142;França;;no
Q4677351;Action of 30 September 1639;Q170072;República das Sete Províncias Unidas dos Países Baixos;;no
Q4677351;Action of 30 September 1639;Q200464;Império Português;;no
Q4677389;Action of 8 June 1755;Q161885;Reino da Grã-Bretanha;;no
Q4677389;Action of 8 June 1755;Q142;França;;no
Q4677353;Action of 31 May 1809;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4677353;Action of 31 May 1809;Q142;França;;no
Q4682165;Aden Expedition;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4682165;Aden Expedition;Q404774;Sultanato de Lahij;;no
Q1642290;Batalha de Fleurus;Q12548;Sacro Império Romano-Germânico;;no
Q4677371;Action of 4 May 1917;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4677371;Action of 4 May 1917;Q43287;Império Alemão;;no
Q4677371;Action of 4 May 1917;Q408;Austrália;;no
Q4677403;Action of San Mateo Bay;Q766543;Monarquia Hispânica;;no
Q4677403;Action of San Mateo Bay;Q179876;Reino da Inglaterra;;no
Q1646284;Actions along the Matanikau;Q188712;Império do Japão;;no
Q1646284;Actions along the Matanikau;Q30;Estados Unidos;;no
Q1638751;Batalha de Shirimni;Q154667;Reino da Geórgia;;no
Q1638751;Batalha de Shirimni;Q12544;Império Bizantino;;no
Q1639273;Batalha de Anzen;Q4437641;Banu Abas;;no
Q1639273;Batalha de Anzen;Q12544;Império Bizantino;;no
Q4677401;Action of 3 October 1624;Q766543;Monarquia Hispânica;;no
Q4677401;Action of 3 October 1624;Q154849;Grão-Ducado da Toscana;;no
Q4677401;Action of 3 October 1624;Q170174;Estados Papais;;no
Q4677401;Action of 3 October 1624;Q3045696;Argélia otomana;;no
Q1634857;Battle of Ardahan;Q12560;Império Otomano;;no
Q1639459;Batalha de Mu'tah;Q1111126;'Abd Allah ibn Rawahah;;yes
Q1639459;Batalha de Mu'tah;Q1147498;Ja'far ibn Abī Tālib;;yes
Q1639459;Batalha de Mu'tah;Q26918;Khalid ibn al-Walid;;yes
Q1639459;Batalha de Mu'tah;Q34418;Zayd ibn Harithah;;yes
Q4677400;Action of May 1612;Q173065;Reino de Nápoles;;no
Q4677400;Action of May 1612;Q188586;Reino da Sicília;;no
Q4677400;Action of May 1612;Q20018403;Eialete de Túnis;;no
Q4677382;Action of 7 May 1794;Q161885;Reino da Grã-Bretanha;;no
Q4677382;Action of 7 May 1794;Q142;França;;no
Q4677343;Action of 30 October 1762;Q161885;Reino da Grã-Bretanha;;no
Q4677343;Action of 30 October 1762;Q3399982;Reino de Espanha;;no
Q4677392;Battle of Mytilene;Q12560;Império Otomano;;no
Q4677392;Battle of Mytilene;Q4948;República de Veneza;;no
Q4677369;Action of 5 May 1794;Q161885;Reino da Grã-Bretanha;;no
Q4677369;Action of 5 May 1794;Q142;França;;no
Q4677355;Action of 3 July 1810;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4677355;Action of 3 July 1810;Q142;França;;no
Q4677345;Action of 30 May 1781;Q161885;Reino da Grã-Bretanha;;no
Q4781941;April 2009 raid off Somalia;Q183;Alemanha;;no
Q4781941;April 2009 raid off Somalia;Q142;França;;no
Q4677307;Action of 23 March 2010;Q10729326;pirata;;no
Q4677307;Action of 23 March 2010;Q11707277;MV Almezaan;;no
Q4677321;Action of 26 June 1625;Q187549;Ordem de São João;;no
Q4677321;Action of 26 June 1625;Q12560;Império Otomano;;no
Q4677313;Action of 24 June 1801;Q161885;Reino da Grã-Bretanha;;no
Q4677313;Action of 24 June 1801;Q142;França;;no
Q4677221;Action of 10 April 1795;Q161885;Reino da Grã-Bretanha;;no
Q4677221;Action of 10 April 1795;Q142;França;;no
Q4677255;Action of 14 October 1918;Q10335139;NRP Augusto Castilho (1915);;no
Q4677255;Action of 14 October 1918;Q7391540;SM U-139;;no
Q4677303;Action of 22 June 1803;Q3934817;Tripoli Eyalet;;no
Q4677303;Action of 22 June 1803;Q30;Estados Unidos;;no
Q4677298;Action of 22 August 1795;Q161885;Reino da Grã-Bretanha;;no
Q4677298;Action of 22 August 1795;Q188553;República Batava;;no
Q4677280;Action of 18 May 1657;Q12560;Império Otomano;;no
Q4677280;Action of 18 May 1657;Q4948;República de Veneza;;no
Q4677311;Action of 24 June 1618;Q29;Espanha;;no
Q4677311;Action of 24 June 1618;Q4948;República de Veneza;;no
Q4677294;Action of 21 April 1806;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4677294;Action of 21 April 1806;Q142;França;;no
Q4677243;Action of 12–17 January 1640;Q377350;União Ibérica;;no
Q4677243;Action of 12–17 January 1640;Q617066;Companhia Holandesa das Índias Ocidentais;;no
Q4307272;2008 U.S.–Iranian naval dispute;Q1443306;USS Hopper;;no
Q4307272;2008 U.S.–Iranian naval dispute;Q1973396;USS Port Royal;;no
Q4307272;2008 U.S.–Iranian naval dispute;Q2469724;USS Ingraham;;no
Q4307272;2008 U.S.–Iranian naval dispute;Q2670650;Navy of the Army of the Guardians of the Islamic Revolution;;no
Q4438427;Battle of Tendra;Q34266;Império Russo;;no
Q4438427;Battle of Tendra;Q12560;Império Otomano;;no
Q4677253;Action of 13 October 1796;Q161885;Reino da Grã-Bretanha;;no
Q4677253;Action of 13 October 1796;Q3399982;Reino de Espanha;;no
Q4677323;Action of 27 June 1798;Q161885;Reino da Grã-Bretanha;;no
Q4677323;Action of 27 June 1798;Q142;França;;no
Q4677299;Action of 22 January 1783;Q161885;Reino da Grã-Bretanha;;no
Q4677299;Action of 22 January 1783;Q142;França;;no
Q4677256;Action of 14 June 1742;Q161885;Reino da Grã-Bretanha;;no
Q4677256;Action of 14 June 1742;Q3399982;Reino de Espanha;;no
Q4438422;Battle of Iskrest Lighthouse;Q1108445;Principado de Kiev;;no
Q4438422;Battle of Iskrest Lighthouse;Q12544;Império Bizantino;;no
Q4677232;Action of 11 March 1727;Q161885;Reino da Grã-Bretanha;;no
Q4677301;Action of 22 January 1809;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q4677301;Action of 22 January 1809;Q142;França;;no
Q4677295;Action of 20 October 1793;Q161885;Reino da Grã-Bretanha;;no
Q4677295;Action of 20 October 1793;Q142;França;;no
Q4677281;Ação de 18 de Novembro de 1809;Q71084;Primeiro Império Francês;;no
Q4677281;Ação de 18 de Novembro de 1809;Q83164;Companhia Britânica das Índias Orientais;;no
Q4677314;Action of 25 January 1797;Q161885;Reino da Grã-Bretanha;;no
Q4677266;Raid on La Goulette;Q766543;Monarquia Hispânica;;no
