Iso3Start;Level;QID;Label;FormationYear;SourceFlag
ASM;0;Q16641;Samoa Americana;;seed
MNP;0;Q16644;Marianas Setentrionais;;seed
UMI;0;Q16645;Ilhas Menores Distantes dos Estados Unidos;;seed
JPN;0;Q17;Japão;;seed
JPN;1;Q188712;Império do Japão;1868;seed_evidence
JPN;2;Q205662;Xogunato Tokugawa;1603;seed_evidence
GLP;0;Q17012;Guadalupe;;seed
SHN;0;Q170164;Helena de Constantinopla;;seed
MTQ;0;Q17054;Martinica;;seed
MYT;0;Q17063;Mayotte;;seed
REU;0;Q17070;Reunião;;seed
TCA;0;Q18221;Ilhas Turcas e Caicos;;seed
TCA;1;Q652560;Federação das Índias Ocidentais;1958;seed_evidence
TCA;2;Q920396;Índias Ocidentais Britânicas;1783;seed_evidence
TCA;2;Q116282722;Colony of Trinidad and Tobago;1889;seed_evidence
DEU;0;Q183;Alemanha;;seed
DEU;1;Q16957;República Democrática Alemã;1949;seed_evidence
DEU;1;Q1206012;Reich Alemão;1871;seed_evidence
DEU;1;Q713750;Alemanha Ocidental;1949;seed_evidence
DEU;2;Q1206012;Reich Alemão;1871;seed_evidence
DEU;2;Q150981;Confederação da Alemanha do Norte;1867;seed_evidence
DEU;2;Q150981;Confederação da Alemanha do Norte;1867;seed_evidence
DEU;2;Q1206012;Reich Alemão;1871;seed_evidence
BLR;0;Q184;Bielorrússia;;seed
BLR;1;Q15180;União Soviética;1922;seed_evidence
BLR;1;Q2895;República Socialista Soviética Bielorrussa;1919;successor_resolved
BLR;2;Q2369784;Interwar Latvia;1918;seed_evidence
BLR;2;Q207272;Segunda República Polonesa;1918;seed_evidence
BLR;2;Q2305208;Rússia bolchevique;1917;seed_evidence
BLR;2;Q2895;República Socialista Soviética Bielorrussa;1919;successor_resolved
BLR;2;Q68678;República Socialista Soviética Bielorrussa;1919;seed_evidence
BLR;2;Q842199;República Popular Bielorrussa;1918;seed_evidence
BLR;2;Q76236;República Socialista Soviética Lituano-Bielorrussa;1919;seed_evidence
ISL;0;Q189;Islândia;;seed
ISL;1;Q62567;Reino da Islândia;1918;seed_evidence
EST;0;Q191;Estónia;;seed
EST;1;Q15180;União Soviética;1922;seed_evidence
EST;1;Q130280;República Socialista Soviética Estoniana;1940;seed_evidence
EST;2;Q2369784;Interwar Latvia;1918;seed_evidence
EST;2;Q2305208;Rússia bolchevique;1917;seed_evidence
NOR;0;Q20;Noruega;;seed
LVA;0;Q211;Letónia;;seed
LVA;1;Q2300296;Latvian Socialist Soviet Republic;1918;seed_evidence
UKR;0;Q212;Ucrânia;;seed
UKR;1;Q15180;União Soviética;1922;seed_evidence
UKR;1;Q243610;República Popular da Ucrânia;1917;seed_evidence
UKR;1;Q133356;República Socialista Soviética Ucraniana;1919;successor_resolved
UKR;2;Q2369784;Interwar Latvia;1918;seed_evidence
UKR;2;Q207272;Segunda República Polonesa;1918;seed_evidence
UKR;2;Q2305208;Rússia bolchevique;1917;seed_evidence
UKR;2;Q133356;República Socialista Soviética Ucraniana;1919;successor_resolved
UKR;2;Q1508143;Estado Ucraniano;1918;seed_evidence
UKR;2;Q203493;Reino da Romênia;1881;seed_evidence
UKR;2;Q243610;República Popular da Ucrânia;1917;seed_evidence
UKR;2;Q4533605;Rússia do Sul;1919;seed_evidence
UKR;2;Q207272;Segunda República Polonesa;1918;seed_evidence
ABW;0;Q21203;Aruba;;seed
