cls_qid;cls_label;item_qid;item_label;iso3
Q3624078;sovereign state;Q1009;Camarões;CMR
Q3624078;sovereign state;Q967;Burundi;BDI
Q3624078;sovereign state;Q113411770;Grand Duchy of Yaroslavl;
Q3624078;sovereign state;Q1013;Lesoto;LSO
Q3624078;sovereign state;Q1014;Libéria;LBR
Q3624078;sovereign state;Q912;Mali;MLI
Q3624078;sovereign state;Q1016;Líbia;LBY
Q3624078;sovereign state;Q1019;Madagáscar;MDG
Q3624078;sovereign state;Q811;Nicarágua;NIC
Q3624078;sovereign state;Q1020;Malawi;MWI
Q3624078;sovereign state;Q813;Quirguistão;KGZ
Q3624078;sovereign state;Q971;República do Congo;COG
Q3624078;sovereign state;Q974;República Democrática do Congo;COD
Q3624078;sovereign state;Q1028;Marrocos;MAR
Q3624078;sovereign state;Q945;Togo;TGO
Q3624078;sovereign state;Q1030;Namíbia;NAM
Q3624078;sovereign state;Q1025;Mauritânia;MRT
Q3624078;sovereign state;Q1027;Maurícia;MUS
Q3624078;sovereign state;Q1029;Moçambique;MOZ
Q3624078;sovereign state;Q219060;Estado da Palestina;PSE
Q3624078;sovereign state;Q1037;Ruanda;RWA
Q3624078;sovereign state;Q1033;Nigéria;NGA
Q3624078;sovereign state;Q1032;Níger;NER
Q3624078;sovereign state;Q756617;Reino da Dinamarca;
Q3624078;sovereign state;Q1036;Uganda;UGA
Q3624078;sovereign state;Q1041;Senegal;SEN
Q3624078;sovereign state;Q1039;São Tomé e Príncipe;STP
Q3624078;sovereign state;Q1042;Seychelles;SYC
Q3624078;sovereign state;Q878;Emirados Árabes Unidos;ARE
Q3624078;sovereign state;Q986;Eritreia;ERI
Q3624078;sovereign state;Q822;Líbano;LBN
Q3624078;sovereign state;Q1044;Serra Leoa;SLE
Q3624078;sovereign state;Q983;Guiné Equatorial;GNQ
Q3624078;sovereign state;Q1045;Somália;SOM
Q3624078;sovereign state;Q881;Vietname;VNM
Q3624078;sovereign state;Q977;Djibouti;DJI
Q3624078;sovereign state;Q1049;Sudão;SDN
Q3624078;sovereign state;Q884;Coreia do Sul;KOR
Q3624078;sovereign state;Q858;Síria;SYR
Q3624078;sovereign state;Q1050;Essuatíni;SWZ
