scenario,time,mean,min,max
historical,1850-08-01,-0.7952343271748311,-1.22512666384379,-0.5723627879701141
historical,1851-08-01,-0.7166731820739349,-1.0437893072764073,-0.35409820100526623
historical,1852-08-01,-0.6663985756554823,-1.054479042689005,-0.4503091054893744
historical,1853-08-01,-0.6373387797154442,-0.9798826376597081,-0.32220583261523394
historical,1854-08-01,-0.7045900443247434,-0.9038256087079546,-0.26797212505457857
historical,1855-08-01,-0.7549535327297742,-0.9738163153330479,-0.5011967765289054
historical,1856-08-01,-0.6474428533563505,-0.8484214941660557,-0.49050947153408764
historical,1857-08-01,-0.631632246819929,-0.8902153174082432,-0.3009888965577616
historical,1858-08-01,-0.6973524523644041,-0.9537529150644932,-0.46704911376236424
historical,1859-08-01,-0.7128312411793848,-0.8670347235582749,-0.4499711198537373
historical,1860-08-01,-0.7824896434482272,-1.0026830832163487,-0.5253418731020485
historical,1861-08-01,-0.7456973293173146,-0.8813960809352643,-0.4282712004953044
historical,1862-08-01,-0.8340060959900245,-1.2183136145273838,-0.5118198057062315
historical,1863-08-01,-0.7250916715017323,-1.0891231695810948,-0.42971008141927314
historical,1864-08-01,-0.6580323546806434,-0.9906744162241612,-0.28839812571571777
historical,1865-08-01,-0.6921591222085512,-0.8793205420176182,-0.47699819297974955
historical,1866-08-01,-0.6460530112859628,-0.7483581701914463,-0.47927805995198725
historical,1867-08-01,-0.6539355737294892,-0.8944000403086338,-0.5163421075490771
historical,1868-08-01,-0.645764622254064,-1.0352644125620518,-0.29923115436568715
historical,1869-08-01,-0.7482452001887686,-1.0918296972910557,-0.3666430388199817
historical,1870-08-01,-0.7804355052119492,-1.1206965818438288,-0.5350286017166006
historical,1871-08-01,-0.6924781749847079,-0.8794645468393956,-0.5366413251637923
historical,1872-08-01,-0.6447290943106613,-0.7997669261711167,-0.4606019573393141
historical,1873-08-01,-0.6508352617302499,-0.7688268820444737,-0.41964569567102217
historical,1874-08-01,-0.6802345215407117,-0.8596471945444737,-0.4806578725929338
historical,1875-08-01,-0.740557923935074,-1.0065570821451821,-0.48247318686594554
historical,1876-08-01,-0.7027306211487591,-0.9614595839337596,-0.5276593781108403
historical,1877-08-01,-0.651980309785919,-0.8497180467423568,-0.3837731037144412
historical,1878-08-01,-0.6431507081742094,-0.9353317419687901,-0.33590085677538184
historical,1879-08-01,-0.7184462938032387,-1.0144196982806672,-0.39307892455108373
historical,1880-08-01,-0.7130879753146804,-1.1723890339873684,-0.40757487474506604
historical,1881-08-01,-0.7238419003474024,-1.0707293623439398,-0.5395831054855762
historical,1882-08-01,-0.7717027810045443,-1.1777862707773838,-0.5439499729599913
historical,1883-08-01,-0.7103445013581123,-1.2663101355234776,-0.4876473959756211
historical,1884-08-01,-1.0359716349964005,-1.485599385542633,-0.7189687268584635
historical,1885-08-01,-0.9975194147260186,-1.480516710903558,-0.5384402585610886
historical,1886-08-01,-0.9165683483863083,-1.2780146806865922,-0.5723010374189084
historical,1887-08-01,-0.8883741218482424,-1.259348313013712,-0.6646922580404269
historical,1888-08-01,-0.7906607132222957,-1.256195465723673,-0.4882170314141714
historical,1889-08-01,-0.7655165597587951,-1.2656101385752354,-0.42271383375541305
historical,1890-08-01,-0.768158868838973,-1.2626450878145725,-0.42828053695210855
historical,1891-08-01,-0.7464969360600165,-1.1873554388682042,-0.38442971771695333
historical,1892-08-01,-0.6744807491826231,-1.1207696825915754,-0.39914909083852557
historical,1893-08-01,-0.8351313416860047,-1.3120207493389113,-0.4412169990082315
historical,1894-08-01,-0.7634132466525821,-1.3080406385129457,-0.39541836544736775
historical,1895-08-01,-0.6850978967605749,-1.2484744386717974,-0.2485452689053762
historical,1896-08-01,-0.7222267785869807,-1.0951055685679112,-0.3125406193028848
historical,1897-08-01,-0.693058605259818,-1.0277523199717198,-0.34672445744013736
historical,1898-08-01,-0.7024418029841399,-1.0265735785166417,-0.34640187144985646
historical,1899-08-01,-0.6627319401039587,-1.0447877926492524,-0.24422993565201345
historical,1900-08-01,-0.6651698465270116,-1.1309781040363855,-0.1930038676225294
historical,1901-08-01,-0.7133313370643156,-1.0021920558305766,-0.3264673255486823
historical,1902-08-01,-0.7098254282282392,-0.9978183905283604,-0.4636399368020587
historical,1903-08-01,-0.8470108876126903,-1.1708965474260786,-0.5120651843809867
historical,1904-08-01,-0.7942764723456369,-1.1545498887211192,-0.29743522651267185
historical,1905-08-01,-0.7699153259314667,-1.0970501104990635,-0.319786272332788
historical,1906-08-01,-0.7614312892281357,-1.1029743353525792,-0.3902702537098346
historical,1907-08-01,-0.7265530598921488,-1.1132673422495518,-0.37414719145876774
historical,1908-08-01,-0.6955661297713173,-0.9451965453513704,-0.3570758197696815
historical,1909-08-01,-0.6537484459894968,-0.9643736772136009,-0.20428802997911433
historical,1910-08-01,-0.6907176401243679,-0.9760229517553807,-0.18736076242189448
historical,1911-08-01,-0.679587434854179,-0.8885904740208304,-0.18766017450989203
historical,1912-08-01,-0.7518804897494097,-0.9948260116866674,-0.5315302429441804
historical,1913-08-01,-0.7588505550075565,-1.0894016424814854,-0.561188434693447
historical,1914-08-01,-0.7567821722294994,-1.0667852560679112,-0.3468843779836881
historical,1915-08-01,-0.6892961539705483,-1.083646477008557,-0.2840917203993776
historical,1916-08-01,-0.660675034013377,-0.9348921127530261,-0.3080648592540509
historical,1917-08-01,-0.6824884473747151,-0.9104274908701573,-0.36599299659505036
historical,1918-08-01,-0.620897954089792,-0.9364027182261143,-0.2893684923302935
historical,1919-08-01,-0.5802434926594489,-1.0429853598276768,-0.1762750439752061
historical,1920-08-01,-0.582059545235725,-0.8896917502085362,-0.16377736435877566
historical,1921-08-01,-0.6103352043175,-0.7508377234141026,-0.3671890452434905
historical,1922-08-01,-0.6857311546377878,-1.1026443640391026,-0.30731223468815294
historical,1923-08-01,-0.6865233727378295,-1.171814362208048,-0.22175865183388588
historical,1924-08-01,-0.6170239319595682,-1.0656034424226117,-0.2830882716538401
historical,1925-08-01,-0.647522585733539,-0.9752678076426182,-0.36528835483076705
historical,1926-08-01,-0.6222407860226686,-0.8640579382578526,-0.40831806261790504
historical,1927-08-01,-0.5839148823414843,-0.9716095129648838,-0.25301100161062173
historical,1928-08-01,-0.5470402480834198,-0.9011701742808018,-0.15273209657379105
historical,1929-08-01,-0.5496990329485839,-0.8003916211187665,-0.23748621111906232
historical,1930-08-01,-0.6315110002897887,-1.000662558359874,-0.2987549567355057
historical,1931-08-01,-0.6578813179615748,-1.0740573597000562,-0.21536828408076403
historical,1932-08-01,-0.5713658112004085,-1.0217722832783558,-0.141458568066831
historical,1933-08-01,-0.6427731878114271,-1.0632638044920437,-0.191870001487775
historical,1934-08-01,-0.6477099555215575,-1.1007700854601765,-0.30744089218974224
historical,1935-08-01,-0.5947898910836429,-0.9912721980200114,-0.29046326207720874
historical,1936-08-01,-0.5404294917033707,-0.9665971990334565,-0.15244956407753918
historical,1937-08-01,-0.6130126442347549,-0.9570079426484579,-0.29348588132548414
historical,1938-08-01,-0.631754921806623,-1.0354410113233623,-0.32458667930810847
historical,1939-08-01,-0.6182007514622944,-0.9564190510368604,-0.26066916162465503
historical,1940-08-01,-0.6078180195475265,-1.0525128318475616,-0.23723719813377464
historical,1941-08-01,-0.6074056080869895,-0.9896933705721231,-0.35112494016044593
historical,1942-08-01,-0.6148333039411172,-1.0677341605535915,-0.43467714920668143
historical,1943-08-01,-0.635652302157359,-1.0895554182024263,-0.31297748655810764
historical,1944-08-01,-0.612029524819465,-0.9949514266981367,-0.3867647347116865
historical,1945-08-01,-0.6798455797653773,-1.0467816737314912,-0.40287073644407023
historical,1946-08-01,-0.6390928134723224,-1.1099803792321232,-0.2582434326343659
historical,1947-08-01,-0.5658850721487187,-1.2172585547325312,-0.2583509142964431
historical,1948-08-01,-0.5373379620677253,-0.9460517500460135,-0.2473860435147941
historical,1949-08-01,-0.6033341851442634,-1.0251440312294502,-0.321267102489033
historical,1950-08-01,-0.6502451878497101,-0.9867791133125348,-0.3626280133865052
historical,1951-08-01,-0.637959832089186,-0.9757368292698168,-0.4056942424045289
historical,1952-08-01,-0.6001760192778368,-0.9735412032424193,-0.434812067419335
historical,1953-08-01,-0.5482962935746983,-0.6672569574404275,-0.32451853450937307
historical,1954-08-01,-0.5252737931598254,-0.725759372179736,-0.2875289064298219
historical,1955-08-01,-0.5380959058863949,-0.9391057069851936,-0.040120632536826406
historical,1956-08-01,-0.560963220653635,-0.8762550898935189,-0.31945066920722276
historical,1957-08-01,-0.4899452790412927,-0.6229530133634054,-0.23213472275523905
historical,1958-08-01,-0.46349686462702294,-0.6961451434935952,-0.2611662021949943
historical,1959-08-01,-0.49266099195062957,-0.7628356139305659,-0.20076701937532526
historical,1960-08-01,-0.5334559525956991,-0.7900525783991679,-0.33652190393257797
historical,1961-08-01,-0.5454825292145673,-0.7117825348759261,-0.3241555375904994
historical,1962-08-01,-0.5268002073134844,-0.9362510104918123,-0.30108014742533307
historical,1963-08-01,-0.6403998325776136,-0.9781371946456794,-0.4963363806406651
historical,1964-08-01,-0.7611067758201161,-1.0387299522348101,-0.48898974347351043
historical,1965-08-01,-0.7016317964818326,-0.9685255717694741,-0.4387178878613671
historical,1966-08-01,-0.5793058912916287,-0.7676206504093752,-0.359785992128991
historical,1967-08-01,-0.6704471837060597,-1.0026387574086861,-0.415729126551339
historical,1968-08-01,-0.6933709502621175,-1.0811077981129884,-0.4280051099183577
historical,1969-08-01,-0.6970949825496271,-1.0347678242654847,-0.4507175034555768
historical,1970-08-01,-0.6704323119271169,-0.9211594024570324,-0.3077387612049556
historical,1971-08-01,-0.6614981963762576,-0.9971146685171277,-0.23996309770558355
historical,1972-08-01,-0.6066829059911095,-1.0798844065203355,-0.29582913042442804
historical,1973-08-01,-0.5201414202166674,-0.9279590172818839,-0.25690668862880983
historical,1974-08-01,-0.5679373980454171,-0.9505636341384704,-0.3512607447431826
historical,1975-08-01,-0.650954727307972,-0.8168268283018918,-0.5084645639840524
historical,1976-08-01,-0.5412427005719499,-0.7812817465480482,-0.32535394189384803
historical,1977-08-01,-0.49083021737343685,-0.830206268021696,-0.278881291085753
historical,1978-08-01,-0.5048350434673081,-0.7195055845508431,-0.29371574130414047
historical,1979-08-01,-0.49799164831878556,-0.8013769232774806,-0.26682944608050363
historical,1980-08-01,-0.4559283550674298,-0.8464119713103813,-0.11941365965146211
historical,1981-08-01,-0.4307522916303661,-0.7290565429747726,-0.1929813195246819
historical,1982-08-01,-0.4475855496777617,-0.7223810902822727,-0.20434152139885242
historical,1983-08-01,-0.5243001047815492,-0.928639845744506,-0.16834110303199168
historical,1984-08-01,-0.5289565344788374,-0.8435079418928915,-0.2735246365488688
historical,1985-08-01,-0.5029207377151851,-0.7680536335188819,-0.18880975855702076
historical,1986-08-01,-0.38613725201113375,-0.6184133383458299,-0.09881420643424477
historical,1987-08-01,-0.35327004131181916,-0.5897816788706312,-0.16215054642314009
historical,1988-08-01,-0.35074387771587034,-0.6015859432540456,0.03150328000386615
historical,1989-08-01,-0.2219745851752484,-0.4429947725234715,0.17597540219624896
historical,1990-08-01,-0.18536898847699185,-0.3114687981528306,0.039441746409263345
historical,1991-08-01,-0.24363647121913345,-0.5018212121079682,0.03774234444058422
historical,1992-08-01,-0.5539843042900576,-0.7982032288241196,-0.4110012748655034
historical,1993-08-01,-0.5091707974242858,-0.587012141965106,-0.37987271944681744
historical,1994-08-01,-0.40198956184246243,-0.5604592642392099,-0.244902675115366
historical,1995-08-01,-0.3289943288577809,-0.5186758915484173,-0.10574380556742291
historical,1996-08-01,-0.230559372649711,-0.40907568173716946,-0.014044205347696348
historical,1997-08-01,-0.15352786632257828,-0.3044208211414947,-0.022335048366571186
historical,1998-08-01,-0.08801629494515316,-0.18812982241312604,0.0019625261505940017
historical,1999-08-01,-0.06732682363510507,-0.16745478801581015,0.11033208479204681
historical,2000-08-01,0.0068247604601945665,-0.15069637418761417,0.24643812253887631
historical,2001-08-01,0.062260008872238,-0.1317704968322424,0.2664429042380192
historical,2002-08-01,0.02919796072145989,-0.22995469001292257,0.2196936411265007
historical,2003-08-01,0.007085484036326457,-0.12256718547866008,0.1266704073367979
historical,2004-08-01,0.011757395079312869,-0.09695951143900494,0.14420837443892864
