ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
VUT;http://www.wikidata.org/entity/Q686;Vanuatu;http://www.wikidata.org/entity/Q207165;Batalha do Mar de Coral;batalha naval;1942-05-04T00:00:00Z;1942-05-08T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q2276692;Campanha da Nova Guiné;;;http://www.wikidata.org/entity/Q82931;Mar de Coral;Point(162.333333333 -16.266666666);;location;
VUT;http://www.wikidata.org/entity/Q686;Vanuatu;http://www.wikidata.org/entity/Q2890968;Battle for Australia;batalha;1942-02-01T00:00:00Z;1945-09-02T00:00:00Z;;1942;1945;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q82931;Mar de Coral;;;location;
VUT;http://www.wikidata.org/entity/Q686;Vanuatu;http://www.wikidata.org/entity/Q2026016;Operação Cartwheel;batalha;1943-06-30T00:00:00Z;1944-03-20T00:00:00Z;;1943;1944;;;;http://www.wikidata.org/entity/Q2423295;Frente do Sudoeste do Pacífico na Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q37394;Melanésia;Point(152.172941666 -4.196130555);;location;
