ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
TZA;http://www.wikidata.org/entity/Q924;Tanzânia;http://www.wikidata.org/entity/Q202465;Guerra Uganda-Tanzânia;guerra;1978-10-09T00:00:00Z;1979-06-03T00:00:00Z;;1978;1979;;;;;;;;http://www.wikidata.org/entity/Q1036;Uganda;;;participant;
TZA;http://www.wikidata.org/entity/Q924;Tanzânia;http://www.wikidata.org/entity/Q48773720;Battle of Lukaya;batalha;1979-03-10T00:00:00Z;1979-03-11T00:00:00Z;;1979;1979;;;;http://www.wikidata.org/entity/Q202465;Guerra Uganda-Tanzânia;;;http://www.wikidata.org/entity/Q6701734;Lukaya;Point(31.874444 -0.150833);;participant;
TZA;http://www.wikidata.org/entity/Q924;Tanzânia;http://www.wikidata.org/entity/Q60524415;Battle of Masaka;batalha;1979-02-23T00:00:00Z;1979-02-24T00:00:00Z;;1979;1979;;;;http://www.wikidata.org/entity/Q202465;Guerra Uganda-Tanzânia;;;http://www.wikidata.org/entity/Q956659;Masaka;Point(31.736111111 -0.341111111);;participant;
