conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window
Q68969;Guerra de Independência da Croácia;Q1274468;República da Bósnia e Herzegovina;1995-11-12T00:00:00Z;Q198;all
Q601811;Guerra da Confederação;Q654766;Estado Norte-Peruano;1836-01-01T00:00:00Z;Q198;all
Q58947;Guerra do Paraguai;Q217230;Império do Brasil;1864-10-12T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q26234937;Primeira República Síria;1940-01-01T00:00:00Z;Q198;all
Q1140134;Invasion of Ryukyu;Q676187;Domínio de Satsuma;1609-05-01T00:00:00Z;Q198;all
Q605977;Quarta Coligação;Q37134;Frederico Guilherme III da Prússia;1806-10-01T00:00:00Z;Q198;all
Q49104;guerra do Líbano de 2006;Q1349604;Partido Comunista Libanês;2006-01-01T00:00:00Z;Q198;all
Q722713;Portuguese-Turkish War;Q200464;Império Português;1509-01-01T00:00:00Z;Q198;all
Q208694;Guerra sino-indiana;Q1047;Jawaharlal Nehru;1962-01-01T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q1356549;Yishuv;1940-01-01T00:00:00Z;Q198;all
Q74109;Segunda Guerra Mundial na Albânia;Q7318;Alemanha Nazi;1942-01-01T00:00:00Z;Q198;all
Q49092;Guerra árabe-israelense de 1948;Q681182;Army of the Holy War;1940-01-01T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q681182;Army of the Holy War;1940-01-01T00:00:00Z;Q198;all
Q604204;Guerra Anglo-Espanhola;Q161885;Reino da Grã-Bretanha;1727-01-01T00:00:00Z;Q198;all
Q47985;Guerra rus'-bizantina de 1043;Q1108445;Principado de Kiev;1043-01-01T00:00:00Z;Q198;all
Q611071;Conflito entre Chade e Líbia;Q6500954;Zaire;1987-09-11T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q293332;Lehi;1940-01-01T00:00:00Z;Q198;all
Q74109;Segunda Guerra Mundial na Albânia;Q172579;Reino da Itália;1942-01-01T00:00:00Z;Q198;all
Q611071;Conflito entre Chade e Líbia;Q142;França;1987-09-11T00:00:00Z;Q198;all
Q742813;Guerra Espanhola-sul-americana;Q419;Peru;1864-01-01T00:00:00Z;Q198;all
Q233559;Segunda Guerra dos Cem Anos;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1689-01-01T00:00:00Z;Q198;all
Q49092;Guerra árabe-israelense de 1948;Q801;Israel;1940-01-01T00:00:00Z;Q198;all
Q617782;Quarta Guerra Anglo-Mysore;Q33296;Império Mogol;1799-05-04T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q801;Israel;1940-01-01T00:00:00Z;Q198;all
Q604204;Guerra Anglo-Espanhola;Q3399982;Reino de Espanha;1727-01-01T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q252054;Haganá;1940-01-01T00:00:00Z;Q198;all
Q742813;Guerra Espanhola-sul-americana;Q750;Bolívia;1864-01-01T00:00:00Z;Q198;all
Q620735;Guerra Russo-Georgiana;Q23427;Ossétia do Sul;2008-08-08T00:00:00Z;Q198;all
Q58947;Guerra do Paraguai;Q77;Uruguai;1864-10-12T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q149805;Reino do Iraque;1940-01-01T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q124943;Reino do Egito;1940-01-01T00:00:00Z;Q198;all
Q74109;Segunda Guerra Mundial na Albânia;Q3299868;Movimento de Libertação Nacional da Albânia;1942-01-01T00:00:00Z;Q198;all
Q195378;Guerra Anglo-nepalesa;Q1078602;Reino do Nepal;1814-11-01T00:00:00Z;Q198;all
Q742813;Guerra Espanhola-sul-americana;Q29;Espanha;1864-01-01T00:00:00Z;Q198;all
Q233559;Segunda Guerra dos Cem Anos;Q179876;Reino da Inglaterra;1689-01-01T00:00:00Z;Q198;all
Q74109;Segunda Guerra Mundial na Albânia;Q777147;Reino Albanês;1942-01-01T00:00:00Z;Q198;all
Q49104;guerra do Líbano de 2006;Q452670;Movimento Amal;2006-01-01T00:00:00Z;Q198;all
Q558423;Polish–Teutonic War of 1519–21;Q14635000;History of Poland during the Jagiellonian dynasty;1519-01-01T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q810;Jordânia;1940-01-01T00:00:00Z;Q198;all
Q252298;Guerra húngaro-romena de 1919;Q203493;Reino da Romênia;1919-08-03T00:00:00Z;Q198;all
