conflict,conflictLabel,participant,participantLabel
http://www.wikidata.org/entity/Q1510144,Wairau Affray,http://www.wikidata.org/entity/Q104286295,Eugene Bellairs
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q8680,Império Britânico
http://www.wikidata.org/entity/Q569485,Revolta dos Cavaleiros,http://www.wikidata.org/entity/Q91308,Richard von Greiffenklau
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q164062,"Maurício, príncipe de Orange"
http://www.wikidata.org/entity/Q30879611,Struggle over Astrakhan,http://www.wikidata.org/entity/Q160440,Canato da Crimeia
http://www.wikidata.org/entity/Q114033154,Siege of Deventer,http://www.wikidata.org/entity/Q697254,Principado-Bispado de Münster
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q170072,República das Sete Províncias Unidas dos Países Baixos
http://www.wikidata.org/entity/Q382286,Chesapeake–Leopard Affair,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q179876,Reino da Inglaterra
http://www.wikidata.org/entity/Q30879611,Struggle over Astrakhan,http://www.wikidata.org/entity/Q186096,Czarado da Rússia
http://www.wikidata.org/entity/Q246863,Guerra da Livónia,http://www.wikidata.org/entity/Q49683,Grão-Ducado da Lituânia
http://www.wikidata.org/entity/Q111075598,Battle of Arcul,http://www.wikidata.org/entity/Q46118,Uigures
http://www.wikidata.org/entity/Q168556,Guerra de Esmalcalda,http://www.wikidata.org/entity/Q155024,Liga de Esmalcalda
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q2451761,Guilherme de Nassau
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q2701696,"Robert Devereux, 3.º Conde de Essex"
http://www.wikidata.org/entity/Q114033154,Siege of Deventer,http://www.wikidata.org/entity/Q7904317,Eleitorado de Colónia
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q2753558,Horace Vere
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q359936,Ambrogio Spinola
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q2976180,"Edward Cecil, 1st Viscount Wimbledon"
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q371833,"Gaspar de Guzmán, Conde-Duque de Olivares"
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q441405,"Peter Ernst, conde de Mansfeld"
http://www.wikidata.org/entity/Q123249857,Second Battle of Giria,http://www.wikidata.org/entity/Q83164,Companhia Britânica das Índias Orientais
http://www.wikidata.org/entity/Q233559,Segunda Guerra dos Cem Anos,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q47985,Guerra rus'-bizantina de 1043,http://www.wikidata.org/entity/Q12544,Império Bizantino
http://www.wikidata.org/entity/Q741777,Guerra de Mutina,http://www.wikidata.org/entity/Q1747689,Roma Antiga
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q1078602,Reino do Nepal
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q600093,Espanha dos Habsburgo
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q606051,Antonio de Oquendo
http://www.wikidata.org/entity/Q111075598,Battle of Arcul,http://www.wikidata.org/entity/Q8733,Dinastia Qing
http://www.wikidata.org/entity/Q125497899,Qarmatian-Hudhayl Conflicts,http://www.wikidata.org/entity/Q111805383,Qarmatian state of Bahrayn
http://www.wikidata.org/entity/Q195378,Guerra Anglo-nepalesa,http://www.wikidata.org/entity/Q1078602,Reino do Nepal
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q5429291,Fadrique de Toledo Osório
http://www.wikidata.org/entity/Q12583,Guerra Hispano-Americana,http://www.wikidata.org/entity/Q14905932,República de Cuba
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q691402,Filipe IV de Espanha
http://www.wikidata.org/entity/Q569485,Revolta dos Cavaleiros,http://www.wikidata.org/entity/Q12548,Sacro Império Romano-Germânico
http://www.wikidata.org/entity/Q166001,Guerra da Escânia,http://www.wikidata.org/entity/Q12548,Sacro Império Romano-Germânico
