conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window;mapped_country_qid;mapped_iso3
Q74109;Segunda Guerra Mundial na Albânia;Q7318;Alemanha Nazi;1942-01-01T00:00:00Z;Q198;all;Q1206012;
Q120843;Segunda Guerra na Chechênia;Q7747;Vladimir Putin;1999-08-26T00:00:00Z;Q198;all;Q159;
Q208694;Guerra sino-indiana;Q5816;Mao Tsé-Tung;1962-01-01T00:00:00Z;Q198;all;Q148;
Q1143379;Guerra na Ossétia do Sul em 1991-1992;Q5237;Ossétia do Norte-Alânia;1991-01-05T00:00:00Z;Q198;all;Q159;
Q1369423;Guerra de Toledo;Q1397;Ohio;1835-01-01T00:00:00Z;Q198;all;Q30;
Q1122337;Second Persian invasion of Greece;Q1524;Atenas;-0479-01-01T00:00:00Z;Q198;all;Q41;
Q387020;Social War of 357-355 BCE;Q1524;Atenas;-0356-01-01T00:00:00Z;Q198;all;Q41;
Q208261;Revolta Jónica;Q1524;Atenas;-0498-01-01T00:00:00Z;Q198;all;Q41;
Q190758;Conflito de Darfur;Q1049;Sudão;2003-02-26T00:00:00Z;Q198;all;Q1049;
Q82664;Guerra Irã-Iraque;Q1049;Sudão;1980-09-22T00:00:00Z;Q198;all;Q1049;
Q75756;Segunda Guerra do Congo;Q1049;Sudão;1998-08-02T00:00:00Z;Q198;all;Q1049;
Q233649;Segunda Guerra Margrave;Q4126;Schweinfurt;1552-01-01T00:00:00Z;Q198;all;Q183;
Q327237;Guerra do Quivu;Q954;Zimbábue;2004-06-02T00:00:00Z;Q198;all;Q954;
Q75756;Segunda Guerra do Congo;Q954;Zimbábue;1998-08-02T00:00:00Z;Q198;all;Q954;
Q318250;Guerra de Ogaden;Q1045;Somália;1977-07-12T00:00:00Z;Q198;all;Q1045;
Q327237;Guerra do Quivu;Q963;Botsuana;2004-06-02T00:00:00Z;Q198;all;Q963;
Q303801;Insurgência em Uganda;Q958;Sudão do Sul;1987-01-01T00:00:00Z;Q198;all;Q958;
Q202465;Guerra Uganda-Tanzânia;Q924;Tanzânia;1978-10-09T00:00:00Z;Q198;all;Q924;
Q1259237;Terceira Guerra Anglo-Afegã;Q889;Afeganistão;1919-05-06T00:00:00Z;Q198;all;Q889;
Q303801;Insurgência em Uganda;Q929;República Centro-Africana;1987-01-01T00:00:00Z;Q198;all;Q929;
