conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window;mapped_country_qid;mapped_iso3
Q552392;Battle of the Malacca Strait;Q145;Reino Unido;1945-05-15T00:00:00Z;Q178561;all;Q145;
Q544090;Batalha do Cabo Matapão;Q145;Reino Unido;1941-03-27T00:00:00Z;Q178561;all;Q145;
Q470571;Operação Wikinger;Q145;Reino Unido;1940-02-19T00:00:00Z;Q178561;all;Q145;
Q10130;Operation Harpoon;Q145;Reino Unido;1942-01-01T00:00:00Z;Q178561;all;Q145;
Q4677303;Action of 22 June 1803;Q30;Estados Unidos;1803-06-22T00:00:00Z;Q178561;all;Q30;
Q4677235;Action of 12 December 1782;Q30;Estados Unidos;1782-12-12T00:00:00Z;Q178561;all;Q30;
Q4090339;Battle of the Head of Passes;Q30;Estados Unidos;1861-10-12T00:00:00Z;Q178561;all;Q30;
Q4090281;Action of 6 December 1782;Q30;Estados Unidos;1782-12-06T00:00:00Z;Q178561;all;Q30;
Q548819;Batalha das Ilhas Komandorski;Q30;Estados Unidos;1943-03-27T00:00:00Z;Q178561;all;Q30;
Q543043;Attack on Aruba;Q30;Estados Unidos;1942-02-16T00:00:00Z;Q178561;all;Q30;
Q515168;Battle off Horaniu;Q30;Estados Unidos;1943-08-17T00:00:00Z;Q178561;all;Q30;
Q504347;Batalha do Mar das Filipinas;Q30;Estados Unidos;1944-06-19T00:00:00Z;Q178561;all;Q30;
Q482402;Incidente do Golfo de Tonkin;Q30;Estados Unidos;1964-08-02T00:00:00Z;Q178561;all;Q30;
Q421399;Battle of Delaware Bay;Q30;Estados Unidos;1782-04-08T00:00:00Z;Q178561;all;Q30;
Q379433;Operação Ten-Go;Q30;Estados Unidos;1945-04-07T00:00:00Z;Q178561;all;Q30;
Q308999;Batalha do Golfo de Leyte;Q30;Estados Unidos;1944-10-23T00:00:00Z;Q178561;all;Q30;
Q543043;Attack on Aruba;Q55;Países Baixos;1942-02-16T00:00:00Z;Q178561;all;Q29999;
Q4677387;Action of 8 April 1740;Q29;Espanha;1740-04-08T00:00:00Z;Q178561;all;Q29;
Q4677317;Action of 26 April 1797;Q29;Espanha;1797-01-01T00:00:00Z;Q178561;all;Q29;
Q4677311;Action of 24 June 1618;Q29;Espanha;1618-01-01T00:00:00Z;Q178561;all;Q29;
Q543154;Batalha de Santa Cruz de Tenerife;Q29;Espanha;1797-07-25T00:00:00Z;Q178561;all;Q29;
Q432515;Primeira Batalha de Algeciras;Q29;Espanha;1801-07-06T00:00:00Z;Q178561;all;Q29;
Q373401;Batalha do Cabo de São Vicente;Q29;Espanha;1797-02-14T00:00:00Z;Q178561;all;Q29;
Q4090285;Battle at the Mouth of the Neva;Q34;Suécia;1703-05-18T00:00:00Z;Q178561;all;Q34;
Q551218;Action of 16 May 1644;Q34;Suécia;1644-05-16T00:00:00Z;Q178561;all;Q34;
Q423522;Battle of Colberger Heide;Q34;Suécia;1644-07-01T00:00:00Z;Q178561;all;Q34;
Q392121;Batalha de Fehmarn (1644);Q34;Suécia;1644-10-13T00:00:00Z;Q178561;all;Q34;
Q338370;Battle of Grengam;Q34;Suécia;1720-08-07T00:00:00Z;Q178561;all;Q34;
Q484271;Batalha de Noryang;Q17;Japão;1598-12-16T00:00:00Z;Q178561;all;Q17;
Q482970;Battle of Sacheon;Q17;Japão;1592-07-08T00:00:00Z;Q178561;all;Q17;
Q385677;Batalha de Myeongnyang;Q17;Japão;1597-10-26T00:00:00Z;Q178561;all;Q17;
Q499768;Battle of Helgeå;Q20;Noruega;1026-01-01T00:00:00Z;Q178561;all;Q20;
Q472672;Batalha Naval de Iquique;Q419;Peru;1879-05-21T00:00:00Z;Q178561;all;Q419;
Q590014;Batalha de Drépano;Q6343;Cartago;-0248-01-01T00:00:00Z;Q178561;all;Q948;
Q4677439;Actions of 7/8 May 1945;Q7318;Alemanha Nazi;;Q178561;all;Q1206012;
Q543043;Attack on Aruba;Q7318;Alemanha Nazi;1942-02-16T00:00:00Z;Q178561;all;Q1206012;
Q470571;Operação Wikinger;Q7318;Alemanha Nazi;1940-02-19T00:00:00Z;Q178561;all;Q1206012;
Q58459;Battle between HMAS Sydney and German auxiliary cruiser Kormoran;Q7318;Alemanha Nazi;1941-11-19T00:00:00Z;Q178561;all;Q1206012;
Q10130;Operation Harpoon;Q7318;Alemanha Nazi;1942-01-01T00:00:00Z;Q178561;all;Q1206012;
Q4677371;Action of 4 May 1917;Q408;Austrália;1917-05-04T00:00:00Z;Q178561;all;Q408;
Q544090;Batalha do Cabo Matapão;Q408;Austrália;1941-03-27T00:00:00Z;Q178561;all;Q408;
Q58459;Battle between HMAS Sydney and German auxiliary cruiser Kormoran;Q408;Austrália;1941-11-19T00:00:00Z;Q178561;all;Q408;
Q4677255;Action of 14 October 1918;Q7391540;SM U-139;1918-10-14T00:00:00Z;Q178561;all;Q1206012;
Q289102;Battle of Korea Strait;Q884;Coreia do Sul;1950-06-26T00:00:00Z;Q178561;all;Q884;
Q289102;Battle of Korea Strait;Q423;Coreia do Norte;1950-06-26T00:00:00Z;Q178561;all;Q423;
Q472672;Batalha Naval de Iquique;Q298;Chile;1879-05-21T00:00:00Z;Q178561;all;Q298;
Q132165642;1873 Casserres fire;Q117814596;Carlist army;1873-08-18T00:00:00Z;Q178561;all;Q29;
Q484256;Battle of Okpo;Q11634225;Toyotomi government;1592-05-08T00:00:00Z;Q178561;all;Q17;
Q483088;Batalha de Chilcheollyang;Q11634225;Toyotomi government;1597-08-27T00:00:00Z;Q178561;all;Q17;
Q4307272;2008 U.S.–Iranian naval dispute;Q2670650;Navy of the Army of the Guardians of the Islamic Revolution;2008-01-06T00:00:00Z;Q178561;all;Q794;
Q4677365;Action of 4 August 1800;Q3165715;Jean-François Landolphe;1800-08-04T00:00:00Z;Q178561;all;Q142;
Q315310;Battle of Restigouche;Q3084236;François Chenard de la Giraudais;1760-07-08T00:00:00Z;Q178561;all;Q142;
Q133696273;Skirmish at Tegalreja;Q2114397;Yogyakarta Sultanate;1825-07-20T00:00:00Z;Q178561;all;Q252;
Q484256;Battle of Okpo;Q1377984;Tōdō Takatora;1592-05-08T00:00:00Z;Q178561;all;Q17;
Q4090282;Action of 8 January 1780;Q895180;Casa de Bourbon;1780-01-08T00:00:00Z;Q178561;all;Q29;
Q118259623;Bloednacht in Leuven;Q1811565;Belgian Labour Party;1902-04-18T00:00:00Z;Q178561;all;Q31;
Q4677343;Action of 30 October 1762;Q3399982;Reino de Espanha;1762-10-30T00:00:00Z;Q178561;all;Q29;
Q4677331;Action of 28 November 1751;Q3399982;Reino de Espanha;1751-11-28T00:00:00Z;Q178561;all;Q29;
Q4677291;Action of 19 January 1799;Q3399982;Reino de Espanha;1799-01-19T00:00:00Z;Q178561;all;Q29;
Q4677285;Action of 19 December 1796;Q3399982;Reino de Espanha;1796-12-19T00:00:00Z;Q178561;all;Q29;
Q4677263;Action of 15 July 1798;Q3399982;Reino de Espanha;1798-07-15T00:00:00Z;Q178561;all;Q29;
Q4677256;Action of 14 June 1742;Q3399982;Reino de Espanha;1742-06-14T00:00:00Z;Q178561;all;Q29;
Q4677253;Action of 13 October 1796;Q3399982;Reino de Espanha;1796-10-13T00:00:00Z;Q178561;all;Q29;
Q311759;Batalha de Rande;Q3399982;Reino de Espanha;1702-10-23T00:00:00Z;Q178561;all;Q29;
Q118259623;Bloednacht in Leuven;Q2134814;Garde Civique;1902-04-18T00:00:00Z;Q178561;all;Q31;
Q132165642;1873 Casserres fire;Q497777;Primeira República Espanhola;1873-08-18T00:00:00Z;Q178561;all;Q29;
Q4677403;Action of San Mateo Bay;Q766543;Monarquia Hispânica;1594-06-29T00:00:00Z;Q178561;all;Q29;
Q4677401;Action of 3 October 1624;Q766543;Monarquia Hispânica;1624-10-03T00:00:00Z;Q178561;all;Q29;
Q4677336;Action of 29 June 1609;Q766543;Monarquia Hispânica;1609-06-29T00:00:00Z;Q178561;all;Q29;
Q4677287;Fight in the Channel;Q766543;Monarquia Hispânica;1639-09-16T00:00:00Z;Q178561;all;Q29;
Q4677266;Raid on La Goulette;Q766543;Monarquia Hispânica;1615-12-01T00:00:00Z;Q178561;all;Q29;
Q577948;Battle of Tarragona;Q766543;Monarquia Hispânica;1641-08-20T00:00:00Z;Q178561;all;Q29;
Q4677243;Action of 12–17 January 1640;Q377350;União Ibérica;1640-01-12T00:00:00Z;Q178561;all;Q29;
Q4682165;Aden Expedition;Q404774;Sultanato de Lahij;1839-01-01T00:00:00Z;Q178561;all;Q805;
Q581542;Battle of Ponza;Q174306;República de Gênova;1552-08-05T00:00:00Z;Q178561;all;Q38;
Q481552;Batalha de Meloria;Q174306;República de Gênova;1241-05-10T00:00:00Z;Q178561;all;Q38;
Q4677351;Action of 30 September 1639;Q200464;Império Português;1639-09-30T00:00:00Z;Q178561;all;Q45;
Q4677341;Action of 2 May 1654;Q200464;Império Português;1654-05-02T00:00:00Z;Q178561;all;Q45;
Q4677306;Action of 23 March 1654;Q200464;Império Português;1654-03-23T00:00:00Z;Q178561;all;Q45;
Q124585236;Friary Street Ambush;Q275482;Forças Armadas do Reino Unido;1921-02-21T00:00:00Z;Q178561;all;Q145;
Q482402;Incidente do Golfo de Tonkin;Q172640;Vietname do Norte;1964-08-02T00:00:00Z;Q178561;all;Q881;
Q552392;Battle of the Malacca Strait;Q188712;Império do Japão;1945-05-15T00:00:00Z;Q178561;all;Q17;
Q548819;Batalha das Ilhas Komandorski;Q188712;Império do Japão;1943-03-27T00:00:00Z;Q178561;all;Q17;
Q515168;Battle off Horaniu;Q188712;Império do Japão;1943-08-17T00:00:00Z;Q178561;all;Q17;
Q504347;Batalha do Mar das Filipinas;Q188712;Império do Japão;1944-06-19T00:00:00Z;Q178561;all;Q17;
Q379433;Operação Ten-Go;Q188712;Império do Japão;1945-04-07T00:00:00Z;Q178561;all;Q17;
Q308999;Batalha do Golfo de Leyte;Q188712;Império do Japão;1944-10-23T00:00:00Z;Q178561;all;Q17;
Q4677401;Action of 3 October 1624;Q154849;Grão-Ducado da Toscana;1624-10-03T00:00:00Z;Q178561;all;Q38;
Q4677335;Action of 29 April 1616;Q154849;Grão-Ducado da Toscana;1616-04-29T00:00:00Z;Q178561;all;Q38;
Q487332;Battle of Hansan Island;Q187550;Toyotomi Hideyoshi;1592-08-15T00:00:00Z;Q178561;all;Q17;
Q4087480;Batalha de Chaul;Q282428;Sultanato Mameluco do Cairo;1508-03-01T00:00:00Z;Q178561;all;Q79;
Q4677281;Ação de 18 de Novembro de 1809;Q71084;Primeiro Império Francês;1809-11-18T00:00:00Z;Q178561;all;Q71084;
Q499768;Battle of Helgeå;Q3281269;Império do Mar do Norte;1026-01-01T00:00:00Z;Q178561;all;Q3281269;
Q4677338;Action of 2 March 1808;Q62651;Reino da Dinamarca e Noruega;1808-03-02T00:00:00Z;Q178561;all;Q62651;
Q551218;Action of 16 May 1644;Q62651;Reino da Dinamarca e Noruega;1644-05-16T00:00:00Z;Q178561;all;Q62651;
Q423522;Battle of Colberger Heide;Q62651;Reino da Dinamarca e Noruega;1644-07-01T00:00:00Z;Q178561;all;Q62651;
Q392121;Batalha de Fehmarn (1644);Q62651;Reino da Dinamarca e Noruega;1644-10-13T00:00:00Z;Q178561;all;Q62651;
Q376154;Segunda Batalha de Copenhague;Q62651;Reino da Dinamarca e Noruega;1807-01-01T00:00:00Z;Q178561;all;Q62651;
Q4677411;Action off Lerwick;Q43287;Império Alemão;1917-10-17T00:00:00Z;Q178561;all;Q43287;
Q4677371;Action of 4 May 1917;Q43287;Império Alemão;1917-05-04T00:00:00Z;Q178561;all;Q43287;
Q4090326;Battle of Zanzibar;Q43287;Império Alemão;1914-09-20T00:00:00Z;Q178561;all;Q43287;
Q4677336;Action of 29 June 1609;Q70972;Reino da França;1609-06-29T00:00:00Z;Q178561;all;;
Q4677272;Action of 17 July 1628;Q70972;Reino da França;1628-07-17T00:00:00Z;Q178561;all;;
Q4677235;Action of 12 December 1782;Q70972;Reino da França;1782-12-12T00:00:00Z;Q178561;all;;
Q581542;Battle of Ponza;Q70972;Reino da França;1552-08-05T00:00:00Z;Q178561;all;;
Q577948;Battle of Tarragona;Q70972;Reino da França;1641-08-20T00:00:00Z;Q178561;all;;
Q575924;Batalha de Saint-Mathieu;Q70972;Reino da França;1512-08-20T00:00:00Z;Q178561;all;;
Q315310;Battle of Restigouche;Q70972;Reino da França;1760-07-08T00:00:00Z;Q178561;all;;
Q311759;Batalha de Rande;Q70972;Reino da França;1702-10-23T00:00:00Z;Q178561;all;;
Q575924;Batalha de Saint-Mathieu;Q71747;Ducado da Bretanha;1512-08-20T00:00:00Z;Q178561;all;;
Q4090339;Battle of the Head of Passes;Q81931;Estados Confederados da América;1861-10-12T00:00:00Z;Q178561;all;;
Q4677281;Ação de 18 de Novembro de 1809;Q83164;Companhia Britânica das Índias Orientais;1809-11-18T00:00:00Z;Q178561;all;;
Q4090284;Battle of Alexander Fort;Q104309;Movimento Branco;1919-05-21T00:00:00Z;Q178561;all;;
Q4087468;Battle of Sandwich (1460);Q105278;Casa de Lencastre;1460-01-01T00:00:00Z;Q178561;all;;
Q4087468;Battle of Sandwich (1460);Q105285;Casa de Iorque;1460-01-01T00:00:00Z;Q178561;all;;
Q524871;Battle of Cyzicus;Q139083;Terâmenes;-0409-01-01T00:00:00Z;Q178561;all;;
Q4677389;Action of 8 June 1755;Q161885;Reino da Grã-Bretanha;1755-06-08T00:00:00Z;Q178561;all;;
Q4677387;Action of 8 April 1740;Q161885;Reino da Grã-Bretanha;1740-04-08T00:00:00Z;Q178561;all;;
Q4677385;Action of 7 October 1795;Q161885;Reino da Grã-Bretanha;1795-10-07T00:00:00Z;Q178561;all;;
Q4677383;Action of 7 July 1799;Q161885;Reino da Grã-Bretanha;1799-07-07T00:00:00Z;Q178561;all;;
Q4677382;Action of 7 May 1794;Q161885;Reino da Grã-Bretanha;1794-05-05T00:00:00Z;Q178561;all;;
Q4677369;Action of 5 May 1794;Q161885;Reino da Grã-Bretanha;1794-05-05T00:00:00Z;Q178561;all;;
Q4677365;Action of 4 August 1800;Q161885;Reino da Grã-Bretanha;1800-08-04T00:00:00Z;Q178561;all;;
Q4677352;Action of 31 March 1800;Q161885;Reino da Grã-Bretanha;1800-03-31T00:00:00Z;Q178561;all;;
Q4677350;Action of 31 July 1793;Q161885;Reino da Grã-Bretanha;1793-07-31T00:00:00Z;Q178561;all;;
Q4677346;Action of 30 May 1798;Q161885;Reino da Grã-Bretanha;1798-05-30T00:00:00Z;Q178561;all;;
Q4677345;Action of 30 May 1781;Q161885;Reino da Grã-Bretanha;1781-05-30T00:00:00Z;Q178561;all;;
Q4677343;Action of 30 October 1762;Q161885;Reino da Grã-Bretanha;1762-10-30T00:00:00Z;Q178561;all;;
Q4677323;Action of 27 June 1798;Q161885;Reino da Grã-Bretanha;1798-06-27T00:00:00Z;Q178561;all;;
Q4677317;Action of 26 April 1797;Q161885;Reino da Grã-Bretanha;1797-01-01T00:00:00Z;Q178561;all;;
Q4677314;Action of 25 January 1797;Q161885;Reino da Grã-Bretanha;1797-01-25T00:00:00Z;Q178561;all;;
Q4677313;Action of 24 June 1801;Q161885;Reino da Grã-Bretanha;1801-06-24T00:00:00Z;Q178561;all;;
Q4677312;Action of 24 October 1793;Q161885;Reino da Grã-Bretanha;1793-10-24T00:00:00Z;Q178561;all;;
Q4677299;Action of 22 January 1783;Q161885;Reino da Grã-Bretanha;1783-01-22T00:00:00Z;Q178561;all;;
Q4677298;Action of 22 August 1795;Q161885;Reino da Grã-Bretanha;1795-08-22T00:00:00Z;Q178561;all;;
Q4677297;Action of 21 October 1794;Q161885;Reino da Grã-Bretanha;1794-10-21T00:00:00Z;Q178561;all;;
Q4677295;Action of 20 October 1793;Q161885;Reino da Grã-Bretanha;1793-10-20T00:00:00Z;Q178561;all;;
Q4677291;Action of 19 January 1799;Q161885;Reino da Grã-Bretanha;1799-01-19T00:00:00Z;Q178561;all;;
Q4677289;Action of 19 February 1801;Q161885;Reino da Grã-Bretanha;1801-02-19T00:00:00Z;Q178561;all;;
Q4677285;Action of 19 December 1796;Q161885;Reino da Grã-Bretanha;1796-12-19T00:00:00Z;Q178561;all;;
Q4677278;Action of 18 June 1793;Q161885;Reino da Grã-Bretanha;1793-06-18T00:00:00Z;Q178561;all;;
Q4677265;Action of 15 September 1782;Q161885;Reino da Grã-Bretanha;1782-09-15T00:00:00Z;Q178561;all;;
Q4677263;Action of 15 July 1798;Q161885;Reino da Grã-Bretanha;1798-07-15T00:00:00Z;Q178561;all;;
Q4677256;Action of 14 June 1742;Q161885;Reino da Grã-Bretanha;1742-06-14T00:00:00Z;Q178561;all;;
Q4677253;Action of 13 October 1796;Q161885;Reino da Grã-Bretanha;1796-10-13T00:00:00Z;Q178561;all;;
Q4677235;Action of 12 December 1782;Q161885;Reino da Grã-Bretanha;1782-12-12T00:00:00Z;Q178561;all;;
Q4677234;Action of 11 November 1779;Q161885;Reino da Grã-Bretanha;1779-11-11T00:00:00Z;Q178561;all;;
Q4677232;Action of 11 March 1727;Q161885;Reino da Grã-Bretanha;1727-03-11T00:00:00Z;Q178561;all;;
Q4677221;Action of 10 April 1795;Q161885;Reino da Grã-Bretanha;1795-04-10T00:00:00Z;Q178561;all;;
Q4555138;Atlantic campaign of May 1794;Q161885;Reino da Grã-Bretanha;1794-05-02T00:00:00Z;Q178561;all;;
Q4340192;Retirada de Cornwallis;Q161885;Reino da Grã-Bretanha;1795-06-16T00:00:00Z;Q178561;all;;
Q4202297;Affair of Fielding and Bylandt;Q161885;Reino da Grã-Bretanha;1779-12-31T00:00:00Z;Q178561;all;;
Q4090287;Battle of the Mona Passage;Q161885;Reino da Grã-Bretanha;1782-04-19T00:00:00Z;Q178561;all;;
Q4090282;Action of 8 January 1780;Q161885;Reino da Grã-Bretanha;1780-01-08T00:00:00Z;Q178561;all;;
Q4090281;Action of 6 December 1782;Q161885;Reino da Grã-Bretanha;1782-12-06T00:00:00Z;Q178561;all;;
Q4090280;Third Battle of Ushant;Q161885;Reino da Grã-Bretanha;1782-04-20T00:00:00Z;Q178561;all;;
Q4090279;Action of 1 May 1781;Q161885;Reino da Grã-Bretanha;1781-05-01T00:00:00Z;Q178561;all;;
Q577081;Batalha de Camperdown;Q161885;Reino da Grã-Bretanha;1797-10-11T00:00:00Z;Q178561;all;;
Q543154;Batalha de Santa Cruz de Tenerife;Q161885;Reino da Grã-Bretanha;1797-07-25T00:00:00Z;Q178561;all;;
Q4677277;Action of 18 March 1748;Q161885;Reino da Grã-Bretanha;1748-03-18T00:00:00Z;Q178561;all;;
Q464226;Batalha de Lagos;Q161885;Reino da Grã-Bretanha;1759-08-19T00:00:00Z;Q178561;all;;
Q450318;Batalha da Baía de Quiberon;Q161885;Reino da Grã-Bretanha;1759-11-20T00:00:00Z;Q178561;all;;
Q421399;Battle of Delaware Bay;Q161885;Reino da Grã-Bretanha;1782-04-08T00:00:00Z;Q178561;all;;
Q373401;Batalha do Cabo de São Vicente;Q161885;Reino da Grã-Bretanha;1797-02-14T00:00:00Z;Q178561;all;;
Q338792;Battle of Genoa;Q161885;Reino da Grã-Bretanha;1795-03-13T00:00:00Z;Q178561;all;;
Q315310;Battle of Restigouche;Q161885;Reino da Grã-Bretanha;1760-07-08T00:00:00Z;Q178561;all;;
Q4677351;Action of 30 September 1639;Q170072;República das Sete Províncias Unidas dos Países Baixos;1639-09-30T00:00:00Z;Q178561;all;;
Q4677341;Action of 2 May 1654;Q170072;República das Sete Províncias Unidas dos Países Baixos;1654-05-02T00:00:00Z;Q178561;all;;
Q4677306;Action of 23 March 1654;Q170072;República das Sete Províncias Unidas dos Países Baixos;1654-03-23T00:00:00Z;Q178561;all;;
Q4677287;Fight in the Channel;Q170072;República das Sete Províncias Unidas dos Países Baixos;1639-09-16T00:00:00Z;Q178561;all;;
Q4202297;Affair of Fielding and Bylandt;Q170072;República das Sete Províncias Unidas dos Países Baixos;1779-12-31T00:00:00Z;Q178561;all;;
Q331740;Batalha de Medway;Q170072;República das Sete Províncias Unidas dos Países Baixos;1667-06-09T00:00:00Z;Q178561;all;;
Q311759;Batalha de Rande;Q170072;República das Sete Províncias Unidas dos Países Baixos;1702-10-23T00:00:00Z;Q178561;all;;
Q4677401;Action of 3 October 1624;Q170174;Estados Papais;1624-10-03T00:00:00Z;Q178561;all;;
Q528018;Naval Battle of Campeche;Q170588;República do Texas;1843-05-16T00:00:00Z;Q178561;all;;
Q4090324;Battle of Beirut;Q172579;Reino da Itália;1912-02-24T00:00:00Z;Q178561;all;;
Q544090;Batalha do Cabo Matapão;Q172579;Reino da Itália;1941-03-27T00:00:00Z;Q178561;all;;
Q543043;Attack on Aruba;Q172579;Reino da Itália;1942-02-16T00:00:00Z;Q178561;all;;
Q10130;Operation Harpoon;Q172579;Reino da Itália;1942-01-01T00:00:00Z;Q178561;all;;
Q4677400;Action of May 1612;Q173065;Reino de Nápoles;1612-05-01T00:00:00Z;Q178561;all;;
Q338792;Battle of Genoa;Q173065;Reino de Nápoles;1795-03-13T00:00:00Z;Q178561;all;;
Q4731443;Allemand's escape from Lorient;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1812-03-09T00:00:00Z;Q178561;all;;
Q4682165;Aden Expedition;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1839-01-01T00:00:00Z;Q178561;all;;
Q4677411;Action off Lerwick;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1917-10-17T00:00:00Z;Q178561;all;;
Q4677372;Action of 5 November 1813;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1813-01-01T00:00:00Z;Q178561;all;;
Q4677371;Action of 4 May 1917;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1917-05-04T00:00:00Z;Q178561;all;;
Q4677355;Action of 3 July 1810;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1810-07-03T00:00:00Z;Q178561;all;;
Q4677353;Action of 31 May 1809;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1809-05-31T00:00:00Z;Q178561;all;;
Q4677338;Action of 2 March 1808;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1808-03-02T00:00:00Z;Q178561;all;;
Q4677316;Action of 25 September 1806;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1806-09-25T00:00:00Z;Q178561;all;;
Q4677302;Action of 22 May 1812;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1812-01-01T00:00:00Z;Q178561;all;;
Q4677301;Action of 22 January 1809;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1809-01-22T00:00:00Z;Q178561;all;;
Q4677294;Action of 21 April 1806;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1806-04-21T00:00:00Z;Q178561;all;;
Q4677228;Action of 10 November 1808;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1808-11-10T00:00:00Z;Q178561;all;;
Q4677225;Action of 10 February 1809;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1809-02-08T00:00:00Z;Q178561;all;;
Q4090326;Battle of Zanzibar;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1914-09-20T00:00:00Z;Q178561;all;;
Q4090284;Battle of Alexander Fort;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1919-05-21T00:00:00Z;Q178561;all;;
Q4677374;Action of 6 April 1809;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1809-04-06T00:00:00Z;Q178561;all;;
Q432515;Primeira Batalha de Algeciras;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1801-07-06T00:00:00Z;Q178561;all;;
Q376154;Segunda Batalha de Copenhague;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1807-01-01T00:00:00Z;Q178561;all;;
Q128995725;Skirmish at the Isle of Wight;Q179876;Reino da Inglaterra;1647-05-01T00:00:00Z;Q178561;all;;
Q4677403;Action of San Mateo Bay;Q179876;Reino da Inglaterra;1594-06-29T00:00:00Z;Q178561;all;;
Q4677272;Action of 17 July 1628;Q179876;Reino da Inglaterra;1628-07-17T00:00:00Z;Q178561;all;;
Q575924;Batalha de Saint-Mathieu;Q179876;Reino da Inglaterra;1512-08-20T00:00:00Z;Q178561;all;;
Q518005;Battle of La Rochelle;Q179876;Reino da Inglaterra;1372-07-01T00:00:00Z;Q178561;all;;
Q331740;Batalha de Medway;Q179876;Reino da Inglaterra;1667-06-09T00:00:00Z;Q178561;all;;
Q311759;Batalha de Rande;Q179876;Reino da Inglaterra;1702-10-23T00:00:00Z;Q178561;all;;
Q338370;Battle of Grengam;Q186096;Czarado da Rússia;1720-08-07T00:00:00Z;Q178561;all;;
Q4677334;Action of 28 September 1644;Q187549;Ordem de São João;1644-09-28T00:00:00Z;Q178561;all;;
Q4677326;Action of 27 August 1661;Q187549;Ordem de São João;1661-08-27T00:00:00Z;Q178561;all;;
Q4677321;Action of 26 June 1625;Q187549;Ordem de São João;1625-06-26T00:00:00Z;Q178561;all;;
Q4677261;Action of 17 June 1595;Q187549;Ordem de São João;1595-06-17T00:00:00Z;Q178561;all;;
Q524871;Battle of Cyzicus;Q187982;Alcibíades;-0409-01-01T00:00:00Z;Q178561;all;;
Q4677298;Action of 22 August 1795;Q188553;República Batava;1795-08-22T00:00:00Z;Q178561;all;;
Q577081;Batalha de Camperdown;Q188553;República Batava;1797-10-11T00:00:00Z;Q178561;all;;
Q4677400;Action of May 1612;Q188586;Reino da Sicília;1612-05-01T00:00:00Z;Q178561;all;;
Q481552;Batalha de Meloria;Q188586;Reino da Sicília;1241-05-10T00:00:00Z;Q178561;all;;
Q128995725;Skirmish at the Isle of Wight;Q215443;Império Sueco;1647-05-01T00:00:00Z;Q178561;all;;
Q518005;Battle of La Rochelle;Q217196;Coroa de Castela;1372-07-01T00:00:00Z;Q178561;all;;
Q4677258;Action of 14 April 1655;Q330362;Comunidade da Inglaterra;1655-04-14T00:00:00Z;Q178561;all;;
Q524871;Battle of Cyzicus;Q354403;Trasíbulo;-0409-01-01T00:00:00Z;Q178561;all;;
Q524871;Battle of Cyzicus;Q367407;Hermócrates;-0409-01-01T00:00:00Z;Q178561;all;;
Q487332;Battle of Hansan Island;Q379659;Won Kyun;1592-08-15T00:00:00Z;Q178561;all;;
Q483088;Batalha de Chilcheollyang;Q379659;Won Kyun;1597-08-27T00:00:00Z;Q178561;all;;
Q524871;Battle of Cyzicus;Q458256;Farnabazo II;-0409-01-01T00:00:00Z;Q178561;all;;
Q487332;Battle of Hansan Island;Q482906;Yi Ŏkki;1592-08-15T00:00:00Z;Q178561;all;;
Q315310;Battle of Restigouche;Q507665;John Byron;1760-07-08T00:00:00Z;Q178561;all;;
Q4087480;Batalha de Chaul;Q507796;Sultanato de Guzarate;1508-03-01T00:00:00Z;Q178561;all;;
Q524871;Battle of Cyzicus;Q530532;Clearco de Esparta;-0409-01-01T00:00:00Z;Q178561;all;;
Q515561;Batalha do Fiorde de Hafrs;Q598153;Kingdom of Hordaland;0872-07-22T00:00:00Z;Q178561;all;;
Q4677243;Action of 12–17 January 1640;Q617066;Companhia Holandesa das Índias Ocidentais;1640-01-12T00:00:00Z;Q178561;all;;
Q528018;Naval Battle of Campeche;Q671658;República do Iucatã;1843-05-16T00:00:00Z;Q178561;all;;
Q125564920;Skirmish at Pipli;Q912382;Índia Dinamarquesa;1640-01-01T00:00:00Z;Q178561;all;;
Q4438422;Battle of Iskrest Lighthouse;Q1108445;Principado de Kiev;1043-01-01T00:00:00Z;Q178561;all;;
Q481552;Batalha de Meloria;Q1365493;República de Pisa;1241-05-10T00:00:00Z;Q178561;all;;
Q4307272;2008 U.S.–Iranian naval dispute;Q1443306;USS Hopper;2008-01-06T00:00:00Z;Q178561;all;;
