"iso3";"country_qid";"country_label_pt";"country_label_en";"inception_year";"earliest_year";"named_after_qid";"named_after_pt";"named_after_en";"predecessor_qids";"predecessors_pt";"predecessors_en";"wp_title_pt";"wp_title_en";"wp_origins_pt";"wp_origins_en";"wp_summary_pt";"wp_summary_en";"fetched_at"
"CIV";"Q1008";"Costa do Marfim";"Ivory Coast";"1960";"";"Q93352";"costa";"coast";"Q210682|Q39074482";"África Ocidental Francesa | French Ivory Coast";"French West Africa | French Ivory Coast";"Costa do Marfim";"Ivory Coast";"O nome foi dado pelos colonos franceses porque havia um grande comércio de marfim extraído das presas do elefante-africano na região. Em 1985, o governo do país solicitou à ONU que utilizasse o nome francês, Côte d'Ivoire, [ 8 ] em todas as línguas, para evitar confusões causadas pela diversidade de exônimos.";"Originally, Portuguese merchant-explorers in the 15th and 16th centuries divided the west coast of Africa, very roughly, into four ""coasts"" reflecting resources available from each coast. The coast which they named the Costa do Marfim —meaning 'coast of ivory', and translated into French as Côte d'Ivoire —lay between what was known as the Guiné de Cabo Verde , so-called ""Upper Guinea"" at Cap-Vert , and Lower Guinea. [ 19 ] [ 20 ] There was also a Pepper Coast , also known as the ""Grain Coast"" (present-day Liberia ), a "" Gold Coast "" ( Ghana ), and a "" Slave Coast "" ( Togo , Benin and Nigeria ). Like those, the name Ivory Coast reflected the major trade that occurred on that particular stretch of the coast: the export of ivory . [ 21 ] [ 19 ] [ 22 ] [ 20 ] [ 23 ] Other names for the area included the Côte de Dents , [ b ] literally 'Coast of Teeth', again reflecting the ivory trade; [ 25 ] [ 26 ] [ 21 ] [ 20 ] [ 23 ] [ 27 ] the Côte de Quaqua , after the people whom the Dutch named the Quaqua (alternatively Kwa Kwa ); [ 26 ] [ 19 ] [ 24 ] the Coast of the Five and Six Stripes, after a type of cotton fabric also traded there; [ 26 ] and the Côte du Vent , [ c ] the Windward Coast, after perennial local off-shore weather conditions. [ 21 ] [ 19 ] In the 19th century, usage switched to Côte d'Ivoire . [ 26 ] The coastline of the modern state is not quite coterminous with what the 15th- and 16th-century merchants knew as the ""Teeth"" or ""Ivory"" coast, which was considered to stretch from Cape Palmas to Cape Three Points and which is thus now divided between the modern states of Ghana and Ivory Coast (with a minute portion of Liberia). [ 25 ] [ 22 ] [ 27 ] [ 24 ] It retained the name through French rule and independence in 1960. [ 28 ]";"A Costa do Marfim, oficial e protocolarmente República de Côte d'Ivoire, é um país africano, limitado a norte pelo Mali e pelo Burquina Fasso, a leste pelo Gana, a sul pelo Oceano Atlântico e a oeste pela Libéria e pela Guiné. Sua capital é Iamussucro, mas a maior cidade é Abidjã.";"Ivory Coast, also known as Côte d'Ivoire and officially the Republic of Côte d'Ivoire, is a country on the southern coast of West Africa. Its capital city of Yamoussoukro is located in the centre of the country, while its largest city and economic centre is the port city of Abidjan. It borders Guinea to the northwest, Liberia to the west, Mali to the northwest, Burkina Faso to the northeast, Ghana to the east, and the Atlantic Ocean's Gulf of Guinea to the south. With 31.5 million inhabitants in 2024, Ivory Coast is the third-most populous country in West Africa. Its official language is French, and indigenous languages are also widely used, including Bété, Baoulé, Dyula, Dan, Anyin, and Cebaara Senufo. In total, there are around 78 languages spoken in Ivory Coast. The country has a religiously diverse population, including numerous followers of Islam, Christianity, and traditional faiths often entailing animism.";"2025-10-15T07:27:31.902638+00:00"
"CMR";"Q1009";"Camarões";"Cameroon";"1960";"";"";"";"";"Q5026500|Q60023785";"Cameroon | United Republic of Cameroon";"Cameroon | United Republic of Cameroon";"Camarões";"Cameroon";"Camarões, oficialmente República dos Camarões, é um país da região ocidental da África Central. Faz fronteira com a Nigéria a oeste; Chade a nordeste;[carece de fontes?] República Centro-Africana a leste; e Guiné Equatorial, Gabão e República do Congo, ao sul. O litoral dos Camarões encontra-se no Golfo do Biafra, parte do Golfo da Guiné e do Oceano Atlântico.";"Originally, Cameroon was the exonym given by the Portuguese to the Wouri River , which they called Rio dos Camarões meaning 'river of shrimps ' or 'shrimp river', referring to the then abundant Cameroon ghost shrimp . [ 8 ] [ 9 ] The country's name in Portuguese remains Camarões . [ 10 ]";"Camarões, oficialmente República dos Camarões, é um país da região ocidental da África Central. Faz fronteira com a Nigéria a oeste; Chade a nordeste;[carece de fontes?] República Centro-Africana a leste; e Guiné Equatorial, Gabão e República do Congo, ao sul. O litoral dos Camarões encontra-se no Golfo do Biafra, parte do Golfo da Guiné e do Oceano Atlântico. O país é muitas vezes referido como ""África em miniatura"", pela sua diversidade geológica e cultural. Recursos naturais incluem praias, desertos, montanhas, florestas tropicais e savanas. O ponto mais alto é o Monte Camarões no sudoeste, e as cidades mais populosas são Douala, a capital Iaundé e Garoua. Os Camarões são o lar de mais de 200 grupos linguísticos diferentes. O país é conhecido por seus estilos musicais nativos, especialmente makossa e bikutsi, e pela sua bem-sucedida seleção nacional de futebol. Francês e inglês são as línguas oficiais.";"Cameroon, officially the Republic of Cameroon, is a country in Central Africa. It shares boundaries with Nigeria to the west and north, Chad to the northeast, the Central African Republic to the east, and Equatorial Guinea, Gabon, and the Republic of the Congo to the south. Its coastline lies on the Bight of Biafra, part of the Gulf of Guinea, and the Atlantic Ocean. Due to its strategic position at the crossroads between West Africa and Central Africa, it has been categorized as being in both geostrategic locations. Cameroon's population of nearly 31 million people speak 250 native languages, in addition to the national tongues of English and French. The capital city of the country is Yaoundé.";"2025-10-15T07:27:38.438526+00:00"
"COD";"Q974";"República Democrática do Congo";"Democratic Republic of the Congo";"1960";"";"Q3503";"Congo";"Congo";"Q6500954";"Zaire";"Zaire";"República Democrática do Congo";"Democratic Republic of the Congo";"Anteriormente, a República Democrática do Congo já foi chamada, em ordem cronológica: Estado Livre do Congo , Congo Belga , República do Congo (Léopoldville) , República Democrática do Congo e República do Zaire . A partir de 1997, recuperou a denominação República Democrática do Congo, que permanece desde então. O país foi oficialmente conhecido como a ""República Democrática do Congo"" entre 1965 e 1971, quando teve o nome alterado para República do Zaire. [ 22 ] Em 1992, a Conferência Nacional Soberana votou pela recuperação do nome anterior, República Democrática do Congo, mas a alteração não levada a efeito. [ 23 ] O nome do país foi restaurado em 1997, pelo presidente Laurent-Désiré Kabila (1997-2001), após o fim da longa ditadura de Mobutu Sese Seko (1965-1997). [ 24 ]";"The Democratic Republic of the Congo is named after the Congo River , which flows through the country. The Congo River is the world's deepest river and the world's third-largest river by discharge . The Comité d'études du haut Congo (""Committee for the Study of the Upper Congo""), established by King Leopold II of Belgium in 1876, and the International Association of the Congo , established by him in 1879, were also named after the river. [ 30 ] The Congo River was named by early European sailors after the Kingdom of Kongo and its Bantu inhabitants, the Kongo people , when they encountered them in the 16th century. [ 31 ] [ 32 ] The word Kongo comes from the Kongo language (also called Kikongo ). According to American writer Samuel Henry Nelson: ""It is probable that the word 'Kongo' itself implies a public gathering and that it is based on the root konga , 'to gather' (trans[itive])."" [ 33 ] The modern name of the Kongo people, Bakongo , was introduced in the early 20th century. [ citation needed ] The Democratic Republic of the Congo has been known in the past as, in chronological order, the Congo Free State , Belgian Congo , the Republic of the Congo-Léopoldville , the Democratic Republic of the Congo and the Republic of Zaire , before returning to its current name the Democratic Republic of the Congo. [ 2 ] At the time of independence, the country was named the Republic of the Congo-Léopoldville to distinguish it from its neighbour Congo , officially the Republic of the Congo . With the promulgation of the Luluabourg Constitution on 1 August 1964, the country became the DRC but was renamed Zaire (a past name for the Congo River) on 27 October 1971 by President Mobutu Sese Seko as part of his Authenticité initiative. [ 34 ]";"A República Democrática do Congo, também designada como RDC, RD Congo, Congo ou, por vezes, Congo-Quinxassa ou Congo-Kinshasa para diferenciá-la da vizinha República do Congo é um país da África Central.";"The Democratic Republic of the Congo (DRC), also known as the DR Congo, Congo-Kinshasa, or simply Congo, or more infrequently Zaire is a country in Central Africa. By land area, it is the second-largest country in Africa and the 11th-largest in the world. With a population of around 112 million, the DR Congo is the second most populous in Africa and the most populous nominally Francophone country in the world. French is the official and most widely spoken language, though there are over 200 indigenous languages. The national capital and largest city is Kinshasa, which is also the economic center. The country is bordered by the Republic of the Congo, the Cabinda exclave of Angola, and the South Atlantic Ocean to the west; the Central African Republic and South Sudan to the north; Uganda, Rwanda, Burundi, and Tanzania to the east; and Zambia and Angola to the south. Centered on the Congo Basin, most of the country's terrain is covered by dense rainforests and is crossed by many rivers, while the east and southeast are mountainous.";"2025-10-15T07:27:41.047420+00:00"
"COG";"Q971";"República do Congo";"Republic of the Congo";"1960";"";"Q3503";"Congo";"Congo";"Q1152126";"República Popular do Congo";"People's Republic of the Congo";"República do Congo";"Republic of the Congo";"O nome Congo é uma referência ao rio Congo . O nome do país é derivado do reino do Congo , um reino banto que ocupou a foz deste rio na época em que os portugueses chegaram pela primeira vez em 1483 [ 4 ] ou 1484. [ 5 ] O nome do reino deriva de seu povo, os congos , um endônimo que significa ""caçadores"" (em língua congo : mukongo ou nkongo ). [ 6 ] Durante o período em que a França o colonizou, era conhecido como Congo Francês ou Médio Congo. A República do Congo, também chamada de Congo-Brazavile, [ 7 ] é um país distinto da República Democrática do Congo , também conhecida como Congo-Quinxassa. [ 8 ] O nome de Congo-Brazavile, para o diferenciar do Congo-Quinxassa, advém do empréstimo do nome da capital Brazavile , que, por sua vez, tem seu nome derivado do explorador Pierre Savorgnan de Brazza , cujo sobrenome se referia à cidade de Brazzacco, na comuna italiana de Moruzzo em Friuli Venezia Giulia . O nome em italiano ""Brazzacco"" deriva do latim bracchium , que significa, literalmente, "" braço armado "". [ 9 ]";"It is named after the Congo River whose name is derived from Kongo , a Bantu kingdom that occupied its mouth around the time the Portuguese first arrived in 1483 [ 16 ] or 1484. [ 17 ] The kingdom's name derived from its people, the Bakongo , an endonym said to mean ""hunters"" ( Kongo : mukongo , nkongo ). [ 18 ] [ 19 ] During the period when France colonised it, it was known as the French Congo or Middle Congo. The Republic of the Congo, or simply the Congo, [ 3 ] is a distinct country from the Democratic Republic of the Congo , also known as the DR Congo. [ 20 ] Brazzaville 's name derives from the colony's founder, Pierre Savorgnan de Brazzà , an Italian nobleman whose title referred to the town of Brazzacco, in the Italian comune of Moruzzo in Friuli Venezia Giulia , whose name derived from the Latin Brattius or Braccius , both meaning literally "" arm "". [ 21 ]";"A República do Congo é um país africano limitado a norte pelos Camarões e a República Centro-Africana, a leste e a sul pela República Democrática do Congo, através do Rio Congo, a sul pelo exclave angolano de Cabinda e a oeste pelo Gabão e o Oceano Atlântico. Sua capital é a cidade de Brazavile. O Congo é um país em desenvolvimento, membro da ONU, União Africana, Comunidade Económica e Monetária da África Central, ZPCAS e da Francofonia.";"The Republic of the Congo, also known as Congo-Brazzaville, the Congo Republic or simply the Congo, is a country located on the western coast of Central Africa to the west of the Congo River. It is bordered to the west by Gabon, to the northwest by Cameroon, to the northeast by the Central African Republic, to the southeast by the Democratic Republic of the Congo, to the south by the Angolan exclave of Cabinda, and to the southwest by the Atlantic Ocean.";"2025-10-15T07:27:44.023803+00:00"
"COK";"Q26988";"Ilhas Cook";"Cook Islands";"1965";"";"";"";"";"";"";"";"Ilhas Cook";"Cook Islands";"As Ilhas Cook são um país autônomo do Oceano Pacífico, em livre associação com a Nova Zelândia. É formado por um arquipélago que compreende 15 ilhas cuja área total de terra é de 240 km². A Zona Económica Exclusiva das Ilhas Cook (ZEE), no entanto, cobre 1,8 milhão de km² de oceano.";"The Cook Islands comprise 15 islands that have had individual names in indigenous languages, including Cook Islands Māori and Pukapukan throughout the time they have been inhabited. The first name given by Europeans was Gente Hermosa (beautiful people) by Spanish explorers to Rakahanga in 1606. [ 15 ] The islands as a whole are named after the English captain and explorer James Cook , who visited during the 1770s and named Manuae ""Hervey Island"" after Augustus Hervey, 3rd Earl of Bristol . The southern island group became known as the ""Hervey Islands"" after this. In the 1820s, Russian Admiral Adam Johann von Krusenstern referred to the southern islands as the ""Cook Islands"" in his Atlas de l'Ocean Pacifique . [ 16 ] The entire territory (including the northern island group) was not known as the ""Cook Islands"" until after its annexation by New Zealand in the early 20th century. In 1901, the New Zealand parliament passed the Cook and other Islands Government Act , demonstrating that the name ""Cook Islands"" only referred to some of the islands. This situation had changed by the passage of the Cook Islands Act 1915 , which defined the Cooks' area and included all presently included islands. [ 17 ] The islands' official name in Cook Islands Māori is Kūki 'Āirani , a transliteration of the English name. [ 18 ] [ 19 ]";"As Ilhas Cook são um país autônomo do Oceano Pacífico, em livre associação com a Nova Zelândia. É formado por um arquipélago que compreende 15 ilhas cuja área total de terra é de 240 km². A Zona Económica Exclusiva das Ilhas Cook (ZEE), no entanto, cobre 1,8 milhão de km² de oceano.";"The Cook Islands is an island country in Polynesia, part of Oceania, in the South Pacific Ocean. It consists of 15 islands whose total land area is approximately 236.7 square kilometres (91 sq mi). The Cook Islands Exclusive Economic Zone (EEZ) covers 1,960,027 square kilometres (756,771 sq mi) of ocean. Avarua on the main island of Rarotonga is the capital.";"2025-10-15T07:27:50.643762+00:00"
"COL";"Q739";"Colômbia";"Colombia";"1810";"";"Q7322";"Cristóvão Colombo";"Christopher Columbus";"Q1061488|Q6037274";"Estados Unidos da Colômbia | Nação Misquita";"United States of Colombia | Mosquitia";"Colômbia";"Colombia";"A palavra Colômbia é derivada do antropônimo genealógico Colombo , como uma homenagem ao marinheiro genovês Cristóvão Colombo (1451–1506), significando a Terra de Colombo , e foi concebida por Francisco de Miranda para se referir a todo o Novo Mundo , especialmente aos territórios sob domínio espanhol e português. [ 16 ] Em 17 de dezembro de 1819, passaram a pertencer à Grã-Colômbia (isso para evitar confusões com o nome atual do país sul-americano), cujo nome oficial era República da Colômbia , o Vice-Reino da Nova Granada , a Capitania-Geral da Venezuela e a Real Audiência de Quito . Em 1824, a Grã Colômbia faz a reunião da Colômbia ( Distrito del Centro ), propriamente dita, da Venezuela ( Distrito del Norte ) e do Equador ( Distrito del Sur ). A partir daí, a Colômbia teve vários nomes ao longo de sua história: de 1830 até 1858, recebeu o nome de República de Nova Granada , de 1858 até 1863 passou a se chamar de Confederação Granadina , de 1863 até 1886 foi denominada Estados Unidos da Colômbia , e desde 1886, seu atual nome oficial é República da Colômbia . [ 16 ] Os habitantes naturais da Colômbia são denominados colombianos(as), [ 17 ] [ 18 ] em inglês Colombians , [ 19 ] em espanhol e italiano colombiano , [ 20 ] [ 21 ] em francês colombien [ 22 ] e em alemão kolumbianisch . [ 23 ]";"The name ""Colombia"" is derived from the last name of the Italian navigator Christopher Columbus ( Latin : Christophorus Columbus , Italian : Cristoforo Colombo , Spanish: Cristóbal Colón ). It was conceived as a reference to all of the New World. [ 34 ] The name was later adopted by the Republic of Colombia of 1819, formed from the territories of the old Viceroyalty of New Granada (modern-day Colombia, Panama, Venezuela, Ecuador, and northwest Brazil). [ 35 ] When Venezuela, Ecuador, and Cundinamarca came to exist as independent states, the former Department of Cundinamarca adopted the name "" Republic of New Granada "". New Granada officially changed its name in 1858 to the Granadine Confederation . In 1863 the name was again changed, this time to United States of Colombia , before finally adopting its present name – the Republic of Colombia – in 1886. [ 35 ] To refer to this country, the Colombian government uses the terms Colombia and República de Colombia . [ 36 ]";"Colômbia ), oficialmente República da Colômbia, é uma república constitucional do noroeste da América do Sul. A Colômbia faz fronteira a leste com a Venezuela e Brasil; ao sul com o Equador e Peru; para o norte com o Mar do Caribe, ao noroeste com o Panamá; e a oeste com o Oceano Pacífico. A Colômbia também tem fronteiras marítimas com Venezuela, República Dominicana, Haiti, Jamaica, Honduras, Nicarágua, Costa Rica, Panamá e Equador, sendo o único país sul-americano com acesso ao Pacífico e ao Mar do Caribe. Com uma população de mais de 47 milhões de pessoas, a Colômbia tem a 28ª maior população do mundo e a segunda maior da América do Sul, depois do Brasil. A Colômbia é o segundo país mais populoso com a língua espanhola como idioma oficial, e tem a segunda maior comunidade de língua espanhola no mundo depois do México.";"Colombia, officially the Republic of Colombia, is a country primarily located in South America with insular regions in North America. The Colombian mainland is bordered by the Caribbean Sea to the north, Venezuela to the east and northeast, Brazil to the southeast, Peru and Ecuador to the south and southwest, the Pacific Ocean to the west, and Panama to the northwest. Colombia is divided into 32 departments. The Capital District of Bogotá is also the country's largest city hosting the main financial and cultural hub. Other major urban areas include Medellín, Cali, Barranquilla, Cartagena, Santa Marta, Cúcuta, Ibagué, Villavicencio and Bucaramanga. It covers an area of 1,141,748 square kilometers and has a population of around 52 million. Its rich cultural heritage—including language, religion, cuisine, and art—reflects its history as a colony, fusing cultural elements brought by immigration from Europe and the Middle East, with those brought by the African diaspora, as well as with those of the various Indigenous civilizations that predate colonization. Spanish is the official language, although Creole, English and 64 other languages are recognized regionally.";"2025-10-15T07:27:53.904242+00:00"
"COM";"Q970";"Comores";"Comoros";"1975";"";"";"";"";"Q5501842";"French Madagascar";"French Madagascar";"Comores";"Comoros";"A História de Comores é um estudo social sobre a história das ilhas Comores, localizadas na extremidade norte do canal de Moçambique, parte do Oceano Indico, ao largo da costa oriental do continente africano.";"It was previously thought that the name ""Comoros"" derives from the Arabic word قمر qamar ("" moon ""). [ 22 ] , however, this popular etymology is apocryphal, the word coming rather from the old Arabic name of Madagascar , ""Q(u)mr’"" ( Arabic : جزر القمر ): [ 23 ] the Comoros were, for the Arabs, the ""Malagasy islands"".";"Comores, oficialmente União das Comores,  é um país independente da África Austral, localizado no extremo norte do canal de Moçambique na costa oriental da África. Sua capital e maior cidade é Moroni, na Grande Comore.";"The Comoros, officially the Union of the Comoros, is an archipelagic country made up of three islands in Southeastern Africa, located at the northern end of the Mozambique Channel in the Indian Ocean. Its capital and largest city is Moroni. The religion of the majority of the population, and the official state religion, is Islam. Comoros proclaimed its independence from France on 6 July 1975. The Comoros is the only country of the Arab League which is entirely in the Southern Hemisphere. It is a member state of the African Union, the Organisation internationale de la Francophonie, the Organisation of Islamic Co-operation, and the Indian Ocean Commission. The country has three official languages: Comorian, French and Arabic.";"2025-10-15T07:27:57.695134+00:00"
"CPV";"Q1011";"Cabo Verde";"Cape Verde";"1975";"";"Q216889";"Cabo Verde";"Cap-Vert";"Q200464";"Império Português";"Portuguese Empire";"Cabo Verde";"Cape Verde";"O nome do país provém do vizinho Cabo Verde , na costa senegalesa , [ 9 ] avistado por exploradores portugueses em 1444, alguns anos antes de as ilhas serem descobertas. Em 24 de outubro de 2013, foi anunciado nas Nações Unidas que o nome oficial não deveria mais ser traduzido para outras línguas. Em vez de traduções de ""Cabo Verde"" em diversas línguas, a designação em português está a ser usada para fins oficiais, como na Organização das Nações Unidas (ONU). [ 10 ] [ 11 ]";"The country is named after the Cap-Vert peninsula on the Senegalese coast. [ 11 ] The name Cap-Vert , in turn, comes from the Portuguese language Cabo Verde ('green cape'), the name given to it by Portuguese explorers in 1444, a few years before they discovered the islands. Historically, the name has been anglicized as Cape Verde. In 2013, the country's delegation informed the United Nations that only Cabo Verde and not other translations should be used for official purposes. [ 9 ] [ 12 ]";"Cabo Verde, oficialmente República de Cabo Verde, é um país insular localizado em um arquipélago no Oceano Atlântico central, consistindo de dez ilhas vulcânicas com uma área de terra combinada de cerca de 4 033 km². Essas ilhas ficam entre 600 e 850 km a oeste da península senegalesa do Cabo Verde, situada no ponto mais ocidental da África continental. As ilhas de Cabo Verde fazem parte da ecorregião da Macaronésia, juntamente com os Açores, as Ilhas Canárias, a Madeira e as Ilhas Selvagens.";"Cape Verde or Cabo Verde, officially the Republic of Cabo Verde, is an island country and archipelagic state in the central Atlantic Ocean off the coast of West Africa. It consists of ten volcanic islands with a combined land area of about 4,033 square kilometres (1,557 sq mi). These islands lie between 600 and 850 kilometres west of Cap-Vert, the westernmost point of continental Africa, after which it is named. Cape Verde forms part of the Macaronesia ecoregion, along with the Azores, the Canary Islands, Madeira and the Savage Isles.";"2025-10-15T07:28:00.908214+00:00"
"CRI";"Q800";"Costa Rica";"Costa Rica";"1821";"";"";"";"";"Q6037274";"Nação Misquita";"Mosquitia";"Costa Rica";"Costa Rica";"A Primeira República da Costa Rica é o nome dado ao período histórico entre a proclamação da República da Costa Rica na Constituição reformada de 1848 e o decreto oficial do então presidente José María Castro Madriz em 31 de agosto de 1848 e a Guerra Civil da Costa Rica de 1948 que terminou com a promulgação da atual Constituição de 1949 em 7 de novembro de 1949, dando início à atual Segunda República da Costa Rica.";"The first indigenous peoples of Costa Rica were hunters and gatherers, and when the Spanish conquerors arrived, Costa Rica was divided in two distinct cultural areas due to its geographical location in the Intermediate Area, between Mesoamerican and the Andean cultures, with influences of both cultures.";"A Costa Rica, oficialmente República da Costa Rica, é um país da América Central, limitado a norte pela Nicarágua, a leste pelo mar do Caribe, a sudeste pelo Panamá e a oeste pelo Oceano Pacífico. O país possui entre os seus territórios a Ilha do Coco, no Oceano Pacífico. O país possui uma população de cerca de 4,9 milhões de habitantes em uma área de terra de 51 060 km2. San José, a capital e cidade mais populosa do país, é habitada por pouco mais de 330,6 mil habitantes. A nação é conhecida por sua democracia estável em uma região marcada por instabilidades políticas e por sua força de trabalho altamente qualificada, a maioria dos quais fala a língua inglesa. O país gasta cerca de 6,9% do seu orçamento em educação, acima da média global de 4,4%. Sua economia, antes altamente dependente da agricultura, diversificou-se para incluir setores como finanças, serviços corporativos para empresas estrangeiras, produtos farmacêuticos e ecoturismo. Muitas empresas estrangeiras operam nas Zonas Francas da Costa Rica, onde se beneficiam de investimentos e incentivos fiscais. Apesar do impressionante crescimento do Produto Interno Bruto (PIB), da inflação baixa, das taxas moderadas de juros e de um nível de desemprego aceitável, a Costa Rica enfrentou, nos últimos anos, uma crise de liquidez devido à dívida crescente e ao déficit orçamentário. Outros desafios que o país enfrenta em suas tentativas de melhorar a economia, aumentando o investimento estrangeiro, incluem uma infraestrutura precária e a necessidade de melhorar a eficiência do setor público.";"Costa Rica, officially the Republic of Costa Rica, is a country in Central America. It borders Nicaragua to the north, the Caribbean Sea to the northeast, Panama to the southeast, and the Pacific Ocean to the southwest, sharing a maritime border with Ecuador to the south of Cocos Island. It has a population of around five million in a land area of nearly 51,180 km2 (19,760 sq mi); the capital and largest city is San José, home to around 350,000 residents and two million people in the surrounding metropolitan area.";"2025-10-15T07:28:10.628370+00:00"
"CUB";"Q241";"Cuba";"Cuba";"1898";"";"";"";"";"Q2039931";"Antilhas Espanholas";"Captaincy General of Puerto Rico";"Cuba";"Cuba";"Não existe consenso quanto à origem do nome cuba . Entre as diferentes versões, há duas que se destacam: a primeira diz que a palavra deriva dos termos taínos cubao , que significa onde a terra fértil abunda , [ 29 ] ou coabana ou cubanacán , que se traduziriam como lugar amplo , [ 30 ] [ 31 ] e outra versão diz que deriva da contração de duas palavras aruaques : coa ( lugar, terra, terreno ) e bana ( grande ). [ 32 ] Circula ainda a teoria de que Cristóvão Colombo possa ter nascido em Cuba , uma vila portuguesa no Alentejo , e esta ser a origem do nome da ilha. [ 33 ]";"Historians believe the name Cuba comes from the Taíno language ; however, ""its exact derivation [is] unknown"". [ 32 ] The exact meaning of the name is unclear, but it may be translated either as 'where fertile land is abundant' ( cubao ), [ 33 ] or 'great place' ( coabana ).";"Cuba, oficialmente República de Cuba, é um país insular localizado no mar do Caribe, na América Central e Caribe. É um país que compreende a ilha de Cuba, bem como a Ilha da Juventude e vários arquipélagos menores. Cuba está localizada no norte do Caribe, onde o mar do Caribe, o Golfo do México e o Oceano Atlântico se encontram. Fica a leste da Península de Iucatã (México), a sul tanto do estado norte-americano da Flórida como das Bahamas, a oeste da Hispaniola, e a norte tanto da Jamaica como das Ilhas Caimão. Havana é a maior cidade e capital; outras grandes cidades incluem Santiago de Cuba e Camagüey. A área oficial da República de Cuba é de 109 884 km2. A ilha principal de Cuba é a maior ilha de Cuba e do Caribe, com uma área de 104 338 km2. Cuba é o segundo país mais populoso do Caribe, depois do Haiti, com mais de 11 milhões de habitantes.";"Cuba, officially the Republic of Cuba, is an island country in the Caribbean. It comprises the eponymous main island, Isla de la Juventud, and 4,195 islands, islets and cays. Situated at the confluence of the Caribbean Sea, Gulf of Mexico, and Atlantic Ocean, Cuba is located east of the Yucatán Peninsula, south of both Florida and the Bahamas, west of Hispaniola, and north of Jamaica and the Cayman Islands. Havana is the largest city and capital. Cuba is the third-most populous country in the Caribbean after Haiti and the Dominican Republic, with about 10 million inhabitants. It is the largest country in the Caribbean by area. Culturally, Cuba is considered part of Latin America.";"2025-10-15T07:28:13.595295+00:00"
"CUW";"Q25279";"Curaçau";"Curaçao";"1954";"";"";"";"";"Q25227";"Antilhas Neerlandesas";"Netherlands Antilles";"Curaçau";"Curaçao";"Nos séculos XVI e XVII , os marinheiros em viagens longas ficavam com escorbuto devido à falta de vitamina C . De acordo com algumas contas, os marinheiros portugueses que ficaram doentes foram deixados na ilha agora conhecida como Curaçau. Quando seu navio retornou, eles se recuperaram, provavelmente curados do escorbuto depois de comer frutas com vitamina C. A partir de então, os portugueses se referiram a isso como Ilha da Curaçãu (arte de curar). [ 11 ] Outra explicação é que é derivada da palavra portuguesa ""coração"", referindo-se à ilha como um centro de comércio. Os comerciantes espanhóis tomaram o nome como Curaçau, que foi seguido pelos neerlandeses. [ 12 ] Outra explicação é que Curaçau foi o nome pelo qual os povos indígenas da ilha se identificaram, seus autônomos. (Joubert e Van Buurt, 1994). As primeiras contas espanholas apoiam esta teoria, como se referem aos povos indígenas como Indios Curaçaos , ou ""índios curadores"". [ 12 ] A partir de 1525 , a ilha foi apresentada em mapas espanhóis como Curaçote, Curasaote e Curasaore. No século XVII, apareceu na maioria dos mapas em português como Curaçao ou Curazao. [ 12 ] Em um mapa criado por Hieronymus Cock em 1562 em Antuérpia , a ilha foi referida como Qúracao.";"One explanation for the island's name is that Curaçao was the autonym by which its indigenous peoples identified themselves. [ 19 ] Early Spanish accounts support this theory, referring to the indigenous peoples as Indios Curaçaos . [ 20 ] From 1525, the island was featured on Spanish maps as Curaçote, Curasaote, Curasaore , and even Curacaute . [ 21 ] By the 17th century, it appeared on most maps as Curaçao or Curazao. [ 20 ] On a map created by Hieronymus Cock in 1562 in Antwerp , the island was called Qúracao . [ 22 ] A persistent but undocumented story claims the following: in the 16th and 17th centuries—the early years of European exploration—when sailors on long voyages got scurvy from lack of vitamin C , sick Portuguese or Spanish sailors were left on the island now known as Curaçao. When their ship returned, some had recovered, probably after eating vitamin C-rich fruit there. From then on, the Portuguese allegedly referred to the island as Ilha da Curação (Island of Healing) or the Spanish as Isla de la Curación. [ 12 ]";"Curaçau é um país insular constituinte do Reino dos Países Baixos, localizado nas Pequenas Antilhas no sul do mar do Caribe e na região do Caribe Neerlandês, a aproximadamente 65 km ao norte da costa venezuelana.";"Curaçao, officially the Country of Curaçao, is a constituent island country within the Kingdom of the Netherlands, located in the southern Caribbean Sea, about 65 km (40 mi) north of Venezuela and 80 km southeast of Aruba. Curaçao includes the main island of Curaçao, and the much smaller, uninhabited island of Klein Curaçao.";"2025-10-15T07:28:16.467262+00:00"
