iso3,country_qid,form_qid,start,end,is_monarchy,country_pt,country_en,form_pt,form_en,start_year,end_year
NPL,http://www.wikidata.org/entity/Q837,http://www.wikidata.org/entity/Q512187,2008-05-28T00:00:00Z,,0,Nepal,Nepal,república federal,federal republic,2008,
NOR,http://www.wikidata.org/entity/Q20,http://www.wikidata.org/entity/Q41614,,,0,Noruega,Norway,monarquia constitucional,constitutional monarchy,,
NOR,http://www.wikidata.org/entity/Q20,http://www.wikidata.org/entity/Q188759,,,0,Noruega,Norway,democracia representativa,representative democracy,,
NZL,http://www.wikidata.org/entity/Q664,http://www.wikidata.org/entity/Q3330103,,,0,Nova Zelândia,New Zealand,monarquia parlamentarista,parliamentary monarchy,,
NZL,http://www.wikidata.org/entity/Q664,http://www.wikidata.org/entity/Q41614,,,0,Nova Zelândia,New Zealand,monarquia constitucional,constitutional monarchy,,
NZL,http://www.wikidata.org/entity/Q664,http://www.wikidata.org/entity/Q179164,,,0,Nova Zelândia,New Zealand,Estado unitário,unitary state,,
PAK,http://www.wikidata.org/entity/Q843,http://www.wikidata.org/entity/Q4198907,,,0,Paquistão,Pakistan,república parlamentarista,parliamentary republic,,
PAK,http://www.wikidata.org/entity/Q843,http://www.wikidata.org/entity/Q512187,,,0,Paquistão,Pakistan,república federal,federal republic,,
OMN,http://www.wikidata.org/entity/Q842,http://www.wikidata.org/entity/Q184558,,,0,Omã,Oman,monarquia absoluta,absolute monarchy,,
PAN,http://www.wikidata.org/entity/Q804,http://www.wikidata.org/entity/Q49892,,,0,Panamá,Panama,presidencialismo,presidential system,,
PER,http://www.wikidata.org/entity/Q419,http://www.wikidata.org/entity/Q49892,,,0,Peru,Peru,presidencialismo,presidential system,,
PHL,http://www.wikidata.org/entity/Q928,http://www.wikidata.org/entity/Q7270,,,0,Filipinas,Philippines,república,republic,,
POL,http://www.wikidata.org/entity/Q36,http://www.wikidata.org/entity/Q49890,,,0,Polónia,Poland,semipresidencialismo,semi-presidential system,,
POL,http://www.wikidata.org/entity/Q36,http://www.wikidata.org/entity/Q166747,,,0,Polónia,Poland,,parliamentary system,,
POL,http://www.wikidata.org/entity/Q36,http://www.wikidata.org/entity/Q179164,,,0,Polónia,Poland,Estado unitário,unitary state,,
PRK,http://www.wikidata.org/entity/Q423,http://www.wikidata.org/entity/Q7270,,,0,Coreia do Norte,North Korea,república,republic,,
PRK,http://www.wikidata.org/entity/Q423,http://www.wikidata.org/entity/Q5433328,,,0,Coreia do Norte,North Korea,ditadura familiar,family dictatorship,,
PRK,http://www.wikidata.org/entity/Q423,http://www.wikidata.org/entity/Q50686,,,0,Coreia do Norte,North Korea,unipartidarismo,single-party system,,
PRK,http://www.wikidata.org/entity/Q423,http://www.wikidata.org/entity/Q181800,,,0,Coreia do Norte,North Korea,Juche,Juche,,
PRK,http://www.wikidata.org/entity/Q423,http://www.wikidata.org/entity/Q117405807,,,0,Coreia do Norte,North Korea,ditadura comunista,communist dictatorship,,
PRK,http://www.wikidata.org/entity/Q423,http://www.wikidata.org/entity/Q842112,,,0,Coreia do Norte,North Korea,Estado socialista,socialist state,,
PRK,http://www.wikidata.org/entity/Q423,http://www.wikidata.org/entity/Q179164,,,0,Coreia do Norte,North Korea,Estado unitário,unitary state,,
PRT,http://www.wikidata.org/entity/Q45,http://www.wikidata.org/entity/Q41614,1820-01-01T00:00:00Z,1910-10-05T00:00:00Z,0,Portugal,Portugal,monarquia constitucional,constitutional monarchy,1820,1910
PRT,http://www.wikidata.org/entity/Q45,http://www.wikidata.org/entity/Q7270,1910-10-05T00:00:00Z,,0,Portugal,Portugal,república,republic,1910,
PSE,http://www.wikidata.org/entity/Q219060,http://www.wikidata.org/entity/Q4198907,,,0,Estado da Palestina,State of Palestine,república parlamentarista,parliamentary republic,,
QAT,http://www.wikidata.org/entity/Q846,http://www.wikidata.org/entity/Q41614,,,0,Catar,Qatar,monarquia constitucional,constitutional monarchy,,
ROU,http://www.wikidata.org/entity/Q218,http://www.wikidata.org/entity/Q41614,1859-01-01T00:00:00Z,1938-01-01T00:00:00Z,0,Roménia,Romania,monarquia constitucional,constitutional monarchy,1859,1938
ROU,http://www.wikidata.org/entity/Q218,http://www.wikidata.org/entity/Q6229,1938-01-01T00:00:00Z,1944-01-01T00:00:00Z,0,Roménia,Romania,autoritarismo,authoritarianism,1938,1944
ROU,http://www.wikidata.org/entity/Q218,http://www.wikidata.org/entity/Q41614,1944-08-23T00:00:00Z,1947-12-30T00:00:00Z,0,Roménia,Romania,monarquia constitucional,constitutional monarchy,1944,1947
ROU,http://www.wikidata.org/entity/Q218,http://www.wikidata.org/entity/Q842112,1947-01-01T00:00:00Z,1989-01-01T00:00:00Z,0,Roménia,Romania,Estado socialista,socialist state,1947,1989
ROU,http://www.wikidata.org/entity/Q218,http://www.wikidata.org/entity/Q49890,1989-01-01T00:00:00Z,,0,Roménia,Romania,semipresidencialismo,semi-presidential system,1989,
RUS,http://www.wikidata.org/entity/Q159,http://www.wikidata.org/entity/Q49892,,,0,Rússia,Russia,presidencialismo,presidential system,,
RUS,http://www.wikidata.org/entity/Q159,http://www.wikidata.org/entity/Q512187,,,0,Rússia,Russia,república federal,federal republic,,
RUS,http://www.wikidata.org/entity/Q159,http://www.wikidata.org/entity/Q4446300,,,0,Rússia,Russia,,super-presidential republic,,
RUS,http://www.wikidata.org/entity/Q159,http://www.wikidata.org/entity/Q1075404,1917-11-07T00:00:00Z,1993-12-25T00:00:00Z,0,Rússia,Russia,república soviética,soviet republic,1917,1993
RUS,http://www.wikidata.org/entity/Q159,http://www.wikidata.org/entity/Q49890,1993-12-25T00:00:00Z,,0,Rússia,Russia,semipresidencialismo,semi-presidential system,1993,
SDN,http://www.wikidata.org/entity/Q1049,http://www.wikidata.org/entity/Q512187,,,0,Sudão,Sudan,república federal,federal republic,,
SAU,http://www.wikidata.org/entity/Q851,http://www.wikidata.org/entity/Q184558,,,0,Arábia Saudita,Saudi Arabia,monarquia absoluta,absolute monarchy,,
SAU,http://www.wikidata.org/entity/Q851,http://www.wikidata.org/entity/Q44405,,,0,Arábia Saudita,Saudi Arabia,teocracia,theocracy,,
SAU,http://www.wikidata.org/entity/Q851,http://www.wikidata.org/entity/Q7269,,,0,Arábia Saudita,Saudi Arabia,monarquia,monarchy,,
SEN,http://www.wikidata.org/entity/Q1041,http://www.wikidata.org/entity/Q49892,,,0,Senegal,Senegal,presidencialismo,presidential system,,
SGP,http://www.wikidata.org/entity/Q334,http://www.wikidata.org/entity/Q4198907,,,0,Singapura,Singapore,república parlamentarista,parliamentary republic,,
SLE,http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q49892,,,0,Serra Leoa,Sierra Leone,presidencialismo,presidential system,,
SMR,http://www.wikidata.org/entity/Q238,http://www.wikidata.org/entity/Q4198907,,,0,San Marino,San Marino,república parlamentarista,parliamentary republic,,
