iso3,country_qid,form_qid,start,end,is_monarchy,country_pt,country_en,form_pt,form_en,start_year,end_year
CHE,http://www.wikidata.org/entity/Q39,http://www.wikidata.org/entity/Q512187,1848-09-12T00:00:00Z,,0,Suíça,Switzerland,república federal,federal republic,1848,
CHN,http://www.wikidata.org/entity/Q148,http://www.wikidata.org/entity/Q117405807,,,0,China,People's Republic of China,ditadura comunista,communist dictatorship,,
CHN,http://www.wikidata.org/entity/Q148,http://www.wikidata.org/entity/Q7270,,,0,China,People's Republic of China,república,republic,,
CHN,http://www.wikidata.org/entity/Q148,http://www.wikidata.org/entity/Q1520223,,,0,China,People's Republic of China,república constitucional,constitutional republic,,
CHN,http://www.wikidata.org/entity/Q148,http://www.wikidata.org/entity/Q50686,,,0,China,People's Republic of China,unipartidarismo,single-party system,,
CHN,http://www.wikidata.org/entity/Q148,http://www.wikidata.org/entity/Q193852,,,0,China,People's Republic of China,centralismo democrático,democratic centralism,,
CHN,http://www.wikidata.org/entity/Q148,http://www.wikidata.org/entity/Q179164,,,0,China,People's Republic of China,Estado unitário,unitary state,,
CHN,http://www.wikidata.org/entity/Q148,http://www.wikidata.org/entity/Q4198907,,,0,China,People's Republic of China,república parlamentarista,parliamentary republic,,
CIV,http://www.wikidata.org/entity/Q1008,http://www.wikidata.org/entity/Q7270,,,0,Costa do Marfim,Ivory Coast,república,republic,,
CMR,http://www.wikidata.org/entity/Q1009,http://www.wikidata.org/entity/Q7270,,,0,Camarões,Cameroon,república,republic,,
COD,http://www.wikidata.org/entity/Q974,http://www.wikidata.org/entity/Q7270,,,0,República Democrática do Congo,Democratic Republic of the Congo,república,republic,,
COG,http://www.wikidata.org/entity/Q971,http://www.wikidata.org/entity/Q4198907,,,0,República do Congo,Republic of the Congo,república parlamentarista,parliamentary republic,,
COL,http://www.wikidata.org/entity/Q739,http://www.wikidata.org/entity/Q7270,,,0,Colômbia,Colombia,república,republic,,
COM,http://www.wikidata.org/entity/Q970,http://www.wikidata.org/entity/Q512187,,,0,Comores,Comoros,república federal,federal republic,,
CPV,http://www.wikidata.org/entity/Q1011,http://www.wikidata.org/entity/Q4198907,,,0,Cabo Verde,Cape Verde,república parlamentarista,parliamentary republic,,
CUB,http://www.wikidata.org/entity/Q241,http://www.wikidata.org/entity/Q179164,,,0,Cuba,Cuba,Estado unitário,unitary state,,
CYP,http://www.wikidata.org/entity/Q229,http://www.wikidata.org/entity/Q49892,,,0,Chipre,Cyprus,presidencialismo,presidential system,,
CYP,http://www.wikidata.org/entity/Q229,http://www.wikidata.org/entity/Q7270,,,0,Chipre,Cyprus,república,republic,,
CZE,http://www.wikidata.org/entity/Q213,http://www.wikidata.org/entity/Q4198907,,,0,Chéquia,Czech Republic,república parlamentarista,parliamentary republic,,
DEU,http://www.wikidata.org/entity/Q183,http://www.wikidata.org/entity/Q43702,,,0,Alemanha,Germany,federação,federation,,
DEU,http://www.wikidata.org/entity/Q183,http://www.wikidata.org/entity/Q4198907,,,0,Alemanha,Germany,república parlamentarista,parliamentary republic,,
