iso3,country_qid,monarch_qid,position_qid,house_qid,start,end,country_pt,country_en,monarch_pt,monarch_en,position_pt,position_en,house_pt,house_en,start_year,end_year
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q334869,http://www.wikidata.org/entity/Q17323614,,1901-10-01T00:00:00Z,1919-02-20T00:00:00Z,Afeganistão,Afghanistan,Habibullah Khan,Habibullah Khan,,Emir of Afghanistan,,,1901,1919
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q983049,http://www.wikidata.org/entity/Q17323614,,1919-02-21T00:00:00Z,1919-02-28T00:00:00Z,Afeganistão,Afghanistan,Nasrullah Khan,Nasrullah Khan,,Emir of Afghanistan,,,1919,1919
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q64173596,http://www.wikidata.org/entity/Q17323614,,1924-07-01T00:00:00Z,1925-01-30T00:00:00Z,Afeganistão,Afghanistan,,Abd-al Karim,,Emir of Afghanistan,,,1924,1925
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q153620,http://www.wikidata.org/entity/Q17323565,http://www.wikidata.org/entity/Q807249,1926-06-09T00:00:00Z,1929-01-14T00:00:00Z,Afeganistão,Afghanistan,Amanullah Khan,Amanullah Khan,,King of Afghanistan,Dinastia Barakzai,Barakzai dynasty,1926,1929
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q473247,http://www.wikidata.org/entity/Q17323565,,1928-12-14T00:00:00Z,1929-10-13T00:00:00Z,Afeganistão,Afghanistan,,Habibullāh Kalakāni,,King of Afghanistan,,,1928,1929
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q473247,,,1929-01-17T00:00:00Z,1929-10-16T00:00:00Z,Afeganistão,Afghanistan,,Habibullāh Kalakāni,,,,,1929,1929
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q471037,,http://www.wikidata.org/entity/Q807249,1929-01-14T00:00:00Z,1929-01-17T00:00:00Z,Afeganistão,Afghanistan,Inayatullah Khan,Inayatullah Khan,,,Dinastia Barakzai,Barakzai dynasty,1929,1929
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q355610,http://www.wikidata.org/entity/Q17323565,http://www.wikidata.org/entity/Q807249,1929-10-16T00:00:00Z,1933-11-08T00:00:00Z,Afeganistão,Afghanistan,Mohammed Nadir Shah,Mohammed Nadir Shah,,King of Afghanistan,Dinastia Barakzai,Barakzai dynasty,1929,1933
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q355610,http://www.wikidata.org/entity/Q17323565,http://www.wikidata.org/entity/Q807249,1929-10-16T00:00:00Z,1929-10-16T00:00:00Z,Afeganistão,Afghanistan,Mohammed Nadir Shah,Mohammed Nadir Shah,,King of Afghanistan,Dinastia Barakzai,Barakzai dynasty,1929,1929
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q152265,http://www.wikidata.org/entity/Q117157119,http://www.wikidata.org/entity/Q807249,1933-11-08T00:00:00Z,1973-07-17T00:00:00Z,Afeganistão,Afghanistan,Mohammed Zahir Xá,Mohammed Zahir Shah,,Monarch of Afghanistan,Dinastia Barakzai,Barakzai dynasty,1933,1973
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q310247,,,1973-07-17T00:00:00Z,1978-04-27T00:00:00Z,Afeganistão,Afghanistan,Mohammed Daoud Khan,Mohammed Daoud Khan,,,,,1973,1978
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q207728,,,1987-11-30T00:00:00Z,1992-04-28T00:00:00Z,Afeganistão,Afghanistan,Mohammad Najibullah,Mohammad Najibullah,,,,,1987,1992
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q188667,,,2001-11-16T00:00:00Z,2001-12-22T00:00:00Z,Afeganistão,Afghanistan,Burhanuddin Rabbani,Burhanuddin Rabbani,,,,,2001,2001
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q172388,,,2014-09-29T00:00:00Z,2021-08-15T00:00:00Z,Afeganistão,Afghanistan,Ashraf Ghani,Ashraf Ghani,,,,,2014,2021
AFG,http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q24237654,,,2021-08-15T00:00:00Z,,Afeganistão,Afghanistan,Hibatullah Akhundzada,Hibatullah Akhundzada,,,,,2021,
AGO,http://www.wikidata.org/entity/Q916,http://www.wikidata.org/entity/Q28650390,,,2017-08-23T00:00:00Z,,Angola,Angola,João Lourenço,João Lourenço,,,,,2017,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q57594,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q15955089,1914-01-01T00:00:00Z,1925-01-01T00:00:00Z,Albânia,Albania,Guilherme de Wied,"William, Prince of Albania",,King of Albania,,House of Wied-Neuwied,1914,1925
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q60699,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q2427192,1928-09-01T00:00:00Z,1939-04-07T00:00:00Z,Albânia,Albania,Zog I da Albânia,Zog I of Albania,,King of Albania,Casa de Zogu,House of Zogu,1928,1939
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q150642,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q200229,1939-04-16T00:00:00Z,1943-09-08T00:00:00Z,Albânia,Albania,Vítor Emanuel III da Itália,Victor Emmanuel III of Italy,,King of Albania,Casa de Saboia,House of Savoy,1939,1943
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q727132,,,2017-07-24T00:00:00Z,,Albânia,Albania,Ilir Meta,Ilir Meta,,,,,2017,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q107422711,,,2022-07-24T00:00:00Z,,Albânia,Albania,Bajram Begaj,Bajram Begaj,,,,,2022,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q63143,http://www.wikidata.org/entity/Q6412197,,,,Albânia,Albania,Otto I da Albânia,Otto Witte,,King of Albania,,,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q236933,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q939200,,,Albânia,Albania,Joana II de Nápoles,Joanna II of Naples,,King of Albania,Casa capetiana de Anjou,Capetian House of Anjou,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q287857,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q872801,,,Albânia,Albania,Sofia de Schönburg-Waldenburg,Princess Sophie of Schönburg-Waldenburg,,King of Albania,,House of Schönburg,,
