# location=Lisboa lat=38.72 lon=-9.14 baseline=1991-2020
time,tas (°C),ΔT (°C),model,scenario,year
2044-07-01,17.938772,0.8535137,EC-Earth3,ssp126,2044
2045-07-01,17.627607,0.54234886,EC-Earth3,ssp126,2045
2046-07-01,17.716402,0.63114357,EC-Earth3,ssp126,2046
2047-07-01,17.881958,0.7966995,EC-Earth3,ssp126,2047
2048-07-01,18.31588,1.2306213,EC-Earth3,ssp126,2048
2049-07-01,17.135187,0.049928665,EC-Earth3,ssp126,2049
2050-07-01,17.420351,0.33509254,EC-Earth3,ssp126,2050
2051-07-01,16.94169,-0.14356804,EC-Earth3,ssp126,2051
2052-07-01,16.653322,-0.43193626,EC-Earth3,ssp126,2052
2053-07-01,17.35113,0.26587105,EC-Earth3,ssp126,2053
2054-07-01,17.639938,0.5546799,EC-Earth3,ssp126,2054
2055-07-01,16.569181,-0.51607704,EC-Earth3,ssp126,2055
2056-07-01,16.363426,-0.7218323,EC-Earth3,ssp126,2056
2057-07-01,17.422709,0.33745003,EC-Earth3,ssp126,2057
2058-07-01,16.56961,-0.5156479,EC-Earth3,ssp126,2058
2059-07-01,17.348932,0.26367378,EC-Earth3,ssp126,2059
2060-07-01,17.396643,0.3113842,EC-Earth3,ssp126,2060
2061-07-01,16.881674,-0.20358467,EC-Earth3,ssp126,2061
2062-07-01,17.770432,0.68517303,EC-Earth3,ssp126,2062
2063-07-01,16.403734,-0.6815243,EC-Earth3,ssp126,2063
2064-07-01,17.246498,0.16123962,EC-Earth3,ssp126,2064
2065-07-01,17.300255,0.21499634,EC-Earth3,ssp126,2065
2066-07-01,17.433584,0.34832573,EC-Earth3,ssp126,2066
2067-07-01,17.731977,0.646719,EC-Earth3,ssp126,2067
2068-07-01,18.331526,1.2462673,EC-Earth3,ssp126,2068
2069-07-01,16.949358,-0.1359005,EC-Earth3,ssp126,2069
2070-07-01,17.42074,0.33548164,EC-Earth3,ssp126,2070
2071-07-01,18.14679,1.0615311,EC-Earth3,ssp126,2071
2072-07-01,18.299227,1.2139683,EC-Earth3,ssp126,2072
2073-07-01,17.466919,0.38166046,EC-Earth3,ssp126,2073
2074-07-01,17.086,0.0007419586,EC-Earth3,ssp126,2074
2075-07-01,17.415956,0.330698,EC-Earth3,ssp126,2075
2076-07-01,17.34909,0.2638321,EC-Earth3,ssp126,2076
2077-07-01,19.124994,2.0397358,EC-Earth3,ssp126,2077
2078-07-01,17.585077,0.4998188,EC-Earth3,ssp126,2078
2079-07-01,17.297632,0.21237373,EC-Earth3,ssp126,2079
2080-07-01,17.04783,-0.037427902,EC-Earth3,ssp126,2080
2081-07-01,17.448402,0.36314392,EC-Earth3,ssp126,2081
2082-07-01,16.79132,-0.29393768,EC-Earth3,ssp126,2082
2083-07-01,17.54339,0.4581318,EC-Earth3,ssp126,2083
2084-07-01,16.867357,-0.21790123,EC-Earth3,ssp126,2084
2085-07-01,17.309385,0.22412682,EC-Earth3,ssp126,2085
2086-07-01,17.236433,0.15117455,EC-Earth3,ssp126,2086
2087-07-01,17.865667,0.78040886,EC-Earth3,ssp126,2087
2088-07-01,17.787775,0.70251656,EC-Earth3,ssp126,2088
2089-07-01,16.573946,-0.5113125,EC-Earth3,ssp126,2089
2090-07-01,16.550285,-0.53497314,EC-Earth3,ssp126,2090
2091-07-01,17.11621,0.030952454,EC-Earth3,ssp126,2091
2092-07-01,16.910988,-0.17427063,EC-Earth3,ssp126,2092
2093-07-01,16.812754,-0.2725048,EC-Earth3,ssp126,2093
2094-07-01,16.912771,-0.17248726,EC-Earth3,ssp126,2094
2095-07-01,16.725922,-0.35933685,EC-Earth3,ssp126,2095
2096-07-01,16.52958,-0.5556793,EC-Earth3,ssp126,2096
2097-07-01,17.069502,-0.015756607,EC-Earth3,ssp126,2097
2098-07-01,16.731329,-0.35392952,EC-Earth3,ssp126,2098
2099-07-01,17.411085,0.32582664,EC-Earth3,ssp126,2099
2100-07-01,16.919771,-0.16548729,EC-Earth3,ssp126,2100
2015-07-01,16.347815,-0.11047363,EC-Earth3,ssp245,2015
2016-07-01,16.147493,-0.31079483,EC-Earth3,ssp245,2016
2017-07-01,16.236107,-0.22218132,EC-Earth3,ssp245,2017
2018-07-01,16.391665,-0.06662369,EC-Earth3,ssp245,2018
2019-07-01,16.908464,0.45017624,EC-Earth3,ssp245,2019
2020-07-01,16.718191,0.25990295,EC-Earth3,ssp245,2020
2021-07-01,16.478933,0.020645142,EC-Earth3,ssp245,2021
2022-07-01,16.719244,0.2609558,EC-Earth3,ssp245,2022
2023-07-01,15.927055,-0.53123283,EC-Earth3,ssp245,2023
2024-07-01,17.076445,0.61815643,EC-Earth3,ssp245,2024
2025-07-01,17.048449,0.59016037,EC-Earth3,ssp245,2025
2026-07-01,16.547104,0.08881569,EC-Earth3,ssp245,2026
2027-07-01,17.421165,0.9628773,EC-Earth3,ssp245,2027
2028-07-01,17.395248,0.9369602,EC-Earth3,ssp245,2028
2029-07-01,16.559242,0.100954056,EC-Earth3,ssp245,2029
2030-07-01,16.506323,0.048034668,EC-Earth3,ssp245,2030
2031-07-01,17.387148,0.9288597,EC-Earth3,ssp245,2031
2032-07-01,17.373125,0.9148369,EC-Earth3,ssp245,2032
2033-07-01,16.740639,0.28235054,EC-Earth3,ssp245,2033
2034-07-01,16.755087,0.2967987,EC-Earth3,ssp245,2034
2035-07-01,16.67698,0.21869087,EC-Earth3,ssp245,2035
2036-07-01,17.293793,0.83550453,EC-Earth3,ssp245,2036
2037-07-01,17.263838,0.8055496,EC-Earth3,ssp245,2037
2038-07-01,16.534948,0.076660156,EC-Earth3,ssp245,2038
2039-07-01,17.006178,0.5478897,EC-Earth3,ssp245,2039
2040-07-01,16.841562,0.38327408,EC-Earth3,ssp245,2040
2041-07-01,15.780879,-0.6774092,EC-Earth3,ssp245,2041
2042-07-01,16.982882,0.52459335,EC-Earth3,ssp245,2042
2043-07-01,17.126776,0.66848755,EC-Earth3,ssp245,2043
2044-07-01,15.686523,-0.77176476,EC-Earth3,ssp245,2044
2045-07-01,16.452736,-0.005552292,EC-Earth3,ssp245,2045
2046-07-01,16.989754,0.53146553,EC-Earth3,ssp245,2046
2047-07-01,15.984418,-0.47387028,EC-Earth3,ssp245,2047
