# location=Lisboa lat=38.72 lon=-9.14 baseline=1991-2020
scenario,time,mean,min,max
historical,1950-07-01,-0.7093572616577148,-1.393186887105306,-0.053359667460123696
historical,1951-07-01,-0.7369711995124817,-1.2791552543640137,-0.1647496223449707
historical,1952-07-01,-0.7151809215545655,-1.2625673294067383,0.017405891418457033
historical,1953-07-01,-0.6020167350769043,-1.258901596069336,0.2653038024902344
historical,1954-07-01,-0.6430162906646728,-1.4594244003295898,0.3288158416748047
historical,1955-07-01,-0.5855491161346436,-1.4279266357421876,0.3034709930419922
historical,1956-07-01,-0.4953988075256348,-1.3778854370117188,0.30364646911621096
historical,1957-07-01,-0.4597808837890625,-1.258624267578125,0.1902599334716797
historical,1958-07-01,-0.5421199798583984,-1.2203094482421875,0.16027145385742186
historical,1959-07-01,-0.4961740970611572,-0.9352834701538086,0.04885234832763672
historical,1960-07-01,-0.48675556182861324,-1.0279836654663086,0.21020736694335937
historical,1961-07-01,-0.5702820301055909,-1.3782363891601563,0.24049091339111328
historical,1962-07-01,-0.5916975021362305,-1.5818668365478517,0.3635824203491211
historical,1963-07-01,-0.6352050304412842,-1.6654203414916993,0.16816291809082032
historical,1964-07-01,-0.6097759246826172,-1.8816257476806642,0.37209835052490237
historical,1965-07-01,-0.5693520545959473,-1.8925277709960937,0.37547893524169923
historical,1966-07-01,-0.48934102058410645,-1.4793420791625977,0.39133396148681643
historical,1967-07-01,-0.5070350646972657,-1.5175664901733399,0.25967159271240237
historical,1968-07-01,-0.4438282012939453,-1.5029567718505858,0.34260711669921873
historical,1969-07-01,-0.4814491271972656,-1.3560125350952148,0.27171859741210935
historical,1970-07-01,-0.5319816112518311,-1.2937738418579101,0.11160335540771485
historical,1971-07-01,-0.5470823764801026,-1.6665475845336915,0.27569732666015623
historical,1972-07-01,-0.46554083824157716,-1.6941156387329102,0.3918022155761719
historical,1973-07-01,-0.4441542625427246,-1.5053226470947265,0.21439762115478517
historical,1974-07-01,-0.4204269886016846,-1.4859277725219726,0.1997476577758789
historical,1975-07-01,-0.35099172592163086,-1.3883560180664063,0.3128978729248047
historical,1976-07-01,-0.2994992733001709,-1.1045211791992187,0.2780651092529297
historical,1977-07-01,-0.39221978187561035,-1.0133310317993165,0.1729961395263672
historical,1978-07-01,-0.3766987800598145,-1.1918874740600587,0.42821521759033204
historical,1979-07-01,-0.4143444061279297,-1.2325826644897462,0.31909923553466796
historical,1980-07-01,-0.3941316604614258,-1.1408336639404297,0.36172237396240237
historical,1981-07-01,-0.46822209358215333,-1.4038616180419923,0.3294790267944336
historical,1982-07-01,-0.38701510429382324,-1.2911855697631835,0.3095874786376953
historical,1983-07-01,-0.3474908351898193,-1.2020685195922851,0.19295845031738282
historical,1984-07-01,-0.3271908760070801,-1.229703712463379,0.057235336303710936
historical,1985-07-01,-0.31763219833374023,-1.4090723037719726,0.08284473419189453
historical,1986-07-01,-0.25441632270812986,-1.375323486328125,0.18533935546875
historical,1987-07-01,-0.22847061157226561,-1.5624944686889648,0.4827219009399414
historical,1988-07-01,-0.18337268829345701,-1.5625001907348632,0.5013589859008789
historical,1989-07-01,-0.20864195823669435,-1.5626726150512695,0.44317474365234377
historical,1990-07-01,-0.29546861648559575,-1.3522497177124024,0.33374977111816406
historical,1991-07-01,-0.35036277770996094,-0.9452495574951172,0.08167152404785157
historical,1992-07-01,-0.3655685901641846,-0.7205074310302735,0.04922275543212891
historical,1993-07-01,-0.4842238426208496,-0.9263267517089844,0.019738197326660156
historical,1994-07-01,-0.4327275276184082,-0.7445438385009766,0.0643096923828125
historical,1995-07-01,-0.36724600791931156,-0.6864627838134766,0.2656993865966797
historical,1996-07-01,-0.30059843063354497,-0.7054574966430665,0.3490427017211914
historical,1997-07-01,-0.26419672966003416,-0.5769723892211914,0.1494993209838867
historical,1998-07-01,-0.19471912384033202,-0.3595859527587891,-0.008292961120605468
historical,1999-07-01,-0.09805736541748047,-0.22446727752685547,0.008464813232421875
historical,2000-07-01,0.05082106590270996,-0.09482460021972657,0.29032135009765625
historical,2001-07-01,0.1934904098510742,0.04176959991455078,0.3405956268310547
historical,2002-07-01,0.12814712524414062,0.009563446044921875,0.2895782470703125
historical,2003-07-01,0.19240016937255858,-0.02819480895996094,0.48204288482666013
historical,2004-07-01,0.21954212188720704,0.10908679962158203,0.4362482070922852
historical,2005-07-01,0.1176919937133789,-0.17560157775878907,0.2857692718505859
historical,2006-07-01,0.012168931961059566,-0.29273624420166017,0.1430431365966797
historical,2007-07-01,0.1896296501159668,-0.23093051910400392,0.3679679870605469
historical,2008-07-01,0.22729940414428712,-0.24272899627685546,0.5482292175292969
historical,2009-07-01,0.2653611183166504,-0.009060096740722657,0.5196323394775391
historical,2010-07-01,0.34542322158813477,-0.005949783325195313,0.6365798950195313
historical,2011-07-01,0.411147403717041,-0.04955368041992188,0.7984165191650391
historical,2012-07-01,0.3206653594970703,-0.11233329772949219,0.846683120727539
historical,2013-07-01,0.3240574598312378,-0.10358619689941406,0.8019108772277832
historical,2014-07-01,0.26591436068216956,-0.07015005747477214,0.8346850077311198
ssp126,2015-07-01,0.0027724107106526646,-0.2247289021809896,0.1764520009358724
ssp126,2016-07-01,-0.04065251350402832,-0.15354490280151367,0.0745081901550293
ssp126,2017-07-01,-0.029949426651000973,-0.11070766448974609,0.05702667236328125
ssp126,2018-07-01,-0.06929144859313965,-0.19248485565185547,0.04529647827148438
ssp126,2019-07-01,-0.03515558242797852,-0.18990249633789064,0.17786750793457032
ssp126,2020-07-01,-0.07114782333374023,-0.10862045288085938,0.012585067749023437
ssp126,2021-07-01,-0.07989411354064942,-0.18435630798339844,0.0768594741821289
ssp126,2022-07-01,-0.1004530906677246,-0.4537837982177734,0.4068927764892578
ssp126,2023-07-01,-0.0902665138244629,-0.30893630981445314,0.3837635040283203
ssp126,2024-07-01,-0.04842038154602051,-0.2529781341552734,0.4086748123168945
ssp126,2025-07-01,-0.05438661575317383,-0.3460674285888672,0.48120956420898436
ssp126,2026-07-01,-0.06892147064208984,-0.2953922271728516,0.39709014892578126
ssp126,2027-07-01,0.009237003326416027,-0.2657924652099609,0.40400543212890627
ssp126,2028-07-01,-0.041222190856933585,-0.3265705108642578,0.3266002655029297
ssp126,2029-07-01,-0.017150497436523436,-0.3922290802001953,0.2720603942871094
ssp126,2030-07-01,0.05037832260131837,-0.35262184143066405,0.5286067962646485
ssp126,2031-07-01,0.16292705535888674,-0.192425537109375,0.5601581573486328
ssp126,2032-07-01,0.1291349411010742,0.014680099487304688,0.2270732879638672
ssp126,2033-07-01,0.14249010086059571,0.069537353515625,0.24418258666992188
ssp126,2034-07-01,0.1842662811279297,-0.2812236785888672,0.4652530670166016
ssp126,2035-07-01,0.15699005126953125,-0.4906513214111328,0.8331298828125
ssp126,2036-07-01,0.18253173828125002,-0.3250225067138672,0.8882625579833985
ssp126,2037-07-01,0.18784847259521484,-0.12007293701171876,0.7324062347412109
ssp126,2038-07-01,0.20041294097900392,-0.1707324981689453,0.6435459136962891
ssp126,2039-07-01,0.2994062423706055,-0.09111366271972657,0.46013755798339845
ssp126,2040-07-01,0.4004755973815918,0.08969841003417969,0.7799560546875
ssp126,2041-07-01,0.3585163116455078,0.20643157958984376,0.62161865234375
ssp126,2042-07-01,0.4415440559387207,0.19444618225097657,0.6519313812255859
ssp126,2043-07-01,0.5223476409912109,0.2273395538330078,0.7510433197021484
ssp126,2044-07-01,0.5383039474487304,0.2656421661376953,0.7180191040039062
ssp126,2045-07-01,0.5193232536315918,0.3360450744628906,0.6392440795898438
ssp126,2046-07-01,0.638794994354248,0.5099964141845703,0.8108654022216797
ssp126,2047-07-01,0.6248687744140625,0.3408668518066406,0.7816329956054687
ssp126,2048-07-01,0.6292592048645019,0.2791927337646484,0.840155029296875
ssp126,2049-07-01,0.5427861690521241,0.12623023986816406,1.0413711547851563
ssp126,2050-07-01,0.48747344017028804,0.07667388916015624,1.1019424438476562
ssp126,2051-07-01,0.454794454574585,0.015077590942382812,1.1662078857421876
ssp126,2052-07-01,0.5901830196380615,0.11602783203125,1.2991756439208983
ssp126,2053-07-01,0.6595996379852295,-0.05420608520507812,1.4834007263183593
ssp126,2054-07-01,0.670380687713623,-0.1698589324951172,1.3433544158935546
ssp126,2055-07-01,0.7285593032836915,-0.015981674194335938,1.4098506927490235
ssp126,2056-07-01,0.7008395195007324,-0.17228546142578124,1.3203231811523437
ssp126,2057-07-01,0.49923653602600093,-0.23048667907714843,1.2053298950195312
ssp126,2058-07-01,0.5199541568756103,-0.06499443054199219,1.2312061309814453
ssp126,2059-07-01,0.5455473423004151,0.03865509033203125,1.1056610107421876
ssp126,2060-07-01,0.6082946300506592,0.10819969177246094,1.226797103881836
ssp126,2061-07-01,0.6258386135101319,0.0750244140625,1.296086883544922
ssp126,2062-07-01,0.7434807777404785,0.05453758239746094,1.474020767211914
ssp126,2063-07-01,0.7004838943481445,0.035260009765625,1.4841461181640625
ssp126,2064-07-01,0.7807018280029296,0.14564208984375,1.7919994354248048
ssp126,2065-07-01,0.8699926376342774,0.13795127868652343,1.9181343078613282
ssp126,2066-07-01,1.0316936492919921,0.5235095977783203,2.11995849609375
ssp126,2067-07-01,1.0673800468444825,0.4640815734863281,2.1246795654296875
ssp126,2068-07-01,1.105024242401123,0.4881786346435547,2.1335205078125
ssp126,2069-07-01,1.1244563102722167,0.6308197021484375,1.9172332763671875
ssp126,2070-07-01,1.0855326652526855,0.7442695617675781,1.6911811828613281
ssp126,2071-07-01,0.9428010940551758,0.5713481903076172,1.5381172180175782
ssp126,2072-07-01,0.8361364841461182,0.49195327758789065,1.4558998107910157
ssp126,2073-07-01,0.8304986953735352,0.4778705596923828,1.4653354644775392
ssp126,2074-07-01,0.7452436447143554,0.16263351440429688,1.6884071350097656
ssp126,2075-07-01,0.780292558670044,-0.24736385345458983,1.9726982116699219
ssp126,2076-07-01,0.9022809505462646,-0.20349597930908203,2.1932743072509764
ssp126,2077-07-01,0.9779296875,-0.1439067840576172,2.3178470611572264
ssp126,2078-07-01,0.9806267738342285,-0.06703109741210937,2.3076358795166017
ssp126,2079-07-01,1.0343459129333497,0.09793014526367187,2.275888442993164
ssp126,2080-07-01,0.9254868984222412,0.14879417419433594,2.13446044921875
ssp126,2081-07-01,0.7966626167297363,0.01071624755859375,1.982517623901367
ssp126,2082-07-01,0.8016500473022461,0.05440177917480469,1.9736862182617188
ssp126,2083-07-01,0.8388046741485595,0.10671272277832031,2.0210670471191405
ssp126,2084-07-01,0.8552187442779541,0.06431884765625,2.0663002014160154
ssp126,2085-07-01,0.9725778102874756,0.2791881561279297,2.162392807006836
ssp126,2086-07-01,1.054687786102295,0.3280651092529297,2.2425006866455077
ssp126,2087-07-01,1.0685304641723632,0.2693828582763672,2.2423561096191404
ssp126,2088-07-01,1.0102492332458497,0.1175628662109375,2.285409927368164
ssp126,2089-07-01,0.9932230949401855,0.09351844787597656,2.3813636779785154
ssp126,2090-07-01,0.8712445735931397,-0.09741744995117188,2.358571243286133
ssp126,2091-07-01,0.8042591571807861,-0.2924217224121094,2.2792964935302735
ssp126,2092-07-01,0.8464620113372803,-0.22465667724609376,2.2903980255126952
ssp126,2093-07-01,0.8546102046966553,-0.1895294189453125,2.0609745025634765
ssp126,2094-07-01,0.7781816005706788,-0.30685577392578123,1.9559192657470703
ssp126,2095-07-01,0.7822097301483154,-0.27515296936035155,2.0873435974121093
ssp126,2096-07-01,0.8229525089263916,-0.2914379119873047,2.148899459838867
ssp126,2097-07-01,0.7610751628875732,-0.19177513122558593,2.1028045654296874
ssp126,2098-07-01,0.7002141952514649,-0.15300521850585938,2.2027679443359376
ssp126,2099-07-01,0.7424591779708862,-0.052336692810058594,2.208347797393799
ssp126,2100-07-01,0.746875524520874,-0.06453005472819011,1.9878120422363281
ssp245,2015-07-01,-0.2936673959096273,-0.6469567616780599,0.03284645080566406
ssp245,2016-07-01,-0.2029443383216858,-0.31357598304748535,-0.047768592834472656
ssp245,2017-07-01,-0.10441145896911622,-0.21067581176757813,0.030156707763671874
ssp245,2018-07-01,0.0751800537109375,0.004034423828125,0.17357521057128905
ssp245,2019-07-01,0.05617074966430664,-0.257073974609375,0.20076904296875
ssp245,2020-07-01,0.041094970703125,-0.3918918609619141,0.20045814514160157
ssp245,2021-07-01,-0.09331269264221191,-0.3966033935546875,0.13854122161865234
ssp245,2022-07-01,-0.09360709190368652,-0.3757961273193359,0.21065807342529297
ssp245,2023-07-01,-0.13884644508361815,-0.5813991546630859,0.19173698425292968
ssp245,2024-07-01,-0.06882777214050292,-0.5223331451416016,0.20537109375
ssp245,2025-07-01,0.04793047904968262,-0.6580833435058594,0.34575538635253905
ssp245,2026-07-01,0.2578421592712402,-0.3254863739013672,0.6393939971923828
ssp245,2027-07-01,0.21019067764282226,-0.4315330505371094,0.5359535217285156
ssp245,2028-07-01,0.13169684410095214,-0.4983829498291016,0.42752838134765625
ssp245,2029-07-01,0.18710637092590332,-0.35820159912109373,0.5955371856689453
ssp245,2030-07-01,0.19818377494812012,-0.07291946411132813,0.5859291076660156
