# location=Lisboa lat=38.72 lon=-9.14 baseline=1991-2020
decada,historical,ssp126,ssp245,ssp370,ssp585
1950,-0.5985565292835235,,,,
1960,-0.5384721517562866,,,,
1970,-0.42429400444030757,,,,
1980,-0.3116584348678589,,,,
1990,-0.3153169012069702,,,,
2000,0.15965519905090333,,,,
2010,0.3334415610631307,-0.034455312093098954,-0.09393447796503704,-0.03929959615071614,-0.006412306891547311
2020,,-0.056262569427490236,0.04812674999237061,-0.18944923400878905,0.0511224365234375
2030,,0.16963861465454103,0.23105388641357422,0.322476224899292,0.2685129229227702
2040,,0.5216219949722289,0.4524183511734009,0.6728944540023803,0.7014752324422201
2050,,0.5856568098068238,0.8050491046905517,1.1499211883544922,1.0680307324727376
2060,,0.8657346630096436,1.089570369720459,1.4065867614746093,1.4939589881896973
2070,,0.9115688467025758,1.1746390342712403,1.7526782512664796,2.0356467564900718
2080,,0.9317091369628907,1.5388933563232423,2.046319980621338,2.604932123819987
2090,,0.7963668322563171,1.5831325125694276,2.592506968975067,3.275307556788127
2100,,0.746875524520874,1.5629741350809734,2.9072057406107583,3.4002490573459205
