year,origin_iso3,dest_iso3,value
2000,AFG,ALB,5
2000,AFG,ARE,10
2000,AFG,AUS,1416
2000,AFG,AUT,4205
2000,AFG,AZE,902
2000,AFG,BEL,861
2000,AFG,BGR,675
2000,AFG,BLR,229
2000,AFG,CAN,488
2000,AFG,CHE,433
2000,AFG,CUB,19
2000,AFG,CYP,5
2000,AFG,CZE,1210
2000,AFG,DEU,11136
2000,AFG,DNK,1340
2000,AFG,EGY,93
2000,AFG,ESP,43
2000,AFG,ETH,5
2000,AFG,FIN,31
2000,AFG,FRA,244
2000,AFG,GBR,5555
2000,AFG,GRC,446
2000,AFG,HKG,5
2000,AFG,HUN,2185
2000,AFG,IDN,196
2000,AFG,IND,353
2000,AFG,IRL,7
2000,AFG,IRN,245854
2000,AFG,ISL,5
2000,AFG,ITA,524
2000,AFG,JOR,7
2000,AFG,JPN,21
2000,AFG,KAZ,52
2000,AFG,KGZ,288
2000,AFG,KHM,6
2000,AFG,KWT,137
2000,AFG,LBN,9
2000,AFG,LTU,20
2000,AFG,LUX,14
2000,AFG,MDA,14
2000,AFG,MEX,5
2000,AFG,MYS,123
2000,AFG,NLD,5055
2000,AFG,NOR,326
2000,AFG,POL,299
2000,AFG,PRT,5
2000,AFG,ROU,282
2000,AFG,RUS,1088
2000,AFG,SRB,7
2000,AFG,SVK,624
2000,AFG,SVN,247
2000,AFG,SWE,374
2000,AFG,SYR,94
2000,AFG,THA,25
2000,AFG,TJK,165
2000,AFG,TKM,169
2000,AFG,TUR,81
2000,AFG,UKR,662
2000,AFG,USA,443
2000,AFG,UZB,2156
2000,AFG,ZWE,5
2000,AGO,AUS,10
2000,AGO,AUT,82
2000,AGO,BEL,198
2000,AGO,BRA,239
2000,AGO,BWA,583
2000,AGO,CAN,589
2000,AGO,CHE,378
2000,AGO,COD,104
2000,AGO,CZE,20
2000,AGO,DEU,457
2000,AGO,DNK,5
2000,AGO,ESP,60
2000,AGO,FRA,784
2000,AGO,GAB,79
2000,AGO,GBR,800
2000,AGO,HUN,5
2000,AGO,IRL,191
2000,AGO,ITA,32
2000,AGO,MEX,5
2000,AGO,MOZ,19
2000,AGO,NLD,2193
2000,AGO,NOR,5
2000,AGO,PRT,13
2000,AGO,RUS,6
2000,AGO,SEN,5
2000,AGO,UKR,19
2000,AGO,USA,118
2000,AGO,ZAF,111
2000,AGO,ZMB,13
2000,AGO,ZWE,28
2000,ALB,ARG,10
2000,ALB,AUS,83
2000,ALB,AUT,91
2000,ALB,BEL,2674
2000,ALB,CAN,665
2000,ALB,CHE,339
2000,ALB,DEU,509
2000,ALB,DNK,56
2000,ALB,ESP,17
2000,ALB,FIN,30
2000,ALB,FRA,562
2000,ALB,GBR,1490
2000,ALB,IRL,99
2000,ALB,ISL,5
2000,ALB,ITA,169
2000,ALB,LUX,79
2000,ALB,NLD,216
2000,ALB,NOR,88
2000,ALB,PRT,10
2000,ALB,SWE,83
2000,ALB,USA,2481
2000,ARE,CAN,8
2000,ARG,AUS,10
2000,ARG,CAN,1445
2000,ARG,USA,168
2000,ARM,ARG,54
2000,ARM,AUS,19
2000,ARM,AUT,165
2000,ARM,BEL,1331
2000,ARM,BGR,418
2000,ARM,BLR,7
2000,ARM,CAN,48
2000,ARM,CHE,368
2000,ARM,CZE,322
2000,ARM,DEU,1316
2000,ARM,DNK,297
2000,ARM,ESP,534
2000,ARM,FIN,9
2000,ARM,FRA,623
2000,ARM,HRV,5
2000,ARM,HUN,123
2000,ARM,IRL,38
2000,ARM,ISR,5
2000,ARM,ITA,13
2000,ARM,LUX,5
2000,ARM,MEX,8
2000,ARM,NLD,812
2000,ARM,NOR,65
2000,ARM,POL,823
2000,ARM,PRT,9
2000,ARM,SVK,15
2000,ARM,SVN,40
2000,ARM,SWE,214
2000,ARM,UKR,236
2000,ARM,USA,2800
2000,ATG,CAN,5
2000,AUS,CAN,5
2000,AUS,USA,5
2000,AUT,CAN,5
2000,AUT,USA,5
2000,AZE,AUT,24
2000,AZE,BEL,440
2000,AZE,BLR,25
2000,AZE,CAN,178
2000,AZE,CHE,78
2000,AZE,CZE,14
2000,AZE,DEU,1595
2000,AZE,DNK,146
2000,AZE,ESP,61
2000,AZE,FIN,6
2000,AZE,FRA,294
2000,AZE,GRC,5
2000,AZE,IRL,14
2000,AZE,ITA,10
2000,AZE,NLD,1163
2000,AZE,NOR,35
2000,AZE,POL,140
2000,AZE,RUS,44
2000,AZE,SVN,5
2000,AZE,SWE,60
2000,AZE,TKM,67
2000,AZE,UKR,101
2000,AZE,USA,525
2000,AZE,UZB,16
2000,BDI,AUS,6
2000,BDI,AUT,8
2000,BDI,BEL,305
2000,BDI,BEN,7
2000,BDI,BRA,5
2000,BDI,BWA,25
2000,BDI,CAN,171
2000,BDI,CHE,33
2000,BDI,CHN,5
2000,BDI,CIV,5
2000,BDI,CMR,32
2000,BDI,COD,8
2000,BDI,COG,7
2000,BDI,DEU,36
2000,BDI,DNK,35
2000,BDI,EGY,18
2000,BDI,FRA,38
2000,BDI,GAB,12
2000,BDI,GRC,5
2000,BDI,IRL,12
2000,BDI,ITA,6
2000,BDI,KEN,159
2000,BDI,MOZ,157
2000,BDI,MWI,153
2000,BDI,NAM,144
2000,BDI,NLD,335
2000,BDI,NOR,10
2000,BDI,RWA,180
2000,BDI,SWE,11
2000,BDI,UGA,62
2000,BDI,USA,137
2000,BDI,ZAF,296
2000,BDI,ZMB,71
2000,BDI,ZWE,253
2000,BEL,AUT,5
2000,BEL,CAN,7
2000,BEL,USA,15
2000,BEN,AUT,6
2000,BEN,BEL,13
2000,BEN,CAN,6
2000,BEN,DEU,57
2000,BEN,FRA,18
2000,BEN,ITA,6
2000,BEN,NLD,29
2000,BEN,USA,5
2000,BEN,ZAF,5
2000,BFA,AUT,5
2000,BFA,BEL,26
2000,BFA,BEN,5
2000,BFA,CAN,13
2000,BFA,CHE,37
2000,BFA,DEU,641
2000,BFA,FRA,24
2000,BFA,GIN,5
2000,BFA,IRL,5
2000,BFA,MDA,5
2000,BFA,NLD,27
2000,BFA,UKR,5
2000,BFA,USA,15
2000,BGD,ARG,13
2000,BGD,AUS,412
2000,BGD,AUT,305
2000,BGD,BEL,295
2000,BGD,BGR,55
2000,BGD,BIH,20
2000,BGD,CAN,378
2000,BGD,CHE,217
2000,BGD,CZE,38
2000,BGD,DEU,326
2000,BGD,DNK,24
2000,BGD,ESP,106
2000,BGD,FIN,22
2000,BGD,FRA,1816
2000,BGD,GBR,795
2000,BGD,GRC,49
2000,BGD,HUN,1656
2000,BGD,ITA,88
2000,BGD,JPN,5
2000,BGD,NLD,78
2000,BGD,NOR,37
2000,BGD,POL,13
2000,BGD,ROU,226
2000,BGD,SVK,46
2000,BGD,SVN,270
2000,BGD,SWE,117
2000,BGD,UKR,42
2000,BGD,USA,512
2000,BGD,ZAF,44
2000,BGR,ARG,5
2000,BGR,AUS,46
2000,BGR,AUT,22
2000,BGR,BEL,1693
2000,BGR,BRA,5
2000,BGR,CAN,227
2000,BGR,CHE,58
2000,BGR,CZE,232
2000,BGR,DEU,119
2000,BGR,DNK,12
2000,BGR,ESP,9
2000,BGR,FIN,13
2000,BGR,FRA,90
2000,BGR,HUN,7
2000,BGR,IRL,153
2000,BGR,NLD,26
2000,BGR,NOR,12
2000,BGR,POL,340
2000,BGR,SRB,5
2000,BGR,SWE,18
2000,BGR,USA,264
2000,BGR,ZAF,14
2000,BHR,AUS,5
2000,BHR,IRL,5
2000,BHR,SYR,32
2000,BHR,USA,5
2000,BHS,CAN,5
2000,BHS,USA,5
2000,BIH,AUS,14
2000,BIH,AUT,96
2000,BIH,BEL,751
2000,BIH,CAN,26
2000,BIH,CHE,1304
2000,BIH,CYP,5
2000,BIH,CZE,13
2000,BIH,DEU,2625
2000,BIH,DNK,731
2000,BIH,ESP,96
2000,BIH,FIN,27
2000,BIH,FRA,441
2000,BIH,GHA,5
2000,BIH,HUN,37
2000,BIH,IRL,12
2000,BIH,ITA,32
2000,BIH,LUX,52
2000,BIH,NLD,1652
2000,BIH,NOR,272
2000,BIH,SVN,48
2000,BIH,SWE,4244
2000,BIH,USA,67
2000,BLR,AUS,40
2000,BLR,AUT,34
2000,BLR,BEL,695
2000,BLR,CAN,89
2000,BLR,CHE,82
2000,BLR,CZE,205
2000,BLR,DEU,546
2000,BLR,DNK,76
2000,BLR,ESP,38
2000,BLR,FIN,37
2000,BLR,FRA,99
2000,BLR,HUN,5
2000,BLR,IND,5
2000,BLR,IRL,131
2000,BLR,ITA,6
2000,BLR,LTU,5
2000,BLR,LUX,6
2000,BLR,NLD,113
2000,BLR,NOR,139
2000,BLR,POL,61
2000,BLR,SVN,5
2000,BLR,SWE,231
2000,BLR,USA,184
2000,BLZ,USA,14
2000,BOL,AUS,16
2000,BOL,CAN,64
2000,BOL,CHE,7
2000,BOL,ESP,5
2000,BOL,FIN,9
2000,BOL,FRA,5
2000,BOL,SWE,57
2000,BOL,USA,45
2000,BRA,AUS,26
2000,BRA,CAN,66
2000,BRA,CHE,5
2000,BRA,FRA,5
2000,BRA,KEN,5
2000,BRA,USA,304
2000,BRB,CAN,11
2000,BTN,AUT,9
2000,BTN,BEL,46
2000,BTN,CHE,5
2000,BTN,DEU,32
2000,BTN,FRA,5
2000,BTN,NPL,46
2000,BTN,USA,6
2000,CAF,BEL,10
2000,CAF,BEN,5
2000,CAF,CAN,5
2000,CAF,COG,6
2000,CAF,ESP,5
2000,CAF,FRA,341
2000,CAF,GAB,5
2000,CAF,GRC,9
2000,CAF,NLD,5
2000,CAF,USA,5
2000,CAN,USA,11
2000,CHE,DEU,5
2000,CHE,USA,5
2000,CHL,AUS,53
2000,CHL,BEL,13
2000,CHL,CAN,68
2000,CHL,FRA,5
2000,CHL,MEX,5
2000,CHL,SWE,35
2000,CHL,USA,19
2000,CHN,AUS,2238
2000,CHN,AUT,90
2000,CHN,BEL,79
2000,CHN,BLR,5
2000,CHN,BRA,18
2000,CHN,CAN,1855
2000,CHN,CHE,64
2000,CHN,CZE,264
2000,CHN,DEU,2189
2000,CHN,DNK,86
2000,CHN,ESP,6
2000,CHN,FIN,5
2000,CHN,FRA,9674
2000,CHN,GBR,4000
2000,CHN,GRC,5
2000,CHN,HUN,198
2000,CHN,IRL,16
2000,CHN,ITA,8
2000,CHN,JPN,5
2000,CHN,KAZ,15
2000,CHN,KGZ,5
2000,CHN,KHM,7
2000,CHN,MYS,5
2000,CHN,NLD,1406
2000,CHN,NOR,12
2000,CHN,NPL,12
2000,CHN,PAK,8
2000,CHN,POL,26
2000,CHN,SVN,40
2000,CHN,SWE,56
2000,CHN,THA,70
2000,CHN,TUR,11
2000,CHN,USA,14188
2000,CHN,ZAF,104
2000,CIV,AUT,12
2000,CIV,BEL,97
2000,CIV,BEN,5
2000,CIV,BFA,5
2000,CIV,CAN,70
2000,CIV,CHE,87
2000,CIV,CZE,7
2000,CIV,DEU,263
2000,CIV,ESP,13
2000,CIV,FRA,357
2000,CIV,GBR,445
2000,CIV,HUN,5
2000,CIV,IRL,87
2000,CIV,ITA,6
2000,CIV,NER,6
2000,CIV,NLD,98
2000,CIV,NOR,5
2000,CIV,SVN,5
2000,CIV,SWE,5
2000,CIV,USA,76
2000,CIV,ZAF,41
2000,CMR,AUS,10
2000,CMR,AUT,32
2000,CMR,BEL,417
2000,CMR,BEN,21
2000,CMR,BFA,5
2000,CMR,BLR,13
2000,CMR,CAN,101
2000,CMR,CHE,116
2000,CMR,CIV,5
2000,CMR,DEU,804
2000,CMR,DNK,24
2000,CMR,ESP,16
2000,CMR,FIN,27
2000,CMR,FRA,404
2000,CMR,GAB,7
2000,CMR,GHA,5
2000,CMR,HUN,44
2000,CMR,IRL,76
2000,CMR,ITA,30
2000,CMR,MLI,5
2000,CMR,NER,25
2000,CMR,NGA,6
2000,CMR,NLD,221
2000,CMR,NOR,23
2000,CMR,POL,5
2000,CMR,ROU,5
2000,CMR,SVN,5
2000,CMR,SWE,7
2000,CMR,UKR,9
2000,CMR,USA,867
2000,CMR,ZAF,17
2000,COD,AGO,31
2000,COD,AUS,5
2000,COD,AUT,92
2000,COD,BDI,5482
2000,COD,BEL,1421
2000,COD,BEN,628
2000,COD,BFA,9
2000,COD,BRA,17
2000,COD,BWA,14
2000,COD,CAF,9574
2000,COD,CAN,985
2000,COD,CHE,540
2000,COD,CHN,6
2000,COD,CIV,72
2000,COD,CMR,580
2000,COD,COG,920
2000,COD,CZE,18
2000,COD,DEU,1411
2000,COD,DNK,34
2000,COD,DZA,52
2000,COD,EGY,18
2000,COD,ESP,90
2000,COD,ETH,5
