# location=Madrid lat=40.42 lon=-3.7 baseline=1991-2020
decada,historical,ssp126,ssp245,ssp370,ssp585
1950,-0.7834000086784363,,,,
1960,-0.8043161058425904,,,,
1970,-0.7359255838394165,,,,
1980,-0.6608200359344483,,,,
1990,-0.40107980251312253,,,,
2000,0.2628715705871582,,,,
2010,0.2439796257019043,-0.011512173016866047,-0.07120808362960815,-0.012061208883921305,0.01713218477037218
2020,,0.18162797927856444,0.06518584728240967,0.04876016139984131,0.4142967542012533
2030,,0.5557418537139893,0.6095229911804199,0.7633438634872436,0.9966694005330403
2040,,1.1146330165863039,0.8859744548797608,1.4961185550689697,1.4754018847147625
2050,,1.2033712100982665,1.3042830085754393,1.8776406383514406,2.231139481862386
2060,,1.4151475238800049,1.7169228982925415,2.531203203201294,3.0134204864501952
2070,,1.4658269596099853,2.053885188102722,3.0661955881118774,3.694943758646647
2080,,1.4219787645339967,2.4169571828842162,3.6448088359832767,5.091173610687256
2090,,1.3034824359416963,2.590110886096954,4.418872487545014,6.012743686040242
2100,,1.1298619111378987,2.6641682783762617,4.527920802434285,5.876221550835503
